[00:00.000] 对那边
[00:05.470] 原理
[00:11.660] 号。
[00:18.160] 七
[00:18.860] 万。
[00:20.110] 二
[00:21.300] 8861。
[00:25.880] 场
[00:30.470] 场
[00:34.770] 二
[00:36.970] 数据。
[00:40.770] 您知道吗？
[00:44.470] 明天
[00:45.540] 这玩手机。
[00:55.910] 你好女士您怎么称呼？
[00:57.720] 邢女士电话1370102。
[01:01.240] 9570。
[01:03.140] 跟您对一下身份证号110102196311251124。
[01:09.190] 您这后尾号挺
[01:11.880] 125124。
[01:15.620] 对。
[01:33.600] 您这应该在做保养是第三次了。
[01:44.390] 的
[02:04.030] 的
[02:17.450] 二
[02:52.470] 数据
[03:27.620] 三
[03:28.520] 的
[03:29.470] 月。
[03:32.270] 136的衣服。
[03:34.180] 传奇。
[03:37.290] 13428
[03:39.590] 商业企业尽职尽责，
[03:49.640] 说
[03:52.390] 他们说
[03:54.480] 咱们刚才说了，
[03:58.150] 没有时间，
[04:01.220] 说道知道谁知
[04:03.850] 道路的
[04:05.200] 谁知
[04:08.270] 你没出去，
[04:16.250] 不是说你上午
[04:20.830] 上班，
[04:26.310] 另外
[04:27.440] 那么我们气场或者说还有
[04:30.760] 谁知。
[04:32.270] 对告诉政府最近
[04:35.940] 这是一个国有刚才
[04:38.120] 谁知
[04:39.500] 人家真的
[04:42.890] 被告他的程序
[04:44.570] 绿色发展的人都是正确的，而且城堡的话基本数据还有一个
[04:52.990] 而且没过
[04:54.770] 这个道理
[05:00.980] 的。
[05:05.210] 非常的
[05:15.100] 银行是一个A保养，
[05:16.400] 保养换机油和机油滤清，
[05:18.800] 然后员工材料是1503，
[05:21.900] 这种常规保养，
[05:25.240] 奔驰分析是A保一次交通
[05:29.240] 咱们上回是B这次是
[05:33.880] 一点
[05:35.800] 然后B网的正常别的还得贵300多人，
[05:39.390] 所以说A宝相对比较强一点。
[05:42.700] 然后咱们检查出两个问题，刚才我们说的，一个您前面开始投顾不着垃圾，我建议您听，因为是
[05:53.770] 里边
[05:55.540] 要是现在查出的问题，
[05:57.800] 这不好说。
[05:59.600] 然后本身也是两三年，但是
[06:06.290] 的然后还有咱们后轮的刹车片，后边的前面没事儿，后边
[06:14.250] 那边的差不多还有
[06:17.400] 44毫米左右。
[06:21.740] 然后按照标准来讲，三毫米左右通话还有消防
[06:28.500] 我就跟您说一下，
[06:30.720] 如果你开不了，谁知
[06:32.800] 剩下的还有一个是火花塞是三年做一次，
[06:37.600] 我为啥这没写钱，因为您之前有个卡，这卡里边有免费的，
[06:41.920] 要就是三年做的。
[06:44.360] 您今年正好是第三年。
[06:48.000] 交叉着免费的不要说，因为你之前里边有一些
[06:53.000] 然后店里边现在有什么活动，
[06:55.300] 就是说咱们A保B保的保险，咱们把这个牌子了就打下边这几个人都不弄，就打比方没有这些东西。
[07:04.330] 因为A低保是必须做，因为这车除了A保医保ABD基本上
[07:10.030] 所以说店里现在有一个什么活动可以当早餐，
[07:14.280] 两个A宝，两个必保加一块，这4次保养加一块是4977，
[07:20.920] 就先预购了，对，然后您正常一次A保是1500一毛，别往还得再多300块钱11,800，
[07:28.860] 对吧？
[07:29.780] 1500
[07:30.820] 加1500，
[07:31.820] 1800再加1000，应该比这个要多的不是
[07:36.660] 一点点差不多5000块钱了。
[07:39.700] 等于是优惠就优惠到账，就是说
[07:42.940] 4次保养这次用一次还有3次一年不会为3年
[07:47.480] 活动。
[07:48.380] 就是说对
[07:52.710] 你这么跟你说刹车片，
[07:55.740] 你说我排水我也不听，
[07:58.820] 空调什么的我都知道，但是机油一年得赚，有人说
[08:04.530] 不够花，
[08:08.080] 所以该做的还有活动，
[08:11.920] 我都给你，至于怎么选怎么弄，
[08:15.890] 就听到或者是您哪个部门
[08:22.030] 话剧。
[08:27.710] 数据
[08:28.710] 场
[08:32.810] 坏数据
[08:39.190] 的
[08:41.990] 场。
[08:47.160] 数据、
[08:48.730] 场地、
[08:54.560] 数据、
[08:59.190] 数据、
[09:02.850] 场
[09:05.090] 场
[09:08.480] 数据
[09:10.390] 数据
[09:13.540] 坏
[09:14.880] 场
[09:27.500] 坏数据
[09:33.730] 场
[09:36.520] 坏
[09:38.110] 的。
[09:41.800] 五
[09:44.770] 数据
[09:52.370] 坏
[09:53.900] 坏
[09:54.680] 坏
[09:56.610] 用。
[09:59.230] 行行你别看着我，我这等行机油就行。
[10:05.000] 火花塞免费的号码，然后再等两。
[10:08.490] 后面先不放了，这潭水清吗？对。
[10:16.180] 的
[10:18.860] 说
[10:25.440] 的。
[10:29.040] 我出个单子你帮我签个字就得了。
[10:33.080] 10
[10:46.430] 的。
[10:48.560] 对，开始，谁知
[10:52.300] 后来了我也看到了，
[10:57.680] 然后过滤的过程
[11:00.120] 不用了。
[11:01.630] 您看一下，因为自然的
[11:08.100] 我的问题，
[11:11.820] 谁知
[12:41.450] 车里没贵重物品，明白。
[12:43.740] 好勒。
[12:53.490] 数据。
[12:58.490] 的
[13:01.680] 数据。
[13:03.170] 你先把这首
[13:05.430] 二
[13:38.340] 下午
[13:41.250] 140。
[13:42.690] 然后现在一般工作谢谢。
[14:02.920] 用药都换了
[14:04.850] 了。
[14:06.920] 我觉得没法预料。
[14:09.270] 你非常
[14:10.900] 这个做出来了，然后接下来
[14:19.090] 搞
[14:29.520] 取得但没办法。
[14:32.310] 上边金额是火花塞是不收费的。
[14:37.760] 对。
[14:39.720] 这都有在下面你
[14:44.080] 这上边我给你打的是我这个单子上打的是保修，
[14:48.130] 我房间电视不收费了。
[14:50.810] 我先跟你声明一下，然后三地点对不收费。
[14:55.840] 那就是1100。
[14:58.020] 对1000多块钱。
[14:59.750] 对。
[15:03.460] 32660多块钱那个也不错。
[15:09.110] 这1.288 60多块钱，那不是你约的出保全检查吗？那是我们约过来的吗也？
[15:16.330] 就这一天对没错，就那钱。
[15:19.820] 比
[15:22.910] 工业革命我
[15:30.060] 先不用那是给您的，不用参加，您拿着这一有取车的时候还给我。
[15:39.830] 的
[15:43.240] 的
[15:44.560] 他新系统版面的问题，
[15:49.750] 开
[16:01.280] 数据、
[16:11.280] 的
[16:14.040] 的
[16:19.540] 的
[16:23.580] 谁知
[16:26.670] 然后还有两个跟保养什么的都没关系的，一个是那所有的
[16:38.380] 没有出保修的车，就是厂家保修是三年，
[16:43.130] 比如说我不可能有的客户说我不可能我开三年我车就卖了，
[16:48.060] 或者是我可能开个六七年五六年的
[16:52.510] 然后没有出保修的车都可以办一个延保，当然那是单独收费。
[16:57.730] 最多也两年就有那么个事儿，因为出了保修期以后，
[17:03.680] 比如说我车出了保修期了，再办就办不了了，然后还有一个
[17:11.120] 还有一个
[17:13.640] 这个前提是这样，如果你车上
[17:17.500] 的那些划痕压倒性，
[17:19.760] 如果你想走保险修的话，这个才有意义，
[17:24.130] 要不然这个就没法用。
[17:25.880] 什么意思？
[17:27.400] 您在百得利走保险修车了，
[17:31.130] 他会单独额外的补偿您2500块钱的现金，到哪里不是优惠券也是代价。
[17:38.910] 钱就是到银行卡再转给你2500，你走一次保险它转一次，
[17:45.510] 一年最多转两个月，比如说我这车我出了两次减一年，
[17:49.720] 他就给你5000块钱，对他是什么意思？它这个东西叫代步车补偿。
[17:55.190] 在您维修期间给您的交通服务，那么
[18:00.930] 咱们有我这么跟您说，
[18:02.740] 就是说您这个是属于一个保险费，就是您交一个1498，首先得给他1000，
[18:10.700] 然后我在这一年之内这一年都不算，比方说从今年开始到明年的今天，
[18:18.170] 一整年在一年之内
[18:20.900] 我出险了，比如说我修了一个前-6给你打错了，
[18:25.900] 他给你来说我和你等他们明白吧？
[18:30.000] 张先生如果可能厚道又看了，
[18:33.170] 我这一年在有效期5年的，我又收了个厚道，
[18:37.540] 我再给你2000块钱，
[18:39.160] 但这个钱就交一次，
[18:42.600] 交易。
[18:44.290] 今天
[18:46.040] 你要说我第二年不上了，没关系，就没有强调必须
[18:51.320] 这跟保险沟通
[18:53.780] 正常没有。
[18:55.630] 跟保险没关系。
[18:57.350] 你正常打比方说我
[18:59.520] 你要修你那钱报中期，
[19:01.630] 报保险，
[19:03.210] 定损修车，
[19:04.610] 修完了我们把车给你，保险公司给我们结账。
[19:07.760] 然后第二年您上保险出了一次钱，保费可能有点活动，
[19:12.000] 对吧？正常流程是这样是吧？
[19:14.670] 但是现在多了就
[19:16.810] 在这些流程的
[19:18.910] 都不忙的时候，
[19:20.970] 有人单班给你1000块钱，
[19:24.100] 它是补2500又交了1400，
[19:26.440] 我就是把这一点也不就是争三块钱。
[19:29.330] 说的比较我不拿
