[00:00.000] 正好我们昨天联系过。
[00:02.460] 方便接电话问你。
[00:05.250] 其实
[00:07.300] 我觉得挺小的。
[00:08.420] 昨天我才打电话说找优惠的，
[00:11.610] 结果我们现在
[00:12.980] 就要要说了，这将奠定了
[00:15.890] 所以说在cd这个消息的当中都会相互的支持，
[00:21.120] 然后现在让我们给高意向客户报名。
[00:23.670] 我想您也是最近购买的。
[00:26.940] 你想帮我忙，想到的就是大家
[00:29.720] 给你预期大概多少钱，哪个项目不是报名了，如果说可以的话，您周六可以过来直接参加活动监控波。
[00:40.830] 对，但是需要我们现在也做报表，把这个客户的意向提交上去，如果合同需要买什么车型什么颜色，
[00:47.990] 成本问题说白了，反正天。
[00:51.160] 日本收藏。
[00:53.010] 做到
[00:55.320] 什么政策？
[00:59.880] 每个月还利息，就是说雷管的是吧？
[01:02.650] 有。
[01:04.630] 不过。
[01:05.720] 我听说C。
[01:09.920] 买136对不对？
[01:12.650] 新200什么颜色的？
[01:15.960] 白色外观黑电视。
[01:17.890] 行，然后。
[01:19.500] 分期走带尾款18期的。
[01:24.600] 你稍等。
[01:27.530] 有没有心理预期大概价格之前看到的？
[01:35.590] 不裸车申鑫金汇现金优惠。
[01:46.010] 315860
[01:52.360] 95。
[01:54.210] 智焕博哥。
[01:57.680] 指标买是吧？指标股这款。
[02:01.020] 行。
[02:02.520] 然后装饰
[02:09.310] 有没有？
[02:16.000] 不是要来60台是要卖这个的。
[02:19.110] 你现有的车型卖60台，近期能。
[02:21.490] 到都可以。
[02:22.700] 主要针对现车，你要什么颜色我给你查查。
[02:32.260] 可以有些一台现车，
[02:35.870] 然后有没有什么需要的装饰，既有需求了他的
[02:39.510] 正磨着补贴了去
[02:45.090] 什么意思？
[02:46.150] 您有什么需要的您可以告诉我，然后我一起给你报上去，虽然说现在店里装饰是花钱的，
[02:52.700] 但没关系，领导让他测算成本很有可能比如说我需要记录仪，
[02:58.370] T谟如果价格到不了基础上，它可能会有一些赠送的东西，也相当的细给您优惠，就有什么需要你赶紧跟我说，我给你贴我给你写上。
[03:09.140] 5。
[03:13.690] 有吗？
[03:18.600] 那也就是说要么现金65,000，什么都没有，分期要N×2500，我跟您说过是吧？
[03:27.050] 好。
[03:28.220] 6万。
[03:37.950] 您先告诉我全下来多少钱，上次问的
[03:51.830] 做了多少钱，他会核实整个市场行情的，如果不跑偏的情况下，
[04:06.790] 对。
[04:29.430] 他要搬家，他从申报我们知道都送喂饱他们，因为他们班南六环，
[04:34.610] 大兴
[04:45.360] 没多少钱。
[04:47.250] 对，他裸车优惠多少钱，优惠6万也是。
[04:51.130] 说
[04:59.040] 帅哥，你还记得他裸称你是多少钱吗？这315,800的车。
[05:04.430] 有几万？
[05:07.690] 6万多。
[05:15.380] 保险。
[05:16.610] 多少钱保险？
[05:29.700] 不是说送您第一年保险，您这问的其实对，一看您就去过景观，真是去过他们家送您。
[05:37.280] 三年
[05:39.740] 二
[05:40.980] 号。
[05:48.400] 第一年送您几千块钱保险，第二年送几千吗？第三年春节吗？不是这样的吗？
[05:54.320] 对，他是三年。
[06:07.120] 我知道经济尽管他们是想把您捆绑到店里，
[06:10.840] 因为他们班倒想未来让您去修车什么的都在去店修，
[06:15.400] 而且保养你别开始终身听着这个挺吓人挺好的优惠，其实你想A宝就是两年做一回，
[06:22.350] 你必保还得在那做，才能给你
[06:25.980] 这是爱保900多块钱，1000块钱节约
[06:30.210] 庇保加一起才2000块钱，
[06:33.880] 对吧？
[06:36.090] 你想
[06:39.880] 我现在是这样的，只问您您想自己能接受的成交价格，领导去测算成本，
[06:55.980] 好
[07:15.130] 你还不是你买的吗？是那个吧？
[07:18.090] 是年底买车那个朋友吗？
[07:41.130] 他那会没有贷款政策。
[07:43.240] 的。
[07:50.360] 您的就是预期。
[07:52.390] 想。
[07:53.790] 但你我看看如果65,000的话，
[07:58.890] 如果是优惠60,050多少钱？250,800，
[08:06.120] 你
[08:07.640] 相当于送
[08:15.630] 但是我跟您说一下，您自个加完以后这价格都比您的高，我都没算保险，
[08:20.800] 没算装饰，都比您告诉我的274,000要高，就是我拿我减65,000，就你心理价位在65,000，
[08:29.550] 然后再给您没加别的装饰，
[08:32.160] 我说你不对。
[08:36.040] 对。
[08:43.080] 行我知道了。
[08:45.440] 你还想比这低，这样我给您报上去，如果周五联系您，让您周六过来基本上八九不离十，如果周五不行的话，我会告诉你，我说周六不让你来，这价格买不了。
[08:56.170] 好吧？
[08:57.090] 好勒。
[08:59.560] 6。
