[00:01.020] 车里别搁任何贵重行，没有任何自认为是吧？贵重物品我不动车我做静态评估，
[00:06.440] 等他跟你去没事那行那就行，要是你跟我现在去坐车的，
[00:13.200] 差不多做个静态进步，也就是说
[00:17.380] 十几二十分钟左右。
[00:36.750] 哪年的A6？
[00:40.720] 去年。
[00:41.990] 年。
[00:44.200] 爸爸了89年了。
[00:46.880] 最近。
[00:47.580] 93年。
[00:57.310] 行驶本你给我拿一下就行。
[01:00.120] 随时什么？
[01:06.770] 我觉得不止七八年，应该十二三年了。
[01:09.500] 是应该牌照看车牌照应该00
[01:13.540] 08就是那年09。
[01:16.040] 那年什么的时候？0802 08的。
[01:22.280] 刚才车祸了，
[01:24.730] 当那些父子之间
[01:26.830] 可能记得了。
[01:30.180] 您就稍等一会，我差不多我这同事车我是差不多小20分钟。
[01:34.410] 没事。
[01:35.300] 您先给我留个手机号，刚跟小金熊留的手机号留一个的。
[01:41.180] 1350135013613620712
[01:47.170] 071。
[01:49.370] 简单跟说我是评估师张国红，一会回去我给你拿个名片，我就先做一个静态评估。
[02:55.530] 2.4，
[02:56.530] A62.4，
[03:19.740] 一次事故的
[03:20.870] 完了
[03:22.040] 了，
[03:23.840] 公里数153,000公里，
[04:40.530] 是一分钱，你是10年买的二手的，还是10年过一次户？这车咱们是08年的。
[04:46.260] 08年1月的车，10年10月您是买的别的车还是这不是自己的车，自己的车，那就过一次户还是丢个行驶本？
[04:54.390] 他过户应该是
[04:56.960] 由号
[04:58.870] 打了一下，好。
[05:02.290] 原来的车
[05:05.020] 那个号在别人用了，反正打了。
[05:08.440] 没什么不好意思。
[05:21.200] 但是摇号是10年10月12月开始摇号的。
[05:26.010] 咱是08年1月上了牌的车。
[06:08.050] 对，您那个车能带出记录吗？
[06:10.440] 最近接到16年。
[06:11.490] 直接就出去了，就看到16年，
[06:14.470] 那14年的车就两年都及格了，
[06:46.490] 咱爸直接上。
[06:49.690] 等一会。
[06:51.120] 不知道没聊。
[06:53.990] 这车也还行。
[06:57.790] 行了，您收好行之本。
[07:00.210] 要是我们说好车，您去看新车这边，一会我跟销售联系，我就跟你说价格好吧？
[07:07.480] 行，您回到我这东西看看。
[07:14.030] 和
[07:16.030] 你俩干嘛呢？
[07:18.260] 出去吃点。
[07:20.230] 你看看这车是否来过，这车查我记录，6月4号有这车，
[07:25.430] 6月4号有这车，
[07:27.810] 6月2号然后只有茶楼有记录，就思考这辆车。
[07:35.280] 开会
[07:36.410] 也一样的。
[07:37.610] 过去了。
[07:39.930] 对，我就看看是不是。
[07:42.610] 4258。
