[00:00.000] 印象里头这是一千几百亿的给我看了一个实验了，刚刚去我就没了，我做了一上午。
[00:08.630] 坐了一上午，您好。
[00:10.120] 好
[00:12.920] 车什么问题？
[00:13.900] 然后。
[00:17.950] 出版的检测，
[00:19.390] 还有一个一般维修是修什么没有什么问题是吧？
[00:23.220] 还有一个一般维修，
[00:25.990] 打电话叫过来的。
[00:27.230] 就不需要修车是吧？真的是我女儿的名字就是光做一个检测。
[00:31.570] 你们打电话3点就打账过来的吗？
[00:33.810] 打得明白了，蓝的生日。
[00:37.290] 来一栏原来
[00:41.390] 现在开这没什么问题。
[00:43.790] 我怎么开始我总觉得发现还有点车有点抖，
[00:48.910] 可能。
[00:49.660] 车短期内单独给那轱辘做动平衡。
[00:52.750] 中。
[00:54.230] 电话139那股路上这不是栋平房，不得接纳千块吗？行行，那是单独交费的，我。
[01:01.430] 觉得在高速上走，
[01:03.380] 我就感觉那个车有点抖。
[01:05.610] 那个车走不在质保期里边，
[01:08.040] 给那轱辘4个轱辘，
[01:10.020] 动平衡，您和轮胎是不是得做动平衡？是弄。
[01:14.400] 那个怎么会。
[01:18.160] 可能跑到上面贴着枪快跑掉了，
[01:22.120] 跑调了完了就走了。
[01:24.490] 那个是需要弄吗？
[01:26.370] 要受不了了就动平衡，不单独交费的要还，
[01:31.060] 要不是他厉害，
[01:32.270] 再开个也行。
[01:33.660] 的。
[01:35.550] 你说。
[01:37.280] 叫什么动静是吧？
[01:39.400] 对。
[01:39.880] 轮胎的动平衡多长？
[01:41.520] 天做一次，
[01:43.230] 没准赶紧跑多少了他。
[01:45.620] 不是每次做保养的。
[01:46.950] 那都不拆锅炉。
[01:49.340] 除非说您扎钉子了补胎了，他才需要把轮胎拆下来，拆了以后，然后装门开的时候
[01:55.200] 需要重新做动平衡，
[01:57.080] 做官的时候是没有这个项目的。
[02:02.120] 这没用。
[02:07.050] 而且在比如说
[02:08.510] 马路牙子蹭蹭到马路牙子了，鼓楼可能稍微有点不圆了，
[02:13.850] 他就走
[02:15.470] 了
[02:16.440] 了。
[02:17.520] 今天发丧盘都不是差不多的。
[02:21.450] 是因为车轱辘导致的房产证，
[02:26.090] 你等会帮我一块检测一下，看看哪有问题，你们今天主要不是检测吗？
[02:31.940] 但是没有轱辘，只能给您检测轮胎气压，
[02:35.160] 你要是动平衡就得交费了。
[02:37.210] 我知道你们也帮我检测一下。
[02:39.680] 就一块弄了是吧？
[02:40.670] 对，看看严不严重。
[02:42.370] 但是觉得严重不就必须得弄，他做危险。
[02:45.910] 就是说感觉轻度的没必要弄，先不弄。
[02:49.270] 不是您只要做动平衡就得交费了，这不是说
[02:52.390] 如果说严重了。
[02:53.450] 你确定是种地吗？
[02:54.950] 确定。
[02:56.220] 吹枯了咕噜没别的东西了。
[02:59.340] 百%不是90%。
[03:01.750] 确定。
[03:02.800] 如就按您说的，如果严重了您就得换轮毂，知道吧？这里面的钢圈
[03:08.370] 就得换轮毂了，不严重是做动平衡。
[03:11.550] 4个轱辘600多，
[03:13.760] 690 650，
[03:16.450] 严重了就得换钢圈了，就可能它不圆了，他
[03:20.340] 所以跑快了以后就放在那哆嗦。
[03:23.590] 特厉害吗？
[03:25.310] 这块你们这是干嘛？你们这是靠谱的吗？
[03:28.540] 是售后。
[03:31.890] 那边是销售。
[03:32.920] 马。
