[00:00.990] 什么先生？
[00:02.070] 开微信黄宏。
[00:04.240] 黄先生电话有吗？
[00:06.260] 有没有？
[00:10.500] 138哪来资源前台？
[00:13.560] 4001017。
[00:17.650] 9280，
[00:19.360] 对不对？
[00:20.550] 明白。
[00:30.320] 我都
[00:45.110] 黄先生是吧？抱歉百得利销售赵兵。
[00:48.520] 这是我们骗您是关注产品内容，那个车想要试试。
[00:52.710] 现在那车出去可以稍微等一会，没事行，我估计还得看您看哪个配置。
[01:00.090] 次顶配吧。
[01:02.360] 中配的。
[01:03.380] 中高配不是他总共有三个配置，就中配装备，这就是中配的21款的之远。
[01:09.720] 高配和中配的区别是什么？差了一个360度影像，他们看到音响，然后还有盲区监测信息包，
[01:17.110] 冷区间测试就是王静的盲点，就是您的侧后方有车坏车您接近的时候，它首先会声光报警，然后还有一个倒车车侧警示，就有的时候可能车位咱们不是
[01:28.470] 车就是车头扎进去的，
[01:30.540] 平板来到的时候不是
[01:32.320] 后方会出现盲区。
[01:34.060] 那个会给您监测，然后可以给您刹车，这种发票这个是贵了多少钱？
[01:39.310] 这个的都有五六万五。
[01:41.500] 五六万块钱，就三配置曼卡顿音响他们砍的影响是吧？
[01:47.060] 一个盲一个360度影像是1万多块钱，
[01:50.990] 这就30多了。
[01:55.750] 这款车我外观挺喜欢，
[01:58.330] 但是内饰
[02:00.730] 之前了解过这车吗？
[02:02.510] 了解过，但是不是特别了解，您介绍一下吗？
[02:06.330] 这个景象行，反正沃尔沃其实它主要安全环保，对。
[02:11.730] 您看小昕向这个座椅，这都是进口的小牛皮，
[02:15.500] 现在一般车都是这种合成的了，
[02:17.670] 是吧？然后填充物都是纯天然的这种大豆亚麻纤维，
[02:21.170] 而且每块
[02:23.460] 座椅每块密度每块受力点密度都不一样，然后包括投资这些植物，它用的都是婴儿A加级的这种材质。
[02:32.080] 挺舒服的，对，所以您坐到驾驶室里首先它是什么？没有异味，
[02:36.390] 对吧？二就是
[02:38.290] 感谢谢谢。
[02:40.160] 要您点一下收音机那就停。
[02:43.140] 您需要开始我要把这个关了。
[02:47.010] 这样点手返回底下最底下线跟手机似的，对sm的位置。
[02:53.330] FM那个位置往前一点，
[02:58.000] 这么着
[03:03.760] 这么滑动的用。
[03:05.160] 对，就是车辆所有的配置开关都是从中台上去选择。
[03:10.710] 然后您可以介绍一下，
[03:12.780] 基本上您继续说，然后安全就是什么，像全系标配城市安全系统，
[03:19.010] 自动刹车，
[03:20.180] 那个是相对时速60公里以内，如果前方出现说车辆或者说行人，
[03:25.630] 您没采取制动这种情况下，它可以给您就雷达监测的情况下，他说点击实现自动甚至杀停，
[03:31.130] 然后像是车道保持，
[03:34.960] AC C自适应巡航，银行辅助这些咱们都有，其他可能车型最高的也就是定速巡航，
[03:44.090] 日常驾驶模式对价值模式的
[03:46.700] 一共几种？三四4种。
[03:50.350] 对。
[03:51.400] 经济舒适、
[03:54.320] 运动越野、
[03:59.540] 您关注沃尔沃是因为什么？就是他的安全吗？
[04:01.770] 一个是安全，第二个我喜欢它的外观，看过穿三看过，
[04:10.730] 奔驰的plc
[04:14.010] 300看过差5差5没看过窗户不大怎么看？
[04:19.160] 主要是看沃尔沃，主要我比较喜欢外观，
[04:21.900] 那个不是特别喜欢
[04:25.000] 推迟的，我不想其实这块
[04:29.840] 因为一直做的红花孩子就不会生气，不好看宝马的那是吧？
[04:37.390] 就那么回事儿，你
[04:38.380] 有商场吗？
[04:39.820] 如果说宝马对
[04:42.010] 完那是只有奔驰谁谁谁也比不过他。
[04:44.920] 但是奔驰的那我不是特别喜欢这块，而且奔驰
[04:48.720] 地震不好。
[04:50.760] 您是这样ps一事了，
[04:52.900] 过了一坑咣当一下，
[04:56.200] 地震不是特别好，所以我想待会试试，我走点差三市了吗？
[05:01.600] 是了。
[05:02.370] 差三还不错。
[05:03.510] 这三总体在路上咱们这应该还可以，因为它前面是双叉臂，
[05:08.150] 后面是
[05:09.760] 多连杆加复合叶片弹簧，所以它稳定性会比较高。
[05:13.860] 我是想一个是稳一点，第二个舒适一点，第三个加速稍微冷一点，对吃点揉，奔驰对奔驰的加速的线性太柔了。
[05:23.590] 我踩脚的
[05:25.640] 出具，他对他是比较线性，但是他萎缩的话可能也还可以，他起来之后都差不多。
[05:33.260] 主要我就是为了那一
[05:35.050] 关键就是为了一下这程序也开不开，开的太快，就是想超车的时候必须得有这得那一下，关键要的就是那一项宝马什么包括变相包括加速要的一下。
[05:48.190] 其实说实话宝马现在的操控易简配以后没有原来那么好，
[05:52.500] 还好我是差三秒，
[05:54.600] 咱们这个动力还可以，254的马力搭配的，爱信变速箱顿挫感也低。
[06:00.480] 您是旧车置换还是先置换是吧？置换还有一个额外12,000的补贴车。
[06:06.120] 12,000补贴，对，您这边考虑新车大概什么时间订车？两个月再过两月在对两个月以内对。
[06:14.430] 因为现在每个时段的优惠力度不一样，现在已经开始在慢慢的
[06:18.330] 优惠在减少了，然后2020他们可能还上，
[06:22.640] 这叫
[06:24.000] 还有一款小改，
[06:25.390] 几乎没怎么变，几乎也没装置方便了。
[06:29.800] 您看到志远配置几乎没有变化，他就是说
[06:33.480] 他是致远的运动款，取消了拨片，
[06:36.150] 至一低配的多了一个运动法，这款好像是弥补成文。
[06:42.350] 我试一下这块配饰了吗？
[06:44.940] 咖啡一会您上车那个来我给你那车还回来，买驾照不用回来了。
[06:50.280] 我出去拿一下型号。
[06:54.770] 非常
[06:56.800] 对，要么痧的颜色挺干净的。
[07:01.830] 给你入。
[07:03.120] 谢谢你有你给
[07:06.260] 没再拿下照。
[07:08.120] 王先生没事吧？
[07:10.380] 单名着入到明天直接路那边就完了。
[07:17.640] 两个月购车，
[07:20.480] 还非得是
[07:29.640] 黄。
[07:32.040] 电话1381381011017979
[07:37.280] 280
[07:38.660] 0820首次不是DC邀约。
[07:43.540] 啥车1C60。
[07:46.980] OK
[07:48.150] 煲电话。
[07:57.670] 来驾照用一下。
[08:01.170] 您现在开的什么车？我开的本广版。
[08:22.270] 赶紧拿手机扫一下码。
[08:26.860] 40挺好看的。
[08:28.680] 40的样子笑，但是年轻有点太小了。
[08:39.760] 然后选一下说一下。
[08:42.160] 这个是吧？
[08:43.280] 对，47这样的。
[08:45.140] 然后用微信确认登录一下。
[08:54.080] 再选一下头像。
[08:56.180] 对。
[08:57.320] 然后
[09:00.770] 差360。
[09:02.150] 3360就是现行吗？无线无线那上头选不了。
[09:08.200] 我的老婆你现在不行了吗？
[09:10.860] 选错什么？坐下，点93元
[09:14.080] 了。
[09:16.420] 没有只有一个怎么弄，选不上等于别选这次去了行。
[09:23.390] 然后拍一下您家到正面。
[09:43.620] 对，然后左下角有一个手动填写，
[09:54.270] 下一步给您发验证一下。
[10:08.040] 教授您先说好，说下路线来，我跟你说一下，咱们有两条试驾路线，一个是从南门出去走田村路，
[10:14.880] 这条可能就是红一堆行人比较多，就是加速停车，他一般客户会选第二条，
[10:20.290] 需要四环的，对，第二条就是定慧北桥调头，然后这边C型掉头回来，
[10:24.580] 对面因为可以近一段四环主路可以试一下车辆加速，好，然后掉头位置可以把速度稍微提一点，试一下车辆转让相对
[10:33.100] 来点上行，然后咱们这边是先试乘再试驾，行没事，成效属于这样。
[10:38.830] 零试驾好像是下去了，行，那边喝点水或者稍等一下试驾去了马上就回来。
[10:48.040] 您开的时候就遵守交通规则，里面其他手机超出驾驶证。
[10:51.790] 对。
[10:53.120] 这样。
[10:56.630] 那水您需要喝点吗？不用。
[10:58.840] 稍微等一会，我看看。
[11:02.280] 60的2
[11:06.760] 27面，
[11:07.760] 二号现在刚出到地面，
[11:13.230] 车的外观，
[11:16.560] 还行，现在比上一算设计的好看一点，这外观我是挺喜欢，因为因N持oc，
[11:24.980] 像挺接车的其实对，
[11:27.380] 而且有点太秀气，它灯太秀了这一点。
[11:31.710] 如果不考虑品牌的情况下，沃尔沃反正是性价比最高，然后配置也够，
[11:39.120] 但是奔驰的内饰我不太喜欢沃尔沃的中控，就竖着的那一块，
[11:45.470] 这个已经算改了的，原来都是一个特别小的屏更丑，他像宠反正瑞典设计风格就这样简单，
[11:53.240] 它这个数的平衡其实设计原理就来源于手机，因为您看咱们手机平时操作，
[11:59.490] 对，不是咱看文字的这种状态下是不是全是数字的？
[12:03.860] 对吧？你横屏幕横的时候就看什么一般，
[12:06.640] 但是在导航那一块他比较适合号，
[12:11.960] 也不一定，但是E导航也不舒服，对，一般现在都是拿手机导，谁也不用看，那收到倒好了。
[12:18.710] 卡费就直接投上去了是吧？对。
[12:21.080] 但是他不会全面积显示。
[12:22.790] 明白。
[12:23.920] 它有一边第二条显示中间这一块，而且这个屏幕特别红外线特别敏感，你要拿钥匙或者戴手套话都不的。
[12:32.580] 这样
[12:34.050] 我在这一样，这是顶配的。
[12:37.740] 感受那边预算多少钱？
[12:41.040] 50 50。
[12:44.750] 50左右顶配都用。
[12:47.370] 两次，对，因为之前想先看到千三，那俩车得40多了，
[12:54.470] 那俩再加点配置就上50了。
[12:57.580] 对吧？我选不会选顶配，我应该会选
[13:01.220] 小圈，所以
[13:02.720] 300的运动，300动感，300栋不管不算豪华，对豪华式领带对。
[13:09.390] 选那个次顶配的。
[13:12.800] 轮毂可选吗？20的是吗？对，轮毂中配跟高配都是这样的，都是20。
[13:19.330] 五还行没什么。
[13:21.020] 到dk那是重点一样。
[13:30.940] 的
[13:32.990] 的。
[13:38.840] 99吗？
[13:41.040] 没看过。
[13:44.480] 这19个圈19 19个
[13:50.630] 有二没有全世界可以自己改的，
[13:55.720] 可以出去买其他轮毂可以。
[13:58.210] 但是SUV这种车型
[14:01.330] 也没有什么意义，
[14:05.140] 这块还挺好的。
[14:07.840] 宝马坐在这块这一点
[14:14.680] USB接口在这，合理
[14:20.360] 有留的撑出来的口吗？没有这么样就行了。
[14:27.320] 这车主要是您开是吧？主要
[14:46.080] 后头有
[14:49.510] 有一个联系的，对。
[14:53.880] 联系现在转一下。
[15:01.780] 对旋钮似的找车。
[15:13.200] 这个配卡办是吧？哈曼哈曼卡顿。
[15:17.880] 在中沛不是。
[15:26.710] 这也是电子显示屏，对两个液晶的仪表。
[15:32.070] 的
[15:38.110] 您这边开了吗？
[15:41.730] 一会儿
[15:46.230] 咱手机找他一下，
[15:50.770] 添加新设备。
[15:59.400] 您看您能不能送给我？
[16:09.550] 您点子什么不信任是吧？不是点的，不允许什么收藏家连上去。
[16:13.840] 要量。
[16:18.310] 加上切找哥哥去。
[16:56.640] 你说这4句。
[16:58.720] 咋样太大了，您忙朋友它是指我跟他们我就准备往死卡住了，谈摄影了。
[17:09.950] 还有这点才来。
[18:15.870] 他们就业医疗
[18:31.760] 得高一点。
[18:32.950] 这块
[18:39.410] 就照了车以后，
[18:40.660] 找到最后的
[20:02.420] 的。
[20:42.280] 这东西有8斤吗？
[20:43.600] 有事吗？
[20:45.360] 的花花吗？
[20:49.680] 用不会换10来绘画是吧？礼拜一可能普遍话你可能有一个缓冲的
[20:55.910] 时间，但是我有这么快速的病，现在绘画
[20:59.060] 会轮胎打滑，还是北跟时间没什么区别。
[21:03.160] 对。
[21:04.020] 可是否则岂不时候还会稍微大一点是吧？
[21:10.960] 三。
[21:18.350] 话
[21:20.730] 谁知
[21:23.560] 还
[21:26.280] 的。
[21:40.260] 一
[21:55.850] 5:30了。
[21:57.320] 远。
[22:05.720] 导演、
[22:09.040] 可以
[22:12.120] 远。
[22:15.440] 叫我妈。
[22:16.860] 首次三个。
[22:21.030] 对，我sm有一半是连续的。
[22:30.120] 上车注意头。
[22:47.870] 我跟您说一下技术操作，咱们这个旋钮刚才您看到踩着刹车以后，是人家往右一瞄，
[22:55.430] 就可以着车或者熄火了。
[23:03.910] 然后这个是调整模式的。
[23:06.780] 手刹电子的话像一松就是松手刹可以拉拉手刹，然后这是自动的吗？
[23:12.630] 就是一个自动驻车有没有？
[23:15.110] 有。
[23:16.590] 自动驻车对不是，就是说如果每次望台了，它是用在一踩油，
[23:23.130] 您可以设置比如说一挂到P打一起火的自动落纱，然后或者说现在着完车以后，你现在不松一踩油它也会自动解开。
[23:32.030] 然后有没有那种身材，然后他自己有all后的就是不用踩刹车了。
[23:37.850] 我知道有没有是像奔驰那种逻辑，它是身材一下，然后凹凸式你踩住刹车，然后你得
[23:45.450] 你用开启状态以后你踩住刹车三秒，
[23:48.580] 然后它就自动开启了，
[23:50.740] 就可以抬起来了。
[23:52.420] 就是说踩住刹车三秒不用安踏不用，您得先按照先按下开启了，看了吧。
[23:59.130] 才行，就是说还是处分的。
[24:04.560] 然后机械的倒档半挂完挡以后，基本上会有党内的这种显示。
[24:19.320] 反光镜您需要调那边，然后用布条去调就行了。
[24:23.740] 行，您做好了出发了。
[24:39.950] 可能车有点多。
[24:41.150] 有点多。
[25:02.700] 的。
[25:05.430] 这车油耗多少？
[25:08.980] 大概8个多90多。
[25:21.260] 还有配什么气氛灯之类的，
[25:23.120] 什么气氛灯几乎可以说没有。
[25:26.870] 它的氛围都要跟奔驰比，可能是她几乎就没有对。
[25:47.640] 比奔驰的给劲。
[25:49.020] 对奔驰加速它没有这么一下的就对没那一下。
[26:00.480] 对面就是边上那条路井盖特别多，一会我重新加一下紧张行好勒，悬挂底盘的这种舒适度好。
[26:09.360] 咱不敢测主动刹车有点危险，对任何品牌对不也测的，
[26:17.670] 您测也没有什么意义，对我之前租车租的辆天籁在国外租车不测了，一下天有
[26:30.100] 2020款
[26:32.230] 天籁，
[26:34.050] 有主动刹车，这些景观比较多，
[26:52.250] 这比较
[27:00.390] 感觉怎么样？
[27:01.370] 可以，因为刷刷B对没水配着多伤感比较稳定，而且下班距离短。
[27:09.120] 本质这不应该一下子下去吗？
[27:11.160] 奔驰。
[27:12.580] 奔驰咣当一下可能等于到底了，对，那
[27:17.710] 一下嘭一下。
[27:19.140] 说300的报10套防爆没有不是是的是最低配给我，是的，当时那辆是
[27:26.830] 试车，
[27:27.620] 你看他给他是绿化不住这个车，别的可能别的牌子梁祝就是什么都不用干，
[27:33.870] 什么都不用，然后跟着这线是吧？一般前都杀前头杀太差，在D盘线清晰的情况下，前面车加速和加速大家的减速减速再减速。
[27:44.010] 确实减了，对刚才车它只是价格巡航，对，
[27:49.360] 这个就是进去就得步行了，8进去就得
[27:52.460] 他必须进也行，但是第表现清晰就可以，低保线清晰他也能进去了。
[27:58.000] 一般线清晰下流，就是
[28:00.490] 寒桥拐弯这种货都可以。
[28:07.130] 他这是自适应雨刷。
[28:15.560] 而且这是全是死去。
[28:18.120] 挺驾驶感觉是不错的，我点事干，我坐副驾能感觉到
[28:24.320] 开起来不错，
[28:41.290] 再买5次到哪里足够了，这是舒适模式，如果你骑车运动的话更响应会更快，
[28:49.190] 感觉不是特别费还行。
[28:52.080] 还可以，因为他变速箱手机还新白，T的变速箱
[28:56.510] 省油。
[29:05.130] 可以
[29:05.970] 听说。
[29:20.690] 路上G下这种基本上够了。
[29:24.320] 你能用几下对用不了就猛然抄一下车队，就是猛超车的时候用那么一枪，
[29:33.360] 350的扭距这车
[29:36.500] 低速还是得看警句，
[29:43.190] 从这还成一会开具好，
[29:46.240] 好像奔驰跟宝马都在370左右。
[29:50.400] 最高峰值我跟您说，您不用看他标的这个东西，
[29:54.220] 他不是说所谓的两个东西最好和到一起就能发挥到最好，因为他的匹配程度
[29:59.990] 对奔驰是真不太行，他就是提速事怎么办？
[30:04.210] 宝马还可以，
[30:07.190] 你下车注意安全，这边开着门给你熄火，待会刷卡。
[30:28.350] 就在车上有纸巾跟水上需要的话可以在两边拿，好处。
[30:33.240] 正好是这个course。
[30:36.050] 城关了。
[30:39.030] 你们一下就行了，对一下停一下。
[30:44.900] 反光镜左反光镜假条吗？需要查一下。
[30:48.670] 这种东西。
[31:07.810] 这是得下载。
[31:16.200] 可能没更新，因为试驾车
[31:18.620] 它的系统可能没更新，
[31:22.490] 暂时吃不了。
[31:23.930] 对。
[31:26.040] 要是回去能吃一下，我主要想看一下这界面，它只能在这写上。
[31:32.040] 中间可以把显示那就是上下全没了是吧？对，但是您卡列宁无非就是把导航拖到这。
[31:38.430] 对导航，然后主要是看到或者切个歌什么的。
[31:44.290] 这样。
[31:45.280] 上下就全是黑的，对。
[31:48.250] 然后有一个就中间硬的卡，对就
[32:13.410] 我们把手机一下系统了。
[32:29.290] 没事您采油他就踩油就走。
[32:41.320] 我觉得盲区有车这个功能特别有用，
[32:45.560] 其实开习惯了车的话都会看的。
[32:50.230] 是
[32:52.630] 不想扭着一下头，
[32:54.410] 我告诉就是反应看不见吗是不是盲区？
[32:58.560] 他
[33:01.420] 有时候盲区不是盲区，现在提示您证明你们车后方有车接进去。
[33:08.610] 对这功能不全。
[33:11.600] 哪个是盲区？盲区就是你
[33:14.340] 你现在比如往后倒车，
[33:17.130] 车尾两方你看不见吗？
[33:19.610] 内那种是吧？它倒车有360是吧？三顶配的有。
[33:26.400] 这个是中。
[33:28.440] 您考虑的是中配，这是顶配。
[33:33.020] 咱们一直走辅路是吧？走辅路就行。
[33:41.990] 因为你正常的话，
[33:44.620] 后面他只有一个倒车影像对吧？它也是垂直的显示，
[33:48.950] 这两边显示不了。
[33:55.530] 够堵的这块。
[33:59.040] 磁环车多也下雨。
[34:09.250] 点一下对岸，然后选魔术。
[34:12.230] 运动方式。
[34:16.910] 这些也就是运动是选好哪个再按一下它就切换过去了。
[34:35.890] 现在就是跟着23033对比是吗？
[34:38.750] 对，因为Q5的话没太想去试了，
[34:43.890] Q5好像它的加速也不太醒，他的空间好像空间还行。
[34:54.090] 这个毕竟可以吗？
[34:57.040] 座子好像不太舒服，
[34:59.080] 他是后排的是不太舒服，但角度不好，钱前排的好像也就是包裹性也不是特别好。
[35:10.250] Aq
[35:11.400] 不太打算吃了，
[35:16.430] 主要考虑就是SUA
[35:29.410] 您现在开的检查Q为什么没有？我开的是
[35:32.850] 小轿车。
[35:34.780] 风本。
[35:42.910] 哪个车更萌呢？
[35:44.190] 亚卓保险对。
[35:58.090] 从前面掉头。
[36:07.930] 这加速是可以的。
[36:09.690] 6.8秒错。
[36:11.240] 很不错。
[36:17.690] 这车的综合性能挺不错的，对。
[36:21.420] 汽车综合性能相比，GRC是
[36:23.880] 强一大截感觉。
[36:26.840] 而且我看gl C减配之后，越野性能就是个鸡肋，
[36:31.310] gl C的260其实什么功能也没有，它就是原来的200，
[36:36.370] 你说现在拿这跟300比的话，300最少也比比他贵出七八万块钱。
[36:41.180] 是。
[36:43.680] 那天也没事300。
[36:45.470] 那是车只有20厘米还是最低配？
[36:49.660] 不过就是品牌效应没有太大，
[36:51.810] 没有特别强，
[36:55.300] 但是我挺喜欢的。
[36:56.910] 北欧的老牌对。
[36:59.130] 现在也算激励。
[37:07.990] 他给油还是延迟了一点点能感觉到。
[37:12.240] 因为你企业的运动感的话，
[37:14.710] 它需要高转速，它的换挡可能他是有时候一下反过来
[37:34.950] 感觉挺好。
[37:37.730] 这个是包括华第5代四驱，就是平时像这种平坦路面，
[37:42.700] 它是偏向于一个前驱车，他就前轮动力95%，后来动力5，这样比较省油，操控也好，
[37:48.780] 我试一下什么巡航什么，然后说您过来这口好。
[37:56.680] 对，然后不走就直走，对好。
[37:59.820] 翻盘中间有小鸟转一下，然后再一下又在那出现疑虑的环境可以送来了。
[38:06.890] 他好像接管了，
[38:09.250] 然后可以根据您的食宿加减调整时速就这样，对。
[38:14.160] 60。
[38:15.430] 光子
[38:17.190] 又开了，
[38:19.190] 没有加或者减，
[38:22.860] 然后前段一病他自己就开始刹车是吧？
[38:27.520] 杀了杀lm。
[38:28.640] 他有时候就突然进来了，对，他不太什么，不是他毕竟是电脑，它需要监测到的话，它才会给您支持。
[38:37.310] 这个啥正常开，它可以给您什么问题，如果车主突然一下并进来反过来，
[38:43.990] 但是一般功能研究室去用对
[38:46.860] 车道识别也可以，对汉语条的。
[38:51.180] 我租过拉腹，
[38:55.530] 咱们前面盖浇头狼风采丰田那款戎放的，
[38:59.800] 我试过那个姿势应还好，就不是特别的。
[39:03.860] 不是这个功能，咱们刚才您是的叫领航辅助，比自适应还要高一级，
[39:10.490] 不自适应是什么？您开启以后您不需要踩油门刹车，他但是您还需要控制方盘，
[39:17.570] 这个是防范这方向盘不用控制，也是方向盘也不用控制，但是识别性好像不是特别好。
[39:26.200] 丰田的也不知道芙蓉对融放
[39:33.370] 低速不可用。
[39:34.870] 好像。
[39:37.180] 对低速不可用。
[39:43.200] 这块限速也能给调出来。
[39:45.100] 对其实
[39:48.880] 您现在开的就是AC没太久没参与和没踩。
[39:54.760] 现在是没有接触了。
[39:56.500] 现在有了。
[39:59.860] 35。
[40:18.980] 挺舒服的是不是？
[40:19.900] 我开着。
[40:25.230] 咱这家用和是
[40:27.550] 30多万，配置比40多要高，对挺舒服。
[40:35.270] 你看这种情况下它减速加速可以减速了。
[40:41.700] 然后一踩刹车的话它自动就接触，
[40:45.160] 然后他前面停它也停，对前车加速咱们也加速，他们车减速伞没有减速明显。
[40:51.710] 咱们车停在没停是吧？
[40:54.280] 对它也停。
[40:55.670] 他跟这车不错。
[40:58.320] 真的是挺不错。
[41:01.560] 挺舒服的。
[41:07.760] 而且叉C60现在路面上保有量越来越大是吧？
[41:12.000] 几乎可以经常看，经常能看见，你经常看见沃尔沃SUV，
[41:16.370] 90有时候看902没有60度，60是最多的了，0岁多，
[41:24.390] 现在奔驰的销量没有原来好了，
[41:27.650] 像60竞争对手主要是沈阳
[41:30.320] +CLC叉3还是bb A的，对。
[41:38.120] 那就是一辆
[41:39.640] 是老的，
[41:43.800] 整个外观我是很喜欢的。
[41:46.670] 北欧的前面TT自行
[41:49.630] 后边战斧都挺，前面是雷神之锤，雷神是谁？对T
[41:55.720] 或者是围巾战斧北京政府。
[42:00.980] 现在这款样子还行，年轻人可以看下原来的
[42:04.820] 可能说原来特别烂，特别面
[42:07.580] 感觉那样。
[42:09.280] 然后宝马叉3的外观我就不喜欢了，不是很喜欢吗？
[42:15.360] 他前面光线好一点的话，能透过
[42:23.230] 能透过俩鼻子能看见两个金属条里边的，
[42:30.850] 咱们是不是可以走边上？
[42:32.610] 这还完全没有。
[42:34.280] 有投行。
[42:35.210] 你现在除了BV的其他品牌还有对比吗？
[42:41.990] 应该
[42:44.380] 没有了，因为我之前没特别想买，或者我只是一直在关注我，
[42:49.440] 但是我没特新车项目后也会去关注像泰迪的凯迪拉克，我倒不想买卡拉克的，
[42:56.010] 还拉不是内饰，
[42:58.470] 我都不敢想美国车
[43:09.940] 坐奔驰那是确实舒服。
[43:12.350] 吴很舒服，但是
[43:14.980] 作为驾驶的话，因为我自己一直在开，所以我倒不在乎我自己做的，
[43:20.940] 或者说我成乘车人是不是特别舒服，因为舒适感不会差太多。
[43:26.920] 不都说是开宝马坐奔驰，对。
[43:30.870] 这样沃尔沃可以整个心人不错，
[43:52.360] 正常来说这个点都不能吃了，
[43:56.610] 5:50也是你快下班了。
[43:59.360] 对，正常说他们一般5点多一点就兽药。
[44:20.990] 是在外边。
[44:21.980] 安静。
[44:22.860] 那样
[44:26.120] 启动的时候也能点吗？
[44:28.080] 可以点。
[44:34.720] 点心车，
[44:40.790] 正好可以把这开开。
[44:44.790] 但是这种电子的东西你不能完全信任，对。
[44:48.460] 确实不敢完善，收到还是
[44:52.320] 将您的设备听见。
[44:55.180] 跟刚才站停电了一样找他了吗？
[44:58.360] 还是这样吗？
[45:01.140] 你现在能搜着的就这两句应该搜不到那聊了。
[45:04.140] 但是我现在没有新的。
[45:06.270] 没有新应该是。
[45:28.210] 然后这个是可以的。
[45:31.690] 的。
[45:32.430] 你已经很累，这个还是控制不了，对是。
[45:41.140] 都快了，他们上班妈妈谁知的的
[46:09.960] SKIMIC
[46:16.590] 用的是后面的
[46:24.220] SS
[46:29.880] 的
[46:31.240] 五
[46:36.960] 远。
[46:39.380] 月
[46:41.770] 的。
[46:45.880] 的
[46:51.390] 孩子。
[46:57.240] 这块不再
[47:00.030] 上。
[47:07.140] 这不是顶配。
[47:09.420] 这就是他们说那个是保华。
[47:13.390] 爆发是啥？
[47:15.800] 谁知这是
[47:21.790] 的。
[47:27.750] 的
[47:33.240] 原来的远远
[47:38.470] 也
[47:44.630] 坏。
[47:45.730] 没什么感觉。
[47:49.190] 为
[47:54.290] 的
[47:55.620] 的
[48:00.360] 的
[48:06.200] 看
[48:10.270] 谁知看不起，
[48:17.080] 确实看不清，谁知
[48:19.680] 在线还能接侧边是吧？
[48:22.830] 是这么玩的，它合成了一个车是虚拟的。
[48:32.530] 然后带DDD是吧？对。
[48:35.530] 听一下。
[48:39.740] 明天打仗了道理了。
[48:46.150] 没开是吧？
[48:47.860] 刚才您接到搁在那儿了。
[48:52.480] 不是，我看波哥他应该也只有这声音，是
[48:58.010] 他应该也
[48:59.250] 有都在没
[49:01.450] 自动把声音减低了减弱了。
[49:05.470] 逻辑是对的。
[49:06.770] 还可以缩放。
[49:07.990] 多家。
[49:11.330] 行
[49:12.650] 可以。
[49:16.200] 然后带什么自动泊车来买的，顶配的有。
[49:21.070] 空调是这么条对。
[49:23.360] 然后
