[00:16.270] 张你好。
[00:17.300] 来自我介绍一下本店的销售顾问马朝栋叫小马就行，王刚谢谢您，怎么称呼您？我姓韩，韩先生。
[00:24.210] 今天主要了解什么车型，就这个什么
[00:27.250] plc300这300的哪款？
[00:31.660] 标配的动感，行对，是想感受一下这车是加一下，还是想介绍产品？
[00:39.650] 都了解，想算算价格一下算一下价格，咱们找一工我给你好好算一下。
[00:45.850] 那能吗？咱里边的工位。
[00:49.680] 喝点什么，您咱这咖啡茶端水饮料都有，
[00:53.080] 喝茶拿瓶，瓶装水可以凉的常温的关系。
[01:03.640] 常规。
[01:15.600] 没事咱们有图册。
[01:18.290] 假如C
[01:19.440] 我知道的特别少。
[01:21.520] 是吗？对他好。
[01:23.760] 好长时间都不来一次。
[01:25.870] 因为我上午打电话说咱们这有没人开车，
[01:30.910] 叫红宝石黑。
[01:33.500] 红宝石黑对吧？我给你看一下。
[01:36.700] 红宝石黑我记得好像刚才谁订了一台。
[01:44.740] 这种。
[01:47.400] 你我看一下，因为我上午打电话是我上午交订单的时候，好像边上有人也交一个订单，我看了一下好像是红包是黑的。
[01:57.990] 0
[01:59.480] 谁知。
[02:02.530] 因为上午是一个女士接的电话没有了。
[02:06.860] 红包是
[02:08.230] 没有了那都没关系，红宝石黑有。
[02:13.740] 有
[02:14.910] 计划的车，
[02:16.420] 大概多长时间能够
[02:19.200] 我现在看到离咱们最近的一台，
[02:22.300] 今天是7月11号8月1号生产一台红宝石黑，
[02:28.320] 正常来讲的话，这台8月1号的红宝石还应该会在8月的
[02:34.020] 二十几号到
[02:36.620] 没关系。
[02:39.550] 可是他这个不是现车的话，
[02:42.120] 价格就没有那么
[02:44.680] 那么强有力，就是力度不会不像现车是的，因为现车它能解决我们马上这个车一个库存的周转，意思不管是找经理申请也好，包括现行的
[02:56.420] 优惠政策也好，它都是有利的。
[02:59.220] 如果是期货的话就正好相反，因为它是我们未来才会有一个资源，
[03:05.130] 现在他不会占我们的库存，
[03:09.240] 红宝石黑队
[03:12.760] 调配的。
[03:13.910] 我知道300动感吗？指导价是449,800那款，
[03:22.160] 其他颜色一概不考虑。
[03:24.560] 再不考虑。
[03:26.130] 内饰是棕色的，稍等我看一下。
[03:31.250] 那应该是棕色。
[03:36.270] 从别的店里面调上也调不过来吗？
[03:40.250] 资源各家店各自为营，
[03:44.950] 因为我记得我当时买丰田的时候他就可以
[03:50.240] 如果您可能是赶上什么？
[03:53.060] 他是在北京是集团性质的存在，
[03:56.390] 同一家集团可能不是同一家店，
[03:59.480] 因为他们销售的可能是自己
[04:03.530] 联系的还是怎么回事是吗？因为当时我
[04:07.820] 我在尽管企业空闲的时候，我去平安
[04:14.490] 您的理想提车时间是什么时候？
[04:17.560] 兼？
[04:19.730] 我给你问问。
[04:27.500] 现在优惠大概得多少钱？
[04:37.720] 我看一下。
[04:38.760] 因为
[04:40.440] 的。
[05:00.870] 目前的价格政策。
[05:08.700] 是45,000。
[05:10.230] 45,000。
[05:16.890] 但是比如说您定的红宝石黑8月8月1号生产拟定资源是不定价格的，因为它离咱们最终成交这个时间
[05:29.320] 还有大概得有一个多月，对，所以说这个期间的话有可能这个价格会有一些
[05:35.460] 这个对有上浮或者下调。
[05:38.880] 以什么样的价格为标准，是以车辆
[05:43.270] 进入在途状态的时候，因为他现在是计划状态，
[05:47.980] 下一个状态变化的话就会变成载图，也就是说发运状态，
[05:54.290] 我们给您报这个车最终优惠的价格的话是车发运
[05:59.540] 状态的时候，我们会给您打电话说我们现在这车已经变成在读状态了，
[06:06.120] 现在这个车的话可能是现在咱们了解这个价格也有可能是47,000，
[06:14.680] 也有可能是43,000。
[06:16.390] 对，我们会告诉您现在是一个什么样的价格，这个的话是咱们最终的成交价，如果您同意
[06:22.650] 咱们这个单子的话就转为定金，因为你现在定是属于意向金，现在意向金。
[06:29.490] 如果说您觉得OK没问题，咱们就把您这个钱转为订金了，
[06:34.250] 然后价格的话也就随之定下来了，对如果说那个时候您觉得
[06:39.240] 价格跟您想象的有差距，比如说现在给您报了这车45,000，
[06:43.390] 到时候这车是优惠43,000，你说那不行。
[06:45.920] 我当时你这个车是优惠45,000，你就得按45,000给我，我们这儿的话确实也给不了您4万，我只能给您43,000。
[06:53.450] 您如果说不同意的话，意向金还可以退给您。
[06:56.990] 对，我没问题。
[06:58.790] 因为这个梨您提车时间还是有一定距离，所以说现在的价格没法就直接按这个价给你签一个什么颜色。
[07:05.320] 现车是吗？
[07:21.560] 现在有黑的。
[07:25.040] 稍等我看一下。
[07:27.160] 行。
[07:33.460] 200豪华的
[07:37.480] 现在现车只有两个颜色，
[07:39.960] 一个是白色，一个是深灰色
[07:43.480] 的。
[07:45.820] 懂的也不。
[07:48.380] 现车就只有这么两台，
[07:50.440] 假如C300的动感，从上个月的中旬到这个月，
[07:56.480] 卖的比其他的配置都快，
[07:59.710] 对。
[08:00.530] 他别看他比260贵，但是他卖的比260多。
[08:05.360] 对。
[08:06.310] 也就是说大家现在在选择车辆配置的时候，
[08:09.520] 不是只看价格，他还看一些横向的对比，哪个才是更适合自己的更好的，你像保养情况不送吗？
