[00:00.000] 原来我被你骗了这大夫了。
[00:02.780] 哪个带？
[00:03.840] 不减。
[00:04.560] 不想为什么骗了，有什么用，这不给你2500块钱，
[00:09.430] 我交了2500块钱，您交了1500，谁说的怎么可能交2500，不可能。
[00:15.640] 成交了1500 2500。
[00:18.480] 条款上都写着1500。
[00:21.010] 谁收那2500先带您找谁去。
[00:24.290] 真的，您要说您交2500，就现在找让告诉他告诉他们领导说多收您1000块钱，
[00:29.840] 交了2000 1498交了，
[00:33.870] 反正能返您两回2500。
[00:36.520] 怎么说骗您呢？
[00:39.110] 对不对？
[00:40.650] 您出一次险您保费涨不涨？
[00:43.210] 还涨保费相当于2500，现在有1000块钱是这次相当于把您出险给您飞回来了，车也修好了，
[00:50.230] 还有一次机会还能再赔你2500还不用掏钱，
[00:53.410] 我哪那么好赚？
[00:54.840] 咱就这意思，这不可能说骗您的保险您好，不可能说好多车主想着。
[00:59.700] 我想来想去我这封信干吗了？没办法，就是人保险是什么？保险佣金保险修车了，
[01:08.070] 您长的保费用代步车前给您飞回来了，
[01:11.210] 对不对？车也修好了，也没找您明年保费相当背回来了。
[01:15.520] 对，肯定不可能交2500，交了1498吗？这都有数的，你要说他收了2000，我现在立马带您去找去。
[01:22.430] 我妈哈哈一1400就是您放心，不可能骗您，
[01:27.020] 不可能有那么少数特异，昨天跑两两位车主找我来商量保险来说，
[01:31.470] 说隔15天再让收车，
[01:33.530] 什么？对，我后背的保费不会涨，这个涨您出花的钱肯定是要涨保费的，但是您保这个险的话，他不赔你2500，
[01:44.210] 其中有一个1498把之前您交那个钱顶了，
[01:48.270] 又多出了1000块钱，相当于给您把保险上浮的给您背了，
[01:52.660] 就这意思被你们转不过来了，当时我就给我传过来，想来想清楚不知道为什么，当然你们您觉得不合适吗？这肯定合适，非得什么我说三个字那交就交了，但是我真想不明白在上海。
[02:05.330] 您哪小朋友我帮您。
[02:06.480] 解释一下，别让您心里老有疙瘩。
[02:08.510] 我根本就不想，我想不明白事我都不想，肯定是合适的，肯定对于您来说是合适的。
[02:15.850] 肯定是好事，我想不可能说我们推出一个对您不合适了，所有人还不都看过车又找我们来了，不是给自己惹麻烦吗？不。
[02:23.230] 没关系。
[02:25.550] 您放心，这肯定是合适的带出去。
[02:28.480] 不可能收你2500，这时候肯定不会收钱，销售部。
[02:31.790] 1498，
[02:33.180] 这是准的。
[02:34.640] 都还差两块钱，1500不能到2500了都，呵呵。
[02:40.570] 这两天我突然想了，
[02:43.040] 对5000块不减，能花几个钱，我妈我交2000多块钱去那什么，我1000 1500 1500 1500 1500相当于能今天假如说不小心被别人蹭了也能走钱，照样还能反映2500，这管多长时间？
[02:58.630] 一年，行好好比说您上一个礼拜咱投保的到您明年上个礼拜才结束，行。
[03:04.660] 我知道。
[03:05.460] 您放心，不可能说咱们给您弄一个这不合规的，这不。
[03:09.150] 干这事儿咱也
[03:10.270] 想也不知道干嘛，当时就告诉我的事，我想不明白是干嘛用，
[03:16.470] 这就是为了您出险又想修车的情况下，出险不是涨保费吗？这能把您上涨的保费能给您备付一付过来，基本上您第二次假如说在理赔的话，还有一个直接的余额就是意思
[03:29.280] 就是这意思，咱您开车咱们没事了，我没事我教给你，没事了咱们不帮忙
[03:36.520] 的。
[03:39.760] 坏数据
[03:45.980] 数据
[03:52.250] 花
[03:57.530] OK
[05:01.790] 坏
[05:02.570] 了。
[05:07.060] 往往
[05:29.480] 100
[05:31.250] 6。
[05:44.110] 6次还录着。
