[00:06.470] 下楼天能结果吗？
[00:11.490] 你好。
[00:12.830] 张先生是吗？
[00:14.010] 来张你好，销售顾问高洁，这我名片接下来我给您服务。
[00:17.710] 行行，然后过来看看车是吧？
[00:20.350] 对，展厅里有心仪的车吗什么的。
[00:22.900] 这是774,900的指导价。
[00:25.640] 多。
[00:26.800] 7万多。
[00:28.620] 有多少优惠？穿5000能优惠的是146,000。
[00:33.310] 一共卖多少钱？
[00:34.820] 比如画完了大概在
[00:36.800] 63万多，因为7万多。
[00:40.950] 咱们是北京的牌子是吗张先生？
[00:42.960] 有置换吗？
[00:44.570] 我们就把这个车置换是吧？车主要给谁画的？
[00:48.590] 需要不说话不一样，没有给您做一个需求分析。
[00:52.570] 你给谁开主要是你看看现在
[00:59.440] 谁知
[01:02.370] 地方。
[01:24.040] 座位能放吗？
[01:25.240] 可以放到。
[01:26.400] 第二排第三方都可以放到了，抱紧点多少下来？
[01:29.810] 40多万全下来了，中间是不是能留下人走的？
[01:34.000] 中间那也不行，他就是放倒放倒是她走不了路，上车的上车放在这
[01:40.030] 上面。
[01:43.850] 不上。
[01:44.680] 给你打开这样上去，对打开门后边。
[01:47.060] 上来。
[01:51.680] 你来的时候做过了，
[01:55.490] 车还是不错，这是咱们沃尔沃在售中问题对不好？不调了。
[02:02.300] 我不想在后边
[02:04.040] 能把钱差评，然后但是那个部分66,000
[02:09.340] 等于三分之
[02:10.720] 三个，
[02:12.390] 而且不再走了。
[02:17.020] 这个可以往前移一点。
[02:19.840] 马下一点，后边空间稍微大点。
[03:22.680] 可以打开，前面部分可以打开。
[03:25.910] 男孩。
[03:28.230] 赵可说不。
[03:38.010] 在贴膜的客户名称叫刘志刚。
[03:41.620] 是照片那个吗？对，用照片贷款说是要拿身份证就行了。
[04:09.300] 是打开玻璃什么去？
[04:10.840] 不是。
[04:12.460] 这就行了。
[04:34.210] 我需要挂上我现在
[04:36.640] 等一下看一下。
[04:38.470] 这个天穿的好看一下。
[04:40.380] 有个衡量大概真不能看。
[05:37.640] 还有什么想了解的这样？
[05:39.470] 攻击性怎么做？相当有两年首付40%，
[05:43.970] 首付百分，手术量60%带40%，怎么这么高？对免漆的。
[05:49.400] 一般都30%的可以吗？
[05:51.360] 百%有，但有利息，咱们家避免的还对哪些？
[05:54.880] 行。
[05:55.960] 点心有手续费吗？有钥匙吗？
[05:58.340] 贷款额的4个点8000块钱左右。
[06:00.820] 那不相当于没钱了，我定的8月前，
[06:04.480] 因为
[06:06.510] 像
[06:08.390] 如果说是30%的话，利息的话大概4在4.95点
[06:13.280] 的。
[06:16.020] 像基本上现在这种有些贷款
[06:24.310] 只有你
[06:35.150] 可以。
[06:36.400] 行行，如果您需要可以打电话，
[06:39.040] 然后0点之后，咱们这边24小时给您打一次打电话。
[06:43.210] 找人管辖了
[06:49.330] 工作文档。
[06:54.400] 扫完之后输入您车牌号就行先生。
[06:56.520] 好的。
[07:10.300] 可以了是吧？可以了，好了，下面走。
