[00:03.560] 吴女士说一下您的联系方式。
[00:06.630] 137818521796179613718521796。
[00:15.150] 好，证件您都收好了。
[00:18.430] 我给你打电话。
[00:23.170] 您这怎么办？
[00:25.520] 来，我给您看一眼车，然后看看您彻底还有什么贵重物品需要拿的收入。
[00:29.950] 看看。
[01:07.160] 这次走保险撞的是
[01:11.720] 这门还挺深，
[01:14.680] 除了钥匙我用一下。
[01:22.310] 这门估计这换新的了，真的吗？
[01:25.710] 这怎么还这么多，这应该都是点风，要不然旁边什么开车门车应该使劲绷的，像这种
[01:32.450] 这种
[01:33.840] 不然也不会
[01:35.130] 一样的。
[01:36.510] 您再看看有没有什么贵重的。
[01:38.500] 证件、夹钥匙、门禁卡之类的。
[02:20.880] 我拍照片。
[02:22.000] 后面
[02:25.810] 啥都放后边。
[02:32.630] 其他地方
[02:33.520] 都开了。
[02:37.790] 那块不是有点
[02:39.080] 吗？
[02:40.470] 一棵都没有了，然后
[02:43.280] 了
[02:51.070] 后面这些图片全都翻新了，
[02:53.510] 咱都了。
[03:07.880] 受不了。
[03:11.800] 为
[03:17.410] 咱们是5:30。
[03:22.550] 是
[03:23.910] 自费维修那个车是8点。
[03:26.560] 行行没问题。
[03:49.130] 完了
[04:01.020] 观点。
[04:12.450] 好，咱进屋我给您开个取车单就完事了。
[06:27.280] 了您签个字。
[06:51.910] 数据
[06:54.270] 的
[07:00.960] 坏
[07:02.760] 的
[07:05.270] 数据
[07:06.020] 场
[07:09.030] 为
[07:12.890] 的
[07:18.120] 坏。
[07:50.510] 这是取车单，然后这儿我名片上有我电话，咱们
[07:54.370] 面联系，现在公里数刚才是13,831，
[07:58.370] 回头好了我给你打电话预估，加上保险公司和所跟我订货，修车应该可能一星期相对
[08:04.200] 好勒，回头好了通知你了。
[08:11.040] 应该差不多没问题，除非是说北京没货，外地定货可能时间长，乙方应该问题不大。
[08:23.520] 快跑，对完事了就
[08:26.280] 打电话给我。
[08:34.620] 你慢点。
[09:03.190] 电话。
[09:03.960] 各位也送过去，
[09:06.510] 昨天在。
