[00:02.040] 不忙过来。
[00:04.870] 您好，感谢致电揽地方，您好，吴女士，北京百得利奔驰4S店的，您是有关注奔驰的GLC的网站是吧？
[00:13.500] 完成。
[00:14.520] 它是GSC的260还是300系列？
[00:20.240] 260是吗？
[00:23.360] 您好。
[00:25.370] 然后咱们这边的话大概购车时间安排在几月份？
[00:36.280] 260，咱们家这边有两款，一个动感一个豪华店里都有现车，有试驾车，您是北京指标购车对吗？
[00:45.490] 比较中意哪一款？
[00:47.920] 现在有确定好吗？
[01:01.300] 一个配置低，对配置低，然后一个高，而且功率是不一样的女士，您要是有空可以来咱们展厅，我给您预约试乘试驾，先体验一下咱们配置参数的话，到展厅可以对比着车给您做讲解更直观一点。
[01:25.280] 加长的话除了轴距增长了，它的内饰包括外干都有改动，进气格珊尾灯都有变动。
[01:31.810] 所以说新车这块还是比较建议您先看看现车，因为260 300的差距也挺大的，包括动感的豪华的配置也有差异，
[01:40.030] 主要是看看您就大概的购车预算，包括对车辆有什么要求，是驾驶方面还是说舒适度方面有所提升，我们都可以给您做推行推荐车型的。
[01:49.180] 然后您这边购车时间确定了吗？
[01:51.620] 大概想几月份买车？
[02:00.260] 旧车置换。
[02:09.110] 行。
[02:15.810] 可以，您主要是看您时间，您随时过来就行，我这边可以帮您做预约登记，咱们也是西区
[02:33.810] 裸车吗？
[02:35.940] 裸车现在394,800知道保价。
[02:41.640] 像这个得看您具体到电台，您北京指标什么都不做，基础情况下就是48,000左右的现金优惠，48,000起谈45,000~4万。
[02:50.160] 因为这个价格就是只我只能按照今天的收盘价格来给您
[02:54.290] 大概了解一下。
[02:56.240] 不是一天一样，大概是一礼拜一样，因为我们每周五是更新价格的日子，
[03:00.640] 然后主要是看您什么时候来，因为我们这边是库存都时时在更新的，有可能这个车它随时都没有车了。
[03:07.360] 如果店里只有一台或者两台这种库存比较紧张的情况下，价格会有往上调的可能。
[03:12.440] 所以您最好是趁着车多的时候买车，这个是性价比更高的。
[03:20.010] 对，现在的车就比较多，因为这个车刚调完价格刚降下来的之前只是4万，
[03:24.740] 38,000涨到4万，现在是4万多。
[03:27.930] 但是现在这个车销量不是起来了，可能下个月可能又转回降下去，因为它现在我们都是有价格把控的，如果你这个车持续卖得这么好，就一直在北京
[03:39.200] 处于最低价格的话，厂家就会点我们就不会让我卖得这么快了，
[03:45.050] 你的价格不能低于平均价格的。
[04:01.010] 这个不一定女士，因为这主要看您分期全款是否置换有置换补贴置换还有国三的置换礼包，
[04:07.890] 它分综合优惠跟现金优惠，而我这边只是负责给您报现金这块的价格基础优惠，综合优惠的话是需要您本人到店谈的，因为有的客户他希望我所有的价格都改成现今会保养，售后的保养保险我都不一样，
[04:20.650] 包括你送的油卡我什么都不要，这个是每个客户的需求不太一样，然后也有的客户说我多想要一点，比如说保养点钱，你多送我点，送个1AB2A2B的，
[04:29.710] 然后保险这块我也不想自己全部承担，能不能送我几千，这个是需要您跟销售顾问就是专门卖车的，他们去给您申请的，因为我们这边是没有权限去给您做主，说能给您划分的，划分多少名字，划分多少金额，我们做不到，但是我跟您说的这几项咱们店里都有活动，
[04:46.920] 都可以参加，主要是看您是平分秋色，每个都站点，还是说我就单独就站一秒或者单独就这两面，其他的我不一样，
[04:53.800] 因为每个客户需求不一样，所以我们的涵盖面很多。
[04:57.050] 您放心，刘合度非常的高，
[05:08.280] 1000块钱。
[05:09.780] 1000块钱。
[05:13.120] 对
[05:14.100] 对。
[05:37.760] 对您联系我就行，然后我一会您要方便，我就加您个微信给您发个定位过去您来之前提前告诉我就行，我帮您预约展厅专业点的销售主管，因为直接约主管的话，他给您报价更合适一点。
[05:53.050] 行
[06:27.080] 没问题
[06:29.960] 您好，我这边是北京百行没问题，那可以没问题。
[06:39.120] 那车还在考虑。
[06:41.500] 行没问题，加您微信了，您一会注意通过，然后来之前提前告诉我一声就行，好吧？
[06:47.350] 行好勒。
[06:50.060] 好勒拜拜。
[06:54.400] 这大姐说话就跟
[06:56.150] 关注慢速1.5倍，大阳阳。
[06:59.500] 就是那种大众心理的
[07:01.960] 就放慢倍速1.5放慢。
[07:06.680] 行行没错的话，如果我现在也不是很着急，
[07:12.780] 我考虑一下，
[07:17.080] 妈天不买。
