[00:00.240] 这边你还用定损单吗？不用了。
[00:04.120] 手机上应该收到，对应该都有，没事，那坐在稍坐一会，你
[00:10.330] 等他一会过来，我把这车接完之后把车一洗，
[00:13.720] 一开走就完事了，对没事客气了。
[00:16.700] 正做笔录。
[00:20.710] 争做笔录那小雨点儿好。
[00:23.220] 歇会儿。
[00:27.240] 刑期面都完事了，
[00:29.260] 电控的也都没问题了，还有一个轮胎了。
[00:34.900] 右后扎钉到时候出去补一下。
[00:37.760] 补一下，因为咱再见也没有补胎这东西没有吗？
[00:40.850] 在店之后换。
[00:42.230] 只能换胎，没法补胎。
[00:45.480] 在外边到时候再检查一下，其他的就都没什么事了。
[00:51.510] 挺好的，再有什么问题的话随时给我打电话，一会我把车开过去。
[00:55.830] 之后。
[00:56.500] 外观喜欢说我让他把里边给你擦一下，把里边拿，因为咱们这边不像外边那种美容店没有那么多，没有那么全的只能帮你吸尘，
[01:05.180] 他不帮你去把擦一下就OK了。
[01:07.750] 可以了。
[01:11.280] 稍坐一会儿。
[01:13.490] 一边凉快，昨天是外边凉快里边门。
[01:18.290] 今天是外边太热，就昨天凉快。
[01:22.990] 谁知。
[01:25.240] 争取这辆车到时候给他搞定了，完事了就
[01:27.960] 完了。
[01:32.360] 玩上了一个代步车检，刚才
[01:34.890] 上代步车检我们把后杠那块7先甩出来。
[01:38.650] 等15天生效之后再把保险一走。
[01:41.690] 不相当于成本跟都回来了吗？还有一次能赔2500的机会。
[01:47.010] 对。
[01:48.880] 对正弄着完了把这辆车的一个事故经过
[01:54.010] 股权一下就OK了。
[01:58.430] 稍坐一下。
[01:59.760] 喝什么水吗？我帮你拿车的。
[02:02.920] 这款水行，
[02:44.570] 这两辆车都没少里程数，
[02:47.450] 为什么？我看着2350 27万了都跑了，玩发动机都也报警了。
[02:54.470] 发动机灯亮很多，7月27号就17号，今天28号了。
[03:10.650] 我给苏铁打一电话，问问他那车是不是就两块去跟他确认一下是吧？
[03:16.200] 最起码也定了这车了。
[03:30.510] 这单子我就留着了吗？苏铁刚才你照了一个S350。
[03:34.330] 右后门跟。
[03:35.530] 五味子把两块分切就拿来李静他们。
[03:38.970] 我就直接开工了。
[03:41.490] 行。
[03:42.560] 好了，多谢今天。
[03:45.880] 周四今天这周二周四周五。
[03:51.820] 这块行。
[03:53.120] 我天哪。
[03:54.250] 证件发给我。
[03:59.990] 你这么着急天。
[04:04.350] 我一会跟上周跟东哥说一声，让他稍微抓紧点，周不要车吗？
[04:13.470] 我看看撒这行不行了？
[04:17.100] 这些行为
[04:22.000] 也能找着走完，然后
[04:24.790] 王女士是吧？对玩玩。
[04:35.280] 来300。
[04:43.680] 一
[05:12.670] 我就留186的电话是吧？
[05:15.160] 1861150，
[05:17.230] 5929。
