[00:04.590] 郭先生您说一下您的联系方式。
[00:07.520] 1591159102820282319。
[00:12.480] 319。
[00:15.270] 02. 
[00:16.640] 郑姐您收好。
[00:19.860] 车里还有什么贵重物品需要拿的吗？
[00:21.660] 骂我可以拿
[00:22.170] 钱包东西。
[00:22.900] 行，我跟您一块去一趟，这么公里数根由，您拿点东西，然后一会咱回来签个字就完了。
[00:28.610] 了。
[00:36.110] 6大概多少钱？我先大致看一眼车，
[00:42.440] 一个C你要说一前锋档就得四五千块钱。
[00:47.360] 不会的。
[00:49.920] 玻璃应该3000多，再加上玻璃胶跟摩擦多少，摸不管亏，
[00:55.090] 我自己整一个。
[00:57.030] 也得两分钟得看您整什么牌子，你要跟4S店整，咱现在都是威固的或者是那什么的，
[01:03.920] 亮所在的标准可能就是这主场。
[01:06.780] 您这是跟咱这来吗？
[01:08.480] 不是吧？
[01:09.590] 因为是像这种玻璃膜市场价多少钱的都有，知道吗？
[01:15.200] 比方说像咱这块微故事比较好的，大概接4000块钱左右，就这一点跟您玻璃价格差不多了。
[01:25.980] 现在不知道这个能抛掉吗？
[01:28.070] 我一会给您试一下，这问题不是特别大，因为我看就是说这都有
[01:33.790] 当时他外边是一层黑皮，然后我拿湿纸巾擦了一下，最后就显示淡蓝色。
[01:38.410] 听到这我给您泡一下，咱们说
[01:40.870] 右后叶子板右后门。
[01:42.270] 对，然后这块。
[01:43.720] 这是需要换一下，还是说这是话了，这得换是吧？对没法修，这个是属于啥位置，这是门的BB柱饰板是吧？
[01:55.090] 然后那种马手指也有些
[01:57.720] 把手比较喷漆的话，一块反光镜一套，对。
[02:02.850] 这也冲那边应该我看了应该都没啥事。
[02:05.960] 然后
[02:07.740] 皮子也伤了，然后A柱这得跟个7。
[02:11.040] 玻璃哪有劣势吗？
[02:13.880] 整个人是不是躺上去了，我不知道，因为你看他都贴到这吗？我不知道他结婚人坑到玻璃上，
[02:20.290] 是吧？
[02:21.560] 行吧，您找一下，您看看要什么找点东西。
[02:25.880] 这大概得订多少？
[02:28.370] 如果说喷漆玻璃都喷气泡不下去，我估计怎么着也2万块钱左右。
[02:39.950] 2万。
[02:40.820] 大概一两万块钱左右。
[02:44.070] 对没事，他保险是按照咱次数涨保费跟金额没关系，就是您订了多少钱？
[02:49.050] 他保费就上涨，浮动都一样。
[02:53.630] 得去告诉别人。
[02:55.230] 您
[02:56.320] 您这个关键我没事，比方说我正是修车都有货的情况下，我大概应该有个四五天就够。
[03:03.290] 但是不知道有没有活动，对，因为关键我得让库房给我报出来，然后其次您这个车我得让
[03:10.080] 房屋公司就这损伤，他定损通过了，同意我修车了，我才能给您
[03:15.510] 开始有我的情况了。
[03:17.650] 应该问题不大，因为您有人伤肯定交警开过单子之类的。
[03:22.400] 所以一般应该问题不大。
[03:25.130] 所以说您这边我先抛一下，看看能不能抄一下。
[03:29.280] 比如我肯定如果母亲卖二手车，这个东西算不算A柱损伤了？
[03:34.930] 也算。
[03:36.660] 不算事故。
[03:38.000] 不算什么事务，因为您也没换，行，把您修一下这个就行。
[03:41.870] 您要说A柱这块换了，哪怕切了一段，
[03:45.470] 你就算小事故车，
[03:47.610] 因为这种A度一直到后叶子板，这是车身结构配件，A祝福应该挺硬的吗？对。
[03:53.500] 达成这样肯定D还是大。
[03:57.140] 专一注射笔这都跌得多了，但是人爬起来之后没有任何撞上了，还有多少
[04:02.600] 没有说是到记错的人没有这么着，不为什么。
[04:06.320] 自行车之类的不会自行车是吧？是不是？那自行车碰了，
[04:11.350] 我就把你吃掉，我早就看公里数跟
[04:27.560] 出来，让我手里都散了特别快，就跟我那个灯跳没有关系是吧？现在不是已经桌右侧转向灯已经报警了，你也打都
[04:36.540] 跳得特别快。
[04:38.140] 左边就没事。
[04:44.100] 应该换完就没事了。
[04:48.830] 7792有大概7是3/4。
[04:55.560] 行，你要没有要拿着咱就进去，我给您办个手续。
[05:11.210] 这样就没有或张说
[05:13.560] 如果没有货，北京有货也快，
[05:16.250] 一般也就一两天也就到货了，订货你要说如果外地有可能时间长点，这三四天最少6小时好不好？要也休息，您这车一般不至于说北京没货，因为您这个
[05:27.920] 反正是比较多，一般不至于，而且您商人外观
[05:32.010] 你要说是内部件，比如
[05:34.440] 基本不常换的可能指标强势，
[05:37.510] 一般外观配件都有货。
[05:42.790] 先初步预计加上修车跟保险定损核损之类的，大概齐一星期。
[05:48.680] 总算
[05:51.980] 的
[06:00.730] 一
[06:01.440] 好。
[06:54.250] 场
[07:07.000] 稍微等一会儿。
[07:30.600] 稍等我给您开快点。
[07:35.870] 把
[07:37.870] 一下。
[07:49.030] 号
[08:05.480] 数据
[08:28.510] 4
[08:42.840] 多。
[11:37.530] 这是一个曲子，这是有我的电话跟姓名。
[11:41.000] 有问题咱们俩电话沟通就行了，不行。
[11:43.890] 行，回头您换钥匙直接放的。
[11:48.070] 的，对您就放桌上就行。
[11:53.060] 然后我问一下刚才说因为这个车牌是多少的，再聊走一下，然后我传一下我嫂子身份证复印件之类的。
[12:02.100] 这原因网店拍照。
[12:04.050] 还有
[12:04.730] 他是被保险人是吧？
[12:07.750] 您得给当时那保险部那边他没加你微信之类的。
[12:12.080] 我就后边定损他那边。
[12:15.630] 没有吗？
[12:16.620] 我刚才说他们30多年来了，他就谈到过去了就对，应该到后边那一女士您没加他的微信，就是一个叫李连，他不是给这张单子，因为
[12:25.990] 一直右拐了，因为女士付出是喃事给我办完了，那女的后期来了也没有还，我就放别的单位去了，
[12:32.510] 让我家门口发展，然后就包括指引那哥们，他说手机还有车房就看车。
[12:38.250] 他了等于说现在没有任何人加您微信，对您要不您加我微信，然后回头您发给我，我转给保险公司也行行。
[12:48.310] 然后后期你我想知道最后车顶什么哪个位置都以什么样的形式来换，我找别人您您问我就行。
[12:57.170] 等他办公司核损通过了，我这边可以开始修车了，我也会跟您说一声。
[13:05.400] 我扫您吧。
[13:25.540] 二。
[13:26.760] 行，您回头您发给我就行，行驶驾驶本他那边都照了是吧？收到了没问题，行，你要把对保险身份证你先发我就行行了，然后回头取车的时候再带他原件来。
[13:39.030] 我到了。
[13:41.430] 如果这车老您开，
[13:43.230] 明年上保险时候把被保险人改成您，
[13:46.120] 就不再用他的私人
[13:48.680] 第一也是改变，第一年改不了的，
[13:52.230] 第一年是谁的号就得用，
[14:05.420] 发过去了。
[14:06.380] 好勒行完事了。
[14:11.490] 还有别的车是吧？
[14:15.040] 您得到前台那儿二维码，你直接找前台要了。
[14:18.980] 这个超市已经定了吗？没我还没给他配单号，跟那损伤还没给他发，他没定，他只是把前期的手续给办了，他定完可能可以通知我。
[14:28.770] 我通知你就他那边核算通过了，我这边可以修车了，修车之前我会跟您说一下。
[14:34.630] 大概得多久？
[14:36.120] 我大概计算我修车跟他核定损贵的一星期左右，我刚修车这四五天，他那边没两天我也没戏。
