[00:02.180] 高腰9吗？
[00:03.600] 高腰胶。
[00:11.470] 对，go19是吧？好勒。
[00:14.240] 您车牌号说一下是京P争气。
[00:19.720] 3219行您稍作，这是办什么业务呢？
[00:24.750] 婚庆赵回事行，没别的事别的事好。
[00:34.340] 跟您约的时候应该是有过了这块。
[00:38.280] 对，就能搁着换了是吧？好，因为配改进需要一定时间。
[00:44.630] 估计得
[00:46.800] 好。
[00:48.140] 1~2天差不多。
[00:51.960] 要
[00:56.280] 郝志松先生电话尾号269119797，对身份证尾号是4211吗？
[01:10.730] 没关系，有点小剐蹭。
[01:15.000] 刚做的保养，
[01:18.480] 远
[01:24.090] 句。
[01:36.950] 跑了96,000。
[01:41.650] 您说检查轮胎老化。
[01:44.900] 然后前轮刹车片有点薄，应该保养跟您说
[01:48.040] 的。
[01:57.510] 远。
[01:58.330] 拍。
[02:02.710] 看一下您这是哪款召回？
[02:07.570] 轮胎的话，就这个月有活动稍微有需要可以考虑。
[02:12.020] 话行便宜一些。
[02:16.110] 等会还得质检。
[02:18.320] 是吗？
[02:20.130] 车上是干嘛不在，我这人家都弄完了给我。
[02:24.490] 他们得把他们所有手续走完。
[02:27.000] 就把那证据给挡在车里面，行，稍等一下，待会他应该会在这边质检。
[02:33.400] 妈妈对，待会他有质检师傅。
[02:39.550] 的
[02:42.330] 数据
[02:48.680] 场。
[02:50.150] 这是换副驾驶的气囊。
[02:54.930] 场
[02:58.320] 号
[02:59.660] 的
[03:06.070] 场。
[03:08.450] 场
[03:09.950] 场
[03:11.910] 取
[03:19.280] 的
[03:23.670] 网络
[03:25.500] 点。
[03:29.640] 就完事。
[03:33.830] 要是一下都要拿东西是吧？
[03:37.810] 行没问题。
[03:52.450] 场
[03:55.190] 的。
[03:57.850] 场。
[04:37.900] 你这一两百你出来了，我放手了。
[04:43.560] 你的微信。
[04:47.440] 可以。
[04:55.500] 了。
[05:16.080] OK这个洗车用。
[05:18.880] 要说明这个检查是前面稍微有点剐蹭是吧？您知道咱考虑修，因为修现在
[05:26.970] 这一个月有一个代步车补偿险，您有这个的话就修之后额外还给你2500元的现金补偿，这么着核算真不清楚，对，然后您可以考虑拿这个来说，对拿这个还我这取好了，我给你打电话行。
[05:44.760] 一下
[05:46.480] 场
[05:49.600] 谁知
