[00:00.000] 你给我我也不跟你私了上就要加我微信，这是粉单子带着的吗？
[00:04.740] 来您给我上次就说什么，稍等。
[00:07.280] 稍等一下，我说不讲说谢谢咱们没事慢点聊，处理完了走中国分持驾照行驶本高市价，不
[00:15.560] 该走什么流程，他们那几个人你知道干嘛的吗？我不知道干嘛，反正他们公司我跟你说，
[00:22.090] 请了一些
[00:23.460] 就跟它们头尾记得那头北的
[00:27.060] 方向，对。
[00:29.020] 你得感谢那帮人给你，还得跟他说句是吗？敲你把你车子拖走，那哥们看好了，行行是吧？
[00:36.120] 性高潮。
[00:40.010] 来你给我不行，我的是送修人的。
[00:44.310] 您的驾照或者您的身份OK在圈里臭名昭著，咱车辆行驶本这是不好，然后
[00:51.790] 下三流的手段他们都能用它走，代位求偿的话，您这边得相当于自费，最后再结账再次对
[00:59.830] 加以报销，一队在报销了，因为我现在跟对方我要不来钱，她怎么着都不给是吗？
[01:05.920] 今天推明天推，后天他周日拍着胸脯跟我说说我周一打钱很容易，
[01:11.290] 然后周一跟我妈说说，我周二中午一定到这儿来解决问题，然后12点打电话说我1点到
[01:18.370] 1点打电话说我今天不管是9:00 10:00我都到那9:00 10:00他到了，
[01:23.270] 咱还在这等着他，
[01:24.800] 然后肯定晚上再打电话就明天，然后保险公司的意思就是说定损完了给他一个金额就打电话录音，
[01:32.350] 然后问他说你给不给什么时候给，如果他还是这种寒，比如说明天给OK，我再等一下，
[01:37.920] 第二天我再打电话说还是明天给，然后我就直接送办公司去也行。
[01:44.290] 行车本您给我。
[01:46.670] 所以今天我觉得我很危险，因为当时车被撞的人都是恍惚的，我这有照片。
[01:51.570] 照片是吗？我那一会扫一下的。
[01:54.220] 电话我跟您核对一下1852158
[01:58.440] 11185了。
[02:00.250] 韩姐1581337283。
[02:03.550] 三不对，这是我女朋友的。
[02:05.280] 我得留您的，那你就记我的158。
[02:07.990] 115810251025600560056005，对1581025600518158，
[02:18.430] 1581025600600，好勒没问题。
[02:25.100] 您操作您稍作，我还得登个记。
[02:28.200] 不是你们都知道他那家店那样。
[02:30.960] 我不知道，因为咱们刘秀芝园老师那边
[02:34.460] 老接触他们相当于是什么叫刘修人员。
[02:37.890] 刘修专员是咱们配合客户。
[02:40.210] 这边走保险定损，
[02:41.920] 他们可能车主出现场需要我们派人过去，咱们刘秀这边是要去上路的，
[02:47.650] 去协助咱们科左这边去办那个东西理赔的。
[02:52.320] 我看能不能扫描？
[02:54.310] 没有。
[03:01.350] 您宁静QD6325，Q这OK W弟弟。
[03:07.670] 等会儿86
[03:08.960] 6
[03:10.490] cd 0hf502266来给您。
[03:15.600] 我说好，
[03:17.810] 咱们是2C200的叫袍，
[03:20.440] 他们那店没人管，还赶上新车上
[03:25.510] 充电，他们俩都是一锤子。
[03:28.030] 他们看不见以后能干到什么程度，据我了解能干到什么程度，
[03:33.790] 他可以问你客户说你这车装什么严重，我可以
[03:39.450] 咱们就说必须系统不能呈现吗？他们现在可以不呈现知道吗？就骗客户。
[03:45.580] 他要不呈现系统里边，他可以给你放部长配件，他跟你修完了以后你出来变了吗？咱就可以出任，
[03:51.740] 他们就这么干。
[03:52.960] 对，多坏。
[03:55.710] 因为我最早是跟咱们店联系的，然后都说可以修，然后我就觉得您联系的谁，我打客服就没有，我当时转咱们售后没有转到证件都上去吃饭，
[04:08.820] 蚨的没应该给我俩打电话去过皇陵，
[04:12.190] 反正后来我妈联系上，
[04:13.920] 然后后来我就直接过来，对。
[04:17.830] 反正也是虚惊一场，我想在车站上修肯定修不好。
[04:21.080] 就相当于走的是人保的是吧？
[04:23.160] 人保代位人保对休整，
[04:26.320] 谁知
[04:28.170] 那些人我跟你说可以
[04:30.040] 老代位求成，
[04:31.650] 硬给你拉我，
[04:33.320] 他根据现象给你骗走，他说特别近，然后指定到那修的只能去那修，然后我说我家在
[04:41.940] 里边我以前可能吗？中国有哪条不是规定说指定一个弟弟，因为当时什么情况，当时我女朋友被撞了，我是从家赶过去，
[04:51.320] 然后但是他们到底比我早，那会你知道我打电话我给女朋友打电话，
[04:55.930] 车电话给我打。
[04:57.370] 应该记得吗？后来你接过去你给我说需要我去那边用的东西，你坐过来，我直接用了他的拖车，后来因为我说不用他们车拖过来得了，因为我知道那边肯定不是关机出来，
[05:10.640] 我绝不讲了小号给你们留时间，我就先给您暂定一下，因为还不见得什么时候让我们开始报价维修，因为他单位手续
[05:18.470] 很慢，
[05:20.270] 我不知道他现在是不是让我们给拆掉不嫁了，他说先报价保险公司可以了是吧？
[05:25.630] 没问题是这样，就是说你报价给保险公司要先维修，然后我垫付这对，然后我拿您维修凭证去跟保险公司报销，对。
[05:34.630] 没错，就是为了先修车所以才走的，但是您这个修车的话不见得做代理去商店批下来，咱们先show就是我们保险公司对我得先跟您说一声，因为正常的流程应该是先从资源审批下来之后我们才能动车，应该是这个流程，但是你不是着急，现在我们先帮您拆的报价，
[05:53.070] 先去定损维修，最后再说了，只能说这么意思，就说让先定损，他说先定损，然后再拿这个
[06:00.550] 凭据什么的，对是不是？他说拿定损价钱再去给对方打一个电话，问她愿不愿意付维修费，然后如果对方还是这个状态，他说那就修车，然后在哪他去
[06:12.290] 去修车，咱先报还不见得当时情修，您得先去宝公司这么跟您说的可是？
[06:19.270] 是吗？
[06:20.320] 咱们先报价。
[06:21.930] 是修车出最后发票让她过来交钱，还是我报价之后出这个数通知他过来交钱，你说通知第三方是吗？什么时候的意思？就是那哥们肯定不会交钱，我就是许可证，
[06:36.100] 别最后公司这边没法帮您去追去就麻烦了。
[06:40.200] 您明白我这吧？明白我意思吧？就是说不符合这手续了，您跟对方联系
[06:46.030] 怎么办？
[06:47.190] 您是啥意思？就是说我的意思是说这边您这最好跟宝公司落实好了，我们现在是不是可以动动落实了，落实好了昨天跑一天了。
[06:58.290] 同意了，因为公司你不说你听我说走代理确认手续，有时候一个月才批的下来，这个是我
[07:05.160] 因为我跟保险公司打过电话了，但保险公司的意思就是说我先现在不用保单号了，你先定损，然后先修车，然后这个钱我付，然后他说
[07:18.090] 但是我后续我还得搜集证据，就不准他不配合的证据，然后才能我方保险公司附近，然后刚才我现在就说过了，就一个月到一个半月，我相当于我现在的目的跟您说一下，我们现在开始给您拆解报价，
[07:34.410] 正常的找人保定损维修，修好之后按照弟子金额您过来交钱取车，咱们这边就OK了，然后之后怎么还跟保险公司打招呼，OK，你觉得我跟保险公司打价比，跟那哥们打架的简单，
[07:46.740] 简单哥们我跟他起诉，然后我说我这边是
[07:52.790] 剩了，然后他赔钱他不赔咋办呢？
