[00:00.210] 技术报告查一下，因为有的是升级，有的是更换，但是升级的多，
[00:13.190] 资金过来的WiFi他这呆着了，对，今早上起来不用报那什么了。
[00:20.980] 孙先生吗？您是孙先生电话跟您核对一下，139尾号是5639
[00:27.510] 减074毫5毫米没有号，然后
[00:33.760] 车里放着了，对存放着快大概多长时间？
[00:38.480] 如果是升级的话，应该明天能给您车，然后如果其他的话咱们再沟通。
[00:44.780] 应该。
[00:45.580] 放假。
[00:46.500] 三
[00:47.400] 应该说车或者车里边
[00:50.270] 到时再来也行是吧？有几块你要就有东西是吧？对，你要是说您现在不方便拿去，到时候有车您。
[00:59.570] 在哪要不在车上我看公里数里面坐好的那部分。
[01:05.090] 等会我拿来做套。
[01:44.680] 那一个疤了。
[01:48.320] 怎么。
[01:56.480] 您家今年不知道。
[02:00.220] 了。
[02:00.850] 检查一下。
[02:02.260] 对。
[02:03.920] 这个是给您出不作为判断。
[02:05.430] 按预检证，然后具体的查还得去车间。
[02:10.410] 因为他那只是因为
[02:12.040] 只是过来看一眼。
[02:18.830] 开走吧。
[02:19.880] 我不开走，我停在后边车位里，你在我这等我。
[02:22.630] 二。好，清楚。
[02:41.000] 希望无力不祈祷
[02:43.230] 了。
[02:44.910] 花
[02:48.380] 花。
[03:03.670] 号。
[03:04.550] 远。
[03:19.400] 了
[03:26.700] 上
[03:28.720] 好。
[03:34.390] 也可以没问题，晚点大概中午左右上午能送过来也行，好的。
[03:41.850] 到店之后你就说约了召回就行了，只要说预约的告诉。
[03:47.190] 检查仪表提示差速锁故障。
[03:53.350] 要。
[03:56.800] 眼查发现仪表提示差速锁故障。
[03:59.720] 章鹏。
[04:01.980] 叫一下谁加？
[04:05.020] 号。
[04:07.100] 检查查出左故障。
[04:19.200] 的
[04:27.660] 到。
[04:31.320] 对。
[04:35.110] 了。
[04:41.920] 检查
[04:43.090] 差速锁故障。
[04:44.520] 的
[04:52.880] 场
[04:56.530] 的
[05:00.680] 用。
[05:04.130] 差速锁不是您打开之后它才用，
[05:07.970] 还是其实它一直在动，对，一直在调整您的前后的轮速差。
[05:13.270] 一直在调整，不是说就像咱们那三把锁不是说开了他在用，
[05:17.250] 开了只是明确分配到哪个轮，但是正常的它还会自动调节的，4个轮它都会调节，
[05:24.890] 但这也不影响跑38左右了。
[05:29.520] 对，这个要报警的话，您的三把锁它应该是限制您使用的，他怕造成一定的损坏。
[05:46.590] 玻璃。
[06:01.030] 好。
[06:04.800] 了。
[06:07.360] 没错。
[06:08.080] 了，然后您这车还一个
[06:11.030] 还检查是厂家下发的一个检查，
[06:14.220] 是检查后门锁
[06:17.900] 后车门上放置儿童防护锁的标签。
[06:22.370] 他。
[06:25.360] 这是一个服务措施，这是免费的。
[06:27.690] 他说对他是那个标签可能没贴着，有的车没贴，
[06:33.370] 一块给弄了。
[06:36.850] 了
[06:43.360] 1585. 
[06:45.870] 1. 
[06:52.250] 还有
[06:54.700] 就。
[06:59.060] 为您看看。
[07:00.190] 数据、
[07:01.960] 场。
[07:04.530] 场
[07:10.200] 数据
[07:14.880] 数据、
[07:17.830] 数据。
[07:20.820] 到上次是。
[07:30.690] 一次8000
[07:34.140] 8400。
[07:35.760] 16,000。
[07:40.180] 差点
[07:41.570] 数据。
[07:46.500] 以前上学的时候都来说上课的中国下午之后多角度。
[07:52.570] 对，有时候就这样。
[07:55.120] 什么叫着小白的，那么。
[07:58.010] 感觉还差500 700公里，
[08:01.730] 可能后期如果转化他脚踝这个位置不好，你分开以后他就没了了，我第一次保险做的有点早吗？
[08:08.930] 也看看也还行，因为首保建议提前做提前差不多一样。
[08:15.710] 对，但是现在1万块钱一次就行，你上次不是8000吗？这次18,000就行，对。
[08:23.060] 对，你帽子200什么？
[08:26.460] 防冻液都会给您看一下是吧？
[08:30.030] 刮不干净。
[08:35.620] 还有后面。
[08:38.080] 搞不干净两两个问题，一个是您玻璃
[08:42.500] 上面是不是有玻璃树胶什么的？
[08:46.510] 呱呱呱不到，还有一个就是咱们雨刷片可能有些老化或者对。
[08:52.040] 那些都是属于艺术家。
[08:55.830] 那些照片好像一个月
[08:58.550] 1000公里一个月。
[09:01.390] 坏数据。
[09:11.140] 的
[09:15.250] 场。
[09:17.190] 五。
[09:26.120] 场
[09:36.030] 差不好，不是现在有升级版了。
[09:40.480] 不是说咱们想换就换的，因为它是
[09:43.600] 我们都发给厂家，把这些所有的故障把什么发给厂家，对厂家会有逐级的，比如说他本身他就有
[09:51.340] 升级版最新的软件，它就像亲生尼，
[09:55.130] 如果说这东西升级还不好，
