[00:00.000] 客户看A35，沃尔沃的哥们介绍过来，
[00:04.750] 3号
[00:05.880] 怎么样都是导演挺好的，我今天弄。
[00:09.630] 对没问题。
[00:12.160] 谢谢您，没事，你看到押金晓得，后来到了还得有一个多月。
[00:18.390] 刚刚提出一个月，然后卖完后到时候第一次。
[00:22.280] 行行，那没问题了，我今天来订个车型。
[00:27.580] 980留个念一下。
[00:29.490] 卖给你了，我不能不留个念想你当时多多喜欢那车。
[00:33.720] 确实就把你新版。
[00:36.140] 对，我看这车配置挺高。
[00:39.810] 优惠大。
[00:41.800] 优惠大不咋地吧。
[00:47.040] 不过他那个数量还好看。
[00:49.470] 不能。
[00:51.720] 行你忙我赚着了。
[00:56.180] 因为没车你就回去就
[00:58.790] 不行了吗？或者是为了你看哪有，现在看他愿不愿意等了，你有特别想要的颜色吗？也这边也帮你问问。
[01:07.340] 主要是看上这车。
[01:08.970] 颜色无所谓的，贵一点就想要现车。
[01:13.770] 回头我给问问别的店太黑的不行
[01:18.310] 的。
[01:19.100] 那个车黑的黑颜色不好看，
[01:21.240] 白的灰的，
[01:23.140] 这都行，还有叫什么水洗蓝，水蓝就算了，那忒贵，没必要。
[01:29.860] 颜色花甲那车加一个颜色什么必要？
[01:33.300] 颜色公家颜色加三块钱两三万。
[01:37.390] 好，我们走了，带着小宝贝见了，叫您客气，对很快。
[01:42.640] 咋地？
[01:52.480] 那就别耗了。
[01:54.120] 好好了。
[01:56.430] 统招生。
[02:06.490] 老师也。
[02:07.340] 好，看看保时捷，我们看过。
[02:10.520] 看背来都来了，那边走两步。
[02:13.240] 好，研究点开车去。
[02:15.840] 真的
[02:17.550] 走50米这个道理别开了。
[02:24.070] 我就推广。
[02:25.130] 转让就走行。
[02:26.240] 行行，那就这样。
[02:27.980] 再看。
[02:30.150] 帅哥。
[02:31.390] 为了
[02:34.970] 这其中
[02:36.480] 拿这款包开口，
[02:39.180] 我就知道了，连老虎转头。
[02:41.700] 200351. 
[02:42.950] 不过和新款刚上市的这是没有，他说那行。
[02:47.230] 那车子上口。
[02:49.130] 然后他这花香也没有。
[02:51.870] 刚才上时候他说他有一台白色，那咋没体验，
[02:57.350] 可能颜色不太满意，
[02:59.070] 他肯定会
[03:00.130] 要不然过来说看眼色。
[03:03.530] 也是没什么人。
[03:04.720] 看你那也没人。
[03:06.020] 没有人。
[03:06.780] 早上接到客户可以带到价格，
[03:10.400] 或者100分，
[03:11.120] 我卖出去，
[03:18.280] 我进来了吗？
[03:53.640] 像你这卖十几个能挣多少钱一
[03:56.770] 1万1万大几还是不一定。
[03:59.630] 卖车。
[04:01.010] 平均能平均到150吗？
[04:16.540] 的质量高。
[04:19.010] 真的没有，我还想。
[04:23.170] 重点明天卖。
[04:25.080] 前年
