[01:56.570] 发动机的声音吗？对。
[02:04.230] 就知道和驾照是不是拿走了。
[02:07.990] 了，接着不用拿，在这等一会就能取了。
[02:36.390] 小伤不少。
[02:37.760] 快全是小张。
[02:43.240] 那边全是坑，这边全都是。
[02:46.510] 麻烦，对，天津全都是黄河。
[02:50.500] 这不知道怎么划的。
[02:52.860] 这是别人蹭的吗？
[02:56.300] 这是车蹭了。
[02:59.450] 你看连这都蹭着。
[03:04.610] 你画了一圈的左边、左边、前边。
[03:38.930] 他强，
[03:39.660] 这个问题
[04:22.790] 没事儿一点。
[04:24.150] 二梅。
[04:26.920] 除了发动机的工作的呼声音，没有别的什么
[04:31.170] 不对劲的声音。
[04:39.400] 您只要开这块故障灯又不亮，就约等于没事。
[04:43.540] 对，他要说有故障那肯定是有问题。
[04:52.120] 保养是背离，
[04:55.250] 外观很多伤
[05:05.780] 能去。
[05:12.860] 没走他提前好。
[05:14.120] 对前面就上面。
[05:15.860] 行
[05:22.480] 打个单子您这张
[05:25.600] 等。
[05:26.560] 拨打电话您去。哪个你稍等。
[05:28.930] Qq是171。
[05:30.790] 是不是你的同桌接的？
[05:32.450] 我也不知道，反正就在这办的，我找谁接着就这个车这就把握这个。
[05:38.850] 费用吗您？
[05:40.690] 我这是招回
[05:43.140] 路过出门写西装收回来，没有那边走了。
[05:52.750] 您拿走去看看去。
[05:55.940] 外观那些商业打算修，
[05:58.250] 咱就先交一个1500的保险。
[06:04.570] 放在这吗？
[06:06.750] 反正现在车不多，也就两天三天分期。
[06:10.850] 看您修下修几个位置。
[06:12.890] 多少？
[06:14.000] 1500. 
[06:15.000] 应该退休了。
[06:16.670] 不是全休了，就是说咱们这不是咱分期的活动，您平时比如您车要没有这活动的时候，您走保险了，
[06:24.480] 12年保费不是上调吗？对吧？完了您先交一个1500，
[06:28.650] 修完车了修一次反您2500，您赚1000块钱。
[06:32.480] 最好的。
[06:34.070] 这就是这样的。
[06:35.420] 是不是给代金券就是给您卡里边打钱。
[06:40.820] 您一年可以休两回，就您交了这是一个单独的保险，正常走您车的保险修车一年修两回给你5000块钱。
[06:47.710] 我这么说一会就放这，我就回家了。
[06:50.990] 不是您修。
[06:52.180] 这15天以后才能休。
[06:54.600] 今儿休不了。
[06:56.210] 挺直的。
[07:01.390] 是指您得
[07:02.500] 正常也是走保险修车，您要没这活动您就是走也就是第二年保费涨了能给您补一点。
[07:09.070] 帮他补2000块钱怎么可能不是真的。
[07:13.690] 我交1000我还要补2000。
[07:16.390] 不是您交1500。
[07:18.310] 修一次车您喷漆了，
[07:20.160] 喷完漆了不走保险喷漆了吗？给您卡里边打2500。
[07:24.040] 你拿钱。
[07:25.200] 除了您本钱是1500，赚1000块钱。
[07:29.820] 给您1000块钱，您就可以用于第二年续保，上调了I上调了，您可以
[07:35.130] 我基本还是上。
[07:36.490] 上调了对。
[07:39.310] 您不交这1500，您上条那钱都是您自个交，这还给您补1000块钱。
[07:43.170] 谁知。
[07:45.440] 反正一年就修两回，这就给他上条多少了。
[07:50.430] 我觉得
[07:52.100] 太麻烦。
[07:53.440] 要打牌，修车的话就交易等。
[07:55.950] 不是的，好像不。
[07:58.670] 吭不上，您瞅左边那个坑。
[08:01.410] 左边。
[08:02.170] 但是你知道我第一天还没上牌去练车的时候，跟着大队在那大风天被旁边的车撞了，这个事挺好的。
[08:12.990] 第一天。
[08:14.980] 的。
[08:18.800] 运气不给您的取车单，然后您琢磨
[08:22.570] 打算修的话就取车时候带您去交钱。
[08:27.460] 不是没费用，上回交过了。
[08:35.970] 了
[08:38.030] 谁知。
[08:40.910] 你说跟你说两年了才开了14,500。
[08:44.420] 怎么我刚
[08:47.820] 第二。
[08:49.690] 行您等我电话。
[08:50.900] 保险就是你们的保险。
[08:53.270] 它是奔驰跟保险公司的合作，就不管您上的是人保，还是上的平安，还是上太平洋对吧？只要您在百得利走保险修车了，甭管修的
[09:01.960] 大也好小也好涨，您就配一个7，
[09:04.680] 他也给您返钱。
[09:19.680] 懂不懂。
[09:23.220] 反正不赔钱。
[09:25.160] 你知道您在后面。
[09:27.200] 您得琢磨琢磨就什么时候休，您这个钱交完了以后，最早15天以后，
[09:32.930] 您过来修车，或者说一年之内您可以修两次，
[09:36.130] 从现在7月份到明天7:30。
[09:38.600] 谁知。
[09:41.020] 您修了两次，交了1500给您5000，您等于多给了3500。
[09:45.670] 行，这3500
[09:46.940] 您第二年保费上调，
[09:48.710] 可能调了3500，
[09:55.040] 那不就跟白修了一样吗？
[10:04.840] 多少。
[10:10.290] 激励客户喷漆，
[10:12.310] 分期挣钱。
[10:20.460] 这什么这一行，他说客户都得用车吗？
[10:23.430] 有的想法有的人家不修了，不修不行了，没活了，
[10:27.580] 没活就得通过这种方式，我返您点钱，您把车修了，因为您在咱店修车保险公司给塞点钱，
[10:35.270] 您不修就没这些。
[10:37.710] 877
[10:40.790] 通过这种形式来激励客户。
[10:47.140] 行。
