[00:00.000] 我是刚刚打电话真快，说你叫过来。
[00:30.230] 打电话。
[00:34.570] 谁知后来了前台最西边的座位接着说。
[00:41.270] 对您面对的前台左手边这里边，
[00:44.680] 尤其。
[00:46.750] 三
[00:50.360] 等。
[00:59.370] 坏。
[01:00.340] 数据
[01:05.960] 答应
[01:19.520] 的
[01:23.200] 三
[01:30.360] 车牌号是55的是吧？请坐下。
[01:33.040] 您这车牌号是ps7775是吧？提高没啥车。
[01:40.470] 对
[01:44.030] 7米，
[01:45.320] 然后车的外观是右后跟左前有两处伤。
[01:49.120] 谁知
[01:52.240] 右后边左迁有。
[01:54.010] 对，刚刚咱们师傅先把车查了一下，这两个位置可能有点小，
[01:58.360] 可能有点小的剐蹭。
[02:02.240] 待会您到车站，然后您再确认一下。
[02:12.090] 然后一会您要有别的事，您就先去办别的事，咱保险的时间会比较长一点今年。
[02:16.510] 大。
[02:18.910] 三个小时。
[02:20.010] 的。
[02:23.170] 保养和维修全都排队。
[02:29.500] 数据
[02:31.130] 讲完了。
[02:36.600] 您这一回事做第三次保养。
[02:41.510] 刚才。
[02:44.550] 是1万公里是A宝妈。
[02:47.410] 对咱们这次是A版。
[02:48.910] 上次2万公里是地板，对。
[02:51.260] 对。
[02:53.250] 上一次是去年11月份做的。
[02:55.270] 数据。
[03:02.380] 有一个汽车站就直接导致
[03:07.440] 数据、
[03:09.760] 场
[03:10.710] 场
[03:12.080] 场
[03:15.650] 快。
[03:17.980] 场。
[03:21.800] 月
[03:23.330] 远场。
[03:26.840] 坏
[03:33.450] 数据
[03:36.560] 号
[03:37.830] 的。
[03:41.240] 远
[03:42.280] 数据。
[03:47.830] 9:30来赶场，
[03:57.590] 五
[04:00.350] 五
[04:05.080] 三。
[04:08.000] 您这车的空调滤芯前两次都没换，空调滤芯也。
[04:16.050] 上回换了空气滤芯。
[04:22.260] 下回
[04:26.880] 号。
[04:28.150] 下午。
[04:29.680] 拍下一。
[04:34.020] 您前两回做的都是咱们店赠送的保养。
[04:39.920] 我知道。
[04:42.220] 换的是我知道这里边没有看过七明白的枪。
[04:52.780] 三
[04:53.940] 好多。
[04:57.840] 严重
[05:09.330] 的
[05:16.320] 数据、
[05:20.690] 数据、
[05:23.320] 数据、
[05:25.400] 数据、
[05:28.170] 数据用
[05:30.390] 数据
[05:34.130] 数据
[05:38.750] 五
[05:39.970] 数据
[05:47.410] 给您留一个举措。
[05:50.760] 您等我电话就行了，我给你打电话。
[05:53.370] 什么纪律？
[05:59.290] 数据？
[06:01.970] 数据、
[06:03.240] 数据、
[06:06.280] 的
[06:07.240] 数据。
[06:19.240] 场
[06:29.480] 如果下回您赶时间的话，建议您8:30就到了。
[06:33.000] 号。
[06:36.240] 数据
[06:39.430] 的
[06:43.050] 数据
[06:45.560] 场。
[06:52.170] 数据。
[06:54.610] 这事儿错了，谁知
[07:07.230] 送。
[07:12.550] 行吧，我这没事了，您给我电话就行了，完了洗完之后会给您打电话，您还到这个位置。
[07:31.720] 的
[07:33.640] 一个销售
[07:40.220] 场
[08:00.730] 厂长赶紧
[08:07.840] 数据。
[08:17.430] 场
[08:19.040] 场
[08:20.040] 场
[08:30.050] 场
[08:32.670] 五
[08:35.260] 数据。
[08:38.500] 坏
[08:43.790] 远远
[08:45.870] 远
[08:47.420] 场
[08:51.310] 数据
[08:59.470] 二
[09:00.460] 的。
[09:15.490] 五
[09:32.180] 场
[09:35.170] 坏
[09:38.310] 场。
[09:40.040] 场
[09:55.440] 的
[10:00.570] 五
[10:05.360] 五
[10:06.670] 坏
[10:07.600] 场
[10:08.960] 数据
[10:27.270] 不够。
