[00:02.680] 偷偷讲一下。
[00:04.050] 行。
[00:12.920] 你好，是江先生吗？销售文章来这张名片。
[00:16.760] 第一次在咱们这吗？
[00:19.090] 做男生点，反正要么今天
[00:22.370] 过来看看了点水咖啡果肉，咱这款已经
[00:29.590] 他舒享版的，现在咱们这个是什么优惠政策，书香满是吧？这是我在您先看一下水塘，咱们奔驰现在有一个普通公约，客人的一体生态城，一个普法得体明码标价，谁知咱们在买车的过程咱们都接受捆绑，
[00:49.320] 如果您要是考虑舒享型的话，应该就是300里边顶配的这种树下，
[00:54.280] 咱们是考虑是中标的还是达标达标的一种自动关的摇号还是置换呢？
[01:00.310] 计划置换的话，咱们这款车现在是优惠需要
[01:04.260] 天津又有效。
[01:08.510] 三床你说努力一把的。
[01:10.240] 基本上好了，开始掌握了这个点上。
[01:14.800] 1000元非常也基本上差不多，因为这个车因为了一个
[01:26.410] 这价格都不会差太多。
[01:28.860] 颜色喜欢什么颜色？
[01:32.160] 寿县车的话
[01:34.520] 充值都可以黑色，因为这车主要还是以黑色为主，80%可能
[01:40.700] 用的蛮的比较少，
[01:45.230] 白的也少。
[01:46.660] 还比较少，对，白的可能
[01:49.030] 卖10辆车里边可能有多少倍，没有两。
[01:54.480] 家用咱们
[01:56.980] 置换的话，咱们这也都可以给您评估，然后您的旧车什么车？
[02:01.400] 我有一个
[02:03.550] 11年的途观这边有个基因的，
[02:06.160] 一年用什么样的？
[02:08.990] 他是就加一次加30 1 11万公里还行，公里数也不是很多，大概全部我们就多少钱。
[02:16.910] 你要想要也得找评分，因为这部来是吧？对，因为这是他们二圈比较专业，因为我们有专人来负责这个项目。
[02:24.450] 客户就是下一步操作，可能
[02:28.240] 现在卖5万块钱10万块钱的这种配置有什么要求吗？咱们这边？
[02:34.710] 的配置对车辆新车这些K我就至少把
[02:39.780] 初选书香空间您做了，你看你们有没有什么要求，现在下就可以，等
[02:46.750] 时间的话咱们是260的试驾车，
[02:49.230] 300没有试驾车。
[02:51.200] 12 00太了，200的话它动力动力不一样，你看您动力有没有要求？
[03:00.100] 2.0.1.5T+48度。
[03:07.170] 房子谁知外还是防御在未来的市场其他保养的这种。
[03:14.010] 那些没有了，对，有需要的话，您看咱们中石化里咱们都是有需要的话，你可以在那里买，但是咱们任何东西都不强制，您可以自由支配的保养这种
[03:22.840] 来送。
[03:23.350] 对不要送，像装饰这些咱们也不强制性购买。
[03:26.420] 包括
[03:27.560] 考虑全面分析，
[03:29.720] 这有什么区别吗？都一样分期，而且现在咱们也没有手续费，
[03:34.840] 就有个利息。
[03:36.080] 第七，
[03:37.080] 这个车应该在分点，
[03:41.140] 那就推荐你买300块
[03:47.110] 2601室，你要是可以帮您安排一下。
[03:50.800] 26谁知
[04:02.770] 刚才从那边刚看完吗？对，实际上
[04:09.470] 两
[04:12.430] 坏
[04:14.530] 的。
[04:15.440] 的
[04:17.120] 远远
[04:20.040] 数据。
[04:21.380] 如果地下室一次
[04:29.990] 26。
[04:32.150] 好好拍。出来。
[04:43.780] 然后201
[04:46.940] 准备他
[04:55.670] 的
[05:00.810] 那个的话咱们一个
[05:04.190] 我们是从厂家派过来一个车，他是
[05:07.610] 厂家之前的活动用车，
[05:09.910] 这个车优惠的比较多一些。
[05:12.390] 原来的厂家展车。
[05:14.300] 对展车，然后
[05:16.240] 这款是
[05:17.600] 三百十上车这块。
[05:19.260] 现在是36。
[05:20.890] 这不是盖的房不是不耐烦，你还接着新车不带没有盘。
[05:27.640] 要带盘的话这就吃了。
[05:31.070] 这就是这一个了，优惠
[05:33.260] 多了。
[05:34.520] 这3万多
[05:38.660] 性价比很高，车基本上也说明了基本上也就是展示了一下尼玛拉
[05:44.390] 一开始做看看，
[05:46.700] 但实质上也没有动，对。
[05:54.460] 没事，或者那天我们如果是上了一三百下车，我
[05:58.540] 通知您就是说明天一下你过来行，比如下周六上午10点，咱们新的改款的厂家没有出具体的时间，但是应该是
[06:08.450] 也不是换代。
[06:09.660] 我知道有小小白碗的中期贷款的正常的话应该是一个
[06:14.660] 但是一型的话有可能它会往后延，
[06:17.430] 他那可笑的优惠幅度应该没有更大，上来之后肯定按照遗忘，这样来说，当新车刚上市肯定是没有优惠的。
[06:24.800] 所以说从价格上来说，现在这块相对就性价比最高很多。
[06:28.800] 你像你优惠到7万多已经将近快20个。
[06:32.950] 谁知
[06:33.840] 一号放假回来，典型照样给你介绍一下，报价给你算一下。
[06:39.200] 所以今儿咱们先看看是吧？
[06:41.160] 咱们现在就走在院里面弄一下。
[06:44.840] 没有点，咱们这里边有沃尔沃、奔驰、奥迪耶，
[06:52.110] 等一会您看完了之后准备走的时候，这家店前台都挺好听。
[06:57.080] 你走了对家电都没搞，还有什么地方不给你解答一下，行你再看看，你给我电话联系，明天回访，您看上午9点下午短信电话哪个方便？
[07:11.140] 反正打电话感谢光临，再见。
[07:15.040] 好好。
[07:17.070] 好的再见。
[07:18.690] 微信啥意思？
[07:22.530] 怎么码？我这就是文化
[07:24.840] 事件。
[07:25.930] 快一个小时跑掉了。
[07:36.610] 走了。
[07:59.830] 这个我不敢练。
[08:01.710] 因为我不像你是交14个车了，
[08:05.440] 十几个。
[08:16.200] 要
[08:18.810] 咱们
[08:20.920] 没人看。
[08:22.830] 比较严重。
[08:35.670] 的
[08:38.750] 快。
[08:41.950] 咱们领导好了带去了。
[08:46.680] 密码。
[08:52.210] 因为刚才的情况都让
[09:00.680] 要让
[09:03.130] 绽放着让他放松。
