[00:00.050] 电话。
[00:01.310] 130
[00:03.620] 100209。
[00:31.120] 我给你拿毛先生是吧？
[00:32.900] 我前台登记，然后我期待您这是我们片。
[00:36.200] 学了您好，您放点快乐。
[00:39.050] 第一次来我们这样之前没有来过，销售之前来过来来有认识销售顾问，或者说谁知那个小姑娘叫啥，我不知道还在不在你这。
[00:48.530] 好好什么刘静还是什么，
[00:55.560] 没有，刘美娟。
[00:57.590] 不是两个字的。
[00:59.730] 你的车就这么多吗？还是楼上还有我们就去看看这边。
[01:05.910] 你叫什么刘进还什么，反正不光是小朋友还砸了，哈哈。
[01:11.410] 那个时候的样子看的话，
[01:16.690] 有谁知，
[01:18.760] 对吧？差不多了，像车型没定好是吧？
[01:24.910] 香肠稍微看一下，来巧劲。
[01:28.200] 好。
[01:30.900] 哪年来的很早了，因为之前他们奥迪买的，
[01:36.490] 去年年初到一定是在哪买？
[01:42.970] 每一层这是什么？一共三层两层式，这个战车现在有什么吗？有
[01:51.290] 活动吗？每款车基本上都会有一些活动肯定要哪款？
[02:03.490] 这边看着M记展区都是性能车。
[02:06.800] 先生与跑车。
[02:20.420] 这是对GRE这锁着G21的638缸4.0T的
[02:25.070] 交易，再看一下可以
[02:27.880] 没拿药。
[02:34.750] 到
[02:37.710] 快。
[02:55.310] 比如说
[02:57.060] 刘涛帮我看一下楼上交C431，C63
[03:03.090] 63。
[03:15.670] 不是另外一个。
[03:26.860] OK。
[03:50.520] 这不行，这看不太窄。
[03:56.050] 你这儿子是吗？这么大的
[04:00.040] 这种窗子，
[04:02.750] 这车是今年去年。
[04:04.900] 对，去年过今年没有变化。
[04:11.510] 给我们介绍一下。
[04:13.630] 这款是吧？跟4.0的最顶配的售价128万。
[04:17.200] 裸车
[04:19.930] 对，现在就这一台。
[04:21.720] 是最顶配的算是主要是排量是4.0的刚的，然后全是四驱，
[04:27.610] 百公里加速也很快，
[04:29.860] 然后那是做工也比较精细，都是一些手工做的。
[04:35.970] 您是想想想考虑是大概预算控制在什么区间的？
[04:42.060] 帮您介绍几款？
[04:44.020] 没什么，我看他喜欢就行了，我不知道你算多少太高的预算车不喜欢我也不明白。
[04:53.090] 这种
[04:54.780] 轿跑车。
[04:56.000] Gt这个不要不能，然后再大一点的SUV就是G2153，
[05:05.640] 我拿着钥匙还有没有？对稍等。
[05:15.190] 知道。
[05:16.670] 所什么
[05:19.390] 交C的663
[05:24.740] 俩都
[05:27.190] 还有一个
[05:28.300] 号。
[05:31.690] 好，然后帮我看一下这SE的53
[05:35.670] +153。
[05:44.430] 好，谢谢。
[05:46.040] 开了您看一下。
[05:57.730] 奔驰里面景区大军系列的还是
[06:02.420] md是一个奔驰的交利交房系列还是不运动，偏向运动的，对这项运动的。
[06:11.830] 运动对。
[06:14.280] 这些现在都是mg的。
[06:22.160] 楼顶上看看蓝色的车，
[06:25.040] 叫B多少钱？20。
[06:29.060] 288,000。
[06:30.670] 落车，
[06:31.510] 国产的头发是北京的，北汽被稀释GLC200还是CLA两版。
[06:40.260] 北汽现在生产的gia交B交C
[06:49.380] 有区别吗？这款排量比排量小，但是车
[06:53.170] 也算风流，这3.0T的直列6缸的，
[06:57.200] 那是8杠的多少钱？现在是108万多。
[07:01.440] 108。
[07:06.560] 后面的话后面是4
[07:09.200] 5顿可以抬起来。
[07:13.960] 你这有什么你
[07:18.130] 资料什么我看一下，这个资料应该都发完了，因为车看的比较多，完了之后电子版本应该扫下列二维码。
[07:25.500] 电子版本
[07:36.420] 不行，刚才我们了这好累。
[07:39.680] 不是电信。
[07:45.190] 这个女孩买这车吗？
[07:46.730] 有。
[07:47.660] 车太大了这点。
[07:54.720] 微信扫。
[07:56.890] 又变了，稍微等一下它变过来。
[07:59.970] 等稍变过来。
[08:10.310] 有点反光。
[08:11.520] 没劲。
[08:12.690] 对好。
[08:14.900] 对，您可以先收藏一下，然后回去你可以再看。
[08:19.040] 数据。
[08:27.220] SUV的话，谁知
[08:54.740] 轿跑车。
[08:58.680] 二。
[09:04.540] 这款现在
[09:08.520] 300。
[09:09.890] 火车是
[09:11.450] 60万。
[09:12.750] 没事。
[09:15.530] 这样
[09:17.170] 悄悄白天
[09:21.550] 非常感谢。
[09:22.930] 包括然后一下
[09:26.950] 这边走。
[10:00.020] 这是给的了，这是进口的B
[10:02.140] 进口的不对，
[10:04.210] 这也成功。
[10:06.150] 他本身就进口的，然后排量小价格也不高，20
[10:11.350] 二十三四万火车。
[10:15.280] 所以
[10:18.490] 上
[10:19.690] 客户谁知
[10:25.390] 也这些都是国产的。
[10:27.660] 这对国产。
[10:40.320] 楼下也有。
[10:42.120] 谁知
[10:43.860] 我们走路过来对你从来没过，
[10:47.110] 楼上没有谁知。
[11:35.570] 对。
[11:41.750] 有这样的地方。
[11:47.930] 这20多万
[11:51.510] 那款也是国产的，这款也是优惠完大概在278,000。
[12:07.430] 这是可以的。
[12:08.220] 这黑色
[12:11.100] 应该是
[12:17.800] 还有一个是gl加入一家也是属于叫跑堂cv是吧？
[12:23.630] 停产了。
[12:24.710] 停产了。
[12:31.800] 对国产的加C
[12:33.990] 是北汽的改革可能不知道对40多万。
[12:50.250] 这是国产当地
[12:51.410] 40多
[13:06.230] 进口的车在二楼，
[13:08.550] 是吧？
[13:09.320] 刚才咱们过来那个是吧？
[13:10.980] 对，那些都是进口的。
[13:12.830] 这儿的对。
[13:15.110] 一楼这些基本都是国产。
[13:41.050] 山头放松的。
[13:42.510] 上
[14:03.790] 上
[14:04.880] 天津。
[14:11.620] 数据、
[14:15.040] 数据、
[14:20.570] 了
[14:25.920] 的
[14:43.050] 这两个。
[14:48.510] 这是进口的。
[15:05.790] 买一个大一点的。
[15:07.520] 大的也太差了。
[15:52.440] 一是蓝色。
[15:58.190] 是进口的是吧？挺高的。
[16:00.740] 这是不是
[16:01.770] 都是从运动作用
[16:03.770] 就跟车系有关系。
[16:10.080] 稍等我接个电话。
[16:12.330] 当然
[16:14.560] 你好
[16:20.290] 没有露着
[16:22.220] 对。
[16:26.080] 对队，但没敢那就是漏的怎么设计的。
[16:35.450] 运动型的就那样。
[16:39.830] 对行没事有点。
[16:59.570] 员工
[17:00.400] 谁知
[17:05.530] 这是在德国生产。
[17:13.730] 这也是国产的。
[17:16.100] 这是进口的S
[17:20.310] 这种的现在一般有点卖的就是黑色的，然后这是一台注册就是一台
[17:40.470] 从50里。
[17:42.090] 这绿吗？对。
[17:46.770] 干净那是小。
[17:49.330] 这还有别的颜色。
[17:51.040] 黑色。
[17:55.080] 有的。
[17:56.840] 没有，这只有利标准。
[18:03.490] 马上。
[18:08.010] 这了
[18:09.110] 了。
[18:11.400] 这个软件
[18:12.940] 60
[18:18.100] 全办完了，也就六十七八。
[18:20.610] 他这个企业
[18:23.710] 万一空姐很高的我都看不见，
[18:26.140] 他底盘高度就跟正常的轿车底盘高度一样。
[18:30.330] 你现在开的是轿车还是 SUV可能也要稍微高一些，教科都是这种。
[18:37.350] 后面也都是高
[18:39.920] 一样的。
[18:47.000] 我刚才那边看到有一个人买的是IL3350
[18:51.850] 35的是SUV还是SUV，还是交一艘，明白。
[18:57.340] 在哪？
[18:58.240] 刚才您看的加上左边右边，
[19:02.290] 那叫交易，
[19:03.570] 他比他小。
[19:04.870] 还有就是说
[19:07.800] 白点还有4，那是老板的，不出来之后，这就是替代ml，这个是替代的，对。
[19:15.450] 哪有什么400 400 500个。
[19:19.030] 对。
[19:30.000] 他那个车好像比那车小一样的。
[19:33.030] 交易都大小都是这样。
[19:35.620] 也是这样的。
[19:37.250] 因为这个是最顶配的，可能跟他细节上会有一些变化，
[19:41.400] 也可能从视觉上会显得大一些。
[19:48.220] 压力
[19:49.390] 点。
[19:50.650] 几个颜色就这一台，还有一台路上。
[19:56.920] 对，就这一台金华娣可能还有台白色。
[20:02.710] 也比较少。
[20:28.400] 我刚才拍的微信就这个。
[20:31.620] 对。
[20:33.020] 整个上来多少钱？100
[20:36.060] 28。
[20:38.520] 二对一个裸车的话108没有优惠吗？绿车没有优惠。
[20:43.240] 没有优惠。
[20:44.840] 哪个车有优惠？
[20:46.250] 哪个车友优惠，这都有优惠。
[20:49.880] 多少钱？
[20:50.880] 这一家吗？
[20:52.070] 这两家为贵。
[20:54.740] 便宜点。
[20:57.420] 这是100
[20:59.160] 这101万多，这款是101万多，现在优惠108,000。
[21:03.640] 91。
[21:12.360] 你要看我给你拿着钥匙打开一下。
[21:14.440] 不了您所这等你先什么？
[21:19.220] 您稍等我一下。
[21:40.470] 咱们
[22:13.250] 行，谢谢。
[22:14.460] 不然跟你说一声。
