[00:00.760] 现在出自徐先生，
[00:03.720] 石杨后勤医院。
[00:07.090] 的。
[00:08.440] 商业到了，您好徐先生吗？你好，百得利奔驰销售经理电话。
[00:14.390] 第一次来电吗？
[00:15.590] 对之前电话预约过，是刚刚预约的，刚刚我们领导这边还是40。
[00:21.550] S450型水有它背后那是什么需要吗？
[00:25.740] 不要看一下，然后。
[00:27.830] 看看清楚了，然后跟领导汇报，领导就过来。
[00:31.520] 行。
[00:33.140] 这款是350。
[00:35.440] 他直接点名负责选择上诉的是吧？我先看有没有车对账算清有限情况，现在。
[00:41.490] 咱们的要求先给您读一遍服务公约，买介绍之前
[00:46.810] 透伦敦一起信贷诚信经营合法得体，明码标价、公开透明配套，全全程公示，绝不通报。
[00:52.310] 销售强制消费，
[00:53.820] 绝不使用呆在不通监督电话408818。
[00:58.650] 那边是考虑什么？
[01:02.260] 不知道最近他们。
[01:04.270] 信息、
[01:05.010] 他问有没有跟
[01:06.780] 是上公路吗？
[01:08.980] 还是个人户您知道？
[01:11.100] 我们是外地的能买吗？
[01:13.230] 安徽的问题吗？
[01:18.700] 外地可以的问速成四驱的吗？
[01:23.760] 可以说
[01:25.040] 黑色的。
[01:25.990] 那是有要求吗？
[01:27.540] 那是说他说不就那一款吗？
[01:30.020] 对中呐喊一般都是公办，有车。
[01:33.580] 有现车是吧？对。
[01:35.120] 外地能买。
[01:37.820] 安徽的。
[01:38.900] 如果能的话就跟领导汇报一下，上外这块认为对，我们直接开开到安徽那边。
[01:53.000] 把。
[01:55.170] 稍等。
[02:14.070] 稍等我问一下。
[04:39.910] 外地这边可能还
[04:43.650] 还不太合适。
[04:45.080] 当地问了。
[04:47.700] 万一不能买。
[04:49.050] 对外地价位肯定是不合适，没有当地合适，你们当地
[04:55.600] 这S450的话好像是128 12018对。
[05:01.600] 对不考虑能不能找个北京牌过一道护。
[05:05.830] 你这边也没有，这是
[05:08.710] 李老师专门说从北京来看一下，看到有一点
[05:12.910] 肯定不叫小雅，对。
[05:17.220] 行，您那边说一声。
[05:20.010] 我这边打电话问一下他怎么说话。
[05:22.350] 对，你说找北京牌还是什么？
[05:25.180] 我这边用户款大概多少钱，这一块多少钱，北京吗？
[05:29.320] 你好徐总。
[05:31.110] 我刚才问了一下，他说说这个车
[05:33.830] 有现车，但是外地人不能买，必须要从本地过下临牌，然后才能弄到外地。
[05:39.610] 品牌金牌金龙他说不合适卖，
[05:47.950] 他说再弄一下，精彩就过户一下。
[05:54.590] 要不然你跟他聊一下，要不然你跟销售近，他希望你能给你说一下。
[06:01.570] 你好。
[06:07.030] 对他是这样。
[06:08.940] 现车这边我刚才看了是有，但是您外地牌的话，你要是从北京买，您上外地牌您还不如当地，他是直接提。
[06:24.150] 75月份生产。
[06:29.580] 7月份到了。
[06:33.380] 对。
[06:36.500] 对，欣欣肯定是特别好。
[06:40.810] 车指导价是1,201,800，
[06:43.590] 但是这是指导价，
[06:45.940] 他有一个
[06:47.450] 前提是您上哪牌，你要是说上外地，
[06:58.820] 肯定可以，对。
[07:02.150] 对可以，你要是说这个月就能提的话，现在能
[07:10.630] 也可以找他有指标就行。
[07:15.280] 对。
[07:19.270] 对也不行，只要你有北京的指标，必须得北京的这边。
[07:28.240] 我觉得33万上下。
[07:33.080] 对。
[07:41.030] 您是有奔驰是吗？
[07:44.740] 您有奔驰，您是这样，您必须比如说我北京市张三这人名下，张三名下必须得有奔驰。
[07:52.350] 可以。
[07:55.960] 另外
[07:58.030] 对。
[07:59.720] 给您送保险。
[08:03.290] 对。
[08:04.320] 对，你比如3万保险，你自己来交1万12,000就行了。
[08:09.280] 谁知。
[08:10.280] 对。
[08:13.370] 对在网上下我这边
[08:17.310] 战略。
[08:18.560] 5万肯定没戏，你要说33万多点3~4万之间，我可以给您申请，您确定好指标，但是前期只这个月就是说差任务的时候。
[08:35.560] 对，外地价格都不合适。
[08:41.350] 好吧，首先
[08:42.500] 我把电话给
[08:48.160] 三
[08:49.470] 我想吃饭，还有一个。
[08:53.880] 的。
[08:54.690] 现在你看孩子
[08:56.450] 的话去
[08:59.480] 那就是在我的旁边。
[09:01.770] 不对，谁知
[09:04.970] 看到行行，你来说在
[09:12.830] 到时候再坚持一下。
[09:14.430] 好久，那块的话120说到周五来北京，
[09:22.570] 然后来看一下他已经住橘子酒店吗？不是在旁边吗？
[09:26.190] 酒店，对。
[09:29.140] 到时再来的时候到时候再来看一下他名下两辆奔驰车。
[09:32.720] 还不行，他名下有奔驰，但是他说他是外地返，他们对我知道。
[09:38.510] 他到时候来的，他从当地用是吗？在单位医院吗？
[09:43.990] 当地安徽用是吧？
[09:46.210] 我们在旁边也有/3，那么原因那是我们公司旁边那边怎么着，他刚才问我生产日期是不是你们那边生产日期老吗？
[09:55.680] 我也不知道，他就早上起来打个电话过来让我看一下奔驰，他说我最近过去一趟，然后可能要提交。
[10:01.570] 行吧，您看了吗？反正现在情况就是什么情况，6号名片就够了，我也没看不知道，反正到时候
[10:08.890] 中午他明天后天过来，周五上午的话他要来的话，我跟他一起过来看一下，找我来周五8号。
[10:16.950] 行行这边。
[10:18.910] 等等，其他还有什么需要吗？车辆介绍什么是这样，还有参保。
[10:23.500] 他都看了好几个。
[10:26.110] 这样明天需要给您打一个回访，您看上午方便下午方便。
[10:30.520] 我就行了，然后后期的电话短信微信哪个方便一些？
[10:34.330] 接电话马上给你，是开车来的吗？没有行你慢了。
[10:40.970] 白天外面慢慢。
[11:50.040] 你也不我得准。
