[00:00.000] 开始结束。
[00:26.160] 59802。
[00:29.980] 这360。
[00:32.800] 260，
[00:35.670] 他人了客户了，
[01:04.890] 然后您那是505的车吗？
[01:06.820] 咱们去登个记。
[01:08.190] 您办什么业务今天？
[01:10.230] 防盗系统的报警吗？
[01:17.210] 我看一下。
[01:18.530] 你自己打车就有了。
[01:20.450] 又去了。
[01:21.690] 还有白色的。
[01:23.670] 有人拍了。
[01:24.730] 到。
[01:30.480] 咱们去看下车也行。
[01:53.760] 没有。
[01:56.290] 现在等候警察说等着什么呢？
[01:59.380] 要三方协议他们正找刚写的申请上了平完了，
[02:07.170] 知道天天睡觉，
[02:08.940] 天天催，
[02:31.160] 什么都不全全写完，怎么刚听完了，上周刚听完等等，他写申请的，后几天都得写完申请。
[02:43.960] 你就那个显示能看到吗？
[02:47.870] 那个车这有故障码的是，然后您得把电话来着。
[02:52.120] 当天起步走车，我估计包括咱们交一排队的过程。
[02:56.830] 现在今天是
[02:58.620] 25号，25号的话估计能27号能排到您。
[03:03.230] 差不多我给你检查。
[03:05.490] 27号在这就周一了，对，因为
[03:09.770] 前面排着比较多，您属于做检修的。
[03:14.790] 两种方法，第一种方法就是放在我们的第二种方法的话，
[03:19.300] 您看就近的三点就是车少的4S店去看一下，
[03:22.790] 您在质保期之内它是全国联网的是吧？
[03:26.590] 不一定非得在一家店您住哪边？
[03:29.350] 我们都是一张那边，
[03:31.220] 远山那边还有个金冠，就是往西走，有个尽管本质
[03:35.180] 尽快跟哪个没东海见过，
[03:37.240] 西五环，
[03:38.880] 就是西四环西五环有个习惯问题，
[03:42.380] 咱们电视的人太大了，所以才中国人开的，咱这地理位置比较好，在的话这个
[03:49.910] 最近有一些车多召回，
[03:52.100] 我知道我那高了是吧？
[03:53.930] 对您这算一种车型，还有C级的，还有GLK什么的，
[03:58.850] 还有老款C级都是召回，所以说车比较多。
[04:02.480] 您这属于故障维修，得我们维修组是否给您做检查，如果说他现在灯亮，那个东西我现在能开没问题吧？没问题，它只是影响气囊这块，
[04:12.300] 这个字它自己不会突然帮爸爸去。
[04:15.610] 这个极少的可能性会有，但是也不排除，因为他涉及到气囊的故障码吗？
[04:21.810] 所以说建议您尽快检查一下。
[04:25.930] 气囊这块，
[04:27.390] 我就洗了个车就没这反应了，在还我在外地洗车，人家不可能碰到什么地方。
[04:37.840] 这个东西咱们往大的说，可能是像您说可能是气囊那块有故障，往小的时候可能是
[04:43.710] 有安全带插扣。
[04:45.470] 如果
[04:46.320] 有问题的话也是抱这种故障码，
[04:49.200] 包括座椅离这里都有气囊的，
[04:52.640] 有的IY的，
[04:54.440] 还有这种东西，这门板里面有没有听到特别的侧气囊都是那种久对他都是抱着只要有一个地方它的范围比较大，
[05:06.070] 所以说你要如果着急用车，只能
[05:08.610] 先看看别的店，或者说等我们
[05:12.300] 因为我们肯定不可能天天这么忙，
[05:14.830] 一般礼拜一什么的，因为
[05:16.780] 咱们买的车这就感觉习惯在这呆着，为什么？
[05:20.250] 我要死，我要不在周一再来天两天我在你可以留个电话问一下我们店人多不多，做到帮我算一下。
[05:27.010] 户号58739166789 10万，这来人打电话问人多不多？
[05:32.740] 你说我这车有故障码，
[05:34.810] 关于气囊的
[05:36.110] 什么时候能查的上？
[05:38.270] 可以先问一下。
[05:39.860] 如果在外地也可以是吗？外地都可以，全国联网我们看着怎么个毛病，三年承保是三年保修。
[05:48.040] 对三年质保期。
[05:49.460] 年薪发照日期为准。
[05:51.550] 发票日期是
[05:53.780] 你看看哪天看一下。
[05:55.670] 这快到了。
[05:57.400] 8月24号8月14号是吧？今年7月25号。
[06:01.300] 2月对提高明白了，报告那么谢谢你，没事。
[06:08.840] 到屋里录个出门前。
[06:10.680] 出门前屋里录一下。
[06:32.400] 刚才智牙录音是吧？
[06:41.950] 下一个。
[06:49.160] 谁知
[06:51.060] 二
[06:52.310] 26。
[07:20.990] 明天。
[07:21.990] 二。
[07:33.410] 怎么？
[07:34.180] 能路过？
[07:39.670] 我会介绍。
[07:47.430] 现在遇险不放假了是吧？
[07:49.600] 假定说是要求。
[07:52.400] 啥呢？
[07:53.340] 您好，我做啥了不行。
[08:27.160] 剩下里程数。
[08:28.740] 3407。
