[00:00.000] 公里数来说不太可能。
[00:03.770] 我先给您查一下您检查多少？
[00:07.520] 咱们正常的电瓶脊柱上都有生产日期，
[00:14.410] NF2430，
[00:17.370] NF2430，
[00:31.940] 上次
[00:33.570] 上午你上班的，您怎么称呼叫姓刘？
[00:38.540] 刘峰先生不是叫赵鹏。
[00:41.130] 赵贺教授您留。
[00:44.080] 刘先生电话是185。
[00:47.200] 13418501050
[00:55.280] 您跟您对一下身份证号202111994
[00:59.530] 07040015对一全来过。
[01:04.240] 那就上回是喷漆来的。
[01:08.060] 对号的时候上回我刮了一下，然后来分析在修春秋过程中又被别人车祸了。
[01:15.870] 有关的小。
[01:20.730] 去年爆发了，对，因为
[01:25.840] 没有上班。
[01:28.520] 要
[01:29.430] 开车行，让我有信心。
[01:34.240] 我看着车
[01:36.980] 喷漆室比较频繁。
[01:39.140] 对，他之前大修过一次。
[01:42.450] 追尾。
[01:44.220] 他比较频繁，
[01:48.620] 从19年4月份开始就一直都是
[01:51.920] 说对了，4月份6月份7月份估计把那边推了。
[02:00.750] 19年您这个车最近的保养记录事故，
[02:04.740] 19年4月16号就是保养的记录。
[02:08.120] 19年4月16号。
[02:10.080] 不是说维修喷漆，我知道我早点给我了，完了
[02:14.450] 上次是个
[02:16.100] 低保这块儿是A
[02:21.850] 上次送我就是这么
[02:23.810] 上次他送了我一个怎么
[02:27.020] 所以说我得查一下。
[02:29.520] 因为这个事儿光头送没说痛，对。
[02:34.180] 那就是刚才坐这里了。
[02:37.050] 手杖对。
[02:40.920] 给你充进去了。
[02:43.880] 他后来又跟您联系过吗？也去过。
[02:46.730] 就是说送完了。
[02:48.110] 好的我不清楚。
[02:52.740] 看。
[03:02.880] 快。
[03:12.900] 可以。
[03:35.060] 没事一会我再问他一下。
[03:38.970] SA13咱能记住吗？
[03:42.730] 你就经常做吗？不是。
[03:46.570] 这太太少了。
[03:49.600] 还行。
[03:51.180] 经常撞的还行。
[03:52.840] 肯定不能定长，不是这是别人来看车。
[03:58.270] 那也不多。
[04:01.950] 高的。
[04:17.110] 33元。
[05:08.050] 电池
[05:10.360] 的
[05:13.880] 谁知
[05:16.700] 你说刚才坐着那人送的，
[05:20.060] 吴永红坐那边
[05:22.640] 口号他在过去的。
[05:29.160] 我说坐着那个事成了，他都没接过你车。
[05:33.690] 胡总和结果三对就差不多。
[05:44.870] 现在是28,800
[05:48.580] 36，
[06:02.440] 车里没有贵重物品。
[06:49.190] 打印
[06:58.600] 坏数据。
[07:03.210] 五
[07:09.410] 场
[07:10.920] 数据
[07:12.130] 句。
[07:17.280] 手
[07:20.350] 数据。
[07:23.190] 五
[07:29.180] 的
[07:32.110] 给你讲。
[07:38.950] 的
[07:40.600] 的
[08:03.720] 多大型号？
[08:09.360] 号？
[08:19.430] WDCCB
[08:25.230] cd
[08:26.720] 六弟。
[08:28.680] 一
[08:30.220] FA
[08:32.700] 187730
[08:59.420] 92。
[09:00.610] 好了。
[09:02.540] 数据
[09:38.710] 第
[09:42.470] 人。
[09:58.880] 远场
[10:01.170] 坏数据
[10:04.960] 的。
[10:16.430] 坏。
[10:17.660] 坏数据
[10:23.430] 数据。
[10:25.140] 数据。
[10:29.090] 坏
[10:32.020] 数据
[10:33.170] 数据
[10:36.880] 的
[10:41.260] 数据。
[10:49.640] 的
[10:51.890] 速度要
[10:57.030] 高端。
[10:59.840] 的
[11:04.380] 我给你无数个电话，你给他打个电话。
[11:07.680] 你有电话吗？谁跟你说？
[11:12.240] 没有我的微信。
[11:17.230] 我给你
[11:19.910] 然后你给打个
[11:22.290] 啥事呢？
