[00:00.000] 7月17下午三点几点出的时候，我会看一下哪个是我看
[00:06.290] 穿短短，
[00:08.130] 看一看全。
[00:10.900] 好。
[00:36.620] 你好，是王先生的名片销售做得。
[00:43.050] 这不是第一次来咱们店吗？这次来有约好的销售吗？您没。
[00:47.560] 过来看看，本来刚才看到了刚才说
[00:50.130] 360
[00:52.360] 什么了？他发展
[00:55.390] 到
[00:57.670] 现在。
[01:00.210] 到日本
[01:01.730] 197米，正常20没问题，然后像300的话就比它高61瓶，258平米差不多0的吗？
[01:09.670] 还有三菱的对。
[01:12.560] 第一次接待您给您介绍一下奔驰的服务公约，咱们给到客户维C银礼相待，诚信经营合法得体，各项都是明码标价公开透明的，
[01:20.660] 这叫职业信息公示，就买公司车跟其他品牌一样。
[01:24.090] 这边是结构红宝箱消费，就是谁知沃尔沃是哪一个老板？
[01:29.490] 0400818018，咱们电话这第一都是老板，
[01:33.160] 他说
[01:34.810] 换直径他是半职业，不是全店。
[01:38.620] 属于半职业，对，但是我们投资方式比较
[01:43.490] 所有开店都属于加盟店，
[01:45.460] 都得有投资商的。
[01:47.730] 整个的园区所有4S店都是归一个月的。
[01:51.190] 对老板
[01:52.710] 这个成本还是太厉害，德籍华人。
[01:55.990] 这是国企这还半死一起那种。
[02:01.540] 安全现在水污染。
[02:03.770] 这是看那样美配的分动感跟桃花量筒，对豪华
[02:08.750] 防滑的那种头给拿。
[02:10.770] 要什么颜色的那边
[02:12.530] 简单的需求分析栏。
[02:14.710] 是宝石蓝是什么？
[02:18.410] 由你们提供。
[02:19.820] 您是要哪种颜色的蓝我给您看看。
[02:22.520] 一般都没有错，基本都是黑白的。
[02:24.620] 我媳妇想的
[02:26.940] 我知道那种。
[02:28.930] 没车等不了。
[02:31.930] 满三四个月了，每周100台车里头来不了一台完了。
[02:36.260] 对主要都是黑白的。
[02:39.080] 因为根本没人买完的，您开五六年或者10年之后卖B关于车漆颜色差两三万，
[02:46.500] 你说黑的白的更好卖，对。
[02:49.480] 那就没人要那种颜色，大家都不想蓝色。
[02:53.790] 选蓝色应该搞小动作。
[02:55.710] 现在现金是用户43。
[03:00.990] 满分不错，不是一个级别，
[03:04.360] 只准备花了很多
[03:07.630] 的
[03:10.510] 而且是服务这种行业，而且还有一点，它毕竟是这种舒适感豪华感，
[03:15.280] 不是劳斯莱斯经历，没有其他车能达到的，
[03:19.790] 也不是打价格战，您说最简单的S9人看来是挺便宜，
[03:23.680] 定价也跟易定差不多40多万，优惠十五六万，
[03:27.590] 所以说一下明天改成档次就不一样了。
[03:30.490] 都要考虑对怎么说达不到这个级别的品牌硬往上够，
[03:36.210] 然后客户还不认可这么贵，客户不管，他只能一味倒下加价，就跟好比现在一样，
[03:42.290] 你现在奥迪曾经政府采购那会多规模，政府不采购也不行了，
[03:46.700] 也保持
[03:48.470] 奔驰在市场占有率非常高，它的保值率高，老百姓认可这就值钱。
[03:52.680] 对。
[03:54.500] 但是你可以看到从1月份到现在已经开始根植这么车辆陆续往下降价，所有车得销量全市第一的。
[04:01.060] 知道。
[04:02.640] 还处理他卖车车三。
[04:05.130] 对，那天我卖客户新车就是一女孩买的，零首付一个月就还2000块钱，4年
[04:11.600] 花不了多少钱。
[04:12.960] 交税没问题，因为ae它可以达到零首付资质好的。
[04:18.240] 对。
[04:19.820] 对，
[04:20.460] 对。
[04:21.440] 这种没有经手过。
[04:22.900] 我知道就不用，这就贷款的话，看您是想首付比例多少，待多少长时间都行。
[04:28.700] 金融公司把分期金融也有银行这种，比如说想提前还款，银行这种就自由，
[04:34.270] 这没有违约金的，法律帮我算一下行没问题了。
[04:38.990] 考虑什么时间购车您这边
[04:40.840] 合适的话可能比赛了。
[04:43.050] 行，您这边坐。
[04:46.050] 您这边是现成指标吗？还是置换？
[04:48.890] 旧车是什么车？
[04:50.940] 头开始。
[04:52.550] 这个空间看过，
[04:54.690] 看了一会，
[04:57.310] 我本来想过渡一下，
[04:59.230] 先把那块A组委会，然后最简单的咱讲就是开宝马坐奔驰，那宝马开过来，你得上奔驰，这肯定很正常，
[05:07.550] 往下灌不太合适。
[05:11.290] 其实我的车才8点。
[05:13.150] 这话公里数跑的多吗？
[05:15.250] 不到10万比较多。
[05:16.720] 刑师傅一会给您看一下，大概他们看的话就是18分钟，看完它价格基本上40多，现在我刚才没开过来，待会我夫人怎么过来。
[05:25.590] 行没问题，我之前处理下来11万行。
[05:30.100] 没问题，然后给您看一下，下边方便，咱们换时候会给您准确点，现在是参考价。
