[00:13.660] 维修二班，
[00:29.680] 京N25bf9是吧？
[00:32.730] 4
[00:34.460] 10。
[00:37.800] 您的身份证带着
[00:39.530] 的身份证号您拿这个举证就行了冯先生吗？
[00:45.430] 打电话。
[00:49.880] 远
[00:51.380] 数据。
[00:52.920] 坏数据。
[00:56.480] 数据
[00:58.080] 场。
[01:01.790] 数据
[01:11.160] 行我就不用打电话通知了。
[01:16.880] 晚点12点，对您看您了。
[01:23.710] 对了。
[01:27.780] 没事了，肯定。
[01:30.690] 上班现在里程是30142是吧？
[01:39.960] 12公里。
[01:41.460] 3万多公里。
[01:42.860] 多少我也不知道。
[01:52.990] 行。
[01:59.780] 的
[02:05.760] 坏。
[02:07.400] 花。
[02:13.640] 的
[02:19.290] 的
[02:20.860] 远
[02:22.880] 了。
[02:28.600] 车牌号是京N
[02:30.680] 6os23
[02:34.730] 926185，对。
[02:37.190] 2011
[02:41.590] 92618
[02:43.320] 0。
[02:54.440] 已经开始和那个了。
[03:04.630] 你刚才说安排
[03:06.060] 都了。
[03:07.290] 不要说三
[03:17.230] 0.39。
[03:18.660] 电话1343936288。
[03:22.010] 然后身份证号
[03:23.620] 马上立马在
[03:25.690] 第三
[03:26.960] 主要好了。
[03:32.390] 保养咱们是分着做还是说
[03:36.090] 卖保险卡座？
[03:37.890] 保养
[03:39.570] 之后没有要。
[03:41.600] 这样。
[03:43.540] 是分着做的还是买保险卡中？
[03:46.030] 真的多少买保养卡？
[03:51.990] 保养卡的话能便宜点，基础保险
[03:55.000] 能便宜点。
[03:57.040] A跟BAB
[04:00.320] 最多是最少的是一次A一次B
[04:03.900] 然后2C2次第三次为三次。
[04:07.260] 一
[04:09.810] 等会我给你看一下，2700多。
[04:16.460] 900。
[04:20.900] 900 933。
[04:24.090] 下
[04:35.510] 里边会包含一个空调滤芯，
[04:45.430] 刷
[04:50.780] 两年三年。
[05:06.580] 五
[05:11.740] 然后A宝是933，制动液是409，
[05:17.900] 然后空调清洗是759，还有水乡情也是500
[05:23.800] 百
[05:27.640] 能。
[05:28.610] A宝是933，然后之中业是409，
[05:32.860] 空调清洗是两年是759，还有水箱晶体是580，
[05:38.270] 后面我只有一个K单独就要一个A宝是吧？单独做一个
[05:48.570] 稍等一下不要扔了。
[05:56.690] 场
[05:59.350] 数据
[06:25.950] 那就给您做A保了R933，
[06:37.990] 的
[06:41.380] 的
[06:47.560] 的
[06:48.860] 数据。
[06:52.860] 谁知
[06:55.670] 完了的。
[07:00.360] 可以
[07:01.540] 把钱都转过来。
[07:07.880] 一会儿
[07:12.230] 你确定他转了。
[07:16.430] 谁知
[07:19.770] 了
[07:20.680] 大家
[07:24.880] 网上
[07:30.150] 你到永远
[07:34.070] 场数据
[07:39.950] 坏数据、
[07:41.160] 数据
[07:44.080] 数据
[07:47.380] 场、
[07:50.560] 场
[07:54.180] 场
[07:55.290] 场
[07:58.240] 远。
[08:00.810] 乐、坏、
[08:03.180] 坏、
[08:10.240] 行了，您休息吧。
[08:12.630] 给你打电话。
[08:22.480] 您坐这边来，我给您办一下。
[08:31.810] 工作。
[08:32.680] 能够
[08:35.740] 先拿着吗？不是责任有空间可能把号
[08:42.470] 了。
[08:43.360] 在今天
[08:44.670] 没想到车放着又还得去办事了这样。
[08:48.410] 有吗？刚才你有几个你说不交费的，我看你没打出来是吧？
[08:54.640] 都有。
[08:55.340] 稍等一下，您做一下。
[09:02.120] 京F72188
[09:14.830] 这个是收费的。
[09:16.790] 这个是您的保修的，然后这个是不收费的，你们都给您打一共是三份。
[09:25.680] 我先做个单子，然后
[09:27.280] 过程都会给您。
[09:42.610] 三
[09:47.560] 上午
[09:52.840] 的。
[09:56.710] 看一下。
[09:58.790] 玻璃那也都了是吧？
[10:01.860] 钱作怪学习了一下。
[10:07.260] 花。
[10:30.890] 三。
[10:37.870] 您的发票怎么开
[10:41.800] 的？
[10:48.480] 的
[10:51.860] 的
[10:52.820] 的
[11:05.950] 有没有什么优惠？没有是吧？都是套餐价。
[11:09.160] 都是打完折的套餐价。
[11:12.980] 考量
[11:22.510] 咱们的保养
[11:23.900] 坐高点是吧？
[11:26.410] 保养上面你买比较多，
[11:31.700] 太阳有点晃，你们好些是三年必须做的是吧？哪个你不是有好几个项目，三年第
[11:39.380] 对刹车油是两年，
