[00:00.000] 叫开始交车，
[00:10.420] 做了一个轮胎压力的检测。
[00:12.240] 2W5结账，2W。
[00:14.730] 五。
[00:42.470] 开了。
[00:43.300] 好了，
[00:44.560] 我那俩还领了就算了。
[00:47.460] 向东从晚上
[00:49.210] 回来关电脑了，你找我了，往哪跑过去了？
[00:55.730] 没拿咋交单子，我俩没聊。
[01:08.170] 花
[01:10.610] 数据。
[01:11.970] 场
[01:15.600] 句。
[01:18.160] 一
[01:19.950] 的。
[01:21.160] 花、场、
[01:26.730] 数据。
[01:28.340] 数据、
[01:29.120] 数据、
[01:31.010] 数据、
[01:47.510] 钱、
[01:51.970] 数据、
[01:54.740] 数据、
[02:00.380] 数据
[02:01.560] 数据
[02:04.110] 数据
[02:09.040] 数据
[02:12.310] 场
[02:15.560] 数据
[02:19.410] 的
[02:20.690] 数据
[02:22.710] 要
[02:28.020] 场。
[02:36.930] 数据。
[02:39.650] 场
[02:52.540] 店
[02:53.680] 数据。
[03:01.690] 为
[03:04.760] 数据
[03:07.240] 数据
[03:11.750] 场。
[03:13.510] 场。
[03:38.160] 场
[03:39.300] 远
[03:42.450] 开展忙着打
[03:44.200] 叫什么？
[03:45.610] 马上我找个车钥匙，我说找找不着，
[04:49.400] 然后我个唱个车到了，吃饭都找不着。
[05:53.200] 说
[05:56.960] 的
[06:05.270] 的。
[06:07.720] 二
[06:10.320] 三
[06:35.010] 没丢当中放哪呢？
[06:37.810] 不知道。
[06:38.700] 你得分钟。
[06:46.130] 稍微晚点要找话讲了。
[07:16.470] 就按返回到条道路。
[07:18.900] 不进来。
[07:31.760] 没有人我测试出钥匙吗？今天
[07:41.370] 好之后你们有没有当天没洗车的？
[07:45.450] 都放哪了？
[07:48.150] 箱子里的搬箱子里的单子。
[07:54.400] 我找爱车，我看有没有钥匙。
[07:57.270] 这一块。
[08:00.570] 主要是你看你们应该都交过来多好。
[08:06.760] 我这是前天才说的都是
[08:11.150] 进而
[08:12.140] 我就说这前天的事，
[08:15.400] 没事得说着往底下一放，
[08:18.360] 能不能放两天了？
[08:23.590] 等等。
[08:24.970] 不怕，我怕找不着钥匙丢了。
[08:27.980] 他在他身上找回来，
[08:29.400] 你看我们哪去了？
[08:32.190] 觉得不了，你说太老，
[08:34.460] 你为什么不交？反正这么多了。
[08:38.260] 交钱你。
[08:39.130] 你得拿过来几个。
[08:40.290] 他们洗的吗？
[08:42.770] 有一篇没写上。
[08:45.340] 肯定没有的，丢了还能碰一下分了吗？是不是吗？
[08:50.870] 还有我让我自己来，你
[08:59.880] 对
[09:01.510] 的。
[09:05.070] 了。
[09:05.850] 坏
[09:26.410] 了。
[09:39.370] 走
[09:40.720] 走
[09:41.860] 走。
[09:44.180] 走了。
[09:47.220] 你要是不去。
[09:48.580] 楼上还有吃的。
[09:49.800] 买。
[09:51.160] 买的啥什么的。
[09:53.200] 9
[09:55.150] 9。
[09:56.320] 的。
[10:01.730] 傻搅。
[11:13.950] 号
[11:15.250] 号。
[11:17.330] 那个是你干的吗？
[11:19.080] 6~8钢。
[11:58.440] 我马上到了，我上来了。
[12:16.720] 说你门口了给您检查外观，
[12:19.820] 建议您下次保养，再一年1万公里之后心脏为主任，
[12:23.400] 祝您用车愉快，再见。
