[00:02.760] 2020年7月28号韩春晓客户李莉教授录音，
[00:10.150] 感谢二，
[00:11.350] 我姓郭，郭靖负责您这个车的功能介绍，前面春晓给您订车出恒大票保险，我主要负责工程的一个讲解，
[00:20.180] 时间咱们差不多在40分钟左右的一个时长，首先咱们买的是lb的200，
[00:26.510] 蓝车黑内是车架号。
[00:30.340] 您自己再核对一下，
[00:32.050] 跟您初始合同是完全一致的。
[00:37.990] 没事，您对一下。
[00:39.340] 014116。
[00:40.740] 对，关键是您再检查一下，没有问题咱们就讲过了吗？
[00:46.440] 对他就放。
[00:47.580] 没事，您就在网上看看你没关系了。
[00:50.660] 因为每个车队来了以后，店里会
[00:53.960] 有质检，
[00:55.410] 然后再过电视也会查，到您这儿的话应该是第
[01:00.200] 第4遍。
[01:01.280] 对。
[01:21.840] 行，您查一下，没问题，我就给您讲过。
[01:24.380] 了行没啥问题，这里面是什么公事包，一会我骑车您。
[01:29.430] 眼接一下。
[01:30.290] 说明书，用荧光剂中医这些您坐副驾咱们开始好吧？
[01:38.230] 您上车我关门。
[01:47.390] 之前开过奔驰车辆吗？
[01:49.250] 一下是这样子是吧？行没事。
[01:56.630] 首先这个车主要是启动是标配，
[01:59.690] 要是一定得在车内，然后您踩住刹车按一下启动键，车辆就打着了。
[02:05.680] 这个车上有一个功能叫做梅特德斯密互联，它对应的是这两个案件，我待会会您实名认证激活，具体最后告你干嘛用呢？
[02:14.080] 待会我这完事儿客服有一个对应的面访，咱们对应签几个字就可以。
[02:19.640] 座椅的调节首先都这样的人士，包括。
[02:22.630] 这边还在。
[02:23.480] 副驾驶手动。
[02:25.410] 暑假我记得当时不是说4个门上应该都有的类似于的。
[02:30.480] 不会，后排肯定不会有。
[02:32.410] 那是。
[02:33.290] 你可能看他配置不一样。
[02:34.760] 跟B是不是？C里面对C4大扭。
[02:39.910] 是强后和座椅的高低
[02:42.440] 靠背。
[02:43.710] 您那边从前往后摸第一个大圆钮，
[02:47.300] 是底下平面座椅的，一下战警是。
[02:50.440] 一第二个横着的大拉杆。
[02:53.310] 一下下往起抬是做一家靠背的高低。
[02:56.230] 一下相机。
[02:57.830] 对。
[02:59.120] 最后边使劲摸，有一个大远景，最后边那个是靠背的调房间调节。
[03:05.940] 4门锁止开锁，
[03:08.070] 这个位置锁车开锁中控，
[03:11.040] 中间这个案件是受镜子洗车机坐车的时候您手动去调整一下。
[03:16.850] 恩量左侧
[03:18.430] 调节的是左边镜头的视角，根据4个根据驾驶习惯4个小箭头那上嘴唇位置，
[03:23.850] 那辆右侧对应点是右边。
[03:26.060] 首先下边这4个按键是4门玻璃的一键升窗，
[03:30.430] 最下面N键点亮了，那坐在后排的乘客玻璃是动不了。
[03:34.890] 的拉小孩的时候，您想着点就行。
[03:37.400] 后备箱的话在
[03:39.690] 往外蹬一下就打开，
[03:42.900] 往往里长安是关闭，因为本身是电缆就不用下车了。
[03:47.200] 了按住别撒手，
[03:49.020] 就直接关上了。
[03:54.340] 咱们车辆的大灯位置是左手圆圈这个区域，
[03:57.960] 小竖线现在指向AOTO代表自动挡，那光线不够的前提下，大灯首先会自动开启。
[04:04.500] 平常不管G隧道下地库或者傍晚擦黑着大众不做任何操作，就在这就不动了。
[04:10.060] 左侧这个案件是手刹，因为是电子手刹，
[04:13.970] 平常也不用控制。
[04:15.460] 太凉了是吗？一点。
[04:17.550] 条条低点我们关注就行。
[04:22.000] 红色线圈，P标识是手刹，
[04:24.890] 平常就不用管，挂挡的话咱们看一下这首善，
[04:28.800] 它会自动解除。
[04:30.250] 你刚说是手刹是在哪位置？
[04:34.350] P但是这个地方不是有个屁事。
[04:38.020] 这个是挡板。
[04:39.960] 适当的手上相当于以前。
[04:43.520] 杂项对没错。
[04:46.160] 在归到P档以后，
[04:48.370] 您灭车或者是主家一开门看手刹，
[04:52.190] 它是自动上。
[04:54.080] 以后手刹完全不用控制。
[04:56.100] 对。
[04:57.630] 大灯和手刹都不用控制，
[05:00.600] 右侧上面这根件事物动，雨雪天气要摁一下，开的时候橙色的小东西有提示您。
