[00:00.800] 是啊就他首次现在开始。
[00:03.670] 噢噢我知道了。
[00:25.840] 我问您在什么位置，我接一下您。
[00:32.330] 是刚开始。
[00:33.600] 呃谁给我打电话？
[00:37.030] 嗯
[00:37.820] 啊
[00:39.160] 啊是来奔驰，您没有来奔驰店看车是吗？
[00:43.960] 噢留的是别人的电话是吧？
[00:49.880] 噢行，吧那您到时候您那您给我。
[00:55.080] 没有，我我是买的利润。
[00:56.980] 1/2%，现在西四环就很小。
[01:00.090] 好。
[01:01.970] 来了吗？那我不知道。
[01:04.280] 那要不然您方便的话您打我电话或者说您。那个
[01:09.740] 行行吧好的我打电话。啊啊
[01:12.740] 好好开了。
[01:14.360]  Yes. 
[01:14.960] 行有个电话吧你。
[01:16.970] 没事无所谓。
[01:19.960] 好那个赚钱了。
[01:22.000] 稍等您嗯486689。
[01:24.630] 嗯
[01:25.680] 1390
[01:28.020] 1381668。
[01:30.420] 2258呃那他留进去的时候啊王主任好勒好勒好勒。
[01:35.940] 唉好好
[01:37.120] 噢噢噢还是你已经到我们店里了吗学生？
[01:41.120] 还有一个。
[01:45.240] 等会儿啊等会儿等会儿吧。
[01:47.300] 这是3388。
[01:51.320] 这这
[01:52.930] 啊你看这。
[01:55.030] 你好。
[01:56.180] 唉
[01:57.020] 这是谁？这是bc客户。
[01:58.910] 啊
[01:59.680] 是这个是这个是我说我们等一会我是第一次要你进入路嘛对吧？
[02:06.820] 比方说接待。
[02:08.000] 这也。
[02:10.270] 嗯太小了。
[02:12.590] 对帮我看一下。
[02:14.910] 唉你好。
[02:16.160] One。
[02:17.570] 汪总噢您跟您预约过的，这个对预约过的刚才打的黄女士的电话，对你看你搞，
[02:25.460] 然后这这个人是谁？啊134113401022410，这也是你们销售。
[02:34.000] 好，你是之前有人联系我们店里同事是吧？对不对？联系我你赶紧接接过来你接。
[02:41.810] 你不是给您那个邀约的，嘛那你们邀约做什么，对你赶紧接待人家，嘛对给梁宇，吧因为我们是安排专人接待你知道吧？
[02:48.610] 嗯不是，就是说你觉得这两个人当时就麻烦了。
[02:52.120] 嗯嗯
[02:54.200] 嗯
[02:55.200] 然后我给你转过去。
[02:57.040] 你从我这直接给他切过去就完了。
[02:59.480] 怎么怎么入站也联系了是不是？
[03:02.500] 好。
[03:05.450] 但是我忘记了。
[03:06.920] 但是啊这是汪先生。
[03:09.270] 嗯对对对，他那个电话可以。
[03:13.150] 嗯嗯嗯
[03:16.890] 那就是按照你说的这个
[03:19.240] 那天
[03:21.210] 是就刚来的。
[03:22.560] 呀
[03:22.760] 行，没问题。
[03:24.080] 那我那个那个你直接能切走吗？
[03:26.410] 我却我知道我不知道是所有数据现在显示说。
[03:32.070] 你到时候回头切。
[03:33.110] 吧
[03:37.190] 那位先生了。
[03:42.790] 没有
[03:44.450] 你们聊什么？
[03:47.950] 有那个 c43的。
[03:49.880] 是是驾车吗？
[03:51.140] 确实是没有的。
[03:52.800] 9c63啊一会儿他接待您了。
[03:59.270] 来。
[04:01.300] 嗯嗯
[04:02.280] 谁知
[04:07.030] 讨论好了好了吧？
[04:13.980] 哪位魏先生？啊
[04:15.750] 打电话给他。
[04:21.120] 那个
[04:34.810] 喂
[04:41.650] 他这个
[04:42.990] 主要是。这个
[04:44.880] 唉你好，魏先生吗？
[04:47.510] 啊那个名离婚，现在什么位置找人家？啊
[04:52.550] 他们。
[04:53.030] 这个
[04:54.560] 是跟你说噢主要试驾一下是吧？行了，给您张名片把那吃吃药好了，咱咱们第一次来没犹豫过没有没有没有，我来过好几次了，来过好几次勒好勒好勒。
[05:05.070] 本来想买那个 g r c的，后来觉得那个是这点一般般一般般，还不如买胶，没有，我看看grp怎么样，这个第一批嘛不是新车嘛是吧？
[05:13.860] 咱们这边有咖啡喝点茶还需要喝点东西吗？不要了不要了是吧？那您这样写吧您稍坐一会，我给你登记一下，大概2~3分钟。
[05:20.640] 然后您来咱们奔驰看车，呢我给您给我服务公约，我先给你宣读一下。
[05:25.170] 大概就是客户为尊，以礼相待，诚意经营合法合理。
[05:28.930] 没事没事了好了，第一次了好了好了好了好吧？
[05:32.430] 我过5分钟我过来就行了，行没问题没问题。
[05:36.410] 我们可以从里面得到，
[05:38.340] 是吧？我们重新看一下我们年轻人的工作，
[06:06.000] 他说法官一个
[06:06.950] 他们好多人。
[06:08.560] 要办。
[06:09.460] 我得看一下。
[06:11.010] 你有什么证据没有？
[06:19.800] 嗯
[06:33.950] 是姚碧。
[06:36.790] 就像他老接这种客户，
[06:38.800] 啊
[06:48.270] 是这样子的。
[06:49.320] 空间巨头它不是一个厚一点，
[06:54.900] 我方有没有
[06:58.190] 不及工资。
[07:00.270] 什么情况我就是唉这这么紧张呢？
[07:04.720] 现在你知道你知道卖车多不容易吗？
[07:07.520] 我们厂的电话是也是靠时间的，呀
[07:11.520] 你们有工作量的。
[07:13.830] 好谢谢。
[07:15.030] 能理解，因为设计不能做的那什么，吧主要是说我他今天的伙伴能回去时间是不行的时间。
[07:23.030] 联系过我们，
[07:24.980] 我这不到5分钟就可以吧朋友给我打电话，你告诉你这问题不错了。
[07:33.700] 乔的时候有人出价了。
[07:35.930] 你看看这什么情况，无人机了是不是？
[07:56.120] 没事儿，那教授逼着要着。呢
