[00:00.000] 稻香衣服什么都帮他人。
[00:02.110] 首选。
[00:03.030] 但是潍坊寒在这里的
[00:06.540] 感觉到
[00:10.030] 书香版没什么渠道上哪个牌照购车。
[00:12.350] 都是计算技巧都不了解要政策您在您当时提车过去。
[00:16.680] 北京牌照是吧？北京牌照您做置换。
[00:20.690] 我现在还在我
[00:23.990] 跟着上火，
[00:25.170] 我还没落户。
[00:27.000] 另外您把车卖了，把旧车你也不要了，
[00:30.750] 给您报不了价格。
[00:31.800] 那就。
[00:32.290] 您可以来展厅。
[00:33.430] 那就不是置换，那就是北京牌照指标购车，豪华出险的话，现在499,800，北京牌照的现金会有综合优惠先生。
[00:40.260] 主要是看您什么时候来有没有车，因为300号这个车最近
[00:44.580] 有山特价车出售的，店里边有现车，优惠幅度也比较大，而且店里边的话现在出了一批拍卖车，如果您要考虑比如说新车就会觉得不太高的话，你可以考虑这个车
[00:57.920] 您就再碰到了。
[00:59.790] 499,800的裸车指导价，您北京牌照的话现金汇65,000~7万左右，当然具体的成交价格得到展厅让销售顾问帮您查，因为我们这边只负责做预约，不参与收车。
[01:11.140] 上万就可以上，但是没有的话你要知道。
[01:15.880] 不会，这个是有可谈空间的先生，我们这边权限是最低的，我们不负责谈车，我们只负责帮您做预约，所有的价格需要您跟展厅的销售顾问他们参与售车，你得跟她沟通，大概是想要一个现金优惠还是售后类的服务，
[01:29.660] 这些东西都是需要您面谈的，您人不来让我们电话给您报一底价，你也提不了说销售经理肯定不会给价格的，即使有可谈空间。
[01:37.820] 当天的价格给您申请，您现在是在北京还是在外地的？香港河西那边。
[01:43.350] 过程。
[01:44.100] 那就更没有意义了先生，您在河北我随时都不能给您保证我这车能给您留到您来的那一天，您来之前您最好比如说您明天过来，您确定好我来的时间了，您再打电话，确认好我们这边有车了，我们好给您报价。
[01:57.130] 因为这个东西正好赶上6日，而且咱们近期的话刚才跟您说了有拍卖会的活动，店里边的客流是非常大的，我不能跟您保证价格，随时都是这个价格。
[02:06.910] 千10%。
[02:09.100] 吴氏二手车都是新车准新车99成，新的所有的公里数都没有超过1万的，
[02:14.330] 都是几千公里或者几百公里，甚至还有47公里，她是展车。
[02:18.840] 车上。
[02:20.020] 车辆、
[02:21.280] 不是试驾车，是展车先生，他不是私家车，私家车的话也会有磨损消耗或者说驾驶痕迹，这些都没有。
[02:29.550] 不行你先打电话，我相信您当地是一个什么样的意思，应该没多少吧。
[02:36.880] 你想什么？
[02:38.230] 对肯定的。
[02:40.460] 我不太清楚就看看。
[02:46.340] 我不太清楚先生，因为我确实不参与什么车，我要知道我就直接给您报了，我也不跟您墨迹了，因为我。
[02:52.400] 我没有。
[02:54.610] 我知道，因为打电话。
[02:56.150] 对，打电话的话肯定都是先来询价的，但是我要是能给您报价的话，我肯定就给您报了，他就之所以没让销售来接电话，就是因为不让我们报价，
[03:05.110] 所以让我们给您做预约，因为所有的价格因为我及时给您报了，我说今儿8万您提了您也不来，您明找我来了8万我给不了了，非常容易造成这种客户就是说感知特别不好，所以我们这边是不允许报价的。
[03:18.670] 价格其实您不用担心，您既然打过了，我就跟您说咱们是西区最大的总店，厂家给的返利的政策是特别高的，
[03:26.700] 而且咱们这边客流一直也比较高，所以厂家给他所有的返利优惠，我们都会如实的给客户留着，这个价格您确实不用担心，只要保证有车您奔驰北京牌照来，咱们这买车肯定价格在北京是占优势的，您放心，因为好多客户就是说从我们这问完了价格去别的店在万，
[03:43.170] 人家其他的店里边那车都不太好卖了，我们价格给的低直接给到底价了，所以说这样的事不能再出，因为厂家有
[03:52.030] 点你们不能在这电话里报价了，对吧？对，因为北京这么多家店，你老报价人其他的地方都要约不了，客户就没有客流，人家的车就长库龄了。
[04:02.460] 其实特别不好销售，对就搁置了，所以说我们现在主要就是邀约，因为我们现在也有录音监听了，我确实不太能跟您报几家，您要说对您确定好时间随时联系，我先把我电话发给您贵姓？
[04:14.810] 官网玩一下。
[04:16.500] 梁先生您好，我叫侯阳，然后咱们这个车的话展车试驾车也都有，您来之前可以提前跟我预约一下，我给您安排咱们这边最好的销售主管接待您，一定给您个最大的优惠好吗？
[04:26.050] 您惯这帮厂家都。
[04:27.380] 期待您的光临，也祝您生活愉快，梁先生再见。
[04:32.690] 对，所以说
[04:34.150] 电话没关系，对，然后分享过来他说失败。
[04:39.770] 对厂家国家都有。
[04:46.730] 以前不同，
[04:51.190] 报不了。
[05:07.140] 电话。
[05:13.840] 24
[05:31.190] 好。
[05:36.230] 你明天过来
[05:37.530] 的。
[05:39.250] 他麦蒂那种穷困的，他说
[05:45.460] 你先开心就不用管我，我承认当我爸的了，他有太差哥哥姐姐车窗外还碰他也行，你算过你看你们自己吃饭，你这还给我，不是，我刚才是用画面了，我讲过，因为别人再加上没床上板里面，
[06:01.330] 我查一下就行。
