[00:00.000] 这边需要一下您的驾照，跟咱们车辆行驶本给您做个登记。
[00:13.350] 好勒。
[00:21.930] 先是电话跟您核对一下，1366110848。
[00:25.700] 三
[01:26.500] 咱们实际上C200，车牌号跟您核对一下，京N11H88，
[01:40.870] 的。
[01:42.070] 昨天
[01:46.340] 我看您之前留了一个2511尾号的电话，
[01:49.720] 我就改成您那个了好吧？
[02:02.070] 上
[02:04.810] 上
[02:17.450] 证件你先说好。
[02:19.450] 还有
[02:21.880] 这边咱们走的是一个平安的保险，咱们防洪
[02:26.050] 大夫车险贷车险的身份证跟银行卡，您给咱们保险那边就是不那边都已经留好了吗？
[02:33.180] 是这样。
[02:34.680] 身份证比较好，但是因为明天我今天没看，那就是您取车的时候停车了，直接给他们补就行了。
[02:42.240] 对，完了账单的话，我会提前把这个账单给他们的，就不用您到这边拿账单了。
[02:47.910] 给办完了才能给
[02:50.640] 才能
[02:52.320] 赔钱的，对没错。
[02:54.450] 然后再去的时候把原来拿可以没问题。
[03:01.310] 这不用一个星期，反正用不了差不多，今天是周日，我估计周四应该就能通知您取车了。
[03:08.410] 你给我打电话。
[03:11.080] 没问题。
[03:12.400] 快下去。
[03:19.370] 你在这类我没太
[03:22.220] 还得那边你
[03:24.570] 他在
[03:45.310] 做培训去，咱们去看一眼车，哪几个部位我跟您说一下。
[03:49.310] 完了车上的贵重物品，一会你再看有没有需要收拾一下。
[03:53.640] 来。
[04:01.830] 上网拿个手套。
[04:12.120] 好了，
[04:14.880] 咱们看一下车去车您从哪了？
[04:19.820] 这来。
[04:22.120] 行，就那个店第二排看到了。
[04:25.990] 先帮您把塑造铺一下。
[04:35.640] 集中在咱们左钱是吧？
[04:49.880] 穿东西你再看一眼吗？
[04:52.850] 行。
[05:17.300] 好，请。
[05:18.070] 唱起了。
[05:20.250] 好，下来这么一个格局，
[05:22.600] 你要不要？
[05:35.880] 咱们现在是21,219公里，还有一半的
[05:45.600] 这个字标，因为咱们不是得喷漆，到时候还是给您去粘一下咱们这个字标了。
[05:51.890] 叶子板不是有一个字标，它还给您调一个前-8，应该我看着有点。
[05:56.960] 掉漆吗？
[05:58.280] 还有哪个位置？他给你订了一个三块吗？
[06:00.940] 233。
[06:02.450] 我帮您看一下。
[06:07.760] 这块是8后杠这块行。
[06:10.640] 叶子板我当然不给您抛一下，因为叶子板那里稍微有一点点
[06:19.670] 三块划痕，我看谁
[06:22.520] 就这样的对。
[06:24.940] 对，因为我们是整分。
[06:28.720] 对，我们都是整分的。
[06:30.750] 别的地方可以吗？
[06:32.580] 对，刀刀帮您全都抛一下，我看您访问性这也都有点淡淡，这我不知道能不能抛下去。
[06:38.290] 有点深。
[06:40.600] 行了，来咱们去办公室。
[06:43.070] 这边您帮我参谋帮助。
[06:45.340] 不是全都给它碰了，是给他抛个光，
[06:52.970] 就拿咱们那些抛光蜡什么的给您再去打一下。
[06:59.170] 来，
[07:02.590] 好。
[07:03.640] 谢谢您。
[07:09.050] 您稍作，我把单子创建完之后，您帮我签个字可以了。
[07:13.020] 预计的时间就是咱们4天左右没错。
[07:16.600] 不行，他说星期四五的现行
[07:20.560] 对，周四您先好，所以干脆周六来可以。
[07:36.160] 您取车的时候别忘了带身份证来就行了。
[07:39.270] 借着身份证和银行卡。
[07:41.240] 对这两个东西银行卡您让他们照相了就可以不用带了，钥匙让您就俩一块拿过来。
[07:48.430] 对账单的话我会提前给那边的。
[07:56.720] 平安咱们保险这边的手续都齐了，
[07:59.410] 就差您代步车的那边了。
[08:14.600] 您稍等一下，帮您把功效加一下。
[08:19.710] 咱们的这次相当于是咱们的前后杠跟咱们左前叶子板
[09:20.400] 再给您去做一个咱们免费的常规检测，
[09:23.360] 交出的时候要有什么其他问题的话，我跟您去说一声。
[11:55.000] 我把我的联系方式给您写了。
[11:57.260] 双人徐三石磊，
[11:59.630] 电话是18910086082，
[12:04.120] 有事的话您到时随时给你打电话。
[12:06.260] 中午在这吃饭吗？
[12:07.960] 不吃了是吧？手续都齐了，我一会就安排咱们开始维修了给您。
[12:12.700] 我拿你打电话我来取，对，但是您的银行卡
[12:18.000] 包括
[12:18.880] 身份证，
[12:21.920] 我们这边的。
[12:24.760] 咱们刘潇专员。
[12:27.980] 咱们的刘潇专员没事，
[12:30.770] 帮你协助您办理保险理赔什么的。
