[00:08.050] 赵阳、黄梓琪、
[00:14.480] 我还没下班，我就是告诉你一个噩耗。
[00:21.850] 你干嘛呢？
[00:23.650] 我在刚刚大家举手怎么了？打过后。
[00:29.160] 这台车在昨天让人给定了，
[00:34.310] 因为我这两天这牙疼请假了，想支持我说要去拔了去，
[00:40.720] 就没顾上这事儿。
[00:42.360] 结果我现在我说想起这茬了，我瞅瞅，
[00:46.100] 就发现7月2号
[00:48.270] 7月2号交了定金了。
[00:50.110] 乐坏了。
[00:51.200] 不过我远了我让我没办法。
[00:54.410] 真的无缘吗？我看后边再来都7月21号才生产下线。
[01:01.430] 行。
[01:04.880] 你帮我看看别的。
[01:06.640] 我看看那什么，因为我是看了我旁边帮我打听了，他说有一个白外红。
[01:13.230] 红那房子到挺好看的。
[01:15.640] 我看。
[01:17.490] 这周走他们好像是马上到，他们也能看到，他就跟
[01:22.910] 房发。
[01:24.400] 离这也不远，反正应该没事儿，他是在丰台边边上应该没事。
[01:31.720] 对，我就是想要祖母绿，因为我刚才也问你的同事也问过他，我有没有他分频率太男性了，要是要常州有要求不？我都没有。
[01:40.620] 我们当时后边还有
[01:42.650] 不行的话，不行你就定那台，你哪天来就只能这样，那台就是得7月21号才下线不？
[01:51.360] 他要7月21号下欠本金的，8月份到了，看能不能等就得提前订。
[01:56.830] 反正白白红内我们倒是有一台现脱。
[02:04.340] 刚到三天，这上面写的是。
[02:08.410] 我昨天还问你有没有白外红？
[02:10.960] 之前这些事真没有，我爸这台怎么蹦出来的，我这扇空调。
[02:16.180] 什么本来明天我今天还想给你加微信，我们明天下午左右问问题，或者是问问承担到一点他们去哪个店。
[02:26.260] 你看他。
[02:26.930] 有白虎。
[02:27.570] 你看它的价格，咱肯定最后价格合适在哪来，
[02:31.110] 万一他那样给我便宜，要比我们便宜，我也没招，因为现在我们确实价格上来了。
[02:37.310] 了我知道过他是在那个店里面做产品，所以差
[02:41.810] 要权利要大一点。
[02:44.030] 我觉得那个店有可能，因为我们现在
[02:47.890] 7月份方式改革的销售模式也改革了，
[02:51.230] 都好大好大的变化，因为咱都聊这么多了，我肯定是希望你哪合适在哪买，因为谁挣钱没那么容易。
[02:59.950] 机器人他刚跟我说了说
[03:01.840] 房子综合楼7万。
[03:04.510] 不少，我觉得
[03:06.880] 我觉得我们应该到不了，要综合期望，你看看装饰做多少什么的。
[03:11.930] 我就跟说我不做装饰，
[03:14.120] 我是那天想跟他聊白外红妹，他也没说说你不要等中国人，中医首先找不到太难了这个数。
[03:22.080] 而且他说不要因为你这个车的颜色去影响你整车颜色，外表颜色太容易改变了。
[03:29.500] 就是这么说的，后来我说还是因为我跟我讲其实说好，我说等到他那个问题他在帮我修车，
[03:35.690] 然后后来我就顺带问了一下多少钱，然后我就跟他如果没有实在没有什么意见，就考虑材料的妹妹，
[03:43.240] 反正我问了我问别人就别老玩车的大哥们，他们说
[03:49.490] 白外红开会将来也会保持会比这个归类要稍微好一点。
[03:56.450] 发一下Google或者。
[03:57.620] 白车黑保值白色红米不一定，反正。
[04:01.630] 但是。
[04:02.880] 但是白车他还是比较保值的，这有什么说什么确实是。
[04:07.160] 对，他说他说是这样，如果同样白车黑内和白色红妹，可能你红妹如果卖，如果将来你的下游客户卖衣裳的话，这房子能够卖2000块钱，
[04:16.520] 这是没问题的，因为一般都愿意有个宫大院叫红妹，还有一个特色。
[04:21.420] 那姑娘花他也想要特别一点。
[04:24.500] 对，或者说他说你不要因为这个颜色去影响你，然后我就问一下他的价格，一我不知道还是当经理了，我说你能不能跟你们老大给你传一张给我，他就会为他
[04:36.320] 就说他火就是老家现在。
[04:39.470] 然后。
[04:40.590] 连接。
[04:41.610] 65,000，保险优惠5000。
[04:44.840] 还挺合适的，我觉得。
[04:47.680] 然后还有
[04:51.860] 他什么电车给我一个最低。
[04:55.650] 有9。
[04:56.900] 他们店验车坐699的活动是。
[05:00.730] 然后还有啥不要装不要加装饰，因为装饰他问你要加装饰我还能再给优惠客户。
[05:08.690] 大头是一个二。
[05:10.750] 你这样你跟他聊聊就装饰让他给你便宜点给你。
[05:14.890] 你在他电脑后面。
[05:16.330] 他不是好的，他用的什么？
[05:19.000] 媒体上磨，
[05:21.820] 我都没听过。
[05:23.560] 对我都没听过，我说后来我就问不是也有大哥他不是开这个店，我说他给我12,000，他说他不要来，我这弄就跟他说不要总是
[05:34.110] 在他那说5000元撑死了，给弄一特喝凉的都会用什么温度的或者是对。
[05:39.760] 我觉得真的反正外面天翼维护的毛差不多5000块钱。
[05:44.780] 我去年就微我你。
[05:46.800] 了对。
[05:47.730] 也相等吗？
[05:48.540] 对，那会儿不是我们送到市。
[05:50.900] 优惠少吗？我那会才优惠48,000。
[05:53.650] 其实你加上差不多也是6万了。
[05:55.620] 你就装修房子做他要12,000，还不是威固的膜做它干嘛？
[06:02.160] 对，所以我就说去我去外面，然后我就心想这两天晚上给你发邮件刚到家吗？
[06:08.720] 然后。
[06:09.330] 吃饭。
[06:10.230] 今天一下我小学的明天下午的时间去店里。
[06:13.570] 我就刚。
[06:14.720] 刚才这一我跟你说这一天没折腾死，我这智齿张嘴说话都费劲，
[06:20.670] 我待会还得弄牙去，然后我突然想起你这茶，我赶紧看库表，我发现左给定了，因为头两天就
[06:28.920] 月底的时候我不也给盯着点说，看看这车到底什么时候到吗？我还问分期还盯着，
[06:35.900] 谁哪知道就这两天的事儿。
[06:38.380] 昨天你不是。
[06:39.310] 你可真没的说。
[06:42.240] 甭提了，我一开始。
[06:43.700] 本来
[06:44.700] 稀有，肯定好多人真的他不懂。
[06:47.110] 订单协议7月2我都说我心里我就无数，
[06:50.820] 就后面马的奔腾I。
[06:53.360] 那就与我无缘了，因为。
[06:56.050] 我其实就只有我跟他聊的时候，他也说他说你要做好没有绿色的准备，我说我怎么说好了，我说
[07:02.180] 他下月帮我留，他说你要做好没有绿色的准备一定要做好，6吨肯定没有。
[07:07.280] 因为反正我们下一台
[07:09.900] 被7月21号才下线，我估计不得
[07:13.600] 8月份了。
[07:15.680] 你知道在他库存表里看，因为可能你们每个门店的风险不一样。
[07:20.750] 对，他们店其实车的话没有我们多，
[07:24.430] 但是没准碰巧了，人家反正总比对这个车我们店员一定
[07:29.800] 因为好多人都那什么
[07:31.880] 都全了奠定的。
[07:33.720] 他那店他说我最早能看到中功率的车应该下线到我们这月不能到10月份吗？
[07:40.950] 我把。
[07:41.650] 您做到。
[07:42.540] 因为指标钱我养他吗？
[07:44.450] 因为一般我们这配10台，他有的配3台的比例，
[07:49.500] 朋友答道那车一个月100多台车，100多台车就完成任务了。
[07:54.950] 因为它是一个小的经销商，50百个例。
[07:58.460] 对。
[07:59.690] 所以我就有时候价格他们会占点优势。
[08:03.170] 6665,000送5000保险就挺好的了。
[08:10.190] 挺好的，但是我还是想要我自己带，你告诉我没有了。
[08:13.710] 你要求你不行，就那台咱就交定金，等那台咱交定金肯定跑不了，反正。
[08:19.190] 没办法。
[08:21.000] 但是在看自己。
[08:23.480] 养一个月的指标吗？
[08:29.170] 反正也。
[08:31.090] 月中旬要出差，我却衷心不开话，估计回来得8月底或者9月上岗。
[08:36.510] 看看这个知不知道你等那么一个月，反正。
[08:43.190] 你猜我搞的指标多少钱？
[08:45.270] 15,000。
[08:47.340] 你要摆。
[08:48.890] 你不是让朋友帮你找的吗？
