[00:00.000] 5月5号就算出去，董先生33
[00:04.670] 点关键
[00:07.880] 156
[00:09.680] 五
[00:12.160] 5234，
[00:14.750] 5272。
[00:20.100] 好吧？
[00:40.080] 好像我听意思。
[00:52.880] 6
[01:02.550] 好了，好吧？
[01:05.190] 商店
[01:07.900] 一
[01:08.920] 有打电话约个销售吗？
[01:10.760] 没有，我就第一刚过来来看一下，没有一个销售的这边水两位喝点什么咖啡，可乐餐这边流水，
[01:17.690] 因为咱们这边第一次您来我们店，然后我们这边有一个服务公约，给你宣读一下我们在规章流程，
[01:24.580] 客户维护张代成已经合法得体，
[01:29.940] 不管未来在我们这选这款车型，咱们绝对没有捆绑销售，不全消费也不算短痛，咱们40818咱这边电话
[01:37.290] 研究需要分析咱们北京
[01:40.110] 有置换，
[01:41.960] 现成的指标。
[01:43.230] 现成的指标对吧？
[01:44.980] 这次咱打算换一个SUV，对之前看过这款车吗？体验过吗？没有，第一次来看从来没看过是吧？
[01:52.830] 买车的话更倾向于分析全款你知道吗？我们分期
[01:57.360] 分期是吧？正好跟之所有汽车品牌里面唯一一个承诺客户贷款的没有金融服务免费贷款，
[02:03.810] 而且他现在利息的话比较低，他们比较合适的跟是您个人指标吗？不是朋友的朋友指标是吧？他那边也能配合
[02:11.520] 的，平时新车的话，咱北京市区开始经常跑高速，
[02:15.640] 续期开庭时去开比较多，这款车有260还有300。
[02:19.920] 对，然后300的话这台车有一个脚踏板，二楼没有踏板，咱们这边有没有一个简单的购车预算给您作为推荐？
[02:27.950] 大概就是个
[02:29.520] 三四十三四十万是吧？其实您买那个标配
[02:32.780] 260是够用了。
[02:34.160] 二龙的配置的话也是卖的最多的，颜色上面什么需求吗？咱们？
[02:38.900] 主要是还想黑的黑色是吧？现在是用什么装的，感受怎么样？现在也是黑的。
[02:43.940] 是开的什么车？
[02:45.480] 开的本田是吧？那个车是还行是吧？挺省油的。
[02:49.650] 还行，这车发动机还可以，这车都是20T全是四驱的，
[02:54.970] 四驱的车动力的话肯定完全没有问题。
[02:58.370] 这边您除了看奔驰的品牌其他品牌了吗？
[03:01.650] 主要就是本子，我们就喜欢门。
[03:04.300] 小马主要是2002020002号300看着，明白这边打算是什么时间，购车时间，
[03:12.840] 什么时候提车看看，要是合适你知道吗？介绍真有假这些车型。
[03:18.310] 对这个东西对产品不太对，我给您做一个您大概的分析，然后就给您开始介绍了。
[03:25.000] 平时的话咱们家乡的话有没有什么比较您注意的配置，希望有一些提升的地方？
[03:30.730] 像安全、
[03:32.140] 舒适、
[03:33.900] 智能方面，
[03:35.520] 因为旧车型的话，我们家现在有这个车，450有哪个？
[03:42.420] 123450这S50我爸就开着车开这车，然后我们俩就想要一个小一点的明白，够你俩用的明白。
[03:54.210] 简单的跟您了解一下这个车它的一些一系列配置有什么对行没问题，您像是不让我们比较倾向与或者说260都行是吧？
[04:08.290] 还是08元还得我跟您说两个车区别在于什么？咱们先说。
[04:13.540] 260对20 60里面是有动感跟豪华两个配置，
[04:18.550] 动感跟豪华区别是什么？豪华比动版多，座椅加热，
[04:23.820] 自动加热，座椅加热，
[04:26.500] 多多一个中控木纹，
[04:29.030] 中控的话桃木的跟这一样，藤木的动感的话就是这种的银饰的
[04:35.880] 包括那块黑的考勤7
[04:38.980] 多一个氛围灯，晚上都是氛围灯，然后标配的话前面不是满天星前两，
[04:45.410] 是那种普通的红到那种前脸都是两代，没有其它地方没有区别了。
[04:51.430] 对那个点的豪华是吧？满天星是豪华的，满天星知道荷花以上配置才有配置。
[04:59.840] 对。
[05:01.160] 我跟你说跟300跟她260豪华的区别。
[05:04.930] 锁门这种的吴瑶记录，
[05:07.970] 51进入
[05:09.690] 组件
[05:11.430] 脚踏板，
[05:12.920] 发动机高功率
[05:15.960] 260是2.0T
[05:17.590] 普通功率
[05:19.240] 300是20T高功率，
[05:21.360] 还有萌点，
[05:23.570] 盲点辅助就凑到店里头有一个提示预警，其他功能就没有了。
[05:29.560] 三个车区间就都是茶商的。
[05:32.760] 2602多少钱？
[05:34.360] 阿兰豪华动荡多，8,422,800。
[05:39.390] 我们这边看394,800 394,800是我们平时的优惠，
[05:46.480] 今年优惠完了以后38万多，
[05:48.440] 因为有团购节，所以人比较多。
[05:50.440] 对平时的优惠我跟您说的是官方指导价没约会的。
[05:56.320] 这个号码就是说
[05:58.430] 300 300的豪华的。
[06:01.760] 好烦，我都没给您介绍，不建议你买那配置多一不能吱声。
[06:06.240] 不那只声音响亮。
[06:08.110] 对，360度环影没多什么，但是差的价格比较多，差4万多块5万了，配置很少有人买。
[06:14.300] 基本上都会想到260豪华跟300动感。
[06:17.500] 你的意思是说300了是吧？没有，我自己。
[06:21.560] 您稍等一下不好意思，他刚才都看上这个车了，然后他们现在确实一直吃饭，
[06:29.790] 然后他那意思是能不能他先交个定金把它确定下来，然后他在商量还需要这个还是要一，然后如果说要是再要宝宝的话，能不能定金再退给我，那太难了。
[06:38.650] 退不了。
[06:39.440] 我说太麻烦了，然后草堆受不了，然后这个车他是说他回去上下午，
[06:46.250] 然后他不要要别的那种可以，你要是换品牌或什么谁给你碰撞了。
[06:52.460] 是他也可以用价格随便换他定金，交用定车账款的或者一等等这样都行，好。
[07:03.280] 这个问题。
[07:05.890] 对产品后面
[07:13.370] 车辆给您作为讲解，我行吧？
[07:16.600] 针对于家用的话，咱们也就注重于安全舒适跟智能方面对吧？简单给您做一个简单的介绍。
[07:22.620] 这款车全系标配一个
[07:24.560] 前6后6的雷达，全车一共300路的雷达，而且是全系标配一个主动制动辅助系统。
[07:30.280] 什么意思？就我们开平时开这款车的时候，开其他车的时候，避免不了有些电话进来发微信不好的习惯，
[07:36.930] 比如等红灯对吧？他需要踩着，
[07:39.240] 然后可能接触不有一个不好的习惯，他会探测出来前方车的一个距离，
[07:43.860] 在快接近的时候会给我们一脚主动击杀，
[07:46.410] 防止因追尾。
[07:48.100] 还有一个舒适的我们配置就是它前面两个做的一个
[07:51.580] 两个圆圈的一个腰部支撑辅助系统，向腰部支撑调节这个位置。
[07:56.430] 如果咱没开始这款车的时候，你不能说来北京他也会有出去玩的时候是吧？
[08:01.220] 如果主驾驶的话承诺的话一直开可能会觉得腰部有些不舒服，这款车有18向调节，可以调节您最舒服的角度，实现一个就是咱们长时间驾驶的疲劳感了，然后也规避一些的
[08:11.960] 奔驰有一个非常智能的配置，就是他360度自动泊车，
[08:16.310] 什么意思？
[08:17.120] 比如说我们去商场去到哪儿经常一圈找车位都会遇到对吧？非常麻烦。
[08:22.140] 这款车
[08:23.240] 可以搜索离咱们最近的一个车位时间，自己倒车也不需要您操作的，
[08:28.430] 你只需要坐在车上点OK，接着你就可以到这边。
[08:32.040] 不用您。
[08:33.430] 对非常智能的一个配置对象，咱们内饰的话这边都P面板这边挑选颜色，
[08:39.120] 这个是咖啡棕色。
[08:40.740] 然后方向盘面板对这边是选的最多的，还有这种纯黑的那是。
[08:47.060] 你这种吗？对都可以选择，黑点有点这两种。
[08:52.850] 只有两种色，还有一个蔓越莓红色。
[08:56.620] 那个不是常见的和版式这种好看这种有点拼接的吗？那是一共三种颜色，对。
[09:06.200] 这样有水盆，你可以扫描二维码，回家可以下载一个车出关看对吧？
[09:10.920] 长宽高包括它油耗什么的都是观看，
[09:13.850] 这就是油耗300元和聊聊，油耗差别大。
[09:18.160] 差别不是特别大，而且您这马力的话，您要是虚开，其实两个车的话大同小异，开不出来什么。
[09:24.000] 大概有320有几个酒吧个阶段，
[09:28.030] 多少个油是百百公里，差不多99个都有，对。
[09:33.820] 磨合完了以后对。
[09:36.910] 咱们这边的话车上面介绍有什么其他问题的疑问？
[09:40.700] 没什么问题的话，咱们这边有试驾车可以带您体验感受，要是赶车。
[09:45.770] 是这样吗？
[09:47.490] 这样的话今天时间是多少？
[09:50.310] 然后现在就实践一下，然后来不来了下次
[09:53.360] 一下。
[09:54.400] 2002 2002是338万多是吧？差不多。
[09:59.930] 6优惠下来标配吗？您说豪华是吗？对。
[10:04.220] 对等优惠下来总共优惠。
[10:07.970] 优惠下来又玩裸车的价格，对要全办齐家是一家保险给您算一下。
[10:19.640] 您是想什么时间购车？
[10:21.970] 我们想如果说我们现在是比较倾向于这个款说是吧？然后如果说这不能看差不多的话，下次的话我们都做了可以。
[10:33.410] 8是不是我要分期的话。
[10:35.680] 对，你要分析的话得有流程的事吗？对，先交订金，然后奔驰金融会审核您资质，如果您资质贷不了款，您就不能
[10:43.080] 交贷款，对，只能全款。
[10:46.520] 要是看见咱还有比如说分期的话，首付的话得出多少？
[10:51.630] 我可以给您算一下，现在有一个特别不好不错的政策，利息都比较低。
[10:55.380] 您帮我换一下，那时嫁给您安排一下。
[10:58.960] 我不知道钥匙在干吗。
[11:08.570] 知道你帮我提供聊手机有关消息。
[11:11.670] 没再到他妈给你，那我在
