[00:00.000] 好，感谢您致电买到的增持，或者让感谢您服务亲切的交流吗？挺好。
[00:04.620] 您好是这样，我这边就觉得一个车咱们跟车员和价格的情况好吧？
[00:10.210] 问问咱惦着一股配的情况。
[00:13.440] 一库存1260的价款吗？
[00:16.020] 其实我更喜欢300，咱问一圈价的话300车比较少。
[00:21.090] 阿三买车没有到店。
[00:23.320] 后期会有。
[00:25.570] 这样反正您跟我说一下咱这边现车所在的情况，APP上能看到一个数据情况，
[00:33.010] 我这边排下来了，这两个月就得可能汽车旧车这个平台好吧？
[00:37.860] 12601像E260现在是有现车的，
[00:42.400] 然后一三百的话国内还生产周期大概什么时候到？
[00:49.530] 应该是
[00:51.550] 这个月底左右差不多能到。
[00:55.040] 012010是一个不交还是好的？
[00:59.450] 有4去我给你看一下，应该有4区2圈，
[01:03.140] 126的得交，
[01:06.520] 有四驱的有两驱的后4区到店面四驱和两区都有现成。
[01:12.060] 就是说外国电视都怎么上班？34。
[01:16.470] 区的话是黑车黑。
[01:19.650] 黑车黑内黑外黑内。
[01:23.190] 对是的。
[01:24.140] 然后对两驱的话有白车黑内，
[01:30.350] 还有白车棕内，还有一个是红色的黑妹，大概是这样的。
[01:37.390] 这么多的这么简单。
[01:39.800] 就1260的现车。
[01:41.820] 然后13版的话不是资源里边后期会倒车吗？
[01:45.680] 倒车的话应该是黑色，还有红色的多一些。
[01:53.120] 您说都是内饰是吧？
[01:55.660] 外观。
[01:57.060] 内饰的话大部分横的多点。
[02:01.470] 你要方便的话，既然您到店来可以看看现车，如果说您实在是想考虑131三百的话，
[02:09.280] 咱们是可以接受预定，因为E300的资源就三排，如果说您可以考虑的话，交个定金先给您留车，
[02:15.890] 因为二第三聊的比较多。
[02:18.030] 咱再涂，包括在途就这两个9月份之前有拿到有采那时候。
[02:25.920] 了对吧？
[02:26.940] 我和我老婆最喜欢的是那个啥。
[02:29.640] 没有，刘铁男得定。
[02:32.110] 对您现在时间有保证吗？
[02:35.080] 刚刚6个月。
[02:37.480] 就很难说对吧？
[02:39.250] 还没铲对吧？对。
[02:41.280] 对。
[02:41.930] 3~6个月得到车是这样。
[02:44.490] OK. 
[02:46.140] OK就300年，现在也没有现车，但是也在提供资源。
[02:50.310] 对是的。
[02:51.740] 您刚才300说三台车就是外观内饰分别是怎么样？
[02:58.370] 我刚才说红色跟黑OK，
[03:01.620] 红色跟黑色，
[03:03.300] 大概到店周期的时间基本上就是差不太多的情况下，有
[03:09.820] 白车、红车、黑车。
[03:13.440] 然后黑车的
[03:15.890] 猴有一个米内。
[03:20.180] 你那是个什么卖花。
[03:22.830] 红妹红红车米。
[03:26.000] 红。
[03:27.580] 行千里的。
[03:30.290] 边。
[03:31.550] 这边您电话能跟我报个大概优惠的情况。
[03:34.210] 电话这边是报不了价格的。
[03:37.110] 不报警假的。
[03:39.520] 我们电话。
[03:40.820] 是2万，
[03:41.620] 或者说其实。
[03:43.030] 的政策和您了解的基本都差不多，30多的价格，一家店与店之间价格优惠政策不会差太多的。
[03:49.670] 对。
[03:51.160] 按问题现在我了解到的差的挺多的，因为
[03:54.860] 北京这两个月什么原因吗？说实话靠南的。
[03:59.700] 养生我跟你讲几千块钱的差距，但是因为厂家有控制，不可能让我们差距太多，得超不过几千块钱，不到1万块钱就没了。
[04:08.810] 对，我想跟你说的就没说完，就靠南边经销商，尤其是后台的腰，然后进行一个月的货车，所以我说的差距会到100万以上。
[04:19.930] 你这边做不了对吧？
[04:22.080] 比如说做到
[04:23.480] 我可能要4万目标。
[04:25.390] 没事。
[04:26.740] 点击。
[04:27.330] 没戏没。
[04:28.950] 不行是吧？我不瞒您。
[04:34.350] 南南南四环就那。
[04:38.500] 对银行它因为舅舅在花。
[04:42.510] 香那。
[04:44.050] 对，基本上第一个月就没卖过车，所以他。
[04:47.140] 这么一层，它属于应激性高，发期算他压力大，
[04:50.420] 但是说实话价格
[04:52.510] 在差距，它不可能差这么多，厂家价格肯定是有内控的。
[04:57.330] 当然这个不能。
[04:58.710] 市场发展他也怕乱。
[05:01.530] 行行我知道了我知道，因为毕竟经销商集团也不一样，北京博士。
[05:08.150] 不是，他是这样的，
[05:09.600] 他每家店是有自己的优惠政策，最终价格成交以后，其实无非就是一些附加的可能是
[05:16.340] 服务上可能会多一些，价格上不会差太多的。
[05:20.670] 厂家的话，如果说我在汽车之家会在哪报价，超出多少，他厂家会直接就联系，不允许这样。
[05:28.110] 我们和店之间互相监督的您知道吗？
[05:31.910] 明白行我了解的。
[05:35.570] 没事，您先对比一下。
[05:37.420] 这点要的有什么您。
[05:39.550] 还真没有没错。
[05:41.410] 行我再找找。
[05:43.390] 好来行没事好再见。
[05:45.580] 规定。
[05:46.280] 免贵姓王，我稍后给您发个我的电话，
[05:49.070] 然后后期我们可以随时咨询我先生您贵姓？好的。
[05:52.500] 我姓刘。
[05:53.610] 刘先生您好，您是通过什么方式联系到我们电话的？
[05:56.920] 走光了。
[05:58.750] 官网了，OK没问题，行，这边感谢您来电，祝您生活愉快，好再见。
[06:04.570] 客气拜拜。
[06:05.450] 等一下我打时间长了，这就是
[06:10.600] 我都是打一半这样，然后挂在脖子上一半。
[06:15.770] 不换了一件。
