[00:04.450] 燕话跟您核实一下女士，13910008563。
[00:09.330] 20319641083023。
[00:14.990] 三
[00:19.910] 二
[00:25.640] 我先给您查一下咱这车需要换机的性能。
[00:30.000] 204048。
[00:31.710] 1306。
[00:36.340] 用你的手机。
[00:42.110] 919316. 
[00:55.230] 做
[00:59.660] 更换前排乘客安全气囊。
[01:16.010] 说
[01:30.410] 的
[01:32.940] 花。
[01:37.060] 的
[01:42.440] 数据
[01:47.740] 的
[01:49.480] 打
[02:00.150] 能接电话。
[02:02.420] 附加技能应该现在还有货，今天换的话今天车就开不走了。
[02:07.620] 多长时间？
[02:09.110] 最快的名儿
[02:11.170] 中午。
[02:11.840] 五。
[02:12.490] 差不多明天中午对。
[02:14.660] 现在在中午了，他们明今天肯定干不完，
[02:17.950] 我要干的话最快也得明天，反正中午今天晚上加班干嘛准备的，明天上午8点
[02:22.960] nana刷车什么的。
[02:28.520] 怎么又有时间了？
[02:30.340] 换一个就附驾的。
[02:32.030] 的。
[02:33.300] 对。
[02:34.070] 主见的没算。
[02:36.210] 那就换一个。
[02:37.850] 这就换一个，对，但是副驾的不好坏，逐渐的在好换了。
[02:42.070] 原来说三个小时。
[02:44.530] 而且是在今天约的车多就够呛，因为前面我刚刚去车间看了，还有二三十辆车还是对的。
[02:50.280] 一是光干时没多长时间，但是现在
[02:54.020] 去到前面车有车都排队，
[02:57.600] 而且一般的话是怎么着，就跟您约的时候应该直接跟您说得过来，直接定货对吧？
[03:02.650] 为什么告诉我这三个小时，
[03:05.240] 现在三个小时干不过我，
[03:07.140] 发现我要把电脑拿到拿回去，那怎么办呢？
[03:13.460] 一下。
[03:14.340] 电脑有一个塑料买副驾气囊，然后客户给您有人说的说三个小时，
[03:24.410] 11:30 11:30现在来了下班。
[03:29.000] 行我明白了好勒。
[03:33.430] 好拜拜。
[03:34.670] 没戏。
[03:36.390] 没戏，肯定玩不了。
[03:37.810] 最快也得明天，因为他现在刚跟我说，明天能完事就已经很不错了。
[03:42.260] 现在车间车特别多。
[03:44.310] 好好我就走吧，对，我先给你登记，登记完之后，如果说你要没时间过来取的话，我们也可以给你送过去。
[03:51.010] 管我叫免费的，对。
[03:53.260] 原来我记得咱们走了，你们得帮着板块。
[03:56.570] 打车接的话你是来取，你把打车票给我，你不给我打车票我给你报不了。
[04:01.850] 我回去给你打了。
[04:04.140] 您回来了你就过来取车了，
[04:06.570] 人家不过来取车票，你给不到我给你本报不了那些钱。
[04:10.510] 咱们。
[04:11.130] 杯子把票给我，你给不了我票，我给不了你钱。
[04:14.250] 后来再把这些就换了一次。
[04:17.280] 为多30，不管你来回两次，还是单纯的对。
[04:21.040] 快点都不去。
[04:22.540] 你回去的话取车的话是您过来取还是您谁给您送？
[04:26.720] 刚才10来块钱。
[04:28.430] 您单程的多少钱？
[04:29.810] 美国才我这也不远，啥都拿走了。
[04:37.420] 你就明天过来取。
[04:39.590] 去吧，打电话到时你把票留好了，好行，我给你看车去了。
[04:45.530] 号
[05:11.430] 车好了先走了。
[05:12.970] 你每天晚上几点？下午5:30。
[05:15.790] 5:30下班。
[05:19.040] 车停哪呢？
[05:20.290] 店。
[05:24.620] 周一又得上班。
[05:27.760] 明天周一。
[05:28.980] 对。
[05:29.640] 或者说。
[05:32.660] 怎么说，
[05:35.470] 要么就过来取笑我就
[05:37.640] 要
[05:41.670] 想想。
