[00:00.000] 行驶本驾驶本
[00:03.090] 在了。
[00:05.120] 没有看过。
[00:09.610] 我手里
[00:12.200] 说
[00:14.370] 行了。
[00:18.160] 用不用？
[00:19.660] 现在得核对一下，因为我们换系统了。
[00:27.550] 在兜里
[00:28.350] 把这块我们违章在验车了。
[00:48.070] 好勒。
[00:54.000] 9:30。
[00:58.450] M2010。
[01:00.830] 好好，你们这边
[01:08.110] 小时候和家人。
[01:15.750] 数据
[01:17.560] 数据
[01:24.950] 二
[01:44.350] 还有您夏天看一下。
[01:50.270] 谁知
[01:57.960] 把
[01:59.630] 你们大概也就是一个互联网
[02:02.400] 三原则先生您电话还是133尾号是1811，
[02:13.950] 点
[02:17.200] 的。
[02:20.550] 您上次保养是在去年10月份是10月份打电话说是7月份，
[02:28.360] 66月份做的保养期，6月份我这查到那去，19年10月份做了低保，换了一个空调滤芯，
[02:38.340] 那天我把那个事给我打电话，我记得也上回来问问他。
[02:43.990] 10月份
[02:45.160] 7月份我说是6月份。
[02:48.240] 5月份还是做一次保养，
[02:50.640] 因为我这车半年没开，前段时间倒着放了一个电场，对我这也好，谢谢。
[03:00.010] 做两个没有长多或者越来越多。
[03:04.480] 您不要拍照了。
[03:06.080] 这次正尝试做一个A保障，然后34
[03:12.150] 您这车有几个油？我看没换过变速箱油。
[03:17.590] 建议该换了，您是16年的车，现在已经是4年，对，他是要求4年换一次。
[03:28.000] 您看换要换的话时间可能会稍微长一点。
[03:32.170] 岳塑箱有4点，
[03:35.740] 车公里数应该现在4万多公里万多一点，
[03:41.430] 可以再下一次换。
[03:43.460] 您就下次再说，I说
[03:46.490] 已经不大。
[03:48.090] 那就A先做一个A馆。
[03:53.670] 火花塞是多多长时间坏？
[03:56.190] 坏了。
[03:56.900] 火花塞您着纺车是三年或者是4万公里，
[04:02.670] 这不是换了一次。
[04:04.090] 我帮您查一下，接着下来。
[04:11.300] 火花塞是在18年4月份是吧？两年前换过一次。
[04:17.320] 这次不用化了，但是天穿你这车天窗用的多吗？
[04:22.910] 不多，天天需要润滑。
[04:25.610] 滑轨
[04:27.160] 该养护了，
[04:28.650] 我就不用，
[04:31.880] 不许话不太喜欢。
[04:34.650] 等于说我看咱们这约的有一个保养，然后您看看咱就先做个常规保养，
[04:40.920] 做常规保养行，要什么才能用？
[04:44.260] 这跑啥？
[04:46.980] 没电了是吗？
[04:48.400] 应该还有电，医院灯还亮完了就先用了，因为这些东西也说不好，不对，有的用的时间长一点，有的时候时间短。
[04:58.040] 老板车一般用的时间长时候了，因为新款其实功能比较要是还能用他的车在门口是吧？
[05:07.060] 这个到时我是不是让保险对这个待会您得去保险不冲一下。
[05:12.810] 这个喷漆的话今儿不错，
[05:15.720] 这是什么？这是送一块喷漆，这不错保养，到时您到保险这边存一下，我这边就能看到了。
[05:23.330] 来。
[05:24.460] 我先看一下您的车辆。
[05:36.480] 没错，来个核桃。
[05:51.480] 做到了起来了。
[05:54.000] 两三个星期三个星期前有一次就把高度
[05:59.070] 下了高速交收费站以后就好了，
[06:04.160] 自己给我了
[06:05.790] 一次
[06:06.880] 发动机灯也亮了，
[06:08.720] 再打一下就没事了。
[06:10.910] 休息过积炭了这事儿。
[06:13.680] 怎么样接触过一次了？
[06:15.740] 我这帮您查查。
[06:17.210] 三个问题。
[06:18.600] 不好说，因为直奔的打击你火花塞坏了，然后就剩油路清洗了，这幅那苹果钱这也是再度确实很
[06:28.010] 是吧？砰的一下子掉下来。
[06:30.350] 然后
[06:31.680] 发动机、灯、饮料如果说不好一点的，希望我们可以后面怎么继续去努力，通过以后这个方向去发展，应该变成一个什么？总结的机会。
[06:44.390] 包括看之前遇到的有可能是积炭，有可能是点火线圈，
[06:49.570] 谁知她会抖得
[06:52.040] 拿普通的
[06:52.970] 最重要的不是你现在考了多少成绩，这个真的不是最重要，最重要的是你有一个
[06:59.170] 成长型的心态，也叫什么？
[07:07.230] 没换过了吧？
[07:12.230] 您猜该换了15了。
[07:14.060] 就5年了。
[07:15.330] 然后后沙片
[07:16.990] 也该换了非常薄了，
[07:19.320] 这4个轮子要换的就贵了多少钱。
[07:22.480] 现在都便宜了1000多一个，谢谢您把轮胎换了，还有后天
[07:28.500] 后刹片确实该换了。
[07:30.860] 这里边还可以。
[07:36.270] 刚才帮您查出来报个价。
[07:47.610] 您这是马牌的。
[07:52.010] 马牌的。
[07:55.400] 255
[07:58.160] 5255218。
[08:01.180] 252。
[08:03.800] 因为是体花纹的。
[08:09.590] 都一样。
[08:10.710] 咱在屋里坐。
[08:34.250] 应该
[08:38.280] 离开
[08:48.580] 光
[08:53.750] 昨晚谁知差不多。
[08:56.240] 没事儿。
[08:59.150] 境内了。
[09:06.130] 的
[09:11.780] 三
[09:13.770] 上课，
[09:16.200] 但是
[09:18.710] 的
[09:34.220] 和
[09:35.450] 三。
[09:37.550] 轮胎是1469，
[09:48.030] 要。
[09:50.060] 行，反正现在轮胎确实挺便宜，
[09:56.070] 然后换4条轮胎，工时费都不收，就收您的材料费，然后帮您还把定位做
[10:03.170] 了。
[10:07.150] 有多少？
[10:08.460] 主要就是时间长了。
[10:18.800] 然后刹车片换了换吗？
[10:21.840] 后刹车片对我没什么打击了，
[10:25.650] 反正到时候他会报警，您那车应该是没换过，刹车片我查记录。
[10:31.630] 没办过，对这车本身也沉，差不多一般都是三四万公里。
[10:36.180] 前天我看还可以，应该还能再用一段时间。
[10:39.650] 再说老师一起画，
[10:41.740] 那就先做个机油机滤保养，
[10:46.460] 用
[10:55.180] 机场
[10:59.380] 看
[11:13.640] 做过
[11:18.950] 句。
[11:20.470] 6793316
[11:24.680] 的。
[11:26.170] 约的时候
[11:28.370] 能上客户，你给你说一个说过一个单车减肥，
[11:31.440] 您超过一个大夫车险是吧？没关系。
[11:34.500] 块钱不用了吧？
[11:37.780] 给我看车辆做官一张，
[11:40.560] 用看来
[11:43.680] 对没伤的话你先这么着。
[11:46.700] 因为你上险的话，你要不修坏了，没意义，帮我推荐来看看。
[11:55.960] 对。
[12:00.590] 还有一个
[12:16.310] 待会您收到保险不让他卷已经冲过了，好勒。
[12:26.390] 大概两个小时左右差不多。
[12:31.080] 打电话。
[12:42.920] 行好勒谢谢没事。
[13:02.130] 数据、
[13:06.940] 三
[13:21.990] 咱这
[13:24.820] 给您列出来您看一下。
[13:30.280] 数据
[13:32.330] 数据
[13:33.460] 的
[13:46.410] 出来
[13:52.970] 坏。
[14:46.340] 平时就在市里。
[14:51.750] 孩子在往什么报警什么来再来一下。
