[00:00.190]  The room。
[00:01.700] 那行驶本没有？
[00:03.580] 对，我就录个信息就行了。
[00:06.170] 因为咱这系统里边是您先生的。
[00:12.540] 嗯
[00:15.380] 嗯
[00:21.350] 是我自己的。
[00:22.930] 唉您说我啊手机号留，那个刚才给您打1368。那个啊
[00:27.540] 1368139。
[00:30.500] 5269。
[00:46.630] 关于这个健身的事情了，我星期天特别。
[00:52.270] 这个造型可以走了可以了可以了，待会那个取车的单子我微信里边我给您发过去。
[01:00.390] 如果您发电子版的。
[01:01.650] 嗯行，那这个大概什么？如果要是修那个7的话，今天。
[01:06.770] 明天不算三天。
[01:08.620] 就今天明天这两天不算三天。
[01:11.550] 嗯好好好
[01:13.340] 那得叫你说你先叫我说那甭甭着急，说你
[01:17.440] 好像好像能进，吧但是他他进来可能还从网上，估计一般人都懒得进，
[01:23.390] 都停门口还得让人走出去，一般都是。
[01:28.520] 你还记得还得找健康。
[01:32.520] 同意。
[01:34.190] 十八大的
[01:37.360] 嗯
[01:41.060] 然后就是刚才跟您提到那个延长质保的价格，当然我也拿微信给您发过去，您回家商量一下。
[01:46.670] 对，考虑一下看看要不要延长这个质保期。
[01:51.480] 就是说什么？呢
[01:52.870] 那我可以走了，嗯您车到了吗？等车到了再说。
[01:57.540] 呗
[01:58.050] 你说什么？
[01:59.560] 等车到了再说，等车到了再走。
[02:01.880] 从来没有一次。
[02:03.440] 我还没我说你不是打车，我等车来了进来出去。
[02:07.430] 他们是。
[02:08.540] 您就这样不信了。
[02:11.200] 看那地图，等快到了的时候，
[02:13.210] 嗯嗯
[02:16.990] 是不是一样的？
[02:18.100] 这个
[02:19.120] 就是热了就是热了就是热了就是门口站着也热。
[02:24.630] 你们突然有一天
[02:29.860] 没有
[02:33.180] 好
[02:41.940] 一定是我们
[02:45.150] 然后假如说啊假如说家里边没找着，
[02:48.630] 您给我来个信，完了看看当时保险找谁交的。
[02:51.810] 有点就是刚才就是当他然后我然后您告诉我是找谁，完了我好去后边找他们，完了看看
[02:57.100] 嗯能能不能就是要确实没拿的话，完了就回来我我就让我就去给您找去了。
[03:03.550] 要是能找到最好。
[03:05.960] 是
[03:06.850] 应该也能查找到。
[03:08.800] 但是如果给您了就就不给补了。
[03:11.880] 噢
[03:13.940] 一下给人好几张，那那那不可能。
[03:16.070] 吧
[03:16.580] 那我们说一下。
[03:19.630] 那甭管回家再说，吧反正您车里车上也没点着。
[03:23.200] 我听过。
[03:27.060] 我这
[03:29.560] 能等也行。
[03:36.950] 调整。
[03:37.980] 唉呀没事没事。
[03:40.270] 好了。
[03:43.590] 啊
[03:49.760] 你没机会。
[03:58.960] 因为他们买房子，
[04:06.210] 就是到时候
[04:14.850] 放在这儿。
[04:17.960] 然后呢
[04:21.600] 啊
[04:22.750] 嗯那个嗯
[04:24.870] 嗯是。
[04:37.020] 稍微等我把打印出来。
[04:41.800] 很年轻，
[04:43.050] 那么他也
[04:45.290] 啊
[04:46.560] 嗯
[04:50.330] 嗯
[04:51.530] 我是广州的。
[04:53.880] 我那个时候就是
[04:55.800] 来研究这个取取。这个
[05:02.200] 没事了就走吧。
[05:19.550] 给您打电话。
[05:23.000] 嗯
[05:25.100]  Only。Yeah
[05:27.280] 还不费电话费。
[05:35.220] 给我排队。
[05:37.880] 40万。
[05:38.820] 但是影响不太大，我觉得。
[05:43.180] 车还是开车还是多多。
[05:45.760] 好，说一说。
[05:46.810] 使用频率更高了。
[05:49.400] 我们这里有一个。
[05:51.290] 嗯嗯嗯非常好。
[05:53.770] 说您那再等会等到了远
[06:00.200] 坐着甭着急。
[06:02.510] 喂
[06:04.740] 唉
[06:06.500] 我们是一模一样的。
[06:08.400] 数据具体数据
[06:13.150] 嗯
[06:18.200] 53个7。
[06:25.140] 嗯好。
[06:29.640] 好，请坐。
[06:30.360] 啊5777. 
[06:32.380] 唉
[06:35.330] 有什么价值观？
[06:37.060] 嗯
[06:45.000] 啊我们这儿。呢
[06:46.220] 不是这个意思吗？
[06:48.260] 这是装什么？
[06:54.090] 进行了。
[06:55.160] 一个
[06:57.280] 嗯我们。
[07:03.280] 嗯嗯嗯
[07:06.240] 这个第一批
[07:08.020] 数据
[07:10.200] 1/4。
[07:11.210] 讲完了。这个
[07:17.560] 数据数据，
[07:22.620] 有的同学
[07:25.650] 好像是。
[07:26.490] 不是
[07:27.580] 知道吗？
[07:28.600] 唉没事坐下去。
[07:39.880] 比方说
[07:40.920] 还有什么？
[07:42.340] 嗯
[07:46.770] 嗯
[07:48.250] 感谢你们的
[07:51.840] 嗯
[07:55.700] 然后
[08:01.760] 嗯嗯
[08:03.530] 嗯
[08:04.670] 嗯
[08:21.070] 这个电话。
[08:22.120] 没有。
[08:22.270] 啊
[08:22.990] 12925。
