[00:03.930] 后来
[00:06.200] 电脑
[00:10.690] 哪个条件？
[00:11.990] 谁知。
[00:13.850] 行行您给说下去。
[00:18.200] 发票还是跟谁跟单位的。
[00:21.120] 谁知
[00:23.000] 行下次保养还是一样，一年或1万公里之后做保养就行了，到时候
[00:29.680] 车上面有提醒你按照心情走就行。
[00:33.640] 行行好，我一会再给你结账开发票。
[00:36.240] 反正有时候你给我打电话就行。
[00:45.940] 这条没用。
[00:49.590] 谁知的他本来就成本很高的，
[00:58.920] 还觉得
[01:02.700] 他不好意思跟我通话的话，对，你看他一样。
[01:43.760] 记一下。
[01:56.470] 不用急。
[01:57.240] 心里有数了是吧？
[01:59.450] 估计也没啥意义，反正还有两
[02:03.390] 你这不退多牛逼，明天一天不就完事了。
[02:07.140] 要不然还有一个就过就行了，然后被警察追一个。
[02:10.980] 好。
[02:12.060] 你好跟你联系，对你好。
[02:18.750] 还没弄差不多了，咱稍等一会，再有个二来分钟就差不多了，我告诉你打完电话。
[02:25.710] 这肯定能给您放心，后边有空了就没了。
[02:39.010] 的
[02:57.040] 谁知
[03:02.050] 你先发邮件收发邮件同意的
[03:05.600] 之后，
[03:06.980] 然后他就可以发
[03:09.330] 做报告，发完之后同意了之后，
[03:12.850] 你把这个邮件转给赶紧
[03:14.860] 咱们超给他们的是吧？告诉。
[03:18.310] 然后ct是什么？
[03:21.530] 保修服务。
[03:23.410] 下班女。
[03:25.450] 相当于上搞笑的那一类。
[03:27.840] 谢谢。
[03:33.260] 那么怎么事儿今天一直以为是共产党
[03:38.150] 没完。
[03:39.020] 就应该你看刚才刚换了。
[03:41.410] 没换。
[03:43.620] 你看几年
[03:45.220] 看了还差一个，明天应该来一个。
[03:51.250] 你说。
[03:52.190] 全部已经OK了，因为你现在又割给了，你没听过了吗？明白。
[03:58.390] 还差大了。
[03:59.840] 花了俩车的事儿，
[04:01.850] 你也给我拿钱了，没我才6个sasa4尾了，我现在不找两车就够了吗？
[04:08.370] 好了，
[04:09.470] 章鹏还要给打一个。
[04:16.130] 他
[04:17.290] 还是差一条跟他要轮呆，明天我给你搞定，行，那天我能跟你说的你都不下功夫，我怎么下功夫，人家有我怎么家里有两天我上下去，但是让他昏睡了，我跟他说人家不换，你说我就会买两条，
[04:33.850] 嗷你要换4条，
[04:36.040] 你那两条
[04:37.470] 我跟车间说过，
[04:39.600] 不收你
[04:41.160] 操演。
[04:42.240] 为什么就不想画，不想让你的话，要想到有的话人家不算直接不买，不是我就这么一说，您这两天我跟小庄给你搞定，
[04:50.670] 我跟小东说也很搞定。
[04:52.580] 我跟小龙这笔您跟小路上的早，但是人家说那阵说你给小东欺负的方向，您说就是现在
[05:02.620] 要报仇，不是去过小松，我老公小东真的。
[05:06.310] 周总理看你们好了，您说的地方。
[05:09.960] 我是在网上
[05:16.710] 谁知
[05:19.560] 来。
[05:20.390] 你快给老太太。
[05:23.290] 走了就
[05:24.600] 你来是目的来就需要做从负面去检测这个事儿，因为我没什么，我看他车我不可能没能免费，然后我们坐下来说这二手车多少钱后看着
[05:40.180] 20多米，对心里有点10万块钱左右那科里这样了，
[05:44.420] 然后走的时候
[05:45.880] 你包就算多少钱，
[05:47.730] nb得没问题没毛病了你。
[05:50.820] 接近12,000多。
[05:52.600] 你要实在困到这边，这块就是400多，当时就是意思说这么一个我给你退一步啥，你看可以给你想想，
[05:59.310] 然后让他患者谁知赚钱来的，咱们过了以后给了我。
[06:05.310] 谢谢。
[06:07.810] 后来他说
[06:09.440] 没有人过来你就过去了，
[06:14.920] 有检测的，
[06:16.750] 但是都得进车间，
[06:19.420] 开单的进车间。
[06:21.030] 他还没问我多少钱，我上楼转了一圈，
[06:25.000] 后来我说是在我们这儿，我一看拿单子，我说你找
[06:29.930] 上次建议你反正我说这些都应该换了，我说我还能考上吗？
[06:35.590] 我说您说
[06:38.500] 还会。
[06:39.490] 如果轮胎我一瞅人才能好吗？
[06:41.890] 肯定跑不了了，他一听来说
[06:46.670] 不行了。
[06:48.360] 不是最后是我看怎么上面看，听说花钱的时候对。
[06:54.470] 房子快什么乐这人
[06:59.670] 能帮到不？而且现在人家车间都要按照工时，你那让给办事。
[07:07.310] 麻烦现场。
[07:11.290] 准备上哪车主了？
[07:15.080] 车主干嘛哥，你刚才说后备箱里看热闹，外边哥坏了，收也不知道，我说战机可以给我一箱，
[07:23.650] 是吧？
[07:26.760] 你这个争议
[07:32.530] 就差一条，明天我给你
[07:41.010] 这也得让他go了。
[07:45.140] 明天还进来。
[07:47.110] 上班。
[07:48.490] 我本来也休息了，所以我都是还有一个696的
[07:54.840] 房子，陈乐乐这车没过来，还没过来过来放我这就行了，到这又
[08:04.590] 这后面
[08:05.960] 面。
[08:09.790] 好
[08:14.880] 花。
[08:29.060] 那天
[08:31.390] CL一样，
[08:35.010] 我这又这么少了，我
[08:39.180] 你们是不是看看你要干活，我说不可能，反正我这么进来，这是一家。
[08:44.230] 还有
[08:50.550] 然后没事没别的意思。
[08:55.410] 下面怎么写的谁知
[08:59.980] 就能写。
[09:02.640] 怎么做的怎么写就完了，这东西领导都知道。
[09:15.190] 到
[09:18.980] 远场
[09:26.160] 话
[09:28.460] 结婚
[09:33.080] 花。
[09:37.450] 场
[09:42.250] 花。
[09:48.500] 差
[09:51.700] 差的
[09:53.140] 远
[09:57.460] 花
[09:58.740] 的。
[10:08.980] 场
[10:14.530] 数据、
[10:15.670] 数据
[10:18.990] 坏、
