[00:01.250] 经LF2766，
[00:13.280] 会计也可以。
[00:20.230] 刘女士您好。
[00:21.960] 车里边有没有什么贵重手头需要用的，没有开张，
[00:37.310] 然后什么喷漆给您走太平洋的，然后这次换件给您走平安的。
[00:46.610] 然后逮捕车险到时候我去因为您手续都跟他聊完了，然后之后我们直接跟
[00:53.410] 把那清单给他就行了，大概可能得需要2~3周，他那个钱能够才能打给您。
[00:59.370] 都已经说了说得修完车对修两条线周对。
[01:03.840] 因为咱修车现在也就三四天的事儿。
[01:06.520] 我认识什么是吗？
[01:08.480] 说白了就是可能停在
[01:11.240] 顶一颗着开门科。
[01:22.350] 真不容易，这事儿折腾都俩月了。
[01:25.460] 对。
[01:27.240] 谁知
[01:29.060] 这一班车快10年也就差不多了。
[01:32.480] 爸说实在的话，
[01:34.810] 咱们国家看到
[01:36.000] 没错。
[01:36.810] 身边的生活
[01:38.150] 还有多少趟了，是不是？咱们国家现在没有这个规定了？
[01:43.280] 就在最早的时候，
[01:45.680] 他是私车是10年，公车是8年，然后后来这不就放开了，就是说只要是你这个年检能过，
[01:53.220] 你就可以去开，但是好没1~10年还是15年，他是半年一次，然后再过两年就是说
[01:59.870] 一个季度以后你自己逼着你了，然后之后现在不是已经形成什么了，国一国二了，现在不让一
[02:06.550] 不容易上这5还几环来着？
[02:10.480] 就是一点。
[02:11.960] 对。
[02:12.700] 你说那一车什么您那车进不了5环了现在。
[02:18.430] 还有什么一赶上叫什么现在的片那叫什么这雾霾天
[02:22.800] 不容易上路。
[02:25.070] 你说您肯定得换了。
[02:34.930] 曾经在2001年合作过一部爱情片心灵
[02:38.630] 有登天现在是47,999的转型，成为了动作平行应兰事业的第二春。
[02:46.950] 还有今年李维斯主演的疾速追杀系列，拥有着独特的美学设计，一路引领的动作片的新潮流，也让沉寂已久了，他们重新回到一线明星人物，他在片中是一改年轻的时候英俊小生的器物直接转型成仁恒话不多的大叔。
[03:03.670] 曾经的合作伙伴奥斯卡影后查理斯塞，您在这几年也频繁的出现工作，
[03:10.760] 车里边没什么贵重了
[03:15.550] 勒
[03:16.670] 等等上屋里边
[03:18.540] 咱们办个交接，
[03:21.440] 跟着吃点饭都
[03:25.030] 快乐，因为刚才您进门的时候我就看到11点多了，
[03:30.210] 您跟我打招呼的时候，
[03:37.560] 13911372127，
[03:41.090] 电话说，
[03:44.070] 来坐着，
[03:53.070] 是吧？
[03:55.260] 五
[03:56.060] 奔驰来说什么还可以。
[04:02.570] 我们就在
[04:04.870] 要赶上个S10万块钱很正常，追个尾两大灯就6万多7万了。
[04:12.000] 一个中管1万多。
[04:15.030] 您
[04:16.720] 这些不用了，咱们手续都有，您这老客户咱这都有您信息。
[04:25.110] 的。
[04:37.730] 咱们说完了吧？
[04:39.440] 到时候能送吗？可以，咱俩联系好了。
[04:42.800] 我们送车没有那么及时，
[04:46.680] 稍微慢一点。
[04:48.080] 因为我们这试题它是要求你提前一个半小时跟他那边练，就是确认司机，
[04:54.890] 然后说
[04:55.800] 确认完了，您比如说我2:00得越可能就得约到3:30以后，然后他再到店里边再给您送回去。
[05:02.310] 可能这个事情
[05:04.800] 因为有时候来说咱们这边你车不修好了，我也不敢提前给他约，我得给您看了一眼，我才能
[05:10.650] 对是不是？
[05:13.230] 这不知道那什么东西，你比如说加上I我这提前给你安排好了，这车得到我得给你看看，
[05:20.440] 你才能那什么呢。
[05:21.940] 这车大概今天就周四预计的应该是周六下午应该让不完事，就看配件了。
[05:31.760] 如果要是
[05:32.890] 周六完不成，周六周日有点事准备对我怎么着时间上了。
[05:38.960] 对。
[05:39.620] 因为就怕这三个配件，4000多块钱的配件，他找来的快，咱们这边一块
[05:45.930] 像咱园子里的车可真多，
[05:50.760] 我这是好的，刚才是使用人肉给您战车，
[05:56.310] 快点都没
[06:00.620] 载入车褰两个字，咱俩这个单子是一样的，这是取得
[06:06.600] 那就行。
[06:13.220] 这个给您，当然咱拿着这个单子取消上面，对我叫胡勇和我下1801021是我的手机，
[06:21.120] 原来也有微信，倒是方便联络，
[06:23.950] 然后现在是下一个环节给您
[06:28.280] 饭圈。
[06:38.830] 吃饭刚才二楼
[06:42.530] 三
[06:57.360] 139
[06:58.800] 137
[07:00.920] 二
[07:02.930] 重新注册一下，
[07:05.650] 搜索百得利集团
[07:10.240] 微信公众号
[07:23.940] 关注
[07:26.740] 他的左右下角有一个我
[07:32.640] 点击上面登陆，
[07:38.020] 几个人？
[07:41.610] 上次看两个不错，
[07:46.050] 远、
[07:56.620] 了
[07:58.790] 脚
[08:00.110] A
[08:01.730] 这就叫安哥拉。
[08:07.230] 这个翻一番，
[08:11.240] 过去了，
[08:13.820] 微信发了给您退出来，然后再进一下。
[08:18.890] 这点道理是吧？是不是点击领取？
[08:23.280] 对。
[08:27.260] 不用，其实说白了就相当于伤心一下。
[08:38.400] 的
[09:00.280] 三倍就行了，对。
[09:02.550] 行，今天那事就齐活了，
[09:04.640] 然后就通知您来取车了，行行，谢谢，慢点开您客气了，再见。
