[00:05.900] 崔先生你好。
[00:09.140] 正好不过几天你来领奖来做。
[00:11.800] 那个是过来传送轴召回的行。
[00:21.130] 京Q92292099C299Q
[01:15.330] 到
[01:17.530] 要不这样
[01:20.480] 这两张真话
[01:22.690] 一览了吗？
[01:25.990] 这个挺好不好，完了出场就行了。
[01:30.770] 我这一会能看看车去随便。
[01:33.170] 咱们车搬进屋里啥的收了就行了。
[01:39.810] 三
[01:49.660] 第二。
[01:56.080] 0.4。
[02:00.970] 在一块。
[02:03.480] 你都没明白我说的意思，他现在横着的随账变成了她是老板的，
[02:10.490] 他有车位，我就说这车本身你说你就找领导车，
[02:17.270] 我的
[02:26.360] 我得名单。
[02:27.800] 说的
[02:28.730] 没有谁知过了
[02:32.860] 开始不了。
[02:36.010] 来。
[02:38.430] 到。
[02:44.430] 现在
[02:46.880] 你如果说我
[02:55.310] 这一次
[03:00.270] 永远
[03:06.040] 两
[03:27.040] 作为
[03:30.030] 的
[03:31.600] 红旗了
[03:39.780] 的
[03:41.220] 数据
[03:42.160] 数据、
[03:47.950] 到
[03:49.080] 花
[03:50.610] 场、
[03:55.360] 数据
[03:58.680] 的
[04:02.120] 场
[04:06.510] 远。
[04:10.960] 6
[04:12.860] 次车。
[04:15.220] 不是合肥的能交吗？不是。
[04:19.200] 主要针对这种情况担补偿，
[04:22.520] 然后修一次车报案修车给补2500块钱的现金，
[04:26.630] 修两次给补5000，最高
[04:29.410] 最多得补两次。
[04:31.580] 这补现金。
[04:33.760] 这个叫什么？你看弹不弹部车补偿，
[04:36.880] 交一个1498块钱，
[04:39.740] 15天之后就生效。
[04:41.340] 生肖好之后，
[04:42.700] 如果您要修车过来正常报案修车报案报一次案子，修一次车，不管您修多少
[04:48.620] 多少钱没关系，只跟次数有关，报一次案，就是您留一张银行卡，就你本人的就赔你2500块钱现金打卡里，
[04:56.090] 你报两次那就可以达5000打到你卡里，
[04:59.510] 纯现金打卡里就这意思。
[05:02.200] 如果我得交1498 1498这个代步车检就有这个险了，然后15天之后生效了就
[05:09.300] 一年之内你可以陪你两次2500就这意思。
[05:14.860] 你像有的受伤小，
[05:17.070] 修还是不修，修了明年保费调整了不知道不休吧，你老是伤在那。
[05:21.820] 这样的话就针对这种情况，你正常还是您报您的保险明年还是有调整，但是这现金就打到您卡里了，
[05:27.520] 希望两次给你5000块钱，您就等于是一个3500，你保险涨的话也涨不到3500去，
[05:34.170] 正好要补偿给你补偿了，再不什么意思你修车期间没
[05:38.760] 没车用或不管有没有车用，给你点打车被黑，
[05:42.280] 就这意思。
[05:43.320] 我这15天以后才行，15天以后就可以修了，就可以过来报案修车了就不是当然
[05:49.450] 不能当时修，因为当他这个险种是什么意思，你给他交钱也是交到保险公司，保险公司正气还是比较多的，
[05:56.610] 他会把统一弄好了之后，一生效15天，基本上就15天
[06:00.350] 就可以过来修车了。
[06:02.470] 相对来说比较
[06:06.580] 所以算算是一种大活动回去的一个大活动，后来
[06:15.190] 前提是您的保险公司上保险公司必须只是这四大保险公司去，这是第一个。
[06:19.800] 第二个是什么？但不过这个东西有好几点是啥呢？
[06:23.450] 如果把这车是率先者属于三者，什么意思？就是别人的车不小心把卖车管了，他的全责咱们不用走咱们的保险，
[06:30.410] 但是你也是回到摆在那修车了，不出您的保险，您在这修车同样会给您
[06:36.220] 给你2500，只要修车
[06:37.880] 冲沏就可以给2000了。
[06:42.450] 相对来说还是比较划算的，基本上现在都是
[06:46.510] 有脾气打算的在都用这种。
[06:49.920] 反正像我现在好几块，
[06:54.110] 我刚才您大概看了一圈，
[06:56.780] 后杠你看那个露底了黑了吗？一个后放一个前杠，
[07:00.310] 前面你看左右都有上万，
[07:02.090] 那叫一块。
[07:03.870] 因为咱们赔钱账的时候整整调到不管你几块，
[07:07.780] 一下原告就可以了，你等于前盖上章就没了，后冠名商你也不管你后杠有几块，主要是在一个汇报上面，
[07:15.090] 都算一块去。
[07:16.240] 也分开，至于您右左侧那一道你知道吧？那一代到时候一抛光就能调你喷漆的，如果要喷喷漆的时候它不是有抛光吗？
[07:24.320] 他会给你抛一下弄一泡就掉了，因为他没伤到底漆，右侧后门那有点磕碰的。
[07:31.040] 小一点这么长一点，应该是别的车门开门的时候给你喝的，
[07:35.360] 那个伤比较小，他们就不向前不那么大，
[07:38.510] 就不要动，他抛光是抛不掉的，可以点1.7，这样的话你的车
[07:44.170] 敲碎上面基本上比较大，前后都
[07:48.990] 前后钥匙都修的话，
[07:51.680] 走保险，
[07:53.420] 将来保险费成长，
[07:55.520] 整个我预计这预估也是
[07:59.390] 2000块钱左右，应该也差不多。
[08:01.950] 您去年出国前我一直没有做过。
[08:07.020] 什么时候买车？
[08:08.280] 34
[08:15.150] 二
[08:19.310] 给。
[08:30.310] 您去年保费交了多少钱？
[08:33.310] 了？这家公司？
[08:38.000] 也不记得了。
[08:41.580] 问一下。
[08:42.940] 的
[08:55.960] hello，我说售后有个事我咨询一下。
[09:01.520] 咱这有一客户就是说
[09:04.390] 等于是保险等于是一直没出过险，我看哪年的车
[09:08.860] 是133 13 14的样子，13年的车应该是
[09:15.830] 到现在等于是保险从来没去过。
[09:18.570] 没吃过，没，就是说现在如果说出两次检测的保费大概能出多少？
[09:25.900] 场
[09:37.930] 数据
[09:40.570] 的
[09:42.840] 假。
[09:52.970] 谁知2K
[09:56.340] 加入，然后
[09:58.550] 对一出过一次，
[10:00.880] 但新政
[10:03.430] 空调的
[10:05.640] 能到3000吗？
[10:08.700] 差不多涨幅大概。
[10:10.370] 等等也没记得你上次交了多少钱，你记得三。
[10:18.450] 我没有，我先拿行政你去给你先拿一下，在
[10:24.160] 专家不是在后备箱打开放轮胎，
[10:29.640] 抓到了天天，你来说。
[10:34.540] 下来看看，正好现在这车等于什么？有前后杠，
[10:38.550] 有两块有两注。
[10:40.410] 两个杀这不是正好是有的，但不写再不写的话，没事我可以算一下，因为咱们赔付5000的话，他不是交一个1500，这不是还差一个，他怎么做出来一个3500？
[10:50.950] 3500的话，如果说是
[10:52.960] 出了这个险，当然车肯定是修了，彻底修好了，走保险肯定修好了。
[10:58.460] 但主要就是看这个价格就是差距有多少，要差距太多的话，实际上也不知道，如果差距不是太大，
[11:05.230] 必须一定是把车
[11:07.740] 这样的话这里从保险方面来说差不多就这意思，你看你说给你打电话问一下，
[11:14.650] 你对没上班吗今天？
[11:20.900] 我说我今天过去了，没看到你。
[11:24.410] 打扰了休息还打扰您了。
[11:27.070] 马上
[11:29.540] 了。
[11:31.400] 要打开
[11:33.420] 数据
[11:41.110] 数据
[11:45.990] 谢谢。
[11:49.400] 想
[11:51.980] 现在我应该
[11:54.080] 如果是这样话，我听过的应该是有5000块钱左右，应该差不多，我估计应该是5000块钱左右。
[12:01.600] 交保险
[12:02.990] 应该差不多是5000元左右。
[12:05.970] 如果是5000的
[12:09.120] 我现在就叫做打个比方现在交5000，
[12:13.150] 同一个
[12:14.220] 多少？
[12:15.040] 0.25是吧？
[12:19.410] 我们一个1275。
[12:26.820] 假如保证上面现在数是5000，就交了5000块钱，
[12:30.460] 除以一个
[12:31.770] 0.25
[12:33.920] 0
[12:36.350] 127
[12:38.220] 65
[12:40.050] 除以
[12:41.170] 0.25是吧？
[12:43.220] 一个19,000多。
[12:50.830] 15,000多。
[12:56.030] 对，那肯定不行。
[12:59.100] 差的太多了对。
[13:01.030] 行，我这也就是说用它用现在保单上面数除以0.2255再×0.8位对吧？
[13:07.050] 3000多
[13:09.280] 平方米，
[13:13.270] 对。
[13:14.560] 等于这是交了，当时交的保险是交了，你看车损三者人员盗抢玻璃涉水，
[13:23.450] 无法找到三方，
[13:25.130] 这些
[13:26.730] 使用年限6年，我们一共是3000 3137，
[13:33.920] 人寿的
[13:36.600] 3130 3130，
[13:39.560] 37÷一个
[13:41.710] 0.25。
[13:45.560] 在0.8。
[13:48.800] 也是3000多块钱。
[13:50.760] 行我知道了。
[13:56.280] 行我就知道好了，谢谢。
[13:58.770] 拜拜。
[14:02.890] 我给你算一下。
[14:05.360] 3000多不是3000。
[14:07.810] 不对。
[14:09.340] 3137。
[14:15.080] 0
[14:18.040] 号。
[14:18.820] 等于你这应该是不太划算，因为您
[14:22.690] 原价的保险是1万多块钱。
[14:26.660] 12,300多。
[14:28.130] 你等于现在是交一个3000多。
[14:30.140] 3000多，然后
[14:31.570] 不能说乘以0.8，
[14:34.000] 等于9000多9841
[14:37.390] 减去一个3500，
[14:39.790] 不是特别划算。
[14:42.240] 如果
[14:43.880] 之后出了两次险之后，明年8月八九月份
[14:49.110] ×8折，现在是3折，对，应该现在是最低的折扣了，现在您的保险目前是最低折扣。
[14:56.110] 3137我一共交了3100多种。
[14:59.440] 31373137.23，
[15:02.570] 像这种情况的话就不是特别的划算。
[15:05.190] 当然
[15:06.090] 这种情况也分什么情况，你比如说下车，
[15:12.270] 你比如说这车可能就是必须得修了，那就单说了你上了保险就是为了修车，但是如果说
[15:18.030] 因为你自费修肯定不对，自费修一块其实就4000，
[15:21.110] 那两块钱就8000，你自费花钱修了2块7了，所以这种情况根本就不用考虑了。
[15:27.170] 如果要修那就一个点休与不休了。
[15:30.910] 肯定修，
[15:32.190] 你肯定就
[15:33.440] 用肯定合算。
[15:35.010] 最终还给您一个补一个3500块钱补助，如果说不休那就无所谓了，不修这东西就对咱们没用的话，如果确定
[15:42.100] 收保险费涨多少？
[15:45.400] 好几千。
[15:46.540] 您现在不是3000多吗？
[15:49.200] 3000多刚才已经算了得，如果还是这些险全部的险种都是这些，
[15:54.950] 但是你可以选择性的交吗？如果你还是选择这么多的险种的交的话，就可能刚才给您算了一下，
[16:02.590] 还有个9000 9000了，差不多9000 9000左右了，
[16:07.220] 就是说以后每年都是9800，是不是他就会给你往下降？
[16:12.020] 你要车不出险，比如你车不修了，所以说你后期就
[16:16.720] 又没事了。
[16:17.620] 一年年年年他从阶梯上一年一年往下掉，又往下降，
[16:21.860] 价格之后冲，他这样一定程度基本上他就不会再降。
[16:25.170] 但是你要出了点，他又一次或两次，
[16:29.440] 你要是出让4次减5次检查了，那就翻倍了，那就是一下交两三万，对拒保了就不给你上。
[16:36.170] 那算了。
[16:38.310] 就大概这么一个情况，因为看正好看到车上有伤，
[16:46.350] 这朋友还行，当然。
[16:49.320] 放一下没错，我还给你放回原位，谢谢。
[16:55.990] 然后这个好点是啥？就是三者如果是三者险
[16:59.890] 也可以陪，就这意思，3点就是不走您自己保险，别人把您碰到装好，
[17:05.550] 你修修给您修车，谁知
[17:09.650] 没事上海。
[17:20.130] SAT里面了
[17:27.680] xp里用
[17:32.480] 数据
[17:35.810] 总结
[17:37.280] 部分的谁知
[17:46.120] 好了。
[17:53.990] 谁知周六的要么周六的样子。
[18:02.930] 就对预计是周六，好了，我们去电话，上午还是下午您去电话我。
[18:10.250] 谢谢不用客气，谁知
[18:13.460] 查不了现在。
[18:18.760] 坏
[18:20.570] 场。
[18:30.120] 微信扫不上。
[18:33.290] 的
[18:45.200] 啥东西都经不起算。
[18:47.090] 不是太低了，确实太低了，然后刚才我一瞅3000多心就凉了，外边系统怎么样？
[18:53.600] 初一。
