[00:00.000] 太快了。
[00:02.050] 李青峻先生。
[00:07.390] 数据。
[00:12.120] 数据
[00:13.450] 场。
[00:17.320] 电话，您给我留一个领导
[00:35.070] 就里边从系统查一下。
[00:37.370] 对。
[00:42.400] 这是。
[00:43.580] 你先电话跟您核对一下，18601344887。
[01:01.880] 稍等一下，帮您创建一下。
[01:07.280] 咱们这边相当于走了一个平安的保险，写的是右后蹭伤了，
[01:12.660] 取车之前您还得跟班不核实一下，咱们分开手续，别到时影响您取车好吧好。
[01:38.060] 803
[01:39.100] 198005143631。
[01:45.130] 2012。
[02:05.560] 那是王律师吗？
[02:08.670] 告诉咱们其次能找到这本书之后的
[02:12.000] 主要让我们的文化
[02:13.760] 咱们这车下午到咱们家来定损修车是吧？
[02:16.650] 您稍坐一下，我帮您去看一下里程，有两车上没有什么贵重物品了吧？
[02:20.940] 谁给我打电话？我给您看看车给您发手机。
[02:32.330] 场
[02:34.580] 号
[02:40.550] 号
[02:41.160] 场。
[02:43.500] 二
[02:44.580] 数据。
[02:46.880] 本人来不了。
[02:53.300] 数据、
[02:54.880] 数据、
[02:57.010] 数据
[02:59.770] 剧场。
[03:10.550] 数据
[03:21.280] 五
[03:25.110] 套
[04:59.640] 不好意思刚才接电话。
[05:02.460] 您说。
[05:07.160] 代步车。
[05:22.050] 这得有身份证，因为咱们商业险保单是您家人的话，得您家人身份证才能办理理赔的，
[05:30.120] 但是逮捕车险的话直接是赔付到您那儿的。
[05:52.270] 好像
[05:54.220] 还得把他们相当于一个A4纸大小的水平证书，
[05:58.990] 拍个照片，
[06:00.090] 您给您家人发了之后，他得拿出原件，
[06:03.410] 在4A4纸上摆在上面，照片再给您发回来，再给我们的理赔员才行。
[06:21.120] 恩。
[06:23.350] 我估计只能说您过来试试，咱们
[06:33.130] 要是最保险的情况下，肯定还是原件在咱们手上，这是最保险的。
[06:42.480] 我就怕的话您过来办理，咱们可以先行定损，可以先修修。
[06:48.400] 但是取车的时候有可能就会涉及到
[06:51.400] 没有这个证件没法取车，
[07:06.310] 我估计有可能定。
[07:08.000] 对，有可能我估计可能定损员直接就用您录入了。
[07:30.590] 我记得您说上咱们看了三块喷漆，我估计周六周有点悬，
[07:39.290] 因为咱们所有环节都是要整喷的，
[07:44.360] 整喷的话就涉及到咱们车门还得去办个新，
[07:48.260] 给您整体的给您去弄，所以我估计有可能时间上可能会来不及，周日
[07:54.600] 今夏好比说今天您过来的话，我估计有可能也得周一才能取车了。
[08:05.330] 明白，您尾号
[08:08.560] 您尾号多少来的？
[08:14.570] 对，明天限行还不行。
[08:18.000] 明天限行你要送过来的话，您得后天才能送，相当于周五了。
[08:22.320] 有可能时间可能就一下就跨入到下周了。
[08:38.680] 我估计可能因为近期的修车比较多，
[08:42.400] 全都是咱们基本上之前咱们尚待风险15天到期的，
[08:46.370] 基本上现在有可能就比较咱说有点扎堆了，
[08:50.430] 这时间可能对都会往后来错的，因为咱们现在要求每辆车，
[08:55.930] 所有喷漆的车都要进期房，
[09:00.230] 所以可能时间上可能三块分期有点赶，
[09:03.880] 有点赶。
[09:07.890] 哪儿？
[09:10.560] 没问题，这边的话。
[09:18.030] 明白，这样的话。
[09:23.400] 对，咱们也可以这样。
[09:26.160] 您不是周四应该是限号吗？
[09:29.620] 假如说下周三的话，您能拿到咱们被保险就是您家人的身份证的话，您下周三过来，
[09:35.990] 我给您这边提前办一个咱们的预约喷漆这样的，他们可能车间还能往前给您去改一下。
[09:45.020] 的
[09:51.250] 一两周都不回来，那就带着您的照片来吧，咱们先试一下，要是可以。
[10:07.120] 下周三
[10:08.120] 周一都可以。
[10:15.190] 明白。
[10:16.240] 没问题，您就提前一天跟我说，我这边能跟车间去说就没问题。
[10:25.810] 没问题可以。
[10:36.130] 可以。
[10:37.830] 可以没问题，这样的话我这边也有时间
[10:43.940] 跟车间去进行一个这种预约安排，时间上咱们也能快一点了，都没问题。
[10:53.320] 行没问题，以您那边时间为准。
[10:58.200] 这边我随时都可以帮您安排，这个都没问题了。
[11:05.100] 没事行，那到时候您随时给我电话就行，好吧？
[11:10.520] 好勒。
[11:12.440] 好拜拜事
[11:15.480] 了。
[11:19.160] 刚收了一短信，后来
[11:22.040] 这是我在这修的知道吧？
[11:26.100] 车就是放时间长了。
[11:28.400] 就搁你这了，对，只要打着了就行，有没有没事，我以为有什么东西要。
[11:36.100] 这没事，就是电瓶启动电瓶，他临近报警点了。
[11:40.410] 我是该关电瓶吗？这不是叫着车，
[11:43.560] 让它行驶当中自然往里充电就行了，现在因为咱们停放期间电瓶也是有自动损耗的，
[11:49.950] 就是这个意思。
[11:52.510] 您稍等，我把之前车主这接完，马上
[11:59.470] 我就问一下这个问题，
[12:01.700] 刚来的关系。
