[00:01.120] 18643178900张先生，
[00:09.490] 18643178900，
[00:15.890] 对我们介绍。
[00:20.640] 当然了，
[00:22.060] 必须的，不可能帅一点
[00:25.600] 的。
[00:27.540] 眼睛不是怎么解，
[00:30.570] 我发现手机号用的是哪个号还是这号吗？
[00:35.230] 现在对我看什么壮举对我看到底出没出来。
[00:42.270] 我说审核已经通过了，今早上提交的1864317密码，
[00:48.150] Z
[00:49.930] xx
[00:51.400] 161716。
[00:59.350] 怎么还？
[01:00.910] 这还不出来了吗？
[01:12.310] 这几
[01:14.330] 行6差就差。
[01:20.310] 我过来一下了一下，你们看后来没问题了。
[01:24.760] 没事行行，别到时候看你来下面那个指标那块这个
[01:31.860] 填报申请，
[01:33.440] 你还没点过天猫申请对不对？点过我看看。
[01:38.960] 今天早上津津Q
[01:41.740] 跳ed
[01:43.660] 第891
[01:45.640] 89
[01:50.130] TL
[01:52.000] DA
[01:53.140] AD A
[01:55.990] 你看一下。
[01:58.430] 您填报的原车号已获得更新新进入个人更新查询，
[02:05.360] 另一个已经进到另一个界面里面去申请，身份证号2010
[02:11.110] 112
[02:12.590] 1981
[02:14.160] 0516。
[02:16.190] 0632。
[02:20.490] 京Q1D89161D
[02:23.730] 891。
[02:25.640] 对我短我当时转出了没有出路，北京过的户就在北京当地流通的，过户知道了
[02:34.640] 了，转租了应该是晚了。
[02:36.890] 转出转到外地的这车，人家应该卖到外地去了。
[02:40.460] 我到外地了，你得出什么意思？选出就是这车拿到外地上牌。
[02:46.280] 不知道了不，我这车要上本地牌，北京不是我说老车还
[02:52.560] 了，那车转到哪了我就不知道了，你跟二手车市场了。
[02:58.050] 跟我说话，我又跟那谁联系一下，跟
[03:02.000] 搜车的那行，您问问他收车的联系要不冲，我们后面有什么影响，没有影响我得填这个东西。
[03:11.470] 咱们只要到指标让人做对。
[03:13.740] 还有半有没有吃饭？
[03:19.490] 说。
[03:26.830] 昨天卖的是吧？
[03:28.280] 上午。
[03:29.310] 昨天上午。
[03:31.520] 昨天厂里我先到4S店了，
[03:34.290] 到商店他说天天系统有些问题想咨询一下，我也不太清楚，就问他是过户还是外迁，咱这车是过户了还是外迁？
[03:45.540] 过敏过户北京您稍等一下。
[03:47.950] 公布北京对吧？
[03:53.440] 您还有什么需要稍等了？
[03:55.890] 稍等哥。
[04:01.010] 的
[04:06.250] 号
[04:12.350] 不出来。
[04:21.270] 上班明天咱那车就能就可以了，就可以一个更新的对不对？就可以买一个新车了。
[04:26.980] 我想
[04:30.020] 下午4:00太好了。
[04:32.900] 了。
[04:33.800] 最迟明天下午应该有可能好勒。
[04:38.490] 你让他打一下多少钱，那天两天看看是吗？
[04:43.310] 津Q1891。
[04:45.820] 行您挂了行哥，没有下午在再给您打电话，好谢谢好。
[04:56.350] 不管
[04:57.590] 说
[04:58.510] 二来是一次2002
[05:04.280] 出来了。
[05:08.230] Q 1D891
[05:12.360] 客户
[05:14.180] 7 DDC
[05:18.310] 大家写不出为什么？
[05:20.560] 有没有大小写输的。
[05:22.980] 没事QE是吧？他出来了。
[05:25.780] 后面可以说。
[05:31.510] 没事，等会我看一下。
[05:34.850] 谁知
[05:40.030] 对吧？
[05:41.390] 谁知。
[05:49.430] 算了姐姐你看看哪个谁。
[05:53.090] 我还没看先来你这是怎么了解，一会儿你
[05:57.440] 把自己的想法行，下午等着取车的时候，
[06:02.930] 我跟您说下午等您取完车的时候，
[06:05.380] 好伞坏电脑弄不清楚，行，一会一会说去。
[06:10.980] 完了以后您这边行，上午没看懂行行。
[06:14.880] 好勒。
[06:16.030] 行
[06:19.160] 你去你的吧。
[06:20.760] 谢谢。
[06:23.890] 手机给吗？
[06:40.790] 来，这串数字不再说一遍。
[06:44.360] 好的，谢谢186。
[06:47.410] 4311317890213，
[06:52.970] 然后是Z叉叉6叉叉1617616176，
[07:01.220] WTL
[07:03.100] L是吧？Go分割问题。
[07:08.840] 3F
[07:15.110] 的
[07:17.550] 对，今天让我们填是。
[07:21.360] 银行在哪？
[07:23.460] 如果明天张欣欣更新指标，这是下一个是不对？
[07:27.960] 所以明天才能上牌，明天
[07:30.590] 这个条件能交税24小时是不是？对。
[07:34.760] 电脑上查着了是吧？
[07:37.010] 已经下来了，对不对？你看是不是这样的，你说对是这个东西。
[07:41.250] 就是说跟置换的一个，我就拿来11年7月份，今天要不要打印出来？
[07:48.810] 一年。
[07:50.100] 年年
[07:52.670] 但因为我说就这个东西在去年的一天都不到时间，不适合哪个，放不放还不如还。
[08:00.270] 大家都被扣的太大了，别了，下面
[08:03.500] 加强班
