[00:00.000] 现在一次客户5000，
[00:02.780] 一次性5跟我那一样，
[00:05.520] 决定
[00:06.980] 我就不爱叫我明天重现了。
[00:18.470] 对。
[00:21.210] 的
[00:26.010] 当着
[00:27.420] 我给你妈妈
[00:29.240] 哎哟那天。
[00:31.410] 行了拉倒吧。
[00:33.710] 好。
[00:37.910] 两
[00:41.420] 您好，吴先生。
[00:43.640] 你好，给弄名片，下午吴鹏。
[00:47.010] 我们家对滴下来咱们。
[00:50.120] 对有余额咱们那边也没有约，其实这样。
[00:53.840] 的我。
[00:55.280] 有一个注册我要置换你这都可以办的都可以好的。
[01:00.550] 我的目标是一个
[01:04.230] SUV，目标是SUV，可以在奔驰这个级别里面考虑C级的。
[01:12.050] 差不多的意思，对你给我介绍你现在
[01:16.800] 没有，主要是女孩子开。
[01:18.540] 没问题。
[01:19.110] 我先跟您说一个。
[01:20.670] 误工约的。
[01:22.330] 开始奔驰从去年开始实行了一个服务公约，这可能没网吗？我拿着iPad，
[01:32.840] 就是这个客户为尊异地相待，诚信经营、合法得体，明码标价关透明片渠道西红柿，
[01:39.110] 咱们现在奔驰能做到后面这两句话，
[01:41.740] 绝不捆绑销售，强制消费，绝不使用讲建议不通航。
[01:45.380] 包括您甭管您做分期做金融贷款，它也不收取任何的金融服务，费扬都会有电话，400881889我在你们奔驰
[01:54.780] 做过一个买过衣服，买过一车就前三年多了，那属于老客户了。
[02:00.730] 刚刚你查就能查到我刚刚做的金融，刚刚做完朝房贷款。
[02:08.630] 对，有半年了，因为以前的事情没有去，对，所以我对奔驰车是知道。
[02:15.000] 但是现在
[02:16.160] 现在还需要再进一步了解一下，现在用一个女孩子要用。
[02:21.210] 没问题，您喝点可乐咖啡茶艺这个东西的话就有了在买能优惠吗？肯定的，老客户什么样的都不用担心了。
[02:29.570] 大概其是预算考虑什么词？
[02:32.310] 你打算哪我可以给您推荐。
[02:35.320] 40万33，就是说从30多万
[02:42.430] 到40多万都可以，对于哪方面要求高了，比如说动力主要是在市区
[02:49.680] 区开，因为我有其他的大型车和越野车，
[02:55.090] 我主要是要一个持续开展，实际上以代步为主，要这么个面子。
[03:01.510] 明白了。
[03:03.000] 动力最好不低于2.0。
[03:06.050] 不就是排量不能小于2.0，B对行了。
[03:09.980] 那就只因为现在所有的车型，
[03:13.370] 对，那车甭管你是买的奔驰或者其他品牌车，
[03:17.800] 现在所有的车型中国这边发展都是公开亮相，一盘子适中。
[03:24.400] 那个不是我开的，但是没有是我买的是我的。
[03:30.870] 的。
[03:32.700] 当时有点小毛病，经常扩张分经常亮，经常一会儿这一点
[03:38.900] 大概300
[03:40.470] 27
[03:42.000] 3300013+C300，
[03:45.380] 开的怎么样？接下来是50。
[03:48.630] 50多万，对50多80多万。
[03:52.830] 那老是有点小贵，那个车不是后来有两批召回过，对。
[03:58.590] 有时候有一些小故障，反正有点麻烦，有点心里不是很舒服，
[04:04.790] 但是看也没什么那些故障都不是大问题，您就考虑SUV，
[04:11.430] SUV在交车也是可以考虑的，轿车也不是不可以。
[04:16.500] 小姑娘开对预防
[04:18.970] 小姑娘开，你要说排量还必须2.0T的，
[04:24.030] 你都有什么样的给我介绍也可以也没关系，咱们其实要按刚才您那种需求可以给您介绍几款车型，第一个是
[04:33.660] 门口那见B
[04:35.350] 假币是SUV，可以带您看一眼，这样可以，因为奔驰现在所有车型排量都往小去降了，所以那车排量也晓得那是1.33T的。
[04:47.210] 还搞这么少的，对，他说我奔驰所有的包括这车也是1.33T的，
[04:52.250] 那边B级车也是1.33T的，后期要出的gl A和CLA也都是1.43G的，
[04:58.440] 然后C级车现在都是1.5T的，
[05:01.190] 这样对E级车这个车也是1.5T了，他所有车型的排尿都往下降低了，他这G都是物理的，对都是涡轮增压。
[05:10.800] 你说客户
[05:12.920] 蜂蜜什么的能上去没问题，你要说带着驾照情况，一会可以带你试驾，你得感觉
[05:20.000] 其实这就是gl B了。
[05:22.200] 我看这是哪款，昨天晚上刚换的车我还没看。
[05:25.460] 这加B200，
[05:27.100] 指导价是318,800，这优惠完了294,800。
[05:33.000] GLB的200
[05:36.380] 200的概念，是不是？他就分的型号，说白了就是分了一个180跟两码事。
[05:42.000] 咱们标的多少T
[05:45.200] 一
[05:46.080] 一点几1.33T1.33T
[05:50.980] 然后玛丽是163匹马，
[05:53.810] 马列是足够
[05:56.040] 没有问题。
[05:59.050] 这个车型什么时候出来的？
[06:01.330] 去年10月份做的gl，T不
[06:06.770] 看看内饰怎么样，
[06:09.160] 这个动力是多少？2.6.3分地，
[06:13.590] 1.33D~1:30。
[06:18.900] 这个倒是有点那种
[06:23.570] 这个是等于中央仪表盘，这个是一个多功能区域内，
[06:30.140] 这是一个扶手。
[06:31.730] 小胡同。
[06:34.960] 挂港是在
[06:36.780] 党为奔驰党委都是这样，怀档设计在这样的。
[06:46.760] 这块
[06:47.950] 那是触摸板控制内屏幕，
[06:50.420] 树木的触摸一个系统的
[06:56.850] 空调是在
[06:58.620] 刚才叫你手指按酒的是吧？
[07:01.150] 公安牛的是
[07:12.430] 工艺控制。
[07:13.830] 您是哪个世贸满的？
[07:16.240] 越快越好，越画越对比什么时候行这边
[07:21.180] 对比什么车型吗？
[07:23.040] 有对比车我现在其实范围蛮广的，因为
[07:29.750] 该将来开车的人现在不在，国内他也没法选，我替他来选。
[07:37.710] 那么刚其实我看过宝马叉山，
[07:45.940] 皇马苍山看过，觉得
[07:48.320] 觉得还行，
[07:51.070] 但是其实我对公祠也还是感觉还是不错的，所以我经常
[07:56.850] 所以我在看我再看看奔驰和宝马的，我就看了一家，它有一些
[08:04.210] 让我不是特别
[08:05.410] 然后不是特别舒服。
[08:08.110] 他是这样的，你要对比宝马车三的情况下，奔驰这边对比车型假如C了，
[08:14.310] 我知道了，就对比的叫C
[08:16.960] 假如C咱们这边也是分到260 300，
[08:20.590] 看您选择12602 300，
[08:22.740] 像这个是真皮还是什么皮革风格都是皮革，都是P的。
[08:28.570] 让我去拿个东西，你稍等你去
[08:39.870] 我手机落到
[08:44.280] 谁给我打电话？
[09:00.450] 后来是吧？
[09:01.230] 收到刚刚。
[09:06.510] 后来人走了，我。
[09:09.340] 你现在就能出吗？
[09:12.030] 你稍等会。
[09:14.360] 开走。
[09:16.710] 开走。
[09:18.450] 你稍等，我现在这边是接待一客户刚开始。
[09:28.150] 行行。
[09:30.450] 行行我知道了。
[09:33.180] 好勒没问题好拜拜。
[09:37.620] 全国
