[00:00.000] 谁知因为你了，
[00:04.920] 因为啥？
[00:06.000] 可能他们保险的话，
[00:09.290] 这块他每回都是这样，他进车间之前进车间以后先干活之前先打一个
[00:17.590] 这单子这边看看有什么问题没有。
[00:21.510] 然后
[00:24.000] 等做完了保养不保养
[00:31.310] 打。
[00:34.240] 电脑。
[00:38.450] 看。
[00:56.900] 咱们这回
[00:59.060] 谁知
[01:03.850] 然后用您那个圈了
[01:07.480] 万
[01:11.860] 的
[01:17.960] 场
[01:23.930] 坏、
[01:28.800] 坏
[01:37.720] 的
[01:43.290] 奔驰车，
[01:49.030] 别的
[01:52.270] 东西我跟你说一下，你看有没有用？
[01:57.710] 黑纸。
[02:00.240] 谁知咱们而且
[02:05.040] 就是说要是有奔驰车过来上百得利修，能返2500块钱给个人，
[02:11.920] 打直接把人民币打卡里，然后你上哪花去都无所谓，就不是说指定在我们这儿消费是哪都能花。
[02:22.940] 要交1400，它是啥意思？是这样。
[02:27.280] 打比方说我这一车，我这车上面有商标，
[02:31.960] 比如说我玻璃裂了，或者是我潜藏的伤，哪儿有伤都行，
[02:35.950] 我要走保险，我要
[02:37.920] 打比方说我要修车，保险只要您来买了，
[02:42.000] 走保险修车了，
[02:44.270] 他就给你返2500。
[02:46.960] 不管
[02:49.320] 不管你出去修玻璃挺修身气，
[02:54.860] 换档也行，换房子也就算分7分个门把手，
[02:59.510] 只要是走保险了，
[03:01.110] 来把这里修了，
[03:02.780] 他就罚你两天。
[03:04.120] 一年一辆车，一年最多还两月，就是一年出两次险，
[03:10.310] 你出一次险返一次一次2500，
[03:13.600] 是什么？是交一个1498，
[03:16.390] 一一就交一回一千四百九八，
[03:20.480] 他一年能返两回钱，一回返2500，
[03:23.650] 21,000 55,000倍，就是正头一次，要是这车没什么伤，就出一次钱就挣1000块钱，
[03:32.350] 2000块钱，然后就交1498，
[03:38.110] 直接去
[03:40.240] 保险。
[03:41.770] 它是什么一年有效，从今年的今天到明年的年底这属于
[03:48.570] 他唯一的要求是什么？等15天。
[03:52.360] 你比如说今天我上了保险了，
[03:54.820] 过了15天以后，
[03:57.090] 如果这车上有伤可以
[03:59.830] 正常走保险该修修，修的时候他额外把这钱打到
[04:04.710] 修车的，你给他留个银行卡。
[04:07.280] 打了，因为他写的
[04:11.820] 不配被保险人。
[04:13.950] 这个是单独的，保险被保险人可以是我可以免，
[04:17.860] 也可以是张三也支持李四，你们谁交这钱谁就是
[04:22.520] 你不是说你保单的被保险是谁交了这个钱？
[04:28.030] 我不说话，对，而且什么？
[04:33.710] 不管是全责，
[04:35.750] 还是如果就我自己开车碰的，
[04:39.690] 走自己的保险这个钱，如果要是说我开车窗口，比如我开车的那套
[04:48.050] 走到我的保险，
[04:49.840] 如果是全责还是无
[04:55.460] 就一次2500一年我上你这儿来，
[04:58.310] 只要你上我这来有保险就给你2500。
[05:02.410] 要是你们单位有别的奔驰车正好需要休息，你就该过来了。
[05:07.820] 到我这上面等过15天说咱们把车收回来，
[05:12.600] 车修好了，
[05:15.660] 打。
[05:19.440] 可以。
[05:23.780] 数据
[05:30.380] 过来。
[05:35.580] 特别好老客户，
[05:41.060] 介绍着
[05:46.120] 这个是特别好的东西。
[05:49.230] 因为他们出来的
[05:51.670] 用户最合适了，你功夫或者是
[05:55.530] 别走别人的保险最合适。
[05:57.560] 然后
[06:01.200] 你看看这反正是一个赚钱的事，这就是逼着你
[06:05.850] 现在不是路过你往这来，这不是现在有疫情吗？修车的少，
[06:12.410] 他就弄一这样，
[06:13.670] 又找来看，正常我看着这还不正常人来说这个挺好，
[06:21.840] 对个人来说也值，你说我自己车我有伤，我想休，我怕保险涨，
[06:27.260] 我给你补1000长点就长点，反正也涨不了以前那么多，
[06:32.430] 剩下的他们在做保险了，
[06:35.680] 反正1000块钱你随便你想想说白了，你跟外边那些二类休息者吗？
[06:42.770] 让他那去修，他给你往高了定，定完了以后咱给你钱，
[06:47.310] 一个倒那是违法的，咱们这是合法。
[06:54.500] 明早我带你开车去。
[06:57.400] 咱们这是合理合法的违法他
[07:01.220] 看这个行自己后来
[07:05.640] 给
[07:20.230] 要求他更好了。
[07:23.300] 的。
[07:31.610] 过来。
[07:36.710] 香港
[07:37.800] 拿个手拿着
[07:41.750] 到
[07:42.960] 放贷，
[08:02.550] 出来。
[08:05.880] 你坐这看看。
[08:07.590] 美好。
[08:11.370] 杰克这边看一下号码。
[08:21.850] 花
[08:25.090] 数据。
[08:28.640] 花、
[08:29.960] 花、
[08:33.170] 数据
[08:36.760] 场、
[08:41.860] 的
[08:43.420] 的
[08:45.470] 的
[08:47.920] 的
[08:50.390] 数据
[08:53.690] 的
[08:56.650] 的
[08:58.840] 场。
[09:06.200] 数据、
[09:09.690] 数据
[09:14.500] 先生您好，坏
[09:21.070] 场
[09:23.340] 数据
[09:28.250] 吗？
[09:36.280] 我不知道谁。
[09:50.800] 远。
[09:51.790] 双
[09:54.960] 花花
[10:00.100] 坏数据
[10:04.120] 数据
[10:06.030] 坏。
[10:09.670] 数据。
[10:17.700] 的
[10:19.790] 的
[10:22.400] 数据
[10:23.520] 花。
[10:35.530] 的
[10:58.120] 点
[10:58.850] 数据。
[11:03.090] 五
[11:09.070] 数据。
[11:14.330] 数据
[11:16.360] 号。
[11:22.200] 公司
[11:23.750] 别的车能上，俩上一个是一个
[11:27.940] 还有他的那边修怎么办？还没？
[11:31.480] 对。
