[00:00.170] 开始接车开去接车，
[00:20.970] 下午不涨，
[00:21.890] 开完会没了，我定会没个人不行。
[00:38.730] 轮胎要求是说话，
[00:41.020] 4年6万没这么。
[00:42.700] 4年5万公里左右。
[00:44.660] 这也分您跑的路，咱们都是看实际情况。
[00:48.700] 跟在后面。
[00:49.770] 说按那个标准没事了，我这没什么。
[00:57.880] 平常您开吗？
[00:59.670] 以前啥看看电车又特别的。
[01:04.790] 反正这是我们开
[01:22.680] 徐
[01:23.480] 你去。
[01:27.510] 电瓶好像不太好。
[01:29.480] 这名字这车等于是
[01:31.960] 一年的车了。
[01:33.680] 好像不太好，我觉得因为这打我这必须5.5了，大会有点费劲了。
[01:39.790] 也没事。
[01:42.080] 应该可以了，这个车带启停。
[01:45.020] 这车有启停功能，
[01:47.070] 是吧？比较行车比较费劲。
[01:49.800] 你看看我给我查查，
[01:52.590] 这些环境你多少钱？
[01:54.360] 这个车子得20002000多，
[01:57.470] 所以他激情的
[01:59.300] 我的妈这一简明就是
[02:03.680] 我根本就不用，他都不愿意。
[02:09.710] 如果等电瓶彻底不行了，他也就不好使。
[02:24.050] 没事。
[02:25.350] 又
[02:27.240] 这小车他不大费刹车片，
[02:29.400] 有的就跑完了快5，
[02:32.320] 前面不行了，前面一看一下，
[02:36.450] 也算是
[02:42.440] 这为空。
[02:43.770] 行没事你笑。
[02:45.520] 小商挺多的。
[02:52.770] 报现在多少钱？
[02:54.020] 签证篇1000出点头。
[03:14.000] 扣不严是吗？
[03:16.740] 这样我弄下来，
[03:19.280] 我换那这所没捞，
[03:27.510] 所没到上
[03:32.150] 里边讲。
[03:56.790] 这小车卖了车，
[03:58.900] 你还是开着您卖这些钱，
[04:02.440] 买都买不了一辆奔驰车。
[04:05.740] 对。
[04:07.580] 而且您这应该是
[04:10.640] 看看
[04:17.370] 0。
[04:18.680] 您这15年的车。
[04:20.990] 配置还不低，反正开始也不是低配的，
[04:24.650] 中配的差不多要充沛
[04:28.110] 的。
[04:29.380] 我觉得您这车再开个三四年也还差不多这么多钱，
[04:35.050] 你要再开个七八年，可能就10万往下了都。
[04:39.870] 10万往下的，我怎么想我还会丢了，退休以后我发展
[04:45.690] 有条件就患有他要很多网好了坏事，
[04:50.480] 不可能在一块再开不到三年也
[04:54.360] 人都往好坏。
[04:56.490] 然后您这个车之前有一个保养的礼包，我看您用完了。
[05:02.760] 然后给您推荐一个现在奔驰的一包里边就是做的做优惠做的力度比较大的，针对于三年以上车龄的车，
[05:13.710] 15694，
[05:23.760] 156943是相当于你的车架号，这款车我们现在给客户提供2A2B的保养卡，
[05:31.070] 然后它的总金额是
[05:34.010] 开交流一下的。
[05:36.890] 23408它是4次保养，您说一下D盘内容。
[05:42.490] 首先A宝换机油机虑必保换机油、机滤空滤，这是最基本的，
[05:48.250] 还含有水乡
[05:50.930] 和冷凝器，
[05:55.750] 外部的清洗，
[05:59.340] 这是咱们含有4次还有空调，
[06:02.600] 空调的风道，
[06:04.930] 清洗，
[06:06.820] 还有两次，
[06:08.290] 然后折合起来您能总共节省差不多在1000~1000 1200 1300左右的费用，节省的费用或者
[06:18.100] 节省这么多的费用，然后如果您买了这张卡的话，
[06:21.890] 您这次用卡里的那两个项目
[06:25.650] 和
[06:26.980] 你上次洗完了，一般咱都是必保的时候洗空调了，上次你就是付费洗过空调李晶。
[06:34.150] 然后
[06:35.310] 额外建议您再换下前刹车片，
[06:38.910] 这是当前诈骗因为属于范围之外的东西。
[06:42.860] 还有
[06:44.410] 换一下刹车油，
[06:45.970] nano屋5月份换的，
[06:49.460] 正道咱们两年换一次。
[06:51.940] 这是给您一个建议，这个是咱们。
[06:54.550] 实际需求。
[06:55.820] 这有的不用。
[06:58.010] 沙柳也普通话，您说按照我这方案行吗？我就是这个工费用34088340844，就是我交我的半就不用，对是这样的，你如果把保障卡我们是给一张卡，这卡是象征性的东西，会给您录入到电脑里，你下次来直接做就行，这东西既买即用，买了之后就用了一次了，这三个0也没有，我在就所有东西都开始了是吧？对你再额外给我手机
[07:24.290] 花多少钱，你再付个刹车片钱就行了。
[07:26.870] 等于是我给你查一下多少钱，好。
[07:30.730] 你查一下。
[07:36.300] 五
[07:38.520] 是公园加盟商招商现金的多少？
[07:42.580] 刹车片咱们
[07:44.650] 穿过1161打完折的看下面
[07:50.830] 就连超30161这一对是吧？
[07:54.760] 再加上保养对3408是一张保养卡，
[07:58.970] 等于今天我用不了这么钱是吧？
[08:01.240] 我再跟您说一下，保养卡您付的3408它是一个预存的形式，
[08:09.800] 它是一个礼包卖给您了，然后您能享受到一个优惠优惠的价格，
[08:15.230] 可享受咱们里面的服务内容，为什么会有这种盲卡？是因为你的车出了三年这客户都会流失，
[08:21.070] 所以说厂家希望对客户做一个绑定，正好他卖给您的也不是说什么都乱七八糟一些杂项，
[08:28.850] 都是这种基础的保养项目，你日常所需的，但如果之前的所有的费用都从这里不知道，也就是对没错。
