[00:00.310] 您车怎么了？是走保险还是什么这边？
[00:04.270] 不是原来说买一个什么保险吗？
[00:07.130] 买的代步车险保单吗好像，然后拿来修车返2500是那意思。
[00:13.360] 您定完损了吗？没，咱们得到后边保险部那边定下啥那。
[00:18.630] 行，我跟您一块过来，您的行驶证驾驶本身份证都带了。
[00:23.260] 站着。
[00:24.360] 行了，您直接把车开到后边，保险理赔我直接去那边。
[00:29.490] 就是后边那栋楼保险理赔
[00:32.390] 要
[03:03.640] 修来。
[03:05.150] 修正对这是一个
[03:10.400] 的。
[03:12.030] 您得看您要么走划痕险什么的没问题。
[03:15.740] 你要是说没有房危险，您可能就得出两次险，可能
[03:20.370] 应该给你点
[03:22.330] 条。
[03:23.040] 反正两次目前，但是您不能一次出两回，等于说这次修完了先把明显，然后过段时间再来再出一次就让他拿
[03:32.830] 先把您车灭了。
[03:35.910] 来，您拿一下您的行驶证，驾驶本身份证，回头让他查一下，看有没有划痕险，有划痕险的话，您这三个地走
[03:42.950] 四现场。
[03:48.800] 后杠还要。
[03:50.970] 来咱进屋。
[04:21.100] 有含盐走就繁衍，这几个部位都能丢了。
[04:28.270] 其实
[04:30.880] 的。
[04:33.540] 这几天
[04:34.980] 你要说就刚才那三个部位的话，我估计我这应该是三天差不多。
[04:41.000] 还挺多人。
[04:42.970] 宿舍。
[04:45.770] 说完了。
[04:57.210] 的。
[05:00.240] 来源、
[05:01.120] 谁知
[05:04.720] 说。
[05:07.260] 的，
[05:09.240] 看一看他这车有没有发生证据，看看哪些功能，因为上次买的
[05:19.180] 银行的肯定
[05:21.880] 我的车险。
[05:24.790] 张。
[05:26.270] 这是什么茶？
[05:28.260] 发行。
[05:32.400] 写
[05:33.370] 电子。
[05:36.020] 之前上过带自己看对上过了。
[05:41.230] 您知道您带回节俭带有天上的。
[05:44.570] 666月初。
[05:50.210] 好，反正也在这住一个。
[05:53.560] 那个女的行没事，他一会查一下。
[06:03.110] 你正好做保养的时候。
[06:06.770] 然后从5月底这个月应该是五六月份。
[06:19.760] 被保险的事情吗先生？
[06:25.330] 电话特别看出玻璃门的问题。
[06:28.870] 考虑的话
[06:29.660] 在哪个地方？
[06:32.790] 重点的就分散了
[06:35.200] 优秀。
[06:36.740] 对，我觉得同志开放拍下来。
[06:40.230] 大家
[06:43.130] 调理方案。
[06:45.330] 给领导报告没有
[06:47.870] 别打呼噜或者不一样默默。
[06:50.320] 对方在银行的话最后负责
[06:55.150] 对方购买了人保的2万，应该是161万。
[07:00.880] 有行您爆危化危险能修三块，刚才咱说那两边上那个钱打都能修，
[07:07.690] 三菱V瞬间
[07:09.060] 咱先把这修了。
[07:13.510] 谁知
[07:21.650] 阳光电话听了，
[07:24.140] 完了苏东坡没有下车吗？完整的
[07:29.800] 号没跟上，没事告诉先生9518，您说您今天早上取课示范车上就行了，
[07:38.430] 就抱着打哪个电话，9551819518是人保的完了。
[07:48.800] 保险都是找保费说。
[07:51.710] 我给您说白话跟他说，然后说我这边取车时发现车上有包下来了。
[07:56.230] 对。
[07:57.280] 然后他说有没有坑？
[07:58.340] 别汇报。
[07:59.960] 算起来还是还负责险，虽然不大，但是还纤维细胞也好。
[08:07.600] 网上。
[08:08.870] 保温效果没有
[08:11.670] 风险。
