[00:00.000] 行，这边需要跟驾照跟行驶本。
[00:02.500] 帮您登个记。
[00:14.960] 还有玩笑该做保养干嘛一块也做了。
[00:18.330] 行，保养的话待会我帮你安排一个咱们的机修师傅。
[00:21.590] 还有郭泽先生对，但是送的保养不是喷漆券，我想把钱告诉他一下，
[00:27.410] 除了这次走保险的，咱们再取一个分期券，把这钱告咱们再喷了，是这意思吧？
[00:33.250] 行，一会帮您去看车。
[00:39.680] 郭襄电话给您核对一下，137。
[00:41.820] 七。
[00:42.290] 1797252. 
[00:45.090] 29。
[00:47.000] 137. 
[00:49.420] 879. 
[00:52.170] 72. 
[00:54.060] 529
[01:05.870] 咱们车牌号津NS2991，
[01:08.630] 是一辆C63
[01:10.550] WDBF2个B6个F296045，
[01:52.460] 来曾姐您说好。
[01:54.970] 稍等一下。
[02:20.160] 咱们这次保险它是后果的事故是吧？
[02:27.270] 走的是一个平安保险，我看手续都齐了，
[02:30.240] 到时候咱们就可以直接到时候取车了。
[02:51.070] 您去开车咱们
[02:52.930] 车上的贵重物品一会你再收拾一下，
[02:55.650] 看有没有需要拿走的。
[03:04.190] 老师拿个座套稍等，
[03:30.770] 来拧去看车，
[03:39.850] 先帮你把头发缚一下。
[04:06.890] 咱们这边您机修那边有比较熟悉的服务顾问，
[04:11.600] 这边。
[04:12.720] 对，就机修那边没有是吧？
[04:15.340] 来介绍您给我吧。
[04:16.400] 帮您看里程流量，当然我就给您随机安排一位了。
[04:19.780] 咱们现在里程数是38,472公里，
[04:24.210] 满箱的油
[04:27.720] 提示B宝了，
[04:31.680] 38472。
[04:42.410] 二碰撞是您哪个位置？
[04:44.670] 看到了。
[04:46.050] 这个黑条是不是得换了，换新的这一个下裙边，这是一个边，然后在一片
[04:53.520] 这也有点痛，但是我不知道公司能不能给您订上。
[04:57.280] 目前看就是一个后杠喷漆，换一个咱们导流是板吧相当于是。
[05:02.900] 其他的到里边的话帮您会去检查再看一眼的。
[05:09.680] 我看您前杠。
[05:12.010] 咱们是喷漆卷的那块。
[05:14.620] 是哪个位置？
[05:16.670] 老师
[05:17.640] 这有点
[05:26.360] 没问题。
[05:27.910] 没问题，就帮您登记告知满分。
[05:31.400] 整分。
[05:32.760] 咱们都是整喷的药给您拆下来，寄中期没事。
[05:36.530] 没事儿，这就是商您搁这都没事儿，咱就这么说，因为他不会说生锈吗？
[05:42.000] 它本身就是咱们的塑料件，
[05:44.000] 向着铁皮价，然后喷漆影响谈起。
[05:47.320] 对，肯定是。
[05:50.410] 塑料的没事。
[05:54.150] 没什么问题。
[05:55.480] 帮您看灯光。
[06:00.190] 王晨在屋里。
[06:09.350] 醒过来进办公室，
[06:11.940] 吃的东西都收拾好了。
[06:14.020] 行了。
[06:18.800] 咱们这边公司拆解报价，我估计可能得需要一两天，到时候才能通知我们开工。
[06:25.950] 开工的话，假如那个是条有没有货的话，我们从北京去订货，
[06:31.490] 可能需要一天时间搬到，但这期间的话我们会先把一个杠先修复喷漆的，
[06:37.350] 预计的话得周末左右取车了。
[06:44.000] 咱在家保养的话半天时间。
[06:47.420] 这个单子您给我这上面是两份。
[06:51.280] 怎么我这两个分期我先帮您充一个。
[06:56.510] 那就是两个就相当于同时给您充进去，我给您试试一个分期碰咱们前段，
[07:01.920] 但这里边还会有一个分机，有效期一年，到时候您别忘了去来使用就行了。
[07:07.470] 好吧？
[07:11.980] 你可以帮我充的。
[07:24.060] 登了信息我赶紧写我的东西。
[07:27.440] 没有，我的签字要帮您帮忙充一下。
[08:20.110] 您这个车没买，咱们带入车险了。
[08:23.790] 对。
[08:24.840] 保险
[08:26.730] 相当于只要走保险，不管是被别人蹭还是自己蹭了，
[08:30.800] 可以一年之内赔您两个2500，给您5000块钱可以。
[08:56.240] 我就给您开一个咱们拆解户报价单子了，
[08:59.600] 让他帮您看看里边支架卡扣有什么问题没有。
[09:04.540] 拆解报价完之后，我们的拆解报价员就会找平安地址栏先去拍照定损了，
[09:10.330] 然后他那边审核下来之后，您的手机上会收到一条短信，
[09:14.540] 收到短信的同时，我们这边就开始给您去订货了。
[09:21.620] 黑的东西肯定是换了。
[09:23.900] 对，没法修复那个事情。
[09:38.520] 您帮我签字。
[09:52.200] 了
[10:49.760] 我把我的联系方式给您写在底下，
[10:52.640] 有什么事的话您随时可以给我打电话。
[10:56.840] 双人徐三、石磊，1891008608这给您稍等。
[11:03.880] 我带您去咱们找一个
[11:06.800] 机修的地主听师傅
[11:10.250] 保养这次都是关机。
[11:13.460] 我一会再您去机修那边，因为咱们这溜相当于是本村的。
[11:23.180] 一会带您过去。
[11:24.580] 地貌就是机油机滤空滤，您再帮您看一下您的轮胎电瓶，
[11:29.210] 包括活塞什么的。
[11:39.330] 场
[11:43.590] 场
[12:38.770] 来
[15:15.190] 场、
[15:42.080] 场、场、
[15:45.870] 数据
[18:23.470] 场
[22:03.760] 好了，谢谢。
[22:09.640] 到
[26:46.190] 五
[26:47.470] 五
[26:48.960] 五
[27:06.250] 花
[27:12.440] 坏
[28:19.920] 没事。
[30:48.510] 43。
[30:52.120] 怎么着？
[30:53.200] 给我就行了，跟你妈给我就行。
[30:56.740] 我现在能开高价的。
[30:59.550] 这还有我的活，我就机场里边达到了一套，对，等我那边修完之后转到一楼，他们不做保养。
[31:06.380] 要不你先干嘛，现在我先看行，甭管了，我就先让他们去拆解报价，就OK不用吧？
[31:27.010] 了。
[31:42.040] 第二点是什么？
[31:53.660] 革命尚未成功，同志仍需努力，
[32:02.130] 落
[32:30.250] 咱们
[32:32.430] 下午2点。
[32:37.250] 那行好。
[32:38.520] 你到这给我打电话，到时候我给您看一下车。
[32:42.360] 好勒。
[41:10.590] 纳凉。
[41:12.720] 能聊咱们。
[41:19.370] 不知道。
[41:28.430] 哎哟好累。
[47:09.200] 我帮您把车洗一下，给您开过来，稍等一下，
[47:12.980] 完了成了那边清凉招呼也都转了，他跟您说了是吧？你给我打电话了，行了，另外一块已经查出问题了，
[47:21.570] 后来就看他们修去了。
[47:23.480] 这次没修其他的检查了一下是吧？有登你的发动机灯亮的，
[47:29.830] 那是最后什么原因？还是空气流量传感器还要多一点挂了？
[47:35.730] 那东西不便宜的。
[47:38.010] 6000多，那东西不便宜了。
[47:40.890] 我帮你去洗个车去，好稍作您行谢谢没事。
[47:47.770] go歌舞九龙。
[47:50.800] 但是车险那个单子我已经到时候给您拿到后边去了，到时候他应该就给您往那卡里打钱了。
[47:56.490] 您身份证跟卡都给他们留好了吧，都留好了那就行了，谢谢倒流，好行，您稍作洗个车去。
[49:14.310] 修车什么？
[49:15.310] 对修车。
[49:16.390] 好吧？
[49:21.670] 刚见过发就完了。
[49:23.330] 请问能介绍吗？谁知
[49:29.870] 邵逸夫先生要不你做好我打电话了。
[50:01.930] 回来接下来。
[50:17.090] 对。
[50:37.080] 没办好。
[50:41.770] 爱干什么？你回来接车吧。
[51:20.110] 后来
[51:26.910] 大概多长时间？
[51:29.050] 说
[51:37.680] 稍微等会儿打过来。
[51:39.740] 行，先放我这。
[53:04.800] 完了
[53:29.580] 五
[53:35.790] 场
[53:39.680] 五
[53:44.890] 数据。
[57:12.690] 你在写的
[57:14.480] 了，
[57:16.890] 你分开你不用想那么多，
[57:21.940] 不会写过程。
[57:28.720] 你写完了。
[57:32.040] 放血过程
[57:34.740] 怎么分析？
[57:36.420] 分析这几个点
[57:39.640] 怎么做？
[57:41.140] 过程
[58:18.160] 刚才
[58:20.020] 9
[60:31.690] 了
[60:32.700] 数据
[60:38.400] 登记一下。
[60:41.920] 今年就2万。
