[00:00.000] 先生您是打过电话预约过。
[00:02.520] 先生刚才有人65次跟我说，他带回来找我。
[00:06.760] 6554对也是您这边。
[00:09.120] 他不是销售，您是打给店里打过电话约过是吧？后来他是负责电话接待的，不是咱们攒这些反正约过的话，
[00:18.780] 您到店以后还是来接待，他，可能会给您相应的礼品，由我来接待您，本店销售顾问王莎说明。
[00:26.330] 第一次两个电话对我是到其他店也看过了，然后我就想把C2C的260号
[00:34.090] 42，然后我们这等等，
[00:36.900] 现在您看咱们不知道服务公约，我们说一下，
[00:41.560] 谁知
[00:44.560] 但是咱们客户都可以用，
[00:47.040] 说的主要依靠明君一起生态程序进行优化。
[00:52.690] 应该注明配件渠道信息公示，绝不捆绑销售强制消费，绝不使用简介自动化。
[00:57.470] 代表400818188是真理，咱公司工业金融电话，
[01:01.710] 而且我们奔驰是所有汽车行业内唯一承诺分期购车，
[01:05.900] 不收取服务费空白。
[01:07.300] 我们家现在是
[01:10.230] 迈巴赫特别经销商，反正现在店里面有部分的一个特价车，到时候再给你带您看一下，价格比较合适。
[01:17.600] 需要喝点水，茶水咖啡从。
[01:19.820] Hello，店家会漂亮。
[01:21.640] 带您看一下招C点。
[01:23.220] 你看一下过来。
[01:28.030] 当时你用吗今天？
[01:29.800] 北京玩。
[01:31.920] 对。
[01:33.160] 他们二句话的。
[01:34.810] 不是是朋友要出国了，
[01:37.200] 到时候会拿他那个车来车那个
[01:40.360] 什么歌，他是一个潭水对吧？您现在开始我现在没了。
[01:48.550] 大概可以开什么车？
[01:50.570] 现在不用上课。
[01:52.460] 之前就是穿ml ml了。
[01:55.420] 那个车你就怎么样了？
[01:57.760] 这个号现在。
[02:03.360] 他在这儿留号码。
[02:05.570] 在其他家看过车是吗？还有在茶店看看你们这边现在有线条吗？有宪政是不是？
[02:14.870] 是有KY中吗？应该有一个给您查一下。
[02:25.870] 您大概想什么时候购车？
[02:28.020] 什么时间购车？
[02:29.400] 可能我觉得是因为我那朋友是8月份就开始了，所以发现7月底或者是8月初到去看看，先把车定下来。
[02:39.320] 不是的，他就打点。
[02:41.460] 之前在哪家店他都说
[02:43.480] 之前是我另外一个朋友在。
[02:51.620] 没事了。
[02:54.440] 没人选了，结果。
[02:57.300] 出国您就顾客只能全款购车来对。
[03:01.020] 对指标人出国了这样，因为像问题贷款也比较合适，利率比较低。
[03:07.750] 就是说像这种。
[03:10.220] 弄贷款的话需要我朋友配合查这些
[03:13.820] 签字就签个字就行了。
[03:17.430] 到时候也是走他的，对，其实我觉得在他出国之前就可以把这事情太慢了就。
[03:23.680] 这个周期少了。
[03:25.450] 周期长了。
[03:26.570] 长大概两三天，
[03:28.460] 完了你让他给你个卡号，或者让他直接帮您带，您直接往定期给他还钱就行了。
[03:34.360] 假设是我自己来还的话，也是他签个字条子。
[03:39.840] 对。
[03:40.880] 谢谢
[03:50.730] 的
[03:51.900] 场。
[03:52.920] 颜色选择黑色中的事。
[03:56.520] 然后再想。
[03:58.030] 要是周期还行的话。
[04:00.430] 能加个玻璃更好。
[04:02.440] 来不及，对，柏林车上车一般都有病，肯定是没有限制，对国际自行车现在特别少，现在。
[04:11.230] 来的再选中车几乎看不见。
[04:14.450] 在学车特别大，
[04:17.570] 都是标配车。
[04:19.500] 因为好多客户觉得这种东西
[04:21.880] 就可有可无，
[04:23.790] 因为好多客户觉得音响这东西可有可无，
[04:28.340] 可能刚咱们买车的时候知道有好印象，我听着可能会好一些。
[04:33.780] 当然用过车的时候看着他停车听歌也是收音机，
[04:38.150] 我觉得花了好几千3万的，你说弄个音响，
[04:41.590] 感觉客户觉得意义不大，像你们这边都是是按客户的订单，然后下了订单，然后你们再去订车，还是你们会自己先订一批比较火的，然后在慢慢卖，还是这种车一般我不会订车，只是传就分车型等等，其实。
[04:59.090] 这个方法够劲。
[05:01.910] 您那种的话选中的都是个性化定制。
[05:09.540] 之前在其他家客户有效给你介绍过车型吗？
[05:12.460] 基本上都不做项目介绍。
[05:14.730] 还有些哪些您看希望我在给您了解的，需要给您介绍的，
[05:18.850] 功能和配置上的，你想了解的。
[05:21.430] 因为他们不是。
[05:23.510] 你们抄几个你觉得比较亮亮眼的，或者是你觉得需要介绍，
[05:28.060] 谁知到不知道他给你，我不知道上一个销售是怎么给您介绍的。
[05:36.200] 要留。
[05:38.380] 的。
[05:39.980] 上一般我们介绍什么？咱们大部分内饰是吧？换装了新款的双12.3液晶屏，
[05:45.810] 10.30医院，
[05:48.210] 它的分辨率会跟咱们家里高素质高清电视是一样，1920720的，
[05:54.180] 因为现在大家都在用这英语表，好多品牌都是，但是奔驰液晶仪表的色彩
[05:59.620] 也更丰富一些，在任何驾驶模式下都可以切换这主题，现在这个是属于前卫模式，
[06:05.730] 市场非常漂亮，
[06:07.090] 而且采用裸眼3D成像，这一般销售我都会给你介绍一下咱们
[06:11.260] 跟其他品牌对比的优势。
[06:13.240] 对。
[06:14.480] 款的全功能方向盘，
[06:16.430] 对操作会更方便一些。
[06:18.510] 通过两个黑色的案件，还有
[06:20.640] 我们滑动触控就可以改变菜单所显示的信息，
[06:24.260] 而且这个案件特别小，可以把更多的方功能放到方向盘上。
[06:28.720] 我开始空中两个手扶着方向盘，通过两个大拇指就可以改变菜单所写的信息，这车是定速巡航还是咨询辟谷术最好，
[06:38.430] 或者进入
[06:39.540] 我这张卡，我Q还有介绍的像那是64的环境氛围灯，这些客户比较喜欢的，
[06:47.150] 还有咱们的梅赛德斯密码，
[06:49.200] 对吧？
[06:50.320] 远程梅赛德斯me是给咱们客户提高进一步提高服务的，
[06:54.420] 这是奔驰的一个纯人工后台客服，
[06:57.450] 通过语音客服的提供什么定导航给你电击G票这种的，
[07:02.970] 也有这叫远程解锁，
[07:06.120] 遥控启动，
[07:07.430] 这个不是无限不在无线充电。
[07:10.250] 开始。
[07:12.000] 这个形式简单的手机它放进去。
[07:17.430] 调评论、
[07:18.960] 不一定是放手机，可能放一些其他的东西或直接处理边，就那么给他放下拿也好拿，
[07:24.630] 你要放平比较深，你往外抠也不好抠，
[07:27.630] 像整个连平的内饰的话是得到下一个换代是吧？
[07:32.190] 4M宽带也不一定会有连平，为什么说全为什么下一代的sd已经也不是连平了，
[07:38.680] 还是对
[07:42.680] 高声叫奔驰的设计，不会像其他品牌的套娃设计，奔驰每一个车型的设计是不一样的。
[07:50.020] 位置、
[07:50.870] 侧面用啥他这个片或者什么的卖官呢？
[07:56.000] 在2020改款以后，前后尾灯的设计变化是比较大的。
[08:00.120] 对。
[08:01.040] 这些销货看车他也都给您介绍。
[08:04.220] 看到自动泊车，
[08:08.460] 敏捷超募建这些他都给你介绍过吧？
[08:11.700] 还有哪些您比较感兴趣？
