[00:03.480] 您觉得您账上接受的
[00:07.670] 说
[00:08.410] 到了。
[00:12.260] 李总。
[00:13.460] 您好女士打扰您了，我这里是北京百得利沃尔沃再次店的，请问您这边是精辟W5F28的车主刘女士吗？
[00:22.380] 对。
[00:23.780] 是这样的，本次来电的话是看到您这边购车已经办有半年的时间了，给咱们这边做一个用车的维护沟通，大概耽误您两分钟的时间，您看方便吗？
[00:34.370] 你说。
[00:35.370] 咱们这边现在车辆使用情况怎么样了？
[00:39.230] 他现在有的时候踩刹车会有嘎吱嘎吱响声，但是可能原因是新车都这样吗？还是？
[00:48.760] 是您踩到底的时候还是精彩？
[00:52.040] 我们踩到怎么说，正常采的时候也说不到，就是说踩到底，
[00:59.230] 我不知道是不是新车需要磨合还是什么原因。
[01:02.540] 他那个声音的话是像有东西摩擦就是敲响的那种声音吗？还是？
[01:08.170] 只这样的声音了？
[01:10.920] 咯噔咯噔的。
[01:12.530] 可能是这样，他这个刹车片可能会有一个硬点在这。
[01:21.420] 这是什么意思？就是车需要磨合。
[01:23.630] 不是，他就跟信托没什么关系，您那个刹车片，因为之前所有的刹车片的话，它是
[01:29.450] 用的跟很久以前的刹车片和现在用的东西不太一样，因为他是为了环保之后换成这种刹车片的，相当于像它
[01:39.210] 在制作过程中间会有一个比较硬的一块，然后再您踩刹车的时候它会磨到这一块，所以会有这种声音。
[01:46.510] 如果要是您不太放心的话可以过来看一下，但是这种的话店里头可以直接把他给磨掉这一块，但是一般不太建议直接弄掉，
[01:57.510] 不会，因为它也属于沙这边会薄。
[02:00.130] 对，因为他也没有个声音。
[02:02.240] 开到600公里的时候，然后就有这种，但是他也不是每次都有，也不知道哪下踩了就有哪了，就没有
[02:09.590] 能听到这个车里边的所有人都能听到刹车的声音，
[02:15.180] 也不是每角都有，每次都有，然后后来我就自己上网查了一下，他说可能是新车有的是需要磨合，我就没再打电话问，我想这种事反正也
[02:26.210] 没法说，就是因为他也不是每次都有，我去了他可能也踩着也没有。
[02:31.950] 高吗？这种的话。
[02:33.670] 原来一直没有开到600不到600公里，马上快到600公里的时候，然后就有刹车的声音。
[02:40.920] 您现在大概就是600对吧？
[02:43.730] 对。
[02:44.890] 然后他会经常有还是。
[02:47.300] 偶尔。
[02:49.300] 因为。
[02:49.790] 踩的力度不一样，每一次他这个速度不一样，你踩的力度和时间点是不一样的。
[02:55.910] 他。
[02:57.050] 的话一般之前是出现过类似的问题，但是之前有过客户来店里检查，是因为刹车片会有一个硬点，
[03:06.070] 所以会有这种情况。
[03:08.310] 我一直认为是新车可能需要一点一点去磨合，它有一个
[03:14.000] 就像你新的机器他需要什么是的。
[03:17.660] 因为我看到咱们这边跑的公里数也太少了，才600公里是吧？
[03:23.570] 对，因为这不是疫情，不是哪都不让去，所以就相对用的相对少一点。
[03:29.860] 正常的话。
[03:31.560] 是因为我们相当于是一群前几天买的，然后一直这不就尽情就相当于利用的特别少。
[03:39.390] 正常使用是没有问题的，对。
[03:41.580] 吧？好明白，对，一开始也没有问题，因为去过几次饭就去回过咱们几餐之间和他召回什么的，也没这问题，当时有这问题我就直接去问他了。
[03:51.790] 后来这不是就这几天才到600，然后所以才有这个问题的。
[03:57.440] 要不这样，您看近期有时间吗？可以回厂给您看一下，然后另外咱们这车现在已经有半年的时间了，相当于
[04:05.210] 也过了一个磨合期了，然后也想邀请咱们这边回来给您做一个全车的检查，然后因为他过新车，最开始的时候您开这肯定是没有什么问题的，然后我们这边帮您做个检查，如果要有问题的话，我们这边会向厂家这边反映的，主要是为了保证咱们这边的一个车辆使用的安全。
[04:26.010] 他不方便，这也得约再去一趟是吗？
[04:29.940] 对，您看看时间可以，或者是咱们这边有一个20公里以内免费的取送车的服务，现在。
[04:37.440] 年过年20个就是有人来取他给开走是吗？
[04:41.660] 对我们这边的话是有合作的代价。
[04:44.040] 没买着那就算了，我还是自己去。
[04:47.940] 行。
[04:48.400] 对，到时候那就怎么约跟你约还是？
[04:51.440] 可以跟我这边约。
[04:54.090] 另外咱们这边后期的话车辆都是由我这边来负责的，到时有什么用车问题您都可以随时联系我。
[05:00.350] 那行，那就约下周二。
[05:04.730] 亚洲二
[05:05.740] 开业稍等，下周二的话也就是21号了，
[05:10.410] 对吧？
[05:12.290] 稍等给您看一下，咱们平时是上午方便还是下午？
[05:16.230] 上午8
[05:18.430] 上午看你是周二不行在看哪天，因为周一我怕堵车，到那就中午了。
[05:27.000] 需要很长时间吗？
[05:28.750] 检查的话基本上一个多小时差不多。
[05:40.750] 周二给您约上午的11点可以吗？或者是9:30的时间。
[05:46.320] 今天没有81.8。
[05:48.440] 行，我就给您暂时约上11点，这手机号是您微信，稍后我这边添加一下，您如果后期有什么问题，您可以随时微信跟我这边沟通，我。
[05:58.760] 去了到哪去了，他找谁还是到哪？
[06:01.710] 您上次过来做过
[06:05.320] 召回升级对吧？
[06:07.320] 对。
