[00:00.310] 他们打电话我你挺辛苦的，我想着你打好多回，我说去
[00:05.940] 没问题，然后我就找去年这材料，我说这写材料我该丢丢了，我一看我查一张这个没问题，
[00:12.770] 对着咱正常期间内赔偿李相烨家长是吧？
[00:15.750] 以前
[00:16.720] 海淀区航空航天大学
[00:22.250] 这得多长时间？
[00:23.620] 光峰块7的话大概3~4天，我3~4天，对，因为就喷漆时间慢，他不是说我以为中午就能走了，不可能。
[00:33.820] 343~4天，人家今天放那修吗？
[00:38.520] 3~4天我想想
[00:41.420] 你要这个不休，你要现在不修的话倒还行，还能过几天再说，18号吗？
[00:47.530] 我放今天几号，今天6天明天抽签号，
[00:52.350] 天天
[00:53.830] 我靠明天早上才下班都不长时间了。
[00:58.310] 不过这段时间
[01:00.870] 今天要是能进去，
[01:03.570] 今天算一给您算上一天，明天后天大后天能去，大概
[01:07.970] 大伙就进去，对，可能进度会快一点，但是我觉得因为我是周一周二休息，周三周四上班，那就周四是86号，
[01:16.440] 你看我今天算一天，大概就是15号16号这样。
[01:19.730] 快点的话可能。
[01:21.770] 15 14号下午或者晚上6号早上那就放着了，大概就是这样，因为我
[01:26.970] 15 16-15号16号上班我就来取来吧。
[01:31.410] 试试我看看这4天最晚16号这4天差不多，现在行差不多。
[01:37.180] 因为这个不是保养，说机油给您换做个检查就能走的东西，我想它有一个过程，他就摘下来打磨。
[01:45.710] 喷漆，然后摘下来对摘下来打磨喷气，要是用指摘前面的话会动的，对。
[01:53.030] 对救灾前杠就拆前杠。
[01:55.570] 不会动的。
[01:57.390] 行对，我看前两天有什么召回，
[02:01.650] 我召回跟您春威。
[02:04.190] 因为我是头有半个月我来过一次，就一次是什么召回检查一下。
[02:09.300] 后来我看又有一次什么召回，又一次的章回，我操这车子召回拖五六回，召回不一定是件坏事，对至少对于我们来讲不一定是件坏事。
[02:20.490] 因为他肯定是
[02:22.070] 问题爆发了，它才是召回。
[02:25.640] 我开一下，
[02:26.830] 因为我有哥们的车，他也是房子。
[02:34.080] 咱们最近有一个补偿险，
[02:36.520] 一个就是代步车的补偿，
[02:39.050] 相当于如果您
[02:41.030] 自己不小心把车给剐了，您需要走保险修，或者说别人把咱车给剐了，也需要走保险修的情况下，
[02:47.090] 然后来咱这店修车，同时您之前也上过保险，然后
[02:51.860] 保险公司会给您一个额外的补偿。
[02:54.900] 代步车不是给欠钱，
[02:58.140] 给钱才2500，
[03:00.020] 一次2500，保险烧完之后一年能有两次，
[03:03.350] 大概就是这么个情况，我还真没有出过钱，开车比较
[03:07.950] 这车也没劲，你想跑他跑不动了，对，但是现在
[03:22.650] 怎么说我认为是比较合适的，因为
[03:26.220] 咱们买保险的目的不是说为了用它，而是不时之需，对。
[03:40.670] 没什么嗜好。
[03:42.130] 这孩子反正还好还行，我就能碰巧不要透过后边
[03:47.230] 对照一下石头光柱专业刷优点，
[03:50.480] 大叶子黑板有点
[03:52.900] 破叶子板，
[03:54.440] 后杠稍微有点不利，然后把咱穿贵重品双上头贵重物品收一下，因为主队得有两条。
[04:03.080] 这俩叶子板稍微有点能一块修吗？修不了能，您那一喷就只能选一方。
[04:08.820] 那就选全照吗？抢购小米问题巨大，行可以。
[05:05.960] 车上没什么大招。
[05:08.050] 对，有玻璃，中间有攻岛上稍微有一点能修吗？还是我只能走保险？
[05:15.280] 你像这个情况，
[05:17.210] 修是肯定不可能了，就只能放播量，谁知进口玻璃原厂的国产的
[05:22.750] 奔驰全系。
[05:24.250] 没有国产，我如果买保险是国产的吗？不可能您聊上这保险的话，都是从这上的话都给你伤到的。
[05:32.810] 没有，我上是国产的。
[05:34.160] 咋过的？
[05:35.180] 就打电话他问我国产电话车险。
[05:39.590] 正好先别动它了，先总在这上完之后再走咱这次保险吗？我就上了钢厂。
[05:45.290] 前两天我是不是再补个差价，还得给他打电话。
[05:49.390] 因为我说这车不是就国产的吗？
[05:52.370] 这个进步一定是国产的，我说车过来他问我，他说你回家看看，我说甭看我车头国产车吗？肯定是国产玻璃保险，不是他也不再加上了。
[06:02.710] 不是，昨天他打电话过，我说是打电话电话给我打电话，我也想不好意思了，我打了几回了，我给
[06:09.950] 上了。
[06:11.920] 我问他我看他都不能，因为
[06:14.830] 应该不应该你要奔驰的话我
