[00:08.650] 你好，我是缪先生是吧？
[00:11.580] 我这边北京买了奔驰4S店，刚才您有来过电话咨询奔驰A级的轿车，
[00:16.400] 然后想问问您比较选什么颜色，我先帮您查展厅里边的库存车。
[00:23.490] 白色1180还是200？
[00:30.640] 两个车道都有现车，都有白色有红色的车，然后这个车在200提供试驾车，您近期有时间过来看看车吗？然后我给您做个登记，可以来先展厅里边选晕车，因为这俩车的话虽然说看着看不出来什么，但是两个车的配置差异还是有的。
[00:49.590] 在海淀5路居，您在北京哪个方向住？
[00:58.350] 西四化、
[01:03.520] 对，定慧桥我在家门口是推行。
[01:07.440] 咱家门口就是定慧桥先生定会桥离咱家很近。
[01:11.630] 印尼、
[01:14.590] 四环边边上，咱家门口就对着丝滑。
[01:18.000] 外环外
[01:27.200] 您北京牌照对吧先生？
[01:30.970] 北京
[01:32.600] 我们这边
[01:34.240] 我们这边只收北京牌，您上外地牌没有任何优惠，所以您必须得确定您具体上哪牌，我才能给您报价。
[01:40.230] 您要上外地牌照，在咱们这儿就是裸车体验，您就没必要在咱家买了。
[01:48.840] 上北京牌车差不多四五万左右的现金洗盘，因为成交价格的话，我们得到展厅让销售给您算一下，
[01:54.870] 您具体是分期全款有没有置换？
[01:58.540] 北京牌照这块
[02:00.000] 差异还挺多的，而且您如果要是做分期还挺麻烦的，首付比例还款周期影响利率，
[02:06.440] 利率的话影响优惠价格，
[02:12.680] 优惠幅度大，
[02:14.750] 你做饭机会的东西多。
[02:21.480] 三年两年您自己选，比如说您现在有一个北京牌照，你想做个分期，首付比例返还20或者30%或者50%，这是您自选的。
[02:30.460] 搭配的话您看您是还一年两年三年分别分十二二十四三十六七这样往上累计的。
[02:39.050] 利息是0.99起，奔驰这款的话A级轿车目前还有免首付的活动，当然这个就看取决于您了，我们这边会给您出多套方案，您自己选。
[02:48.990] 利率是0.99起，奔驰A级轿车。
[02:54.260] 车。
[02:55.150] 年利率0.99，
[02:58.320] 年利率0.99。
[03:05.930] 我给您算不了，这样我给您算不了先生，我不是展厅的销售详细的报价，这个东西是得拿系统给您算的，我们电话里是给您算不了的，只有展厅销售参与售车的销售才有权限打开系统，
[03:19.230] 我们这边只能给您查户表给您做预约。
[03:26.840] 44万到5万左右，因为您没确定具体哪款车型，4万到5个月左右的期谈价格。
[03:38.520] 没有用。
[03:39.820] 没有用什么汽车之家懂车帝易车这些第三方网站跟我们店里都没有任何关系，
[03:47.030] 他是为了促进他们网站的客户流量，所以把价格改的特别篇，这个东西也有客户投诉过了，因为店里的价格只有店里才知道，我们的价格是根据库表来更新的，
[03:58.580] 你店里如果没有车的情况下给客户报优惠没有任何意义，您说对吧？我得有车的情况下我才能给您算报价的，为什么我上来就给您查，我说咱们这有没有车？
[04:07.930] 有车我才能告诉您这个车的大概价格优惠区间是多少钱，启谭四五万起抬到展厅的价格，还有可谈的空间。
[04:14.820] 如果咱没有这个车，我给您报了10万块钱优惠，您提不着车也没有意义，您说对不对？
[04:19.570] 了。
[04:21.010] 对，我大概是给您做了这么一个简单的介绍，这个车如果您买的划分现金优惠跟综合优惠现金，就是刚才跟您说的去谈价格四五万的现金，
[04:29.110] 综合是比如说您想要分期全款会影响您的综合，为什么？它分期的话，他厂家会额外贴补您一些保养或者保险的额度，
[04:38.630] 如果你要是直接做全款的话，可能额度也有，但是没有分期的多。
[04:42.930] 这个的话就差多少，比如说差额您分几期，这个会影响刚才为什么跟您说的。
