[00:00.000] 开始接受开始结束。
[00:02.160] 有空吗？怎么报第一个。
[00:10.250] 您的车牌号多少？
[00:11.950] 您车牌号？
[00:13.600] 11303号吃饭了。
[00:18.920] 咱们您说了。
[00:23.760] 没说。
[00:29.440] 电话还说他有一个什么保险对有用意说。
[00:36.740] 一会给您说一下。
[00:39.140] 我用的有时候看你照片售后的有两块or。
[00:44.870] 你现在给我看吗？
[00:47.280] 现在给我看一下，你要那辆车现在我看着
[00:50.320] 你说不在那不是照片一样，保单有吧？
[00:53.640] 保单有电子保单对。
[00:56.290] 就能看得出来，那就右后翼子板差不多8张大小的一块。
[01:03.370] 700有一点点。
[01:05.710] 我看您保险吗这什么车交易可以，我看看保险，然后这反正也是诱惑。
[01:11.960] 一晚上有一小块这一小块OK
[01:14.660] 只要你保险符合我们的要求里面。
[01:17.400] 具体
[01:21.570] 明天早上把钥匙给我。
[01:24.560] 我说
[01:25.590] 买这车是保养是吧？
[01:28.520] 照规定了这是多少回事，就依照回事。
[01:33.000] 就昨天上去查一下什么你
[01:35.000] 牌子什么的能开走吗？
[01:38.110] 我就不用给你出报告了，不用跟金我就能开走了，对na、na、na、na。
[01:43.830] 你这样你把新闻本给我就行了。
[01:47.400] 我刚过去我去看看臭脸，反正。
[01:49.970] 我看颜色也是气囊吗？
[01:52.370] 还有颜色的。
[02:00.120] 夸张一点是吧？
[02:03.590] 有的黑色的，
[02:07.430] 这个时候不休外观还不错。
[02:10.000] 说实话这召回王子
[02:11.880] 大家话
[02:13.500] 要
[02:29.720] 那就好了。
[02:30.600] 一块在出现了商业保险汗毛眼的告诉。
[02:39.760] 刚才满足要求了，
[02:42.840] 停下就行的就好了，社会高压
[02:52.700] 的。
[03:03.070] 数据。
[03:04.480] 数据。
[03:07.960] 你给我看一下。
[03:14.800] 的。
[03:17.770] 可以。
[03:19.480] 可以走一次。
[03:20.650] 你对我还想就行。
[03:23.770] 没保单没事是今年的。
[03:27.580] 那也行，可以分享才能走，对在涨多少，到时关键就是说走完按照1500，不然那些第二年上午点左右感觉好点。
[03:40.010] 上浮多少钱，我跟你说不好看我多少钱，
[03:44.630] 他肯定他优惠的就变少了。
[03:47.420] 是，因为你不是还反骂一次，2500两次都是反对，
[03:52.000] 是吧？你看你修几次，不是一次一天，我跟您说一下，首先
[03:57.920] 你有他的目的是为了罚你钱，跟你保费上涨任何关系没有，
