[00:02.330] 然后
[00:03.730] 欢迎。
[00:10.550] 你好。
[00:13.460] 王女士你好，百得利奔驰。
[00:15.560] 你好，咱们到天台，你在手机就是登记的身份证，好的，等您再见。
[00:21.170] 号。
[00:24.410] 王女士。
[00:26.030] 你好来这边您做一下。
[00:28.670] 等等bl BH273，好了，你做。
[00:33.190] 你过来保养到期了是吧？这里季节刚才不要了，不要给。
[00:39.170] 问题，我们接下来应该到账了。
[00:44.140] 张
[00:48.660] 谁知
[00:51.450] 王五军
[00:53.710] 你本人是吧？要参观的。
[00:57.240] 您的身份证号您有行驶本驾驶证或者身份证带着，
[01:04.360] 随便用一个就行。
[01:06.680] 等
[01:08.800] 驾照行吗？可以。
[01:13.840] 刚做第二次保养，
[01:25.060] 三
[01:26.550] 三
[01:33.830] 数据
[01:45.410] 数据
[01:50.480] 6
[02:02.560] 五
[02:09.610] 159，
[02:15.770] 的
[02:22.030] 我年地板上次保养是
[02:26.070] 也在这儿，对我看到注意
[02:28.660] 上述办事在7816公里，住宿7816公里，
[02:33.800] 时间是时间超了不少了吧？
[02:36.390] 19年3月。
[02:39.480] 是吧？2006年就是他第一次不是让我跑1万公里的时候再去吗？所以我就先提前去了，对。
[02:49.060] 没事，您说的就是他保养的周期都是一样，一年或1万公里做一次保养就行了，我只要车里边提醒该保养的不做保养不行
[02:57.090] 了。
[03:03.130] 然后咱这车那系统里边还有
[03:05.630] 应该是买车的时候有赠送两个A两个B就是基础的A基础货币，
[03:10.240] A号牌基于TB就包含机油机滤和发动机的空气滤芯，这包含了一个项目，
[03:16.030] 正好那一块你看下车随便把车里面贵重物品收一下就行了。
[03:20.190] 我应该已经拿了。
[03:22.180] 很快
[03:23.260] 的
[03:32.700] 数据、技术、
[03:37.430] 场
[03:43.450] 数据
[03:46.910] 数据、
[03:48.940] 数据
[03:50.070] 要
[03:52.270] 花
[03:54.600] 场。
[03:59.380] 电话。
[04:02.350] 电话131030206，
[04:09.230] 0206。
[04:11.020] 对，应该为你的技术身份证大了或者驾驶本，你这比较戏剧，这是我的信息。
[04:16.670] 那是哪个位置？
[04:17.760] 138
[04:18.880] 03个，1381102。
[04:21.710] 1102102102。
[04:24.700] 30846。
[04:29.960] 他跟我说，因为他在哪里找路线，刚才让
[04:36.490] 但是刚刚看过了就10分钟左右，然后再把鸡肉
[04:46.510] 的
[04:49.430] 数据
[04:51.670] 的
[04:52.690] 数据。
[04:57.840] 坏
