[00:02.400] 7月15号交车谢泽文迈巴赫
[01:17.780] 你开过来。
[01:19.770] 置换的话今天说
[01:28.510] 说
[01:31.740] 数据。
[01:53.810] 啥
[01:55.200] 的？
[02:03.750] 到
[02:07.740] 不是，要是没有要是没领吗？
[02:11.540] 梅林。
[02:13.630] 2P还没出来是吧？
[02:16.100] Lp还没出来他车在哪？
[02:25.530] 我上午来了几点钟，
[02:27.910] 中午要洗澡。
[02:33.600] 车子在停车场吗？还是在哪？
[02:37.310] 不，在售后停车场还是在咱后边。
[02:41.960] 好在陈那边是吧？
[02:43.450] 那行。
[02:46.830] 要是还没回来。
[02:53.040] 好了，我先带着客户看一眼说随便看看。
[03:21.760] 您在哪？
[03:22.740] 没找到你。
[03:24.000] 谁知
[03:26.420] 我在二楼
[03:27.750] 下来我在
[06:57.560] 给你看看。
[07:01.270] 你自个来的今天
[07:10.710] 今天教的车多，这车2P完了6
[07:15.160] 修还在车上这东西。
[07:18.330] 这是153
[07:24.450] 新版
[07:25.870] 也不算是星探没见过。
[07:28.560] 没见过野上回来的时候就在团长。
[07:32.210] 这是少，不可能就是说下面
[07:36.360] 后悔看着
[07:37.800] 主管
[07:39.320] 别人的都是的。
[07:43.070] 刘全车你确认一下在哪？
[07:51.750] 咱们之后这边
[07:53.840] 正常交出的这门口全是百度今天要交车的，有一车已经
[07:58.710] 了哪了？
[08:00.800] 好没收到。
[08:08.210] 然后待会咱们的流程，
[08:10.570] 先看一眼车，确认一下自然买的这车外观颜色内室颜色各方面都没有问题，
[08:17.330] 然后咱们已经确认款项，
[08:19.520] 交款，交款了之后大概有个30分钟40分钟，
[08:23.700] 然后他们给他讲下车，如果你这简单讲一下，说你这手机你就慢慢
[08:29.110] 唠叨一下了
[08:30.720] 了。
[08:31.960] 交完了车之后您这就没什么事儿，其实就干等着了，我开票出保险，然后去办那块，
[08:38.440] 然后办完临牌，
[08:39.840] 完事完了那些车子正常了，
[08:43.840] 地流转现在多少钱？
[08:45.890] 就三没课都是都有多少？
[08:48.490] 有车，但是我们今年标准应该是假期，
[08:52.660] 比如现在我估计周市场上都报道80多90多万二百几，
[08:57.400] 能拿多少？
[08:58.290] 一二百万，90的话加90多万就剩一了。
[09:03.550] 308这么高。
[09:06.050] 320多，再加上78 19188款，
[09:12.190] 1203，
[09:14.640] 我说要1万款，现在还多少钱可以款每年来。
[09:20.500] 18年18年里，
[09:23.440] 19年跑1万多公务员，
[09:26.530] 19年那怎么着也卖个
[09:32.000] 正常的话三年能卖回原价。
[09:34.730] 你想想
[09:35.500] 是吗？
[09:36.900] 也能买300。
[09:38.570] 他300不卖100就算了。
[09:44.420] 原价卖给了房子报价，
[09:47.210] 20多万应该没问题，200万一年跑一年卖有点。
[09:52.700] 那年咋哭你说呢？
[09:54.820] 你丫折这个
[09:56.520] 2% 30%也就这样了。
[09:59.460] 一年半可能有点亏。
[10:02.090] 三年一里大概能买一元车价是吧？对。
[10:07.010] 等一下我去拿一下钥匙，不是不一定。
[10:10.280] 这里边都有准备的。
[10:15.680] 要是回来了吗？回来了。
[10:17.270] 回来了正好我看一眼。
[10:19.330] 看守所。
[10:20.730] 哪个到后面？
[10:23.170] 要不难你要拿出吗？
[10:25.080] 我不找着了，待会你去启示吗？
[10:29.350] 更好是吧？刚
[10:31.580] 问一下哪个？
[10:45.300] 7月15号。
[10:47.300] 流转单都刚接手，
[10:49.470] 然后7月14号做的叫什么膝盖。
[10:53.920] 对，然后
[10:57.950] 检测。
[10:58.920] 售后的检测报告，
[11:00.710] 红色
[11:03.990] 这不是今天
[11:05.460] 在新宠。
[11:06.260] 这个是昨天检查今天刘婉今天才到我们手里吗？
[11:14.520] 后背千万反正够钱。
[11:19.950] 咱们看一下车架号，
[11:26.190] 567
[11:27.980] 507上回单的难过，
[11:31.130] 然后这个单子上就
[11:35.830] 567507，就是咱们在库表里看的那台车。
[11:40.410] 567507。
[11:42.650] 没问题。
[11:47.800] 黑色外观，棕色内饰对吧？
[11:53.440] 再说是前天整备，昨天进车间做2P
[12:01.980] 还没洗完。
[12:04.630] 今天多少，今天谁小20多，我1.9。
[12:08.150] 我还操。
[12:09.590] 他都写的，
[12:11.750] 今天全市交叉，
[12:18.710] 然后刷卡是几张？
[12:20.710] 一张一张就行是吧？不是，我本人都没有。
[12:24.300] 没事。
[12:25.130] 别人想不是退款是不影响吗？
[12:28.380] 都不影响。
[12:29.280] 不对款，他说是退的刷卡还是退的，还出现
[12:38.690] 车主名是你。
[12:41.040] 你那刷卡是谁？
[12:43.860] 我母亲。
[12:45.040] 好吧，无所谓了。
[12:47.560] 无所谓，你就写个店铺，你垫付完了之后我退款了。
[12:53.660] 不是我怕死反之平的，对，名字不是只能退到原卡主。
[13:01.340] 就这钱从哪张卡里来，最后还是回哪张卡，然后张开1卡回去也行。
[13:08.210] 月。
[13:11.730] 水下的差不多。
[13:16.070] 咱们点车子啥？
[13:17.760] 检测的7421。
[13:21.290] 就是要今天周三对吧？
[13:24.460] 今天周三你的指标是什么时候腾出来的？
[13:28.580] 几月？
[13:29.490] 一个月前就腾出来了，打印出来了吗？
[13:32.330] 更新了吗？用了更新了是吧？更新了的话今天下午就能交税，
[13:37.480] 今天下午就能交出来，明天一早用电车，周五列车
[13:45.080] 就办完了。
[13:48.360] 窗户沿车
[13:50.950] 核对下面看一眼你指标今天听了没有，你要得打，
[13:55.180] 正常打出来他那个日期在今天之前，要不当天交割，
[14:00.450] 当天消费他指标系统
[14:24.350] 天天
[14:29.260] 它可以分成性格采访。
[14:32.580] 也在这定损都在幸福，在这奔驰在这儿都在这直接。
[14:39.110] 睡着了。
[14:46.450] 看一下。
[14:54.440] 我家北侧
[14:55.920] 是吧？不是条都没有，现在哪里？
[15:00.480] 咱们
[15:03.700] 好了。
[15:05.790] 谁知
[15:44.230] 你这有客户吗？
[15:45.650] 这边。
[15:47.000] 到了网上。
[15:49.550] 对是。
[15:55.240] 刚到的车刚到，我看看哪天到的。
[15:58.410] 我再给您确认一下。
[15:59.760] 咱们俩没微信，7月3号到店
[16:03.510] 睡觉，我把指标给你传过去，我们用什么完了是吧？
[16:08.780] 对你看一下时间，11月11号没问题。
[16:12.640] 不是装饰您做5800块钱装置，然后送部门分钟的时间。
[16:17.950] 到今年11月份。
[16:21.110] 一年有效期对。
[16:23.370] 对。
[16:25.320] 去年。
[16:26.360] 去年年底的时候对。
[16:38.780] 好。
[16:40.260] 别的就没有了，而且车您放心肯定是白色，其他颜色都不跟您说了，因为你也不考虑。
[16:46.250] 肯定是有一辆现车的，也就这一辆黑车。
[17:02.160] 行行好再见。
[17:08.960] 说了我
[17:11.480] 的
[17:15.040] 买这不是这7月10
[17:17.930] 是12号到的，他刚
[17:20.320] 早上的。
[17:21.560] 的
[17:23.210] 谁知
[17:27.000] 我又看了一眼，这个是7月12号
[17:29.880] 刚到店。
[17:31.140] 6月11号是吧？
[17:33.420] 刚到店里了。
[17:37.450] 你坐着妈对我交车。
[17:43.350] 等。
[17:46.560] 了。
[17:49.030] 怎么叫负责吗？
[17:54.230] 你看他写的发圈里边，
[17:56.210] 谁知
[17:57.400] 他说我说着自己的方式，
[17:59.520] 我就说
[18:03.130] 没开空调这样。
[18:05.450] 保险也需要在电路电压那么热，说
[18:35.320] 他的脚这个
[18:38.740] 帅哥。
[18:39.730] 其他的就说
[18:41.630] 我爸去了，
[18:45.530] 别活了。
[18:47.850] 没事，他可能天他不是眼睛做投诉，青光眼，
[18:53.710] 可能是不是又去检查
[18:56.080] 在干什么？
[18:59.850] 那样
[19:03.900] 你知道吗？
[19:09.990] 估计没到。
[19:16.310] 这我在北京。
[19:20.160] 我刚到
[19:22.460] 都过了半年，
[19:24.020] 这块
[19:28.520] 可能回去
[19:31.050] 我这边看看，完了我回去。
[19:36.750] 你没上班去。
[19:42.150] 来找找看看。
[19:44.540] 行。
[19:46.760] 谢谢。
[19:47.920] 我妈这两天开始
[21:18.280] 要
[21:25.310] 今天开始。
[21:55.070] 咱们确认一下款项。
[21:58.130] 这里边其他的基本上都是准数，保险不是左右吗？然后咱们把保险整个列一下。
[22:05.160] 保险的话，我这是按让他全险直接给算的，
[22:09.280] 然后咱们尽量您不就想可着差不多3万左右上，然后把。
[22:15.240] 道强险道强险差不多就6000多了吗？
[22:18.470] 到全险去掉商业险是3000。
[22:21.580] 3 37,866，然后盗抢险是6516，然后加上他的不计免赔。
[22:30.530] 盗抢的不计免赔是1303差不多正好。
[22:34.390] 好了。
[22:36.100] 我就不打出来了，616.86616.86
[22:42.150] 加上
[22:45.010] 盗抢的不计免赔，13031303点。
[22:49.350] 37
[22:51.180] 等于是782078207820，正好基本上商业险就全送了。
[22:58.300] 人相当于就只掏一个车船使用税套一个950可以，其他的保险基本上是全
[23:05.430] 违约。
[23:06.280] 这是7820减去个3786637866点
[23:12.490] 五。
[23:13.660] 商业险是。
[23:15.290] 正好对吧？对，然后您相当于掏保险就掏了一个950
[23:21.200] 加一个3万。
[23:24.520] 这样的话剩46块46块2毛7。
[23:28.110] 加一个800车船使用税加一个950的。
[23:32.760] 总共保险掏一千零
[23:34.630] 3块1703块
[23:37.620] 点73。
[23:39.810] 说完这数算了。
[23:43.960] 然后保险正常出的是国寿财的，然后对咱来说没什么影响，因为。
[23:48.960] 你们都是直赔吗？
[23:51.280] 店里直赔，然后有什么问题直接联系店里就行。
[23:55.120] 然后咱们迈巴赫车谁知
[24:00.810] 待会出保险的时候您出险，今天能上保险吗？今天就直接保险生效了，要不你没法办临牌，对。
[24:10.780] 办临牌就是为了让咱们的车正常上路，是什么合法的？现在那边吗？
[24:17.940] 还是要长一点车船税是吧？老板？
[24:21.330] 车长时间临牌多久，您排第一次是15天的，第二次是一个月的，
[24:27.540] 咱们就不存在了，咱们不周五就上班了。
[24:31.270] 谁知
[24:33.600] 只盼有一天吗？3:70
[24:38.220] 46.27。
[24:40.390] 40。
[24:43.030] 但是通过了没有？
[24:45.710] 还是放手。
[24:49.590] 可能这一块
[24:50.760] 我刚才特意不是说这个东西谁知
[24:57.670] 了，
[24:59.560] 后来
[25:02.700] 我现在知道吗？
[25:11.090] 好。
[25:12.360] 先。
[25:13.830] 谁知
[25:15.060] 对他没有任何的事故，就是看看临时号牌的销售。
[25:21.170] 好。
[25:22.480] 上面有机会。
[25:29.090] 的交易。
[25:31.080] 而且比如网店，我现在保险现在
[25:37.320] 这种像
[25:39.940] 目标就取消，一直在想我现在上课保险能不能上，就是说妈妈对，然后这样基本上整数就出来了，验车2500没有变对吧？
[25:53.130] 然后购置税代收代缴129097，然后保险相当于您就只掏了100。
[26:00.870] 该怎么会多出来9块3 1703块7毛3 1796块2毛7。
[26:08.830] 觉得
[26:10.030] 你反正的话有时候
[26:14.820] 246块2毛7，
[26:19.170] 800点。
[26:21.190] 它这里面会不会
[26:22.640] 差不多了。
[26:26.120] 要把车了，
[26:32.350] 不管有没有，
[26:35.360] 有的对1,961,796。
[26:40.120] 快。
[26:42.550] 二，
[26:52.470] 保险1796块2毛7，然后上面押金5万对吧？其它的所有的费用就全都齐的了。
[26:58.720] 然后商业险有一个3万是提供了，相当于咱实际等于出来是
[27:03.400] 31,700多，然后送了一个3万的保险，然后您就只剩1496，
[27:08.920] 其他的就没什么了，然后基本上准数跟咱们的上次算的准数应该是一致的。
[27:14.990] 我这是算32,000左右，这是31,700，然后比少300多块钱对吧？
[27:20.090] 因为那种不够，
[28:02.270] 比如说他
[28:03.260] 数据
[28:08.910] 坏数据
[28:12.800] 的
[28:26.130] 了
[28:29.030] 坏
[28:34.410] 的
[28:35.830] 远
[28:37.690] 的
[28:42.070] 号。
[28:44.280] 远、
[28:49.000] 的
[28:51.560] 数据
[28:54.240] 场、
[28:55.400] 数据
[28:57.150] 数据
[28:58.870] 场
[29:19.680] 看
[29:31.390] 百。
[29:33.800] 90多。
[29:37.050] 百。
[29:38.320] 多
[29:52.940] 你们收拾得少，
[29:55.590] 收的也不少，
[30:03.310] 装置
[30:04.570] 不过来，
[30:05.960] 然后
[30:07.080] 等等。
[30:08.080] 我们收肯定给的也不少。
[30:11.300] 6023万。
[30:13.280] 因为他这个车它的市场的。
[30:17.170] 你在哪市场的价格还是比较透明的，而且这种车是一个圈子。
[30:23.490] 对，你要只能说看能不能什么拿出去就卖，那不一定，但是
[30:29.200] 一旦让这个也没好，对，一旦让这个圈子里知道了，可能很快就拿到高价就出去了。
[30:46.210] 为什么？
[30:47.280] 考虑卖了怎么考虑呢？
[30:51.910] 拥有玩一玩就行。
[30:54.470] 了当政航空琴什么的，实在不懂这种情况就更了。
[31:01.390] 曾经拥有过就行了，跟我哥们买打牛一样，
[31:06.730] 玩一年就过了
[31:11.610] 18年18年的。
[31:15.040] 18年的是不是？对，还真是18年十一大塘坪。
[31:20.040] 应该开的很好开了说实话。
[31:25.870] 应该开的很好，开了才对，就之前有好多完年卖了都是因为什么原因不好开，就觉得是E网红车反正有钱咱买了，买完之后发现这车是真难开。
[31:39.800] 你开个一年两年实在受不了算了，这真要喜欢，他怎么着也喜欢。
[31:46.460] 但是现在说实话他这个车要好开的多了。
[31:51.580] 咱们说真是多少人买这车用过司法所是这样，
[31:58.590] 只剩下那一份有的开三四年不一定，一次都没用。
[32:13.040] 有的人特别写牧马人，说这车真棒，又不喜欢说这什么车。
[32:19.430] 挖人也是一小圈子，那车你挂在市场上没人问，一旦说哪个小圈子里知道了，就很快这车就卖出去了，而且价格还挺合适。
[32:29.610] 都是一样。
[32:47.770] 行，稍等这边审批完了之后咱们就
[32:50.380] 交换。
[32:57.070] 电脑用打印机，
[33:01.110] 网上
[33:12.960] 用
[33:15.920] 弄打印一下合同，
[33:19.390] 找一份符合条件，
[33:21.980] 然后我发给你。
[33:31.290] 多少？
[33:40.630] 的
[34:03.450] 三
[34:13.290] 坏
[34:19.250] 月。
[34:45.490] 微信
[34:47.520] 的。
[35:51.250] 你那样能把我这都打了都没反应。
[35:54.570] 然后还是签字，然后身份证带了
[36:10.390] 合同什么都没变，还是跟咱签字一样，时间也都是一致的，所有东西都没变，然后今天的一个新的然后也是在买方。
[36:20.790] 签一份一下，不用钱，有事没什么。
[36:25.050] 然后这是衍生是归开了细项，咱们都看了。
[36:29.530] 对，2500的验车，然后购置税保险，然后上牌保证金，
[36:34.920] 然后这也是买方。
[36:43.950] 然后这是出来的一个明细，上面咱买的车1,458,800，然后交过一个1万的定金，
[36:51.160] 车款还剩144对吧？然后还是这几项都是一样，2500购置税，然后保险170 96。
