[00:00.000] 经济是现在不是又怎么管的这么意思，我们这边不是属于中风险，
[00:06.350] 它就属于4级辛酸，这属于
[00:11.340] 现在早就没了，大师分析
[00:15.130] 要求
[00:16.770] 没办法，现在运行期间特殊这么说，倒是比平常的当天司机其实已经
[00:23.730] 全村对那边属于高风险，然后我们就挨着她，所以
[00:30.790] 就查了两了。
[00:33.920] 把它进来。
[00:34.720] 行。
[00:37.130] 车里的贵重物品，您看看收到，
[00:42.460] 要是在您
[00:44.080] 在我用一下看一下公里数。
[00:47.060] 13,000大概是14,000也没怎么开是吧？这次
[00:52.050] 拍个手
[00:54.220] 买了有几年了？三年，这不是到今年底就三年了。
[01:01.770] 12,908，
[01:06.640] 我记得我上次是连出来的还是
[01:09.200] 我到时候帮您查一下。
[01:37.280] 行，外观基本上没什么。
[01:40.950] 这次回来放库里了。
[01:45.890] 您这车当时买车的时候是不是送了一个它是有一个叫做三联三年4万的礼包是吧？这应该是最后一次了呢。
[01:54.520] 不会吧？
[01:55.530] 三年还没到。
[01:56.780] 三年您上次是去年的11月份做的保养。
[02:02.320] 1万公里，
[02:04.430] 然后现在是2800。
[02:07.470] 1 13,000。
[02:08.840] 您下次再做保养肯定出三年了，
[02:11.480] 是吧？
[02:12.800] 看你下次要出去，最近想起来
[02:16.320] 应该是
[02:20.680] 你下次出3年，他跟我说上次说是4次，对他是
[02:25.340] 三年之内你能开个4万公里，不是对，要不就是什么您下次我看您是到什么时候。
[02:34.550] 12月初到11月25号，
[02:38.050] 您11月25号之前要再来一次，现在是6月份咱不一定有空，对，到时您想想点，这车不是1万公里100万1万一年，您这要让他等他一年的，对，本身现在也不应该做保养。
[02:51.550] 因为没到那个时间，
[02:54.210] 这次就做我的车平台还算开得多的是吧？
[02:58.750] 这么着您抽烟找我前面给你填个单子，
[03:27.270] 小。
[03:33.370] 你看我三遍，
[03:36.280] 从头到尾看了三遍了。
[03:38.240] 你刷心眼。
[03:40.510] 你使那什么学，你是电脑学，他刚才就学了，不用学进去减去一拉。
[03:45.470] 头就完了吗？三遍了，她不操心。
[03:48.580] 电脑了，
[04:04.770] 还有您这车快出保修了。
[04:07.200] 现在分支可以给您延长保修。
[04:10.240] 正好现在有活动。
[04:11.670] 可以考虑一下。
[04:13.560] 稍等我帮您看一下，您上次保养是。
[04:17.580] 做的B保
[04:19.510] 换的机油几率空。
[04:21.960] 率
[04:22.730] 空调滤芯，
[04:26.420] 这次正常是做A保
[04:33.930] 这次我这边把基本上能换的帮您都换一下，机油机滤换一下，
[04:41.000] 然后火花塞帮您换了。
[04:44.180] 我就怕别到时候下次您来，要是真过了您就得自己花钱了，咱把额外的能帮您换的都先换了。
[04:53.270] 机油、机滤、火花塞，还有您这还可以换一次前刹车片，但是您那钱上面应该也没怎么用。
[05:00.740] 也给您换了吗？
[05:03.780] 我的意思是一会给您换了。
[05:05.670] 这万一您下次真是来不及抄了，您就得自己花钱了。
[05:11.190] 这次就是机油机滤，然后前刹片加火花塞，
[05:16.690] 时间大概
