[00:00.000] 跟您说的时候是订货的还是有货搁着的？
[00:04.750] 咱说说上周五上班，
[00:07.240] 再到让我今天下午过来。
[00:09.480] 到了是吗？
[00:11.450] 驾驶驾驶都要换号码。
[00:15.070] 我跟您说已经到了哥大化。
[00:18.240] 这个是什么时候出来？
[00:22.630] 估计
[00:23.790] 顺利的话后天大哥。
[00:25.910] 后面。
[00:28.080] 我想知道到这儿过来有地铁吗？有，对面就是
[00:32.600] 地点是在6号线。
[00:35.320] 6
[00:37.600] 陆军
[00:39.520] 来了解
[00:42.960] 你现在头发
[00:44.220] 哪个这样好吗？
[00:45.720] 好不？我记得我是帮他开，
[00:50.370] 我不是真的，我不管那么多，我只管开个单子不多少钱。
[00:55.310] 对你自己买的延保跟我没关系。
[01:00.050] 我只管
[01:02.400] 安排休得休。
[01:05.390] 用不着我这我只是帮胡雪天天跟胡也说了，别的我不敢
[01:09.140] 放开个耽误，敢看别的不敢。
[01:14.260] 去。
[01:19.270] 推到我这了。
[01:25.030] 数据、
[01:26.270] 数据
[01:32.010] 场、
[01:33.020] 场
[01:38.590] 女士，我用一下您的驾驶本或者身份证先做一登记。
[01:43.200] 然后定一下。
[01:47.520] 车等于没过来订过货的是吧？
[01:50.390] 应该是就以我们到的那批货为准的是吧？
[01:54.040] 我说您没单过来订过货是吧？
[01:57.750] 我马上打电话就打电话来的，旧车没来是吧？
[02:02.300] 明白。
[02:03.400] 我看您的
[02:06.240] 赵辉代码还跟普通的不一样，我先查一下。
[02:12.820] 远场
[02:15.130] 行
[02:18.240] 登录，
[02:19.560] 帮我查一下。
[02:24.120] 打一下赵回答。
[02:33.810] 的
[02:44.600] 一句话都没说过，
[02:48.930] 不接非得开他。
[02:56.030] 我就什么都不管，我只管开个单子告诉你，结果这版没有保修，我要不休，我这肯定是自退休。
[03:10.350] 电话18611624791是您的吗女士？
[03:14.520] 然后换一个。
[03:15.660] 稍等。
[03:17.340] 13001191663是吧？要最后一页就行了。
[03:24.570] 你确定是哪个？
[03:27.940] 还有一个
[03:29.220] 把它一般的人
[03:34.640] 在最后一页。
[03:36.150] 您
[03:37.880] 主驾驶方向盘，喇叭的颜色是啥事姐？
[03:44.190] 方向盘咱们的大喇叭。
[03:46.800] 颜色是什么颜色？花色。
[03:49.970] 拿黄色是吗？颜色。
[03:52.550] 场。
[03:55.400] 场、
[04:00.000] 黑色。
[04:07.720] 什么颜色？
[04:11.950] 第
[04:15.010] 句
[04:30.550] 的
[04:38.120] 二
[04:41.760] 场
[04:46.170] 数据、
[04:47.980] 数据、
[04:49.530] 场、
[04:50.610] 数据
[04:53.250] 数据
[04:54.710] 电话。
[04:59.530] 花
[05:04.560] 了
[05:06.700] 黑
[05:11.480] 场。
[05:23.490] 场
[05:26.780] 场
[05:30.240] 车
[05:31.680] 五
[05:33.030] 数据
[05:34.000] 句
[05:35.150] 电话
[05:39.490] 数据。
[05:41.330] 坏数据、
[05:46.140] 场
[05:49.330] 的
[05:51.980] 五
[06:48.700] 这两给您登记完了去。
[06:51.280] 先等我让配件作为确认就完事了。
[06:55.210] 你走了吧。
[06:56.620] 等我让配件确认一下。
[06:59.000] 别到时候
[07:00.230] 割了，不对吧？
[07:07.630] 不好意思。
[07:10.660] 打电话。
[07:13.400] 数据。
[07:16.110] 话
[07:17.610] 场
[07:22.130] 话
[07:36.080] 的
[07:38.670] 的
[07:40.810] 的
[07:42.460] 的
[07:48.900] 还有黑色的体量的时候吗？
[07:51.670] 黑色的空气。
[07:59.990] 就换主副气囊的车在这，我看有货没货。
[08:06.660] 我昨天问说黑色的主服务器，然后C有货预约来的，
[08:25.430] 三
[08:26.330] 三。
[08:27.900] 行，大家告诉一下好的OK。
[08:31.300] OK没问题，有我给您打一个汽车站就行了。
[08:34.650] 不去
[08:37.290] 找，别跟那搁一两天，师傅一干没有更麻烦，所以我们提前确认好。
[08:43.630] 这两天没剩多少钱，气囊有问题吗？对高田气囊就不止，奔驰、路虎，
[08:51.520] 其他的一些中端品牌全有。
[08:57.020] 您说技师检查一个是轮胎有伤，雨刷片不太好，
[09:02.420] 然后水箱脏，排水口有一些脏，
[09:06.780] 轮胎右侧面应该有您的马路牙子那种个的，有印有伤。
[09:16.150] 对于，刷不太好。
[09:19.460] 然后水箱脏排水口，
[09:21.420] 然后漆面有一些发烧，
[09:24.380] 你要想修的话可以考虑咱有
[09:28.340] 一个大夫说不着险，有这个的话，您每修一次外观，
[09:31.990] 给您2500的现金补偿，
[09:35.930] 也可以考虑比较合适，尤其是老车脖子，
[09:39.410] 比如说您啥意思？
[09:42.160] 第一步是先交1400多买服务，15天后就可以生效，一年
[09:48.710] 一年有两次机会，比如说您
[09:51.660] 现在的
[09:53.130] 或者您路上可能遇见双方事故，对方蹭锦也好，然后自己状态也好，
[09:59.420] 每出险修一次车就走您的保险或者对方的保险都可以，
[10:04.870] 每修一次修完了返您2500现金，修完了返您2500一年最多给5，
[10:10.930] 相当于一年最多您可以挣3500块钱，要修两回车的话，
[10:15.460] 现在还要买保险吗？谁买你得有这保险的基础上才行。
[10:20.450] 就冲您的保险或者出对方蹭您的保险，只要出一回给您钱出事儿
[10:25.640] 才行，对，要是不行这边行那就没了来教。
[10:31.050] 对，但是现在也有伤，至少您考虑可以自己走保险修，一会也捞回来2500相当于挣一。
[10:40.870] 是吧？
[10:43.200] 这个有点是不是？
[10:47.080] 双面防就是交保险钱，我也多交1000块钱对着区别是啥？比如说没
[10:54.770] 您需要修车就耽误几天，休就休了，
[10:58.080] 但有这个额外还能给您钱。
[11:00.610] 就这意思，我一一次给2000块钱，对，一次2500，两次给5000。
[11:06.550] 我交1980，对一千四百九八对挣1000相当于。
[11:11.280] 怎么这么多块钱对争议千，对就这意思。
[11:17.410] 这个是向主推的一个活动。
[11:19.960] 每年两就一年两次机会，第二年今年我再希望他开始
[11:26.390] 对。
[11:27.600] 年前我还得那什么。
[11:29.600] 对，走您保险或者别人称您走对方保险都可以都。
[11:35.210] 这就作为一个补偿给这卡。
[11:38.930] 政策方面就是我们不着急让您能
[11:44.580] 比如说有些伤可修可不修，
[11:47.090] 有人能接受，比如说您划伤，
[11:50.070] 可以修理费不修也能接受，
[11:52.510] 也给了这个之后它可以补偿，您就愿意来走保险修，我们就能挣保险公司钱。
[11:58.550] 你这意思对，只是我们少种点，您要合适点我们也合适两斤车还修了。
[12:04.790] 现在过对物流
[12:09.180] 也不流失，就是能让他把可修可不修的部分修了。
[12:13.690] 这东西以前在家写了一下了，
[12:17.480] 其实这东西跟贵不贵没关系，跟保险有关的保险
[12:21.980] 保险的话一次险没有太大影响，谁知
[12:28.510] 对会上涨一些，所以这也是一个补偿。
[12:31.800] 这就补您的钱，你要说年年出险基本没有什么变化，说两年到三年不出险，这个也基本都补偿一些了，
[12:39.710] 基本两年左右没出险的1000块钱或者3500也能够补偿的，
[12:46.010] 对吧？
[12:47.220] 因为这时候上面就是说新车上保险也就万八千块钱，
[12:51.910] 你现在在优惠也得三四千块钱，
[12:54.910] 你说先上保险上多少钱，就那几年没收过钱，
[13:01.390] 每年出钱每年都出，没什么，你肯定得五六千年前上完了。
[13:07.160] 对，您先这样，您上了这个之后车又修了，明天上班还有五六千，自己还补回来1000。
[13:14.530] 然后这个好处是啥？您几月份去吧？
[13:17.850] 16月那您得赶紧
[13:22.140] 上完15年后修，续保前您今年出过险吗？
[13:26.590] 没有吧，修一回。
[13:28.660] 浪费了1000块钱，比如说
[13:30.830] 浪费一钱，然后您车还修了一部分，
[13:33.440] 明年到现在的时候，
[13:35.480] 要有效修的就可以修了，没觉休息可以走自己保险再修，
[13:40.280] 又浪费2500，那就纯赚。
[13:42.420] 相当于一年只出了一次险，而不一年出两块钱影响保费。
[13:47.530] 等于我第二季今年我在明年我才发现保险出去到期的时候，对，然后我就担心你万一在show第二回对这2500就相当于陈老了，2500晨报让我照顾你。
[13:57.910] 没有去做对肯定得走在一边休息，对咱们修
[14:02.880] 明年我的车没有伤回去早点生。
[14:07.570] 这都好说，对，你早点随便修一块告诉对到。
[14:13.030] 您这说说白了您还开几年，您到再往后没准就想换就换了。
[14:18.100] 保费对于您就没有影响了。
[14:20.360] 你1490是不可保险给你现金的，是对现金刷卡微信什么支付宝
[14:27.670] 信用卡都可以的，我交完然后我下个月上完保险，
[14:32.710] 我在给上保险前往，对，您把有一些花生这就可以考虑休了，因为您今年没出过险吗？
[14:39.410] 对，就这意思。
[14:41.630] 这个地方算的其实是像我有的老成啥，他也是做召回的。
[14:46.960] 它是有的也作战回都老车吗？
[14:49.770] 他就考虑明年换车了，
[14:51.820] 他一休休两回，自己又浪费3500，那车能卖多少钱？
[14:55.510] 读者当于车架又值3500块钱，
[14:58.310] 过了什么车子分，这是叫以前我看一次2500，两次给5000吗？相当于挣3500。
[15:06.360] 我肯定要把成本扣除了，对相当于挣3500，对，它相当于车价又提升了3500，完
[15:13.540] 在续保跟他没关系了，那车就卖了。
[15:16.800] 有的要换车的可行？
[15:20.520] 细胞D
[15:22.080] 你们看看这个跟厕所
[15:24.340] 你增值有什么关系，对，她就是要换车的情况下把车全部了，对。
[15:31.490] 后来它不会前倾，他只是修了这还能挣钱，
[15:34.520] 他又能捞回来3500对不对？
[15:36.750] 您车怎么才能多卖3500对不对？
[15:40.290] 您说这几年没考虑话，你就分开休，一年就出一次险，别多出，你要出两次险对保费影响就大了
[15:48.550] 了，您现在不也有一些管控吗？
[15:51.020] 现在看验车他写的有一些不是很远，
[15:57.460] 明显我帮您看一眼您搁哪儿了，这个能看一眼，反正这手续都完了，对你。
[16:04.610] 对。
[16:15.110] 二
[16:20.480] 的
[16:30.400] 要
[16:37.410] 的
[16:39.000] 坏数据。
[16:43.090] 数据
[16:45.280] 的
[16:47.370] 数据
[16:50.190] 数据、
[16:52.640] 数据
[16:55.510] 远
[17:07.840] 的
[17:08.960] 数据。
[17:26.040] 的
[18:07.450] 钱
[18:19.280] 的
[18:30.450] 数据。
[18:35.190] 的
[18:45.600] 的
[18:53.630] 的
[18:58.790] 谢谢。
[19:09.440] 不用了。
[19:13.600] 客户
[19:18.360] yy
[19:23.260] 技术这块，
[19:26.280] 给。
[19:36.770] 但是作为地方或者
[19:40.600] 没抽查，为什么要说啥？
[19:45.370] 比较重，什么重大的抽查，
[19:48.860] 收入反弹，
[19:53.610] 比什么？
[19:55.870] 第二代
[19:57.900] 也要带材料，
[19:59.600] 谁知
[20:03.340] OK
[20:04.760] 的。
[20:07.560] 邀开了。
[20:09.640] 盖茨的对。
[20:11.820] 以前会这样吗？
[20:14.030] 以前没有，咱们一直用的子弹，不是员工的客户。
[20:20.380] 五
[20:25.510] 数据
[20:53.170] 坏数据。
[20:59.310] 句
[21:03.310] 说
[21:10.080] 结果
[21:12.710] 号。
[21:15.630] 的
[21:17.760] 的
[21:24.420] 播放
[21:32.590] 谁知
[21:38.860] 百
[21:41.640] 三
[21:43.490] 差不多。
[21:45.250] 谁知
[21:46.840] 的。
[21:47.790] 然后公益这种吗？知道。
[21:53.360] 我这边我把它
[21:56.140] 感觉
[23:03.100] 的
[23:03.960] 数据。
[23:13.540] 句
[23:16.600] 数据
[23:24.560] 的
[23:25.840] 花
[23:27.370] 五
[23:29.620] 五
[23:36.960] 花。
[23:43.310] 可能
[23:48.840] 把
[23:55.800] 打电话。
[24:00.330] 数据
[24:01.510] 场
[24:06.570] 花
[24:12.090] 看
[24:15.990] 数据。
[24:26.640] 号
[24:30.210] 大家
[24:42.030] 说
[24:43.790] 说
[25:22.700] 的
[25:23.840] 场。
[25:26.910] 花
[25:31.590] 场
[25:54.880] 一
[25:57.420] 的
[25:59.250] 的
[26:01.610] 的。
[26:05.270] 等于说早就有了，我们保险公司人家也是知道你们一些事情，
[26:11.320] 这就跟保险公司合作的，非常为什么贴给这些什么地产投资的。
[26:18.170] 对，因为以前你现在就赔钱，咱集团就让可以这么弄，保险公司
[26:25.280] 补贴给保险公司都不让我们公示出来，他们赔钱。
[26:30.070] 但是这东西没办法，我们也愿意弄这东西，客户也愿意。
[26:36.290] 礁石会单独给您了吗？取车单没有。
[26:38.940] 没拿吗？我再给你打电话吗？
[26:46.890] 没有费用那就做一道回。
[26:51.640] 好了，我给您打电话给我发信息。
[26:55.070] 后天。
[26:56.980] 昨天上午的。
[26:58.600] 假如说我查了我没有动静吗？
[27:03.510] 就像我问问人家没有确实有点难，或者换个别的地方修那些。
[27:10.050] 等您什么意思？等于就是说要光修灯有点难，到时候您先确定完保单，我让人家专门的人给您看一下，咱确定这都没事，反正
[27:20.250] 车也没走，让他们看看来确定了。
[27:24.360] 要是修过就有点不他得15天后您正在上来，在15天后才能来修。
[27:31.140] 来得及，您说8月份了，对还一个月对。
[27:35.320] 没问题，咱来的及您先判定好，咱再确定，最好用电子保单去好。
[27:41.210] 行，你先做好，快点。
[27:51.260] 场
[27:57.360] 这玩意费劲
[28:00.080] 的。
