[00:01.850] 7月12号下午
[00:03.960] 3:20接的客户曾先生，
[00:23.620] 您好何先生你好，本店销售顾问韩春晓，您这边第一次来我们店有业务销售吗？没有是吧？行，这边有茶水橙汁还有咖啡，您看您喝点什么水，先等一会吧先看看。
[00:35.770] 好，我先这样，第一次来给您说一下咱奔驰的一个活动公约，给您宣读一下。
[00:43.970] 你先说了，我这正开着了行。
[00:48.760] 刚才
[00:49.790] 客户为尊以礼相待，诚信经营、合法得体、明码标价、公开透明，配件渠道冲击公式，
[00:56.240] 绝不捆绑销售强制消费，绝不使用假建议丝绸。
[00:59.150] 好，欢迎广大消费者进行监督，监督电话是4008181188，
[01:03.900] 咱们今天是开什么车开开看看，好现在拍的就是这款车是吧？
[01:11.200] 不是现在拍的就是CRV是吗？那车您开车使用感受怎么样？
[01:17.110] 然后给您接着再介绍一下咱们幸福这边，因为这首D第二个因为要两辆车的话，我觉得就不需要两样都是大车，咱们本次购车的话是置换还是直接指标购买对吧？就家里边有一辆SUV，再换一个小买一个轿车。
[01:36.160] 对是预计是您这指标摇号中签的吗？对真好，预计是想在什么时候购买I只在一个月之内他吗？
[01:44.990] 一个月之内，对是快到期了吗？快到期了，去年种的是吗？反正之前有以前的老车给处理掉了，然后又一年明白了，确实是你确实还得抓点紧，咱们这个车。
[01:58.930] 现在您看到展车这车一共有这几款，我给您介绍一下这款车，这车分为A180和A200I这都是家常的，180根200最主要的区别180的功率是100千瓦，
[02:10.670] 然后200的功率是120千瓦，但是价格上就会有一些差距，您现在看见展车的是这块。
[02:16.810] 这款的指导价是232,800，
[02:19.350] 然后200的运动教授这款的指导价是24 264,800。
[02:24.520] 这两个车价格的区别，
[02:26.320] 主要的话就是动力上，然后再有其他的一些内饰的配置，你可以坐车里感受一下。
[02:31.550] 180的这款车它的座椅是手动调节的，咱们200的那款车的座椅都是电动调节的，在门上谁知间都是一样的，
[02:43.710] 咱们车都是浅浅的这种受淹平的，然后都是这种液晶显示屏，也清晰度也是非常高的。
[02:50.570] 然后全景天窗也是全系的，标配也都在前景天窗的。
[02:53.960] 然后座座椅的话主要是差在座椅上，这个车的座椅的话它是手动，对，你要200的话座椅是电动的。
[03:00.790] 之前我看过这款车吗？没有。第一次看是吗？您是一最近一直关注的是什么品牌的车型呢？
[03:07.390] 我刚刚看了奥迪和宝马，奥迪和宝马看的是。
[03:13.170] 宝马看了看，
[03:17.530] 罗马看了
[03:19.180] 333和昌一样，三期和差一，你要说对应咱三系的车，也有咱们持有C级车，
[03:26.050] 然后A级车现在卖的也非常不错的，如果说SUV咱们有gl B
[03:30.900] 门口那款蓝色的车型，那个车也是非常好，也是现在卖的非常不错的。
[03:36.190] 车的空间什么的肯定比这差异还要大一些。
[03:39.150] 这款现在有什么优惠，有优惠政策，然后一会儿都可以给您算一下。
[03:46.330] 咱们这个车也有试驾车，如果说您今天在家什么都可以试驾体验一下，您今天就不
[03:53.620] 然后您。
[03:55.180] 要想了解一下价格是吗？对，您看车这边还有什么需要给您介绍的吗？咱们这边有一个水盘，C盘上面刚才有个配置差，然后那边有一个皮革样本都可以看一下。
[04:06.100] 的。
[04:08.310] 有没有什么车方面需要了解的？
[04:11.770] 咱们这个车交付前6后就的雷达安全系数还是非常高的，同时它配有主流，
[04:19.300] 这边并线的重塑不能没有阿姨，对，但是他有自动主动。
[04:25.730] 制动是什么？当您跟前车距离过近的时候，咱们还没有采取减速，还没有踩刹车，它会主动给咱们进行踩刹车，
[04:34.260] 然后给咱们提示的安全系数还是很高的，
[04:38.930] 而且整个车的内饰的设计的话也是非常科技感含量也比较高，然后又比较时尚，
[04:44.390] 不是真皮的，是皮革的。
[04:46.960] 是不是真皮的？都是的？
[04:50.350] 这款它是232,800。
[04:52.570] 落地价吗？这是官方指导价，还有优惠，优惠完前面。
[04:56.890] 汽化有24的头儿，22 20多，对。
[05:01.140] 20大概22万左右。
[05:05.490] 小音响大预算是大概想买个多少钱的车型？
[05:09.250] 303030万一米的话这个车，然后还有咱们奔驰的C级的车，大概30出头31万万，
[05:18.390] 都是在这个区间的。
[05:20.740] 对然后SUV的话这LED
[05:24.710] 我们可能是LP他也是30万兑30万左右的，
[05:29.500] 反正选择空间还是比较多的。
[05:32.170] 对，这边您可以看一下，是你可以看一下蓝色的。
[05:43.040] 对A比C要好快。
[05:47.800] C
[05:51.850] 稍微长一点。
[05:54.830] 看。
[05:59.440] 句
[06:00.400] 数据
[06:04.910] 电话
[06:08.930] 现在他出风口全都是圆的，对，然后的里面的设计
[06:16.150] 这个19年的都是20年的车都是新款的，对
[06:25.030] 对。
[06:27.890] 打白等的奔驰车所有东西财长的。
[06:31.470] 为什么打呢？
[06:33.290] 好，直接往下挂，就是D的往上提就是到达。
[06:41.430] 你要是说可以你要在家本我可以去干什么，没完成都可以试驾一下，没事一下没带驾照是吧？咱也可以预约。
[06:48.410] 周上午下午都可以，就周五上午时间下午大家都可以曰对住的离这远吗？
[06:54.460] 还有一个圈远，今天是特意到这边上车是吧？
[07:04.840] 这样的。
[07:06.060] 不对，这是电动的。
[07:18.610] 主要平时
[07:19.520] 一个人开的多。
[07:21.270] 21块有多少？
[07:23.410] 奔驰应该是他开的多。
[07:27.440] 我们就行。
[07:29.350] 还有一款一个两厢车也挺适合刚拍的。
[07:34.660] 白色的弟弟，对，我觉得太小了，那个小是吗？
[07:40.250] 他那种设计旅行车，他的不是那种轿车的形状，
[07:44.130] 刚刚推荐这也可以对挺好的，我知道了解没事这车而且还是整车进口的，这是B180厘米180必有第200对着我。
[07:59.070] 几年前实际上卖人员快一点，反讽。
[08:02.460] 没有10年前的12年。
[08:04.510] 现在也是新款，内饰也都是扁平的，你也可以看一下跟A是一样的，刚看到。
[08:10.470] 看看一下看一下你刚说C是吧？这是这个车，最后还有一个你说SUV，对这lp就在门口那有一个对。
[08:21.730] 他们都没有。
[08:23.840] 动画化了看着。
[08:25.480] 就算是看看。
[08:27.480] 看看
[08:28.440] 他不
[08:29.880] 他没有A好看，我喜欢I她还贵是吧？
[08:32.970] 对它比A贵，比较常说。
[08:35.950] 而上海的相比他比他比例要大一点对吗？反正他全是全部需求，如果参加的话。
[08:45.000] 对，要是这一点上我说不用还挺
[08:49.630] 然后他的地方7.334811的
[08:57.020] 1.3的
[09:04.400] 的
[09:07.710] 几。
[09:09.450] 您那个车8个多油有个油，对八九个油夏天。
[09:15.380] 又而且圆溜溜的，而且白色的对。
[09:24.830] 这个就很不像。
[09:28.040] 咱去看那个地方。
[09:31.980] 他骄傲地也可以。
[09:34.710] SUV就是cd车队
[09:39.950] 在这边
[09:44.630] 远。
[09:47.080] 大
[10:01.680] 门口对。
[10:03.830] 对，这车现在卖的是还挺好的。
[10:12.540] 对。
[10:14.900] 而且也不小，这车空间什么您坐里边头部空间什么的都挺充裕的。
[10:22.340] 而且视线也比较好。
[10:24.270] 多少钱？这款是318,800，
[10:28.360] 画完了卖完了也差不多就这数31万左右，当然都有现在分期政策都挺好，到时可以考虑分期付款。
[10:36.870] 奔驰是行业内第一个承诺不收取金融服务费的，
[10:41.030] 他鱼骨头。
[10:45.420] 因为这个车他是有7座版的，他说第二排第三排座椅是可以庭后调节的。
[10:54.390] 这个应该是
[10:56.880] 但是这个不可以网可以往前。
[11:00.120] 您。
[11:01.380] 应该是可以的，这是下边
[11:06.640] 拉动比较高一些，比是MC高一点。
[11:10.590] 这一条没有交oc长，没有这样这一块。
[11:36.550] 超大。
[11:38.430] 我看一下后备箱，对你可以看一下后备箱空间也大了，别致特别。
[11:48.230] 好大不一样。
[11:50.270] 上涨的。
[11:54.730] 但是你要
[11:56.210] 不行的话这个觉得不行。
[12:00.930] 现在除非去说服都没有给他
[12:03.600] 了。
[12:05.030] 北京。
[12:08.080] 可以关系，对对方证明的东西都可以。
[12:13.960] 对。
[12:15.790] 对，改变的成功。
[12:17.480] 10年没问题。
[12:20.760] 但是
[12:21.770] 现在主要是颜色的。
[12:23.560] 对生态资源非常方便。
[12:25.450] 用自己的话，要是您自己做备胎的收获居然有很多到了
[12:49.470] 贬值
[12:51.170] 都在
[13:04.600] 180。
[13:17.350] 有点像
[13:23.980] 花
[13:27.560] 的。
[13:34.570] 陈
[13:35.660] 的
[13:42.920] 房子
[13:49.280] 那边。
[13:51.590] 还能去吗？
[13:53.100] 展厅进不去，那两天你就只能从二楼进去。
[13:55.770] 基本上想看都在这对。
[13:59.410] 回去研究一下。
[14:02.760] 您看还用给您算一下这车的一个报价吗什么的。
[14:06.210] 您想看哪款车给您算一下。
[14:08.740] 看小的。
[14:10.240] A是吧？行，这边我给您算个报价单。
[14:13.920] 谁知
[14:14.840] 看。
[14:25.470] 哥你这有客户吗？
[14:27.200] 我和妈妈。
[14:33.000] 咱们坐那边您看一下。
[14:42.380] 好了，策略三个行吗？
[14:44.430] 没事您坐我拿的你做。
[14:49.930] 二
[14:52.720] 的。
[14:54.430] 收。
[14:56.070] 你好。
[14:58.810] 这个做出来。
[15:00.790] 好。
[16:03.590] 给您算180没有这样吗？
[16:06.140] 没有。
[16:07.330] 稍等会。
[16:11.070] 想放假的话看一下180还是A200。
[16:14.910] 这个就是180 200的话，
[16:17.870] 加一大堆什么电动座椅的还不行。
[16:22.470] 总价是多少？
[16:24.690] 这个是20万左右。
[16:27.140] 20出头200大概可能是原来比那个车贵了三块钱左右，大概3万多。
[16:34.990] 383就看1308行下面
[16:41.280] 了。
[16:56.320] 的
[17:05.750] 过去。
[17:11.250] 对。
[17:17.830] 话
[17:46.870] 这是咱们全国统一模板报价单，然后咱们所有的价格他这边都有公式可以带您去看一下，然后您先看一下这个车的价格是造价是
[17:56.220] 239,800，然后现在优惠完之后是19块2300，
[18:00.240] 下面就购置税是17,062，
[18:03.160] 然后验收大盘是2500，装修的话一般保险的话大概是8000，
[18:07.740] 卖的话就是2212万零点，180对180您要是说
[18:14.590] 200的话就比它贵，大概是3万多块钱，前半期就是25万多。
[18:21.070] 有关就是260他有什么颜色，有黑色、有白色、有红色、有蓝色、绿色4种颜色，
[18:30.830] 有这种单子吗？
[18:32.760] 给我报价过来，您跟前台登记过了吗？
[18:36.800] 好像没有阳光这个东西没有，我们直接进来了，您到前台现在给你安排一个销售。
[18:42.820] 让销售给您办给您算一下价格。
[18:45.400] 对，因为现在汽车他们不断获得新的话，
[18:51.510] 所有的画面。
[18:53.650] 国二都换不了花儿没有补贴。
[18:56.030] 国外没有补贴。
[18:57.660] 不是我那个车是
[18:59.440] 我哥的房子车差一点。
[19:01.950] 今年您得这是国家给的，后台审您这车得国家那边交通队什么审，
[19:07.840] 这个不是我们说了算的。
[19:10.500] 您要是说他那边审核您这车有的。
[19:12.810] 有没有的话那就是没有了，我是
[19:16.120] 1万几百万，对，加上上完课和保险的作用的，谁知主要。
[19:25.170] 年内还在用吗？
[19:26.920] 都没有免息的。
[19:28.780] 谢谢没有，我这边有客户先生实在不好意思，可能这边正在接待着客户，要不到前台前台给您介绍一下，给你找一位销售，
[19:38.180] 或者是一块这边等我接待完了之后，我也可以过去找您。
[19:41.900] 然后咱们这个下面有一个二维码，就是咱们服务工业，刚才跟您说的客户为尊，以前带诚信经营，
[19:48.420] 合法得体，明码标价，公开透明，配件渠道都是性饥渴似的，然后就不汇报销售强制消费结构使用条件补充好。
[19:56.030] 然后这就是马你也可以有时间可以帮上门找一下。
[20:01.320] 这款车前面其他的一个28咱们有不起方案之前提供的，对，如果以后
[20:08.150] 的
[20:09.070] 都可以百分之。
[20:10.710] 好，今天考虑部分心灵吗？没有零利率的都是第七的，都是有对。
[20:16.780] 这边今天考虑进吗？
[20:18.460] 今天先不我还得琢磨琢磨，反正回去再考虑一下，行没问题了，可以，这几个车型您确定一下，因为指标已经猜到了是最便宜的是吧？
[20:28.900] 对，必须之前是不是真正的和差不多，那是必须的。
[20:35.810] 那就属于是旅行车那种。
[20:38.450] 行好。
[20:39.800] 好谢谢不客气。
[20:41.510] 然后这边明天给您打电话电话，你看那边是电话方面走T台的吗？
[20:47.070] 给他的上班在我这儿了都行都可以是吧？
[20:51.340] 我就看上午还要上班吗？明天回来了，行行这边上午或者下午，然后可怜交流坚持一下，不行了行了。
[20:59.940] 记得作为咱们是开车来的是吧？您在这边扫一个二维码说一下。
[21:09.630] 这块
[21:11.890] 到这个就可以好了。
[21:22.070] 写什么好。
[21:25.230] 然后您这边就会
[21:27.700] 稍等一会儿。
