[00:00.000] 想我们就留送修人。
[00:01.660] 联系这联系行吧？
[00:04.380] 的。
[00:05.680] 没事不用他不用。
[00:06.840] 了
[00:11.920] 谁来我们留人，
[00:19.480] 电话13601000176。
[00:22.940] 好。
[00:24.020] 三
[00:27.110] 等等就作为召回，其他的就不用管了，因为他要看刹车片有点薄，轮胎双反，
[00:36.320] 受拉杆损坏都跟您说了，
[00:39.190] 远远
[00:42.550] 场
[00:44.510] 场
[00:46.820] 场
[00:47.720] 话
[00:52.540] 场
[01:05.120] 咱们
[01:08.080] 厂家是有一个服务活动，
[01:10.760] 因为考虑因为您正好有一些外观的，
[01:14.720] 就是啥意思？
[01:15.830] 就是
[01:16.510] 咱修外观正常，一般得走保险喷漆啥的，正常来说没有这样过的情况下，就是您
[01:22.870] 该分期分期，然后汽车这么着也就需要几天时间，
[01:27.100] 有这项服务的情况下，
[01:29.200] 然后您就是在喷完漆的情况下，又能额外获得2500元的现金赔偿。
[01:36.160] 是啥意思？就是车也修了，
[01:38.700] 自己还能获得2500块钱现金，然后一年有两次机会，相当于最多一年能给您5000的现金。
[01:46.130] 就这次走保险把车修了这意思是吗？对，走保险您自己不有蹭的一些伤吗？
[01:53.020] 走这些自己的责任也可以也给您钱，比如说在路上咱正常精神可能被别人追尾，被人剐蹭，
[02:00.230] 对方责任要给您修车，你走她的保险也会给您这个钱，
[02:05.500] 无论是出境险也好，出长险都会获得，但是买这项服务是一年有效，15天后才能生效。
[02:13.370] 比如说咱得提前买一个保障协，对就得提前买，然后您15天后想show的再过来修。
[02:21.880] 首先要当时出事故，当时他是弄不了的，
[02:26.060] 就这么一个相当于修车还能挣钱的服务，
[02:31.210] 一般都没有还比较合适。
[02:35.600] 就是1490万，对，相当于一年您要是修两次车的话，挣3500块钱，明年上保险5的。
[02:45.390] 谁知
[02:46.300] 作为一个补偿来给您这样。
[02:49.780] 您是几月份上保险？
[02:51.760] 2006月月初，刚才我刚跳完是吧？您可以选择这边不有挺多伤吗？应该选择先修
[02:59.670] 一些，然后剩下的再说，万一有别人蹭您的情况，
[03:03.510] 那种情况根本您就干赚了，就属于
[03:08.410] 怎么着都合适修一回也能挣一。
[03:15.370] 影响您保费也基本也就一两千块钱。
[03:18.770] 这还能修了。
[03:24.080] 我就说
[03:28.150] 打单子，
[03:34.090] 差不多应该明天中午左右钟下午完事。
[03:39.290] 好了我会给你打电话了，没事应该。
[03:44.400] 你有事吗？我给您打坏了。
[03:53.980] 数据、
[03:56.020] 吃饭远场、
[04:01.360] 花
[04:03.000] 花、
[04:04.750] 场
[04:05.880] 花
[04:08.910] 的
[04:13.300] 场
[04:16.200] 的
[04:17.960] 坏
[04:27.700] 上。
[04:29.050] 好，拿说您考虑有需要拿。
[04:36.430] 这能拿一拿一份，没事，到时候您能告诉我一下，谢谢您没事。
[04:52.830] 为92
[04:55.830] 0005我
[05:01.470] 我拿走了。
