[00:00.420] 好，改天致电百得利奔驰客户赶紧来，谁知。
[00:07.000] 我昨天也提醒我忘了专门调查了，
[00:10.530] 然后我就想了解一下，因为
[00:13.630] 买什么的plc。
[00:16.450] 对吧？
[00:17.410] 然后你们那边
[00:20.250] 什么时候有没有现车或者什么时候能提车，还有这个问题。
[00:25.380] 您当时来的是来过我们这样的现象吗？
[00:29.310] 没有直接内部人推荐的，我没有跟他聊过。
[00:33.520] 我的一个朋友应该是跟你们这些经销商有关系，他应该。
[00:38.840] 是首部。
[00:39.490] 那样的地方就是说它把微信苹果后来
[00:43.070] 我忘了问他了。
[00:44.260] 然后我就说他那边。
[00:45.950] 路的。
[00:46.580] 可以没问题，加2D的，你想看哪款车，咱们GAD的话车型是比较全的。
[00:51.750] 试驾车也有。
[00:56.770] 孔司机AB。
[00:59.160] 200，然后实上有
[01:02.900] 7座的吗？
[01:04.850] 对不对？
[01:06.210] 上百间盘是吗？
[01:08.580] 就是这个问题，因为我开始问的时候，我上次来北京牌，然后姐妹跟我说，如果我要个人承担这些责任，打个比方，我要是开回我家庭上这个茶应该出了问题，我自己承担的话，他们可以打我还给你打个电话。
[01:23.790] 是这样的。
[01:24.770] 您主要是想了解外地牌在北京买车，然后去实施介意的。
[01:30.030] 对，我就一直在北京工作。
[01:32.340] 现在是这样，这款车其实是可以上外地拍，比如你在我这提完车，所有的手续我给你准备齐全，你回去
[01:38.910] 只要是说跟您当地确定好，说在北京买车能回上牌，这个是没有任何影响的。
[01:44.550] 这个没有什么承担，你肯定先确定好了，您当地可以说在外地汽车回上台那就没问题。
[01:51.000] 咱们这边是可以设外地的。
[01:52.780] 国际
[01:53.570] 在北京买，然后还是一方的钱。
[01:56.460] 你上哪个卡？
[01:58.070] 我是自贡的就是不高。
[02:00.760] 只要能上就可以，有什么承担的，主要是价格不合适，
[02:05.640] 这个是最主要的。
[02:07.550] 什么意思？还有。
[02:09.960] 比如说您上外地牌，这车的话官方指导价格是31万多对吧？
[02:15.030] 您官方指导价格提车，如果你北京牌的话，咱们这边是有现金优惠的。
[02:21.170] 因为这个问题我也咨询过，
[02:25.130] 是可以有用户的。
[02:27.100] 在没有了之前是有的，上个月有这个月没有。
[02:31.040] 了半个月，如果你上外地还是有优惠的，然后这边就没有。
[02:34.880] 对，但是上个月即使有优惠，他也不会说跟北京谈优惠政策是一样的，还是北京销售的一个汇率越大。
[02:43.030] 之前是可以的。
[02:44.960] 对，主要是没有优惠，有优惠的话，就算您跟其实一上来的牌都无所谓，既然能受全国那肯定是能卖。
[02:51.830] 你也能买。
[02:53.230] 有好多白色的或者什么搞得。
[02:56.200] 他不是不受全国，他是不想卖，你外地他嫌麻烦，
[03:01.650] 你明白吗？他有的是因为北京有上牌率，而且他车可能电动车少，他就得紧着房地里去卖。
[03:09.610] 所以他就自己您说他不卖外地了，他就直接跟您说，也没必要跟您说，您到店
[03:15.860] 没有意义了，就告诉您服贸
[03:19.090] 其实就很被动。
[03:21.490] 因为。
[03:22.260] 为主要是我可以去打个比方，我媳妇承诺我就不懂了，
[03:26.310] 我可以回去买的，
[03:28.560] 然后又回去了对吧？但是给我优惠6万多，我知道为什么不在北京买呢？
[03:33.970] 您说错了，它是分牌照的，您要是说您成都的排，你肯定承租价格要比北京合适，我要北京牌去成都买，它就相当于我是外地牌价格也不合适。
[03:45.150] 它是按照牌照来区分的，不是说您在哪买的，
[03:48.640] 社风得按看您上哪里的牌。
[03:51.200] 不管是哪儿，他都厂家都要求它当地的一个上他律师。
[03:56.920] 明白了，我在网上看的话好像是10分没有优惠大。
[04:02.400] 是您当地的政策。
[04:03.890] 按正常的话北京牌价格是比外地的价格合适，就算您当地牌照。
[04:09.990] 北京的话它用汇率都是大单，它针对的是北京的牌照。
[04:14.830] 我明白我还是要找我当地问题对吧？
[04:19.070] 是的，已经没有优惠可以买。
[04:21.380] 但是没有优惠了。
[04:22.830] 对。
[04:24.070] 我都活得很好的短信，对。
[04:27.240] 所以说您肯定首先第一考虑能不能上行，第二能不能有优惠，这是最主要的两点。
[04:34.400] 对，还是考虑当地的，如果说您真的要说在北京买的话，
[04:41.640] 原价提，您不考虑这个问题的话是可以买的，但是如果说说像您说的能差4万多的话，您非常有必要回答就去买。
[04:51.070] 反正您从这买回去，你不也得开回去上牌对吧？
[04:55.570] 对印度当地道理的话在这合适好吧？
[04:59.900] 对，要是贷款的话是不是也到不了有外地牌照北京待。
[05:03.620] 也可以比较麻烦。
[05:06.920] 可以，但是你不要麻烦。
[05:09.430] 好明白，但是你要买车，
[05:11.770] 你在北京开保养售后的话，咱们这个是没有任何影响，全国4S店投保平台，
[05:19.430] 因为4S的厂家是一个挑战，所以它社保都是一样
[05:24.640] 的，这块没事怎么了店而且需要控制。
