[00:00.000] 然后呢
[00:00.590] 您好，感谢证券版的李文池。
[00:02.560] 客户端好像很高兴为您服务，有什么能帮到您的？
[00:07.030] 您是
[00:08.490] 因为您从网站关注奔驰c股配了，所以我给您回个电话，您是有购车需求吗？还是简单了解一下车型配置这样？
[00:18.560] 有购车需求，所以古沛现在这里边是现车，我们展厅在西四环，有时间过来看看车做个试乘试驾吗？
[00:25.400] 嗯
[00:27.730] 噢百得利。
[00:29.760] 对对对，没问题，在咱们家附近，那您看您时间可以随时过来，到现在登记您的手机号，说有做过预约就行，您贵姓啊先生？
[00:38.530] 嗯张先生是北京这边购车吗？
[00:41.740] 金牌没问题，大概的购车时间确定了吗？三个月之内还是半年之内有购车需求？
[00:48.460] 也没问题，如果要离着近的话，您可以随时来，然后我刚才又把我的那个手机和我的微信，还有咱们展厅的位置发送到您手机上面了，
[00:57.250] 如果要是需要做预约，您可以随时给我打电话，我帮您登记好您过来，这样的话咱们错开人流高峰期，一对一的让销售顾问在展厅等您到店直接带您去指定车辆面前就可以了。
[01:07.500] 然后
[01:10.870] 不一样的地方。
[01:11.960] 那等一下我跟他们。
[01:13.510]  C260呃 c260 2门的叫鼓配，4门的叫运动标轴，现在都有限车，主要是看您什么时候来有展车，今天。
[01:22.360] 那个就是一个小化妆什么之类的，我把我的心脑血管
[01:27.100] 一个是
[01:27.910] 一个是那个啥啥啥
[01:29.470] 嗯现车现提没问题，有线装
[01:32.270] 抓紧的。这个
[01:34.080] 嗯目前是蓝色跟白色，一开始进来两个100:1合，嗯目前是这样的一个一堆开关，
[01:40.700] 对吧？不出去了，所以他们就少开管理了。
[01:44.540] 是这样，啊我刚才帮您查的是200，然后260的话现在咱们这边的话，如果你要看车，咱们在途的有资源差不多，蓝色、呀白色、黑色、月光蚀、灰色、石漠化
[01:55.300] 会，然后。
[01:56.940] 嗯这个是什么宝石兰盖世兰都有车，两个蓝色。
[02:01.220] 开过吗晚上？
[02:02.880] 260对260的色比较多，但是它这个不是最近到现在，啊如果您要是半年之内购车的话，您这个选颜色比较多，您要说三个月之内的话选的颜色比较少，这车不是一批全全都发过来，是在途，您喜欢哪个？
[02:17.550] 啊我们可以先到展厅选一个这个这个颜色戳心，您看这个色儿喜不喜欢，如果喜欢我们就帮您查这台车的这个色大概什么时候到，因为在途的这个车它有可能是加过增配的，也有可能是裸车发过来的，
[02:29.080] 得看您需不需要啊按照您选的这个这个车呢先给您算一个大概的报价报价单，如果您认可了，我们这边就直接给您出报价单，或者说给您交定金，咱们就把车定下来，如果您不认可您可以再选其他车型，比如说蓝色我就要深色还是浅色的？
[02:43.750] 要灰色，我说月光是灰色还是要石墨没回，嗯主要是先您选车，选好之后我们再按照您选这个车抵算报价，是这么一个流程。
[02:52.960] 嗯
[02:54.020] 对对，
[02:56.730] 对啊这对对
[03:01.550] 最快的一台，现在咱们这边不挑颜色啊差不多7月底会到。
[03:06.730] 他不是贴高着贴的，还是跟对的辣椒那边。
[03:10.250] 就是说如果您不挑，我们就等颜色最快的一台是蓝色的啊盖石蓝色黑色那是的，这台车是8月底8月
[03:18.750] 用不到8月底，反正差不多8月底吧会到一台，然后慢慢慢慢陆续其他的颜色的车都会到，但是它具体到店周期就是我们得给您查这个色大概什么时候到这个色大概什么时候到，这是最快的一台。
[03:30.410] 我们可以挑就比如说我挑一个呃石墨灰大概几几号到，然后月光石灰几号到，然后宝石蓝几号到什么时候去去给您查。
[03:38.730] 货到货到一个开管没了
[03:41.430] 啊啊
[03:43.400] 他妈妈日本人。
[03:46.500] 有，我看了你就不发了。
[03:49.760] 嗯比如说
[03:53.460] 呃比如说
[03:56.860] 不不不不不
