[00:00.000] 您要是
[00:01.280] 就留着查着
[00:03.070] 有点
[00:06.330] 的。
[00:10.240] 防冻液有点
[00:16.720] 手
[00:18.650] 电话是多少？3？
[00:25.560] 三
[00:30.390] 1326170338。
[00:37.360] 一。
[00:39.240] 上次弄完了
[00:42.360] 了。
[00:45.150] 上次4月份
[00:49.160] 是吧？
[00:51.090] 三
[00:55.390] 二
[00:56.860] 三
[00:57.890] 然后
[01:03.530] 他备用电池有没有啥影响？
[01:12.240] 坏了的话它会影响你电子换挡。
[01:16.460] 我先看一下您车上剩下的说好了，
[01:37.490] 钥匙没电了。
[01:41.110] 因为要是从买了车就没转了。
[01:44.190] 好像是没电了，一点电都没了。
[01:50.980] 没有贵重物品车辆，
[01:53.180] 这车得留着几天，我明天要开车走，明天开走，那肯定来不及。
[02:03.240] 查一下不是什么大问题。
[02:05.830] 许文高昨天看了一下都没有。
[02:09.290] 你之前是
[02:12.020] 显示的是。
[02:13.260] 他不能叫吗？红色就是挤满了肯定买的，但是一角迎上来给一小大由了。
[02:19.950] 再往下。
[02:21.770] 结果成了，对，现在又没事了。
[02:26.520] 您要开长途吗？就是跑红车。
[02:30.990] 对，您开长途，这也不敢让您要开到半道儿出现问题。
[02:36.820] 很麻烦。
[02:38.550] 所以您最好是留着给你好好查查，
[02:43.040] 像这种偶发的故障辅助蓄电池，
[02:47.820] 看看那个防冻液怎么会缺，刚刚完了又没跑。
[02:51.450] 你看里程应该就是泡了应该就100公里之内应该是。
[02:55.400] 我当时看
[03:01.440] 王公也报警了吗？
[03:03.410] 他们没报警，但是他上面好似
[03:19.280] 有点冒你
[03:20.600] 露，然后一路
[03:26.280] 消纳水箱不行。
[03:29.130] 从这侧面看这边咱那有漏的地方还没有，
[03:36.840] 估计是水箱，你看从那网上留了吗？这边那是水箱的水吗？这是水箱，这是水乡。
[03:43.340] 然后管
[03:48.220] 估计您这得让车间打压，看看漏缝东西，你这下边喷得全世界。
[03:53.770] 你看了吗那页？
[03:57.110] 可能水箱老化
[04:01.650] 了，那水箱估计得换了，
[04:04.880] 这上面还有点变形了，
[04:07.840] 这是变形的。
[04:09.320] 下雨了是那次变形是什么？同温度变的还是大便，这还真说不好，但是您现在从侧面漏
[04:19.800] 您留着肯定没法看，
[04:23.980] 你就最快的速度争取明天能用上，明天早起，要不you
[04:29.070] 首先我要留你那就留几个月，那一趟差出了几个月不回来，
[04:34.280] 明白这意思吧？
[04:35.700] 您这最快修没个三五天也出不来。
[04:39.720] 因为一是检查，二是还得订货，这肯定都没货要修这些东西。
[04:46.530] 您是一走走三五个月，对这边还有朋友什么的，或者家人到时能取车吗？
[04:53.810] 有对。
[04:55.970] 我们也可以帮您送车，这只要在北京都没问题，送车都是免费的。
[05:00.490] 您可以到时候安排个朋友或者家人过来取车给您开回去都行。
[05:05.610] 行好吧，只能这样，我因为今天上次查了哪些问题，上次是皮带轮，反正上次皮带我这有记录。
[05:21.570] 人家辅助蓄电池修吗？
[05:23.530] 估计你上次要多少钱？
[05:26.620] 告诉
[05:27.690] 2000块钱1000多块钱，
[05:30.030] 他给报价。
[05:35.010] 上次替代。
[05:36.900] 上次让查了一下曲线，应该是上次的工时费全都是免费的。
[05:42.860] 你看那车那么破了，你再收那么多钱，你说我要下去不要，工时费上次没收，然后就是做了保养，
[05:50.100] 到街口何在？
[05:53.220] 上次没修，漏水就检查了一下，
[05:57.530] 有一故障灯应该是换了几个电磁阀，
[06:00.510] 我不知道你有没有印象。
[06:02.480] 后期司机过来了，
[06:04.870] 因为像上次修这些东西都是免费的，什么检查一想，
[06:09.690] 然后几率闭灯圈那些反正都没收。
[06:15.590] 公费看，但如果水箱那可不是个小事，对，您在学校露了肯定得快取消了，放水箱都不便宜了，肯定不便宜。
[06:24.240] 得达几千块钱卖不了，看你的那是要还是不要。
[06:28.760] 您看您现在是考虑是一方面及时通知，没有水箱没空也没撞过。
[06:34.860] 贴近主要是您，因为这东西也时间长了，跟
[06:39.420] 也有关系，之前也有您这车算开得多的了，之前10多万水乡就有漏的。
[06:46.700] 反正目前看应该像是水乡这一块，因为它正好在这厕所。
[06:52.350] 对，看看这个
[06:54.260] 往后流。
[06:55.320] 最快的速度上了，温度不正常，应该是哪个情况？
[07:00.010] 散热不好，还是其他的一样？
[07:02.610] 都有可能，还有水泵，比如说循环不好，但是他结婚节温器保护查了肯定是没问题，你在哪查的？
[07:12.360] 我是因为眼底的时候开始不是
[07:16.200] 有一次我上情景的时候，
[07:19.240] 就是说白了可能就是即便吓死了，水温不正常，但是上面那边
[07:25.210] 他没有
[07:26.800] 4S店来救援的，救援他人下班了，
[07:30.000] 下班了就搁到旁边了，
[07:31.940] 他拿电脑撤了了。
[07:36.190] 您看反正肯定是要查一两天肯定是没戏。
[07:41.180] 你就给我搞快点，这是肯定得留着。
[07:45.150] 估计
[07:46.640] 我因为现在车间我刚才看了一下牌子，就是我给你关牌子，牌了都有10多二二十多个车。
[07:55.230] 不错。
[08:16.810] 给您填一单子，
[08:18.900] 这边有点剐蹭，
[08:20.670] 您要不在北京就安排朋友来
[08:24.680] 喝点什么怎么冲的我也
[08:26.930] 不错。
[08:29.360] 保险是在哪上的？
[08:32.330] 没事是吗？都通过7的门了，太棒了，摔出那边有一个门是那个
[08:41.590] 前杠也
[08:49.550] 行，那屋里面坐没有要拿的东西了，您抽烟找我，我填个单子。
[08:55.600] 没有那个
[08:57.670] 场馆。
[09:01.530] 看看
[09:02.400] 咱俩活说漏防冻液，
[09:05.540] 懂吗？咱俩什么东西知道？
[09:09.140] 我说现在接不了，问题是那卷我都给它充进去了。
[09:18.910] OK好。
[09:20.400] 咱们把这单子单子多少，就是说
[09:24.670] 现在
[09:26.640] 现在用系统里都能找到了，能查了多少，黄总已经给冲进去。
[09:31.480] 漏防冻液，
[09:36.710] 水温高，
[09:41.800] 远。
[09:44.710] 对。
[09:50.200] 我预计周二能给您结果已经是最快的了。
[09:57.600] 行行你。快点今天时间放着了。
[10:05.880] 主要就是水登高就是那一瞬间对我说
[10:11.630] 在开了一件事就出现了那一次，而且当时那一瞬间搞是吧？但是后面我下车的时候我看到他。
[10:19.810] 行政的吗？完了。
[10:22.090] 肯定的，你挂第二。
[10:23.930] 低速挡了，
[10:25.520] 是不是当时转速很高？
[10:28.500] 你要高度第二他肯定。
[10:31.230] 我现在的东西的车怎么没像下车的时候看看他用的下面
[10:37.840] 页往后最多的，
