[00:14.850] 先生您好，不好意思打扰您了，我是百得利沃尔沃店的，
[00:19.070] 有看到您之前有过一次进店，想给您做一个回访，您看方便吗？
[00:24.920] 请问您对我店的总体评价如何？10分为最高分，您可以打几分呢？
[00:33.770] 功能机上200多少？
[00:34.830] 对于服务顾问的服务态度，您可以打几分？
[00:38.720] 等会我就要出去了。
[00:40.580] 非常感谢您对本届的认可，这边跟您核对一下您的地址，您看记录是否有误，您的地址是北京市海淀区田村畅心园对吗？
[00:50.750] 的。
[00:51.150] 今天没有带。
[00:51.890] 另外咱们需要拜托一下，您近期有可能会收到厂家的调研电话或者是微信问卷，到时候麻烦您配合我们填写一下满意好吧？
[01:00.790] 您。
[01:01.750] 非常感谢您此次进电视直接过来的，还是有提前跟咱们这边工作人员联系。
[01:06.870] 这怎么坏
[01:07.470] 的？是您在家了吗？
[01:09.400] 您以后的维修保养还打算来咱们店做吗？
[01:15.590] 我
[01:16.680] 您知道您到店里面有一个它的机会。
[01:27.600] 您是觉得您不太满意。
[01:31.530] 来不及了是吧？
[01:34.540] 那么现在半年之后起来了吗？
[01:37.410] 想给。
[01:38.830] 的一个原因。
[01:41.990] 行了，对，想问王先生咱们车辆现在跑
[01:45.620] 了多少？
[01:47.870] 4万多，咱们上次是38,000做了一个
[01:51.580] 4万的包养，现在
[01:53.860] 金半年了，有的客户是外面砍掉，如果日本有干净做一次可以，应该之前
[02:01.120] 您反映这个问题，我稍后也去跟售后这边去问一下，看什么情况，您此次到店的话有出现像您返的这种问题吗？
[02:11.980] 您说的价格可能跟厂家这边不太符合。
[02:15.910] 反映说他们车辆天窗单独，我不知道咱们那个车有没有这个情况，是因为咱们最近的雨季泥水比较多，他可能
[02:24.590] 上面有一些印尼就是留在天窗排水孔的位置，
[02:29.000] 倒贴的渗水问题不要的。
[02:32.470] 所以我身上行没问题，如果要是有什么问题的话，咱们可以过来做一个简单的抽样检测，那个是免费的。
[02:40.340] 您。
[02:41.440] 等会有半年的时间好吧？
[02:43.640] 行，我这边稍后嘉宾的微信会。
[02:46.860] 这次您来咱们店的话，给您感受有好一点吗？
[02:51.590] 有什么问题？
[02:57.630] 我不相信是不是咱们店里面咱们售后是没有提高这种。
[03:07.290] 这边不能改变，因为我看您除了感谢一下，还有其他店的银行工作，
[03:13.350] 我们这边的。
[03:23.800] 但是
[03:27.260] 您下次可以来咱们再感受一次，因为您不是其它店你也去过，因为这次的话可能牵扯到咱们走保险作业，没有自费项目，你也感受不到咱们价格跟服务。
[03:38.530] 跟他联系之后，他会把您的信息递给，然后我再给您打电话，所以说流程是一样的，我们现在是客服不咨询和客户的邀约，
[03:48.210] 包括您这边有主动一个预约的话，也是跟我们如果预约到院的话，如果产生费用的话，你要是打工时费8折
[03:55.790] 或者是直接赠送，那么没到电机那就可以只给您家的，所以。
[04:00.840] 虽然是这样，外面修理厂的话他为什么会便宜？一是他那边的话是不收工时费的，所以您在公示这块的话可能会省掉一部分的钱，
[04:10.450] 然后再加上它舰它不一定是原厂的，因为厂家只提供我们正规4S店的价，他不会给那些修理厂去见他，那些多一半都是
[04:19.540] 副厂的假，所以咱们买一个好一点的车，咱们也是不建议你去外面做，
[04:26.800] 要
[04:29.670] 的。
[04:30.890] 应该的。
[04:32.760] 明白。
[04:38.400] 咱们确实是分原厂跟副厂的，您如果是自己使用的话，您可能觉得说价
[04:44.590] 他都可以用型号什么都能对的上，但是如果牵扯到咱们后期如果有出现质量问题产生索赔的话，或者是咱们到时候需要卖车，牵扯后续这些问题的话，它可能会影响到您的一个车价跟索赔问题。
[04:59.350] 远。
[05:15.200] 您这边的话
[05:22.590] 远。
[05:26.720] 数据
[05:29.080] 远。
[05:34.880] 的
[05:54.880] 先生是这样，有可能的话您因为也没有来过咱们店，其它店是一个什么样的模式，咱们可能也不太清楚。
[06:02.630] 但是像您说的这种可能说价格跟厂家的不一样，这个可能是不太会牵扯，因为都是规定的统一价格，可能也就是您来的时候他会给您多推一些项目，这样的话您维修费用就会高一点，是这样，因为。
[06:17.500] 你只能找打
[06:29.840] 的
[06:31.510] 场。
[06:34.910] 场。
[06:37.960] 场。
[06:39.260] 场
[06:40.520] 场
[06:42.750] 场
[06:55.360] 场。
[07:18.130] 的。
[07:19.200] 虽然确实是这样，您反映这个问题，因为您也没有来过咱们店，咱们也不太清楚其他店是怎么一个运营模式。
[07:29.770] 您看您这样，您下次的话，您可以到咱们店去体验一下咱们店的服务跟一个收费标准，您可以感受一下。
[07:36.260] 或者是您来了之后，您可以跟我这边联系，我这边可以带着您去收购，咱们去看一下是否报价，跟您所说那些有一定的差异，或者是
[07:46.270] 比您实际厂家会差很多，咱们可以跟您去看一圈，您可以亲自来感受一下，对，因为电跟电是不太一样的，咱们这边也是新开业的店服务，包括价格这方面的话都还是比较优惠的，
[08:00.640] 让这些
[08:03.030] 的
[08:06.090] 的。
[08:07.820] 谁知
[08:22.520] 对，确实是可能咱们去过几个店都是这样，可能感受并不是很好，但是咱们也不能说一干拿打死一船人对吧？您可以感受一下咱们的服务，没说咱们
[08:33.190] 报价包括服务都比较符合您到时能满意。
[08:38.330] 对，您可以下一次，因为我看确实离咱们店也比较近，不就在田村这边吗？咱们离的比较近，您到时候下次保养的话或者是维修，您可以来咱们先感受一下。
[08:48.590] 如果咱们比较好的话，您可以长期来咱们这边，因为距离什么的都挺好的，也挺合适的。
[08:55.610] 您手机号189尾号175的是您的微信号吗？
[09:03.870] 是您的微信吗？您是拿手机号申请的吗？
[09:07.670] 您好女士打扰的，我这边是打个电话给定的。
[09:12.000] 咱们服务顾问又加人了是吗？
[09:18.350] 行，您家过就行，到时您下一次如果想进店维修保养的话，您听。
[09:23.560] 谁知
[09:28.160] 对，或者我向您说的。
[09:33.150] 的
[09:34.690] 的
[09:44.610] 心理老师。
[09:46.370] 好的，辛苦李老师我看一下，谢谢。
[09:58.400] 先生确实可能是您之前
[10:07.560] 现在是
[10:29.130] 但是李老师能看到
[10:31.580] 是否核销吗？
[10:33.700] 先生先是这样一。
[10:39.260] 他买了帮我。
[10:49.450] 像我
[10:54.800] 这里面会一个报名的口。
[11:19.160] 您好先生打扰了，我这边是5%
[11:21.560] 签订的，请问您是7N3W9第六的，我出手杨先生吗？好好。
[11:26.910] 先生您好，这边是在给您做一个维修保养的，关怀提醒是这样的，看到您近在今年的1月份来咱们店鸟，
[11:36.320] 当时的时候1378的网友套餐面还有人性吗？
[11:39.990] 有，这边现在距离上次没有半年的时间了，就像身上卡的时候，
[11:46.550] 已经收款是否活动，对，所以想看看咱们现在已经收多少了，建议是一年或者的管理就这样。
[11:52.850] 的
[11:53.640] 觉得。
[11:56.270] 我提示您对。
[12:01.050] 57,000。
[12:03.570] 今年的医院。
[12:06.090] 对，因为咱们这边基本上是没有办法工作到临时是里程数的，所以我们是根据时间周期来给您。
[12:13.530] 向您反映这个问题，我能理解，对。
[12:17.040] 您能理解咱们一个什么这个问题基本上都差不多，赶紧。
[12:24.590] 明年的今天你会回来，
[12:27.870] 今天学会了太伤了，让谁？
[12:33.570] 我们现在可以的。
[12:38.590] 从晚上。
[12:39.690] 什么是类似的话，这些都是中国反现在咱们都是
[12:43.770] 分工合作，我们这边是负责介绍加上客户这边只能显示具体核销的一个产品的，
[12:50.450] 如果到时还得再给您打电话。
[12:54.230] 这个事情还有什么事情？
[12:58.270] 现在您这边参加微信发了，这边城市不会过多打死，还要回答。
[13:03.760] 我们就是答应的好好的。
[13:07.440] 行没关系，这个先生您给我一个电话，如果下面有一个进场的，您说的吗？你拿微信了好吧？
[13:16.890] 行行好的。
[13:17.980] 不好意思，家里的生活一般，谁知
[13:21.080] 谢谢退出，实际上是忠实客户。
[13:26.590] 也可以。
[13:29.180] 确实是您反映这个问题我也能理解，确实是您去其他店的感受不是很好，但是咱们是电跟电是不太一样，您反映这个店我们也没办法去掌控，咱们只能说去控制您来咱们店的一个消费，包括咱们的服务态度跟质量。
[13:46.330] 您看您下一次您可以来咱们店去体验，如果您觉得说怕出现您反映的类似这样的问题，
[13:52.470] 您可以在到店之前给我打电话，我可以陪同您一起去售后，然后让他去给您报价，您这边到时候有什么问题咱们可以随时沟通。
