[00:00.270] 7月10号下午1:52阶的pos客户。
[00:03.680] 是马先生是吧？
[00:25.320] 你好是马先生要给一张名片，销售顾问董事长王秀玲，我先谢谢咱这边是第一次来咱们电脑
[00:31.770] 对style约好的销售开这边，我到这里打电话吗？对之前没有意见。
[00:38.700] 看咱们电话总经理我帮他打电话，好好，您看看怎么调节这次。
[00:45.870] 的必须的，还有领导就是说对我知道。
[00:49.840] 这边的话您喝点，谁知你减少一下奔驰的服务公约，
[00:56.390] 咱们这边是给到客户为尊，以礼相待，诚信经营合法得体，
[01:00.400] 明码标价、公开透明，配件渠道信息公示，购车是绝不捆绑销售强制消费的，
[01:05.430] 绝不使用在这里充好40081818咱们接到电话，
[01:09.300] 本身也是行业内咱们第一个承诺服务分期没有什么任何金融服务费手续费的钱。
[01:14.350] 对。
[01:15.410] 他们都是B我问他
[01:21.820] 这个不能怪地方观点，
[01:26.580] 价格的话都是的。
[01:29.520] 对。
[01:31.510] 稍微有点变化出现了。
[01:38.250] 谁知
[01:45.160] 对
[01:56.190] 来
[01:59.430] 看一下。
[02:03.560] 他的这种这就是了。
[02:07.520] 这是我。
[02:14.200] 还认真
[02:15.620] 做到
[02:18.340] 把他们标准
[02:19.460] 因为他那个片子
[02:22.890] 飞机的太好了，
[02:24.790] 是不是稍微
[02:26.840] 情怀的地方，宏远百元买了他，这个是什么呢？
[02:33.330] 为了好看的
[02:38.360] 简单谁知。
[02:45.310] 好色。
[02:47.830] 还可以，您觉得没有任何价格差水平的话，在山东早上
[02:55.360] 当然他们做在上海
[02:57.560] 非常可以。
[02:58.870] 差不多这种话诉讼上面划算的，感觉分之一都是什么样的工艺，没关系，谁知
[03:07.250] 再等一下。
[03:08.910] 行。
[03:10.580] 好。
[03:12.520] 还有这事情最后还找领导申请了，对，你看一下什么颜色，那是可能专项他有没有说
[03:19.490] 要考虑近期购买吗？
[03:22.600] 也进入了。
[03:23.790] 你直接给我什么背景？
[03:26.080] 你今天能不能
[03:27.710] 我今天
[03:30.450] 的价格那么就完了，不是，因为今天你讲的就是价格，谁知
[03:37.450] 要去接下来我给的价格我当时也笑了，
[03:40.500] 价格合适的话我就
