[00:03.080] 走到现在看一下您出去拿药，
[00:14.990] 车里面有贵重物品拿走。
[00:39.800] 留步，没事，是轮胎没？
[00:41.700] 是。
[00:43.270] 有现场的照片，我一会回去拍他让他跟您说了是吧？加到微信了是吧？被夹了个醒了以后还有
[00:50.590] 保险我发一下。
[00:52.560] 早上
[00:54.080] 吃饭晚了，所以他们人家着急。
[00:57.190] 右边领域我左边这是个
[00:59.650] 右边正在进车位，倒车进车位，多汗的上头打磨。
[01:04.480] 就前门不是。
[01:06.570] 咱们不是是吧？
[01:08.820] 对。
[01:10.190] 这个地方好像也趁着
[01:12.310] 最开始就这个地方。
[01:14.490] 这也是被咱这意思就是这事吗？名人凑了一回两回。
[01:19.480] 这也有，您看这门上这也有坑吗？
[01:22.960] 他跟您说这到这儿了吗刚才？
[01:25.550] 浙商看不是一次的，这有点断的吗？
[01:29.190] 我不知道，是应该同一次我也不知道。
[01:32.300] 我贴了柱子以后，然后就往右打了一把，可能是回称了一下了。
[01:37.160] 是一次碰的是吧？
[01:41.220] 看保险公司怎么定，待会我给他什么。
[01:47.340] 到定制完给您回个信好吧？好的，您到时候把现场照片发过来，对。
[01:56.170] 您家微信了吗？加上了微信了，加了谁倒是是女的还是谁的男的我了。
[02:03.590] 这个点上来。
[02:05.620] 快点没有了。
[02:07.780] 知道了这次。
[02:08.920] 这修一下估计得多少天，
[02:11.250] 主要也是取决于您给他现场的和损的快慢，按正常的来话，按正常休的话，这时候四五天差不多就修好了。
[02:20.350] 进行快点，因为行没问题，尽快给您修，放心，对他们先核损，核算完之后然后再给您修车。
[02:30.530] 所以说这个照片你赶紧及时拍，一会儿回去。
[03:37.880] 听说了。
[03:38.750] 得四五天，就是说您那边还得让他赶紧那什么，我5平台那边上去了。
[03:45.490] 反正尽可能快，因为上班远在大兴，
[03:49.350] 一般情况下都得开车去，行好。
[04:11.670] 这个门我在看保险公司的核损您知道吗？因为他这个伤不是连贯的，看他能不能给您订上这门。
[04:19.880] 您这个把手跟这块正好是断开的，看他怎么说，您刚才他不照下来都照了，
[04:25.930] 是吧？都照了，我看他核准我看怎么活。
[04:28.840] 合同过了，大概跟您说一下维修的项目，
[04:37.600] 没有规章都是左边完全靠在柱子上，然后我就往右打了一把，可能又称了一下，
[04:44.120] 第二次受损，
[04:50.490] 号
[04:51.490] 号
[05:02.770] 没有各种东西，大厅等我会就行了，弄好了我找你去。
[05:16.410] 来了没有？
[05:22.200] 完了。
[05:28.660] 找。
[07:20.800] 环境也是。
[08:58.560] 您的证件。
[09:00.020] 身份证和驾驶证都行，对下您信息。
[09:07.330] 完了没事这叫
[09:09.570] 不要身份证不要拿了。
[09:18.000] 您说下您电话。
[09:19.830] 13702432好了。
[09:25.320] 0
[09:27.060] 9
[09:30.870] 行，您督促一下对吧？
[10:09.800] 抽血就行。
[10:17.450] 有饭有可能
[10:39.560] 场
[10:40.710] 数据
[10:43.170] 场。
[11:04.880] 的
[11:05.960] 场。
[11:08.490] 场
[11:13.020] 五
[11:19.130] 数据
[11:22.790] 场、
[11:30.860] 这是取得单，这是外观的一些商务都给您画了，然后风挡有几个石子崩的。
[11:37.100] 丰登上有几个石子崩的，
[11:39.870] 风挡前挡风玻璃有几个10:00的点，没事有点伤跟您说一下。
[11:45.700] 其他就行了，对其他车身的小升。
[11:49.060] 这是取得单，您到时候拿着车取车，拿着单子取出来就行了，行。
[11:54.030] 您反正尽快给我修行，好了，您这边赶紧给他发照片，发完照片我们这边让他核准好吧？好的，您
[12:01.990] 联系您的手机号码，对这那什么名片打名片电话就行。
[12:08.620] 好了。
[12:09.950] 然后尽可能抓紧给我效果好吧？
[12:11.880] 行好了。
[12:13.450] 上班太远就可以，明天就行。
[12:16.000] 行没问题。
[12:20.240] 好
[12:46.390] 我觉得这么没了。
[12:48.660] 数据、
[12:57.860] 重要
[13:03.870] 数据。
[13:10.110] 二
[13:16.960] 场
[13:20.880] 数据
[13:23.170] 数据
[13:28.430] 远远
[13:33.290] 了。
