[00:00.000] 到。
[00:04.200] 说
[00:05.120] 那个叫什么安全气囊是吧？
[00:10.660] 孔女士哈，13381125731
[00:15.150] 号。
[00:16.820] 明天你们怎么那么多人，今天。
[00:20.390] 以前上次来都没什么人。
[00:23.430] 今天。
[00:25.120] 今天还行，这会都已经到交车时间了，这不是在上海，所以我说赶紧来，
[00:30.600] 赶紧弄完了，还得等等时间不要了很快，但是我给您看一下，
[00:37.010] 让我看有货了，因为本来应该是给您约的时候让你过来干嘛，让你过来订货应该是。
[00:43.460] 好像是吧？对，但是还是得再买一次还对，我看一下你要能不用再来，他就不要再来一次，就一次性弄好了，但是一直弄你再来一。
[00:53.370] 再来一趟还得放把车放这，你先接电话。
[01:00.900] 应该是的，我说。
[01:02.160] 对
[01:04.420] 你现在跟我们孩子吗？
[01:06.780] 没有动车，今天回头8点多。
[01:11.850] 我这车不是上照明那个事儿，然后还要去聊那个厂先挂了，人家跟我谈了一会，妈妈给你打电话。
[01:22.820] 然后我们看一下能不能
[01:25.300] 直接一句话。
[01:26.640] 只有能给您用了就不能用。
[01:28.960] 好的，要能用的话，这是一个前排乘客。
[01:32.100] 气囊就是咱这气囊、非主气囊、副气囊和主副气囊这三种情况就更换。
[01:37.990] 新郎是最快的，你西南大概两个三个小时就能
[01:41.200] 父亲忙day。
[01:43.180] 大半天的时间，少一天的时间。
[01:45.110] 主副气囊的都差不多了就。
[01:47.150] 和一个父亲单差不多，咱这车子是坏副气囊。
[01:50.340] 前通过测的骑马。
[01:52.950] 估计得多长时间，大概有个大半天差不多。
[01:56.670] 我只是夫妻俩要换是吗？
[01:58.760] 对没错，就完成城市父亲来以前没检测过你怎么让父亲拿药，没有厂家你出场的时候厂家全部有记录，
[02:06.060] 哪台车是什么情况在市场上都有记录，然后至于这车换什么东西，
[02:11.060] 咱们4S店不知道，但是他会做到系统里边，然后厂家做系统观察的。
[02:16.080] 现在对没错没问题。
[02:17.620] 父亲就是副驾驶，对没错。
[02:22.210] 你身份证号你再帮我说一下。
[02:25.710] 640206402021971974
[02:30.300] 5909052025
[02:33.080] 0928。
[02:34.450] 0525。
[02:35.300] 0525。
[02:38.110] 咱那个地址就是北京的地址，你帮我留一个。
[02:41.430] 现在是哪个航，现在没有这个系统，到现在升级换代态度上面了。
[02:47.100] 它的数据有的时候不
[02:48.400] 不能全打过来。
[02:49.800] 有哪个区？海淀区。
[02:52.890] 然后。
[02:53.940] 柳州的就是8:00终于的症状没有。
[03:00.290] 蜂鸟家园
[03:02.680] 蜂鸟家园万。柳新贵。
[03:06.070] 什么家园风？
[03:08.000] 弘扬
[03:09.500] 家园有谁知。
[03:12.960] 具体的还写了，不要行，来姑娘家也行，别洗车去了，你喜欢了晚上今天还得要放在这，对，如果有货的话放在这儿，明天应该差不多明天能
[03:24.670] 对你来取就不用再来了。
[03:26.560] 要不然你今天来了趟，当然先看有货没货，最好是
[03:31.100] 我哪天早上来放到下午能取，要不然我
[03:34.920] 我还得我走了。
[03:37.550] 因为我今天还要去比较远。
[03:39.400] 的是吧？因为他这个东西这个是什么气囊。
[03:43.080] 个人推荐，您看您时间安排，因为这气囊现在到因为它是属于危险品，
[03:49.190] 库里根本就不让存，你比如说我给您打比方，你在那车直接过来了，
[03:53.440] 我给他上一个订单，但这个订单并不一定就给咱车订上了，原来设定上之后并不一定咱这车肯定就是说如果让你定上了明天就到了，但是你才来三天之后就
[04:02.990] 留不住了，就已经给别的车用了，别的车蚂蚁精给他用了，这个是不能留的。
[04:08.100] 所以我给您查一下，如果有的话给您先用，也是先用别人的。
[04:12.200] 你先给女士看一下，需要登记一下。
[04:14.660] 他是怎么着还来一次不容易这意思。
[04:17.900] 这货来他不像别的。
[04:19.540] 换个件这件能预留就给您留下来。
[04:22.990] 们什么时候来都行。
[04:24.310] 这个是不能留的，因为它这里边气囊是
[04:26.980] 属于类似于危险品。
[04:28.500] 库房里没货都在哪都在北都。
[04:31.820] 在国内的危险品库房放。
[04:33.950] 所以他这个店里面必须查明情况。
[04:37.290] 一会看看。
[04:45.170] 场
[04:48.070] 场
[04:55.000] 的。
[04:58.120] 客户打电话，
[05:10.690] 数据。
[05:17.490] 低保，然后三，
[05:23.000] 谁知
[05:25.520] 完了我给他们姐我这边给他弄完了之后都没有那房子，你帮我记录了。
[05:31.170] 咱们
[05:36.920] 你说他们告诉
[05:40.290] 两那也不错了。
[05:44.950] 2041。
[05:47.890] 明天完了，谁知
[05:55.230] 那个板块。
[05:56.330] 你帮我把这个气囊应该是到货了，我刚才看。
[06:03.430] 帮我把气囊放进去，一个抱一下。
[06:08.020] 这儿KOD
[06:10.830] 远
[06:12.350] 父亲
[06:15.950] 数据
[06:17.320] 数据。
[06:19.640] 五
[06:21.440] 五
[06:22.480] 五
[06:25.940] 场
[06:36.370] 车
[06:39.300] 数据。
[06:40.600] 数据
[06:46.090] 车
[06:52.150] 坏
[06:54.980] 上海。
[07:01.430] 玻璃报警建议。
[07:04.430] 照片。
[07:35.920] 场
[07:37.810] 场
[07:41.790] 场
[07:42.520] 数据
[07:44.000] 玩
[07:47.160] 的
[07:55.590] 远远
[07:58.970] 等
[08:02.600] 场。
[08:07.550] 花。
[08:15.620] 李女士你好，百得利咱们可以取车了过来。
[08:20.700] 没钱等到
[08:26.040] 他的事这个号的还没开过来也是其他设定。
[08:31.850] 直接给您就用了。
[08:33.670] 好。
[08:34.670] 这边能上去，对一样的就是完了，直接不一样的车动车一样，谁知
[08:42.860] 中午就在明天应该差不多。
[08:46.720] 中午下午最晚是下午两三点钟怎么也能。
[08:50.470] 对最好早一点，这边肯定尽早给你打电话。
[08:55.000] 你就。
[08:56.300] 早点安排给我安排。
[08:57.770] 我就立马就安排。
[09:01.000] 有货是吧？一会我把车票出来，对，等一下把刀你先打一下电台的，我打电话马上过来取车。
[09:09.160] 你好
[09:10.160] 你好。
[09:14.270] 您过来您看已经换了都伴着。
[09:17.180] 他一点
[09:18.850] 1:30到的话，您过来什么时候到这里了？
[09:22.850] 等下给你查一下。
[09:24.550] 好。
[09:31.400] 谁干的活，这里边有
[09:34.320] 谁干的，要不要打电话，
[09:44.270] 什么广告做广告。
[09:46.240] 说过你给他打电话，你从微信
[09:50.890] 微信圈微信通讯录里边去找他名字。
[10:16.640] 远。
[10:22.780] 的。
[10:25.540] 片。
[10:27.320] 的。
[10:33.680] 单子。
[10:38.930] 要取车单。
[10:44.120] 等等
[10:52.240] 给你留一张单子，
[10:56.890] 的。
[10:58.600] 这个就是咱们的一个取消单，明天就过来取车的时候，你拿这个单子过来取就行了，这是一个取消凭证，就您的车牌号、
[11:05.910] 名称电话啥的都在上面有。
[11:08.080] 你们这里有没有什么车费，30还是一样，跟之前一样，对，就是出租车拿出租车票。
[11:14.960] 看我的什么保养，您查一下。
[11:17.290] 您一定要拿正常的正规的出租车票，
[11:21.100] 谁知数是33,000，
[11:28.650] 也就是说到20年11月做保养，或者是今年11月或者是43,000先到为准做保养。
